CED_NAME16	medianRent
Banks	21840
Barton	24024
Bennelong	24024
Berowra	27664
Blaxland	20280
Bradfield	28600
Calare	13000
Chifley	18200
Cook	23400
Cowper	15080
Cunningham	17160
Dobell	17680
Eden-Monaro	13260
Farrer	10400
Fowler	17368
Gilmore	14560
Grayndler	25220
Greenway	21320
Hughes	23140
Hume	16900
Hunter	15080
Kingsford Smith	27560
Lindsay	18980
Lyne	13520
Macarthur	18720
Mackellar	28600
Macquarie	18460
McMahon	20280
Mitchell	28600
New England	11960
Newcastle	17680
North Sydney	29120
Page	13520
Parkes	9880
Parramatta	21320
Paterson	15600
Reid	27040
Richmond	18200
Riverina	11440
Robertson	18460
Shortland	16900
Sydney	29692
Warringah	30160
Watson	19760
Wentworth	31720
Werriwa	19760
Whitlam	17160
No usual address (NSW)	
Migratory - Offshore - Shipping (NSW)	
Aston	18720
Ballarat	13000
Batman	17680
Bendigo	13000
Bruce	16900
Calwell	16640
Casey	17160
Chisholm	19760
Corangamite	15600
Corio	14040
Deakin	18200
Dunkley	15652
Flinders	15444
Gellibrand	16692
Gippsland	10920
Goldstein	21892
Gorton	15652
Higgins	20592
Holt	17160
Hotham	18512
Indi	11700
Isaacs	17680
Jagajaga	18200
Kooyong	20852
La Trobe	18200
Lalor	16640
Mallee	9620
Maribyrnong	16796
McEwen	16900
McMillan	13520
Melbourne	21580
Melbourne Ports	21840
Menzies	21320
Murray	10660
Scullin	16900
Wannon	10400
Wills	18512
No usual address (Vic.)	
Migratory - Offshore - Shipping (Vic.)	
Blair	15340
Bonner	20800
Bowman	20072
Brisbane	20800
Capricornia	13000
Dawson	14300
Dickson	18200
Fadden	20540
Fairfax	19240
Fisher	19500
Flynn	11700
Forde	18720
Griffith	20800
Groom	14664
Herbert	15340
Hinkler	14300
Kennedy	11440
Leichhardt	14560
Lilley	18824
Longman	16640
Maranoa	10400
McPherson	20800
Moncrieff	19240
Moreton	20020
Oxley	18200
Petrie	18200
Rankin	17680
Ryan	21320
Wide Bay	13520
Wright	16380
No usual address (Qld)	
Migratory - Offshore - Shipping (Qld)	
Adelaide	15860
Barker	9620
Boothby	15600
Grey	9100
Hindmarsh	14820
Kingston	15080
Makin	15600
Mayo	14300
Port Adelaide	13988
Sturt	15600
Wakefield	12740
No usual address (SA)	
Migratory - Offshore - Shipping (SA)	
Brand	18200
Burt	18200
Canning	16640
Cowan	19760
Curtin	20800
Durack	9776
Forrest	16120
Fremantle	19760
Hasluck	18200
Moore	21320
O'Connor	11700
Pearce	18720
Perth	19760
Stirling	18200
Swan	18720
Tangney	20800
No usual address (WA)	
Migratory - Offshore - Shipping (WA)	
Bass	11440
Braddon	10400
Denison	13780
Franklin	14040
Lyons	10868
No usual address (Tas.)	
Migratory - Offshore - Shipping (Tas.)	
Lingiari	5200
Solomon	21840
No usual address (NT)	
Migratory - Offshore - Shipping (NT)	
Canberra	20280
Fenner	19760
No usual address (ACT)	
Migratory - Offshore - Shipping (ACT)	
No usual address (OT)	
Migratory - Offshore - Shipping (OT)	
