CED_NAME16	Age	MaritalStatus	Registered	adults
Banks	15-19	Married	0	28
Banks	15-19	Married	1	14
Banks	15-19	Never married		8984
Banks	20-24	Married	0	437
Banks	20-24	Married	1	533
Banks	20-24	Never married		9066
Banks	25-34	Married	0	2210
Banks	25-34	Married	1	9487
Banks	25-34	Never married		9809
Banks	35-44	Married	0	1564
Banks	35-44	Married	1	13314
Banks	35-44	Never married		4661
Banks	45-54	Married	0	1303
Banks	45-54	Married	1	13011
Banks	45-54	Never married		5300
Banks	55-64	Married	0	913
Banks	55-64	Married	1	11331
Banks	55-64	Never married		5239
Banks	65-74	Married	0	400
Banks	65-74	Married	1	7345
Banks	65-74	Never married		3966
Banks	75-84	Married	0	127
Banks	75-84	Married	1	4073
Banks	75-84	Never married		3127
Banks	85+	Married	0	14
Banks	85+	Married	1	1010
Banks	85+	Never married		2075
Barton	15-19	Married	0	33
Barton	15-19	Married	1	22
Barton	15-19	Never married		8484
Barton	20-24	Married	0	892
Barton	20-24	Married	1	936
Barton	20-24	Never married		10711
Barton	25-34	Married	0	4161
Barton	25-34	Married	1	13232
Barton	25-34	Never married		14676
Barton	35-44	Married	0	2353
Barton	35-44	Married	1	13972
Barton	35-44	Never married		6452
Barton	45-54	Married	0	1631
Barton	45-54	Married	1	11695
Barton	45-54	Never married		6150
Barton	55-64	Married	0	995
Barton	55-64	Married	1	9609
Barton	55-64	Never married		5244
Barton	65-74	Married	0	413
Barton	65-74	Married	1	7086
Barton	65-74	Never married		3696
Barton	75-84	Married	0	107
Barton	75-84	Married	1	4204
Barton	75-84	Never married		2816
Barton	85+	Married	0	22
Barton	85+	Married	1	895
Barton	85+	Never married		1594
Bennelong	15-19	Married	0	56
Bennelong	15-19	Married	1	8
Bennelong	15-19	Never married		8834
Bennelong	20-24	Married	0	873
Bennelong	20-24	Married	1	370
Bennelong	20-24	Never married		10778
Bennelong	25-34	Married	0	3148
Bennelong	25-34	Married	1	11621
Bennelong	25-34	Never married		11719
Bennelong	35-44	Married	0	1656
Bennelong	35-44	Married	1	16227
Bennelong	35-44	Never married		5075
Bennelong	45-54	Married	0	1164
Bennelong	45-54	Married	1	14194
Bennelong	45-54	Never married		4930
Bennelong	55-64	Married	0	744
Bennelong	55-64	Married	1	11751
Bennelong	55-64	Never married		4879
Bennelong	65-74	Married	0	343
Bennelong	65-74	Married	1	7510
Bennelong	65-74	Never married		3381
Bennelong	75-84	Married	0	91
Bennelong	75-84	Married	1	3884
Bennelong	75-84	Never married		2898
Bennelong	85+	Married	0	19
Bennelong	85+	Married	1	1042
Bennelong	85+	Never married		1975
Berowra	15-19	Married	0	19
Berowra	15-19	Married	1	4
Berowra	15-19	Never married		10130
Berowra	20-24	Married	0	264
Berowra	20-24	Married	1	139
Berowra	20-24	Never married		7920
Berowra	25-34	Married	0	1017
Berowra	25-34	Married	1	5019
Berowra	25-34	Never married		5755
Berowra	35-44	Married	0	1239
Berowra	35-44	Married	1	14365
Berowra	35-44	Never married		2539
Berowra	45-54	Married	0	1345
Berowra	45-54	Married	1	16480
Berowra	45-54	Never married		3179
Berowra	55-64	Married	0	868
Berowra	55-64	Married	1	13820
Berowra	55-64	Never married		3157
Berowra	65-74	Married	0	361
Berowra	65-74	Married	1	9626
Berowra	65-74	Never married		2722
Berowra	75-84	Married	0	87
Berowra	75-84	Married	1	4063
Berowra	75-84	Never married		2183
Berowra	85+	Married	0	17
Berowra	85+	Married	1	878
Berowra	85+	Never married		1491
Blaxland	15-19	Married	0	38
Blaxland	15-19	Married	1	73
Blaxland	15-19	Never married		10574
Blaxland	20-24	Married	0	349
Blaxland	20-24	Married	1	1496
Blaxland	20-24	Never married		11067
Blaxland	25-34	Married	0	1481
Blaxland	25-34	Married	1	12792
Blaxland	25-34	Never married		13612
Blaxland	35-44	Married	0	1090
Blaxland	35-44	Married	1	13105
Blaxland	35-44	Never married		6426
Blaxland	45-54	Married	0	1003
Blaxland	45-54	Married	1	12217
Blaxland	45-54	Never married		5813
Blaxland	55-64	Married	0	703
Blaxland	55-64	Married	1	10080
Blaxland	55-64	Never married		5515
Blaxland	65-74	Married	0	301
Blaxland	65-74	Married	1	6497
