CED_NAME16	FamilyHousehold	UsualResidents.min	occupied_private_dwellings
Banks	0	1	11195
Banks	0	2	1130
Banks	0	3	341
Banks	0	4	174
Banks	0	5	68
Banks	0	6	28
Banks	1	2	13610
Banks	1	3	9373
Banks	1	4	9991
Banks	1	5	4359
Banks	1	6	2490
Barton	0	1	11863
Barton	0	2	2244
Barton	0	3	871
Barton	0	4	390
Barton	0	5	159
Barton	0	6	111
Barton	1	2	15155
Barton	1	3	10401
Barton	1	4	9863
Barton	1	5	4205
Barton	1	6	2746
Bennelong	0	1	12429
Bennelong	0	2	1797
Bennelong	0	3	674
Bennelong	0	4	294
Bennelong	0	5	155
Bennelong	0	6	121
Bennelong	1	2	15670
Bennelong	1	3	10473
Bennelong	1	4	10758
Bennelong	1	5	4159
Bennelong	1	6	2066
Berowra	0	1	6744
Berowra	0	2	466
Berowra	0	3	112
Berowra	0	4	47
Berowra	0	5	16
Berowra	0	6	3
Berowra	1	2	12446
Berowra	1	3	8138
Berowra	1	4	10950
Berowra	1	5	4767
Berowra	1	6	2260
Blaxland	0	1	9233
Blaxland	0	2	994
Blaxland	0	3	418
Blaxland	0	4	277
Blaxland	0	5	215
Blaxland	0	6	281
Blaxland	1	2	10374
Blaxland	1	3	8456
Blaxland	1	4	9175
Blaxland	1	5	5560
Blaxland	1	6	5385
Bradfield	0	1	9593
Bradfield	0	2	872
Bradfield	0	3	211
Bradfield	0	4	89
Bradfield	0	5	48
Bradfield	0	6	26
Bradfield	1	2	14868
Bradfield	1	3	9602
Bradfield	1	4	11730
Bradfield	1	5	4823
Bradfield	1	6	1762
Calare	0	1	16436
Calare	0	2	1415
Calare	0	3	195
Calare	0	4	79
Calare	0	5	27
Calare	0	6	9
Calare	1	2	18627
Calare	1	3	7908
Calare	1	4	7694
Calare	1	5	3708
Calare	1	6	1737
Chifley	0	1	8125
Chifley	0	2	910
Chifley	0	3	166
Chifley	0	4	72
Chifley	0	5	23
Chifley	0	6	16
Chifley	1	2	11413
Chifley	1	3	9614
Chifley	1	4	10084
Chifley	1	5	5546
Chifley	1	6	4606
Cook	0	1	12636
Cook	0	2	1176
Cook	0	3	167
Cook	0	4	52
Cook	0	5	9
Cook	0	6	6
Cook	1	2	15141
Cook	1	3	7735
Cook	1	4	8581
Cook	1	5	3737
Cook	1	6	1451
Cowper	0	1	18302
Cowper	0	2	1844
Cowper	0	3	236
Cowper	0	4	72
Cowper	0	5	20
Cowper	0	6	6
Cowper	1	2	21634
Cowper	1	3	8015
Cowper	1	4	6742
Cowper	1	5	3118
Cowper	1	6	1607
Cunningham	0	1	14860
Cunningham	0	2	1853
Cunningham	0	3	659
Cunningham	0	4	290
Cunningham	0	5	97
Cunningham	0	6	61
Cunningham	1	2	16825
Cunningham	1	3	8208
Cunningham	1	4	8795
Cunningham	1	5	3602
Cunningham	1	6	1522
Dobell	0	1	13845
Dobell	0	2	1396
Dobell	0	3	170
Dobell	0	4	56
Dobell	0	5	25
Dobell	0	6	3
Dobell	1	2	16705
Dobell	1	3	8268
Dobell	1	4	8480
Dobell	1	5	4036
Dobell	1	6	2010
Eden-Monaro	0	1	15196
Eden-Monaro	0	2	1139
Eden-Monaro	0	3	144
Eden-Monaro	0	4	38
Eden-Monaro	0	5	12
Eden-Monaro	0	6	12
Eden-Monaro	1	2	18971
Eden-Monaro	1	3	7395
Eden-Monaro	1	4	7309
Eden-Monaro	1	5	3225
Eden-Monaro	1	6	1358
Farrer	0	1	17603
Farrer	0	2	1447
Farrer	0	3	237
Farrer	0	4	79
Farrer	0	5	28
Farrer	0	6	20
Farrer	1	2	20369
Farrer	1	3	7663
Farrer	1	4	7499
Farrer	1	5	3745
Farrer	1	6	1636
Fowler	0	1	8360
Fowler	0	2	935
Fowler	0	3	194
Fowler	0	4	78
Fowler	0	5	37
Fowler	0	6	29
Fowler	1	2	10872
Fowler	1	3	8956
Fowler	1	4	9142
Fowler	1	5	5137
Fowler	1	6	4512
Gilmore	0	1	16171
Gilmore	0	2	1287
Gilmore	0	3	127
Gilmore	0	4	35
Gilmore	0	5	12
Gilmore	0	6	3
Gilmore	1	2	22052
Gilmore	1	3	7188
Gilmore	1	4	6408
Gilmore	1	5	2950
Gilmore	1	6	1439
Grayndler	0	1	15784
Grayndler	0	2	3104
Grayndler	0	3	1338
Grayndler	0	4	538
Grayndler	0	5	166
Grayndler	0	6	71
Grayndler	1	2	16437
Grayndler	1	3	8626
Grayndler	1	4	7741
Grayndler	1	5	2221
Grayndler	1	6	839
Greenway	0	1	7628
Greenway	0	2	841
Greenway	0	3	197
Greenway	0	4	99
Greenway	0	5	58
Greenway	0	6	65
Greenway	1	2	11800
Greenway	1	3	10393
Greenway	1	4	12679
Greenway	1	5	5148
Greenway	1	6	3100
Hughes	0	1	7665
Hughes	0	2	642
Hughes	0	3	83
Hughes	0	4	25
Hughes	0	5	3
Hughes	0	6	5
Hughes	1	2	13103
Hughes	1	3	8513
Hughes	1	4	10769
Hughes	1	5	4672
Hughes	1	6	1713
Hume	0	1	10176
Hume	0	2	780
Hume	0	3	94
Hume	0	4	19
Hume	0	5	11
Hume	0	6	6
Hume	1	2	15507
Hume	1	3	8010
Hume	1	4	8961
Hume	1	5	4411
Hume	1	6	2341
Hunter	0	1	13349
Hunter	0	2	1241
Hunter	0	3	140
Hunter	0	4	43
Hunter	0	5	7
Hunter	0	6	6
Hunter	1	2	18299
Hunter	1	3	8601
Hunter	1	4	8463
Hunter	1	5	3746
Hunter	1	6	1718
Kingsford Smith	0	1	15979
Kingsford Smith	0	2	3582
Kingsford Smith	0	3	1641
Kingsford Smith	0	4	711
Kingsford Smith	0	5	310
Kingsford Smith	0	6	169
Kingsford Smith	1	2	16644
Kingsford Smith	1	3	9507
Kingsford Smith	1	4	9378
Kingsford Smith	1	5	3431
Kingsford Smith	1	6	1459
Lindsay	0	1	11170
Lindsay	0	2	1263
