CED_NAME16	Age	ProvidedUnpaidChildcare	ForOwnChild	ForOtherChild	Sex	adults
Banks	15-19				F	271
Banks	15-19				M	299
Banks	15-19	0			F	4047
Banks	15-19	0			M	4380
Banks	15-19	1	0	1	F	254
Banks	15-19	1	0	1	M	140
Banks	15-19	1	1	0	F	20
Banks	15-19	1	1	0	M	14
Banks	15-19	1	1	1	F	9
Banks	15-19	1	1	1	M	3
Banks	20-24				F	263
Banks	20-24				M	282
Banks	20-24	0			F	4403
Banks	20-24	0			M	5065
Banks	20-24	1	0	1	F	261
Banks	20-24	1	0	1	M	134
Banks	20-24	1	1	0	F	195
Banks	20-24	1	1	0	M	65
Banks	20-24	1	1	1	F	18
Banks	20-24	1	1	1	M	3
Banks	25-34				F	641
Banks	25-34				M	645
Banks	25-34	0			F	6748
Banks	25-34	0			M	8152
Banks	25-34	1	0	1	F	417
Banks	25-34	1	0	1	M	239
Banks	25-34	1	1	0	F	3799
Banks	25-34	1	1	0	M	2275
Banks	25-34	1	1	1	F	86
Banks	25-34	1	1	1	M	24
Banks	35-44				F	459
Banks	35-44				M	494
Banks	35-44	0			F	3291
Banks	35-44	0			M	4084
Banks	35-44	1	0	1	F	296
Banks	35-44	1	0	1	M	140
Banks	35-44	1	1	0	F	6541
Banks	35-44	1	1	0	M	5052
Banks	35-44	1	1	1	F	220
Banks	35-44	1	1	1	M	106
Banks	45-54				F	528
Banks	45-54				M	503
Banks	45-54	0			F	6668
Banks	45-54	0			M	6020
Banks	45-54	1	0	1	F	469
Banks	45-54	1	0	1	M	159
Banks	45-54	1	1	0	F	3095
Banks	45-54	1	1	0	M	3217
Banks	45-54	1	1	1	F	89
Banks	45-54	1	1	1	M	40
Banks	55-64				F	484
Banks	55-64				M	465
Banks	55-64	0			F	7018
Banks	55-64	0			M	7156
Banks	55-64	1	0	1	F	1742
Banks	55-64	1	0	1	M	631
Banks	55-64	1	1	0	F	433
Banks	55-64	1	1	0	M	709
Banks	55-64	1	1	1	F	30
Banks	55-64	1	1	1	M	18
Banks	65-74				F	425
Banks	65-74				M	387
Banks	65-74	0			F	4413
Banks	65-74	0			M	4467
Banks	65-74	1	0	1	F	1634
Banks	65-74	1	0	1	M	1074
Banks	65-74	1	1	0	F	114
Banks	65-74	1	1	0	M	140
Banks	65-74	1	1	1	F	18
Banks	65-74	1	1	1	M	14
Banks	75-84				F	419
Banks	75-84				M	344
Banks	75-84	0			F	3735
Banks	75-84	0			M	2921
Banks	75-84	1	0	1	F	369
Banks	75-84	1	0	1	M	301
Banks	75-84	1	1	0	F	25
Banks	75-84	1	1	0	M	30
Banks	75-84	1	1	1	M	4
Banks	85+				F	313
Banks	85+				M	172
Banks	85+	0			F	2388
Banks	85+	0			M	1316
Banks	85+	1	0	1	F	36
Banks	85+	1	0	1	M	21
Banks	85+	1	1	0	F	7
Banks	85+	1	1	0	M	6
Barton	15-19				F	275
Barton	15-19				M	347
Barton	15-19	0			F	3899
Barton	15-19	0			M	4094
Barton	15-19	1	0	1	F	222
Barton	15-19	1	0	1	M	135
Barton	15-19	1	1	0	F	22
Barton	15-19	1	1	0	M	23
Barton	15-19	1	1	1	F	4
Barton	15-19	1	1	1	M	3
Barton	20-24				F	461
Barton	20-24				M	510
Barton	20-24	0			F	5752
Barton	20-24	0			M	6221
Barton	20-24	1	0	1	F	249
Barton	20-24	1	0	1	M	126
Barton	20-24	1	1	0	F	261
Barton	20-24	1	1	0	M	72
Barton	20-24	1	1	1	F	3
Barton	20-24	1	1	1	M	6
Barton	25-34				F	1224
Barton	25-34				M	1270
Barton	25-34	0			F	11299
Barton	25-34	0			M	13459
Barton	25-34	1	0	1	F	503
Barton	25-34	1	0	1	M	279
Barton	25-34	1	1	0	F	4317
Barton	25-34	1	1	0	M	2515
Barton	25-34	1	1	1	F	69
Barton	25-34	1	1	1	M	26
Barton	35-44				F	774
Barton	35-44				M	871
Barton	35-44	0			F	4470
Barton	35-44	0			M	5978
Barton	35-44	1	0	1	F	334
Barton	35-44	1	0	1	M	161
Barton	35-44	1	1	0	F	6492
Barton	35-44	1	1	0	M	5341
Barton	35-44	1	1	1	F	191
Barton	35-44	1	1	1	M	68
Barton	45-54				F	649
Barton	45-54				M	652
Barton	45-54	0			F	6562
Barton	45-54	0			M	6368
Barton	45-54	1	0	1	F	495
Barton	45-54	1	0	1	M	146
Barton	45-54	1	1	0	F	3025
Barton	45-54	1	1	0	M	3029
Barton	45-54	1	1	1	F	80
Barton	45-54	1	1	1	M	44
Barton	55-64				F	527
Barton	55-64				M	585
Barton	55-64	0			F	6468
Barton	55-64	0			M	6500
Barton	55-64	1	0	1	F	1466
Barton	55-64	1	0	1	M	466
Barton	55-64	1	1	0	F	425
Barton	55-64	1	1	0	M	701
Barton	55-64	1	1	1	F	37
Barton	55-64	1	1	1	M	16
Barton	65-74				F	500
Barton	65-74				M	452
Barton	65-74	0			F	4351
Barton	65-74	0			M	4484
Barton	65-74	1	0	1	F	1398
Barton	65-74	1	0	1	M	825
Barton	65-74	1	1	0	F	138
Barton	65-74	1	1	0	M	147
Barton	65-74	1	1	1	F	16
Barton	65-74	1	1	1	M	5
Barton	75-84				F	482
Barton	75-84				M	414
Barton	75-84	0			F	3655
Barton	75-84	0			M	3060
Barton	75-84	1	0	1	F	359
Barton	75-84	1	0	1	M	331
Barton	75-84	1	1	0	F	31
Barton	75-84	1	1	0	M	39
Barton	75-84	1	1	1	F	3
Barton	75-84	1	1	1	M	3
Barton	85+				F	506
Barton	85+				M	274
Barton	85+	0			F	1867
Barton	85+	0			M	1268
Barton	85+	1	0	1	F	29
Barton	85+	1	0	1	M	33
Barton	85+	1	1	0	F	9
Barton	85+	1	1	0	M	10
Bennelong	15-19				F	225
Bennelong	15-19				M	257
Bennelong	15-19	0			F	4091
Bennelong	15-19	0			M	4639
Bennelong	15-19	1	0	1	F	232
Bennelong	15-19	1	0	1	M	143
Bennelong	15-19	1	1	0	F	13
Bennelong	15-19	1	1	0	M	19
Bennelong	15-19	1	1	1	F	3
Bennelong	15-19	1	1	1	M	7
Bennelong	20-24				F	338
Bennelong	20-24				M	313
Bennelong	20-24	0			F	6142
Bennelong	20-24	0			M	6201
Bennelong	20-24	1	0	1	F	237
Bennelong	20-24	1	0	1	M	142
Bennelong	20-24	1	1	0	F	99
Bennelong	20-24	1	1	0	M	43
Bennelong	20-24	1	1	1	F	9
Bennelong	25-34				F	742
Bennelong	25-34				M	741
Bennelong	25-34	0			F	9548
Bennelong	25-34	0			M	10685
Bennelong	25-34	1	0	1	F	398
Bennelong	25-34	1	0	1	M	251
Bennelong	25-34	1	1	0	F	3883
Bennelong	25-34	1	1	0	M	2323
Bennelong	25-34	1	1	1	F	78
Bennelong	25-34	1	1	1	M	15
Bennelong	35-44				F	503
Bennelong	35-44				M	592
Bennelong	35-44	0			F	3907
Bennelong	35-44	0			M	5030
Bennelong	35-44	1	0	1	F	290
Bennelong	35-44	1	0	1	M	137
Bennelong	35-44	1	1	0	F	7498
Bennelong	35-44	1	1	0	M	6155
Bennelong	35-44	1	1	1	F	243
Bennelong	35-44	1	1	1	M	83
Bennelong	45-54				F	415
Bennelong	45-54				M	474
Bennelong	45-54	0			F	6575
Bennelong	45-54	0			M	5997
Bennelong	45-54	1	0	1	F	411
Bennelong	45-54	1	0	1	M	138
Bennelong	45-54	1	1	0	F	3718
Bennelong	45-54	1	1	0	M	3689
Bennelong	45-54	1	1	1	F	95
Bennelong	45-54	1	1	1	M	64
Bennelong	55-64				F	422
Bennelong	55-64				M	400
Bennelong	55-64	0			F	7157
Bennelong	55-64	0			M	7139
Bennelong	55-64	1	0	1	F	1605
Bennelong	55-64	1	0	1	M	576
Bennelong	55-64	1	1	0	F	500
Bennelong	55-64	1	1	0	M	689
Bennelong	55-64	1	1	1	F	24
Bennelong	55-64	1	1	1	M	18
Bennelong	65-74				F	363
Bennelong	65-74				M	335
Bennelong	65-74	0			F	4127
Bennelong	65-74	0			M	4357
Bennelong	65-74	1	0	1	F	1667
Bennelong	65-74	1	0	1	M	1015
Bennelong	65-74	1	1	0	F	144
Bennelong	65-74	1	1	0	M	178
Bennelong	65-74	1	1	1	F	16
Bennelong	65-74	1	1	1	M	15
Bennelong	75-84				F	381
Bennelong	75-84				M	257
Bennelong	75-84	0			F	3576
Bennelong	75-84	0			M	2755
Bennelong	75-84	1	0	1	F	362
Bennelong	75-84	1	0	1	M	355
Bennelong	75-84	1	1	0	F	38
Bennelong	75-84	1	1	0	M	37
Bennelong	75-84	1	1	1	F	10
Bennelong	85+				F	372
Bennelong	85+				M	161
Bennelong	85+	0			F	2274
