CED_NAME16	CountryOfBirth	Sex	persons
Banks		F	6582
Banks		M	6215
Banks	AFG	F	11
Banks	AFG	M	8
Banks	AUS	F	44409
Banks	AUS	M	43371
Banks	BGD	F	309
Banks	BGD	M	427
Banks	BIH	F	165
Banks	BIH	M	169
Banks	CAN	F	87
Banks	CAN	M	83
Banks	CHL	F	176
Banks	CHL	M	140
Banks	CHN	F	9372
Banks	CHN	M	7743
Banks	DEU	F	203
Banks	DEU	M	170
Banks	EGY	F	734
Banks	EGY	M	779
Banks	FJI	F	442
Banks	FJI	M	354
Banks	FRA	F	52
Banks	FRA	M	57
Banks	GBR	F	1268
Banks	GBR	M	1499
Banks	GRC	F	938
Banks	GRC	M	844
Banks	HKG	F	1498
Banks	HKG	M	1446
Banks	HRV	F	328
Banks	HRV	M	275
Banks	IDN	F	879
Banks	IDN	M	666
Banks	IND	F	1022
Banks	IND	M	1090
Banks	IRL	F	144
Banks	IRL	M	189
Banks	IRN	F	79
Banks	IRN	M	101
Banks	IRQ	F	89
Banks	IRQ	M	91
Banks	ITA	F	460
Banks	ITA	M	513
Banks	JPN	F	218
Banks	JPN	M	85
Banks	KHM	F	41
Banks	KHM	M	33
Banks	KOR	F	335
Banks	KOR	M	219
Banks	LBN	F	1258
Banks	LBN	M	1226
Banks	LKA	F	138
Banks	LKA	M	122
Banks	MKD	F	732
Banks	MKD	M	738
Banks	MLT	F	141
Banks	MLT	M	121
Banks	MMR	F	67
Banks	MMR	M	55
Banks	MUS	F	135
Banks	MUS	M	82
Banks	MYS	F	573
Banks	MYS	M	500
Banks	NLD	F	68
Banks	NLD	M	60
Banks	NPL	F	1360
Banks	NPL	M	1717
Banks	NZL	F	1262
Banks	NZL	M	1246
Banks	PAK	F	123
Banks	PAK	M	211
Banks	PHL	F	1357
Banks	PHL	M	803
Banks	PNG	F	51
Banks	PNG	M	36
Banks	POL	F	141
Banks	POL	M	120
Banks	SGP	F	169
Banks	SGP	M	138
Banks	THA	F	421
Banks	THA	M	208
Banks	TUR	F	65
Banks	TUR	M	97
Banks	TWN	F	239
Banks	TWN	M	198
Banks	USA	F	194
Banks	USA	M	172
Banks	VNM	F	1453
Banks	VNM	M	1079
Banks	ZAF	F	234
Banks	ZAF	M	239
Banks	ZWE	F	51
Banks	ZWE	M	40
Barton		F	10695
Barton		M	10451
Barton	AFG	F	14
Barton	AFG	M	16
Barton	AUS	F	37902
Barton	AUS	M	38840
Barton	BGD	F	877
Barton	BGD	M	1589
Barton	BIH	F	119
Barton	BIH	M	125
Barton	CAN	F	84
Barton	CAN	M	102
Barton	CHL	F	236
Barton	CHL	M	246
Barton	CHN	F	11014
Barton	CHN	M	8923
Barton	DEU	F	170
Barton	DEU	M	166
Barton	EGY	F	700
Barton	EGY	M	690
Barton	FJI	F	508
Barton	FJI	M	415
Barton	FRA	F	88
Barton	FRA	M	125
Barton	GBR	F	1126
Barton	GBR	M	1482
Barton	GRC	F	2947
Barton	GRC	M	2518
Barton	HKG	F	1279
Barton	HKG	M	1214
Barton	HRV	F	260
Barton	HRV	M	249
Barton	IDN	F	1122
Barton	IDN	M	907
Barton	IND	F	1304
Barton	IND	M	1585
Barton	IRL	F	204
Barton	IRL	M	275
Barton	IRN	F	125
Barton	IRN	M	157
Barton	IRQ	F	61
Barton	IRQ	M	88
Barton	ITA	F	1120
Barton	ITA	M	1044
Barton	JPN	F	349
Barton	JPN	M	123
Barton	KHM	F	69
Barton	KHM	M	45
Barton	KOR	F	380
Barton	KOR	M	290
Barton	LBN	F	1935
Barton	LBN	M	1997
Barton	LKA	F	93
Barton	LKA	M	115
Barton	MKD	F	1626
Barton	MKD	M	1576
Barton	MLT	F	187
Barton	MLT	M	160
Barton	MMR	F	60
Barton	MMR	M	74
Barton	MUS	F	72
Barton	MUS	M	80
Barton	MYS	F	607
Barton	MYS	M	560
Barton	NLD	F	56
Barton	NLD	M	60
Barton	NPL	F	2648
