CED_NAME16	Age5yr	Indigenous	persons
Banks	0-4		331
Banks	0-4	0	8987
Banks	0-4	1	125
Banks	5-9		343
Banks	5-9	0	8769
Banks	5-9	1	133
Banks	10-14		312
Banks	10-14	0	8284
Banks	10-14	1	124
Banks	15-19		335
Banks	15-19	0	8987
Banks	15-19	1	105
Banks	20-24		398
Banks	20-24	0	10177
Banks	20-24	1	113
Banks	25-29		478
Banks	25-29	0	10987
Banks	25-29	1	92
Banks	30-34		499
Banks	30-34	0	10881
Banks	30-34	1	85
Banks	35-39		398
Banks	35-39	0	9822
Banks	35-39	1	70
Banks	40-44		387
Banks	40-44	0	9933
Banks	40-44	1	72
Banks	45-49		397
Banks	45-49	0	9727
Banks	45-49	1	70
Banks	50-54		426
Banks	50-54	0	10084
Banks	50-54	1	91
Banks	55-59		414
Banks	55-59	0	9658
Banks	55-59	1	72
Banks	60-64		334
Banks	60-64	0	8175
Banks	60-64	1	45
Banks	65+		1161
Banks	65+	0	23843
Banks	65+	1	90
Barton	0-4		472
Barton	0-4	0	9715
Barton	0-4	1	122
Barton	5-9		442
Barton	5-9	0	8598
Barton	5-9	1	97
Barton	10-14		387
Barton	10-14	0	7638
Barton	10-14	1	91
Barton	15-19		418
Barton	15-19	0	8532
Barton	15-19	1	95
Barton	20-24		746
Barton	20-24	0	12778
Barton	20-24	1	138
Barton	25-29		1081
Barton	25-29	0	16987
Barton	25-29	1	129
Barton	30-34		888
Barton	30-34	0	15802
Barton	30-34	1	74
Barton	35-39		717
Barton	35-39	0	12217
Barton	35-39	1	60
Barton	40-44		631
Barton	40-44	0	10976
Barton	40-44	1	74
Barton	45-49		510
Barton	45-49	0	10175
Barton	45-49	1	78
Barton	50-54		553
Barton	50-54	0	9674
Barton	50-54	1	69
Barton	55-59		427
Barton	55-59	0	8656
Barton	55-59	1	57
Barton	60-64		461
Barton	60-64	0	7553
Barton	60-64	1	41
Barton	65+		1703
Barton	65+	0	22911
Barton	65+	1	80
Bennelong	0-4		345
Bennelong	0-4	0	9832
Bennelong	0-4	1	46
Bennelong	5-9		281
Bennelong	5-9	0	9348
Bennelong	5-9	1	72
Bennelong	10-14		233
Bennelong	10-14	0	8188
Bennelong	10-14	1	59
Bennelong	15-19		313
Bennelong	15-19	0	9248
Bennelong	15-19	1	54
Bennelong	20-24		521
Bennelong	20-24	0	12913
Bennelong	20-24	1	80
Bennelong	25-29		580
Bennelong	25-29	0	13654
Bennelong	25-29	1	52
Bennelong	30-34		571
Bennelong	30-34	0	13769
Bennelong	30-34	1	39
Bennelong	35-39		481
Bennelong	35-39	0	12363
Bennelong	35-39	1	35
Bennelong	40-44		422
Bennelong	40-44	0	11081
Bennelong	40-44	1	50
Bennelong	45-49		363
Bennelong	45-49	0	10355
Bennelong	45-49	1	32
Bennelong	50-54		363
Bennelong	50-54	0	10430
Bennelong	50-54	1	31
Bennelong	55-59		328
Bennelong	55-59	0	9475
Bennelong	55-59	1	25
Bennelong	60-64		305
Bennelong	60-64	0	8371
Bennelong	60-64	1	22
Bennelong	65+		1030
Bennelong	65+	0	23140
Bennelong	65+	1	45
Berowra	0-4		215
Berowra	0-4	0	7471
Berowra	0-4	1	52
Berowra	5-9		256
Berowra	5-9	0	9720
Berowra	5-9	1	83
Berowra	10-14		245
Berowra	10-14	0	9864
Berowra	10-14	1	93
Berowra	15-19		284
Berowra	15-19	0	10179
Berowra	15-19	1	103
Berowra	20-24		269
Berowra	20-24	0	8576
Berowra	20-24	1	55
Berowra	25-29		225
Berowra	25-29	0	5915
Berowra	25-29	1	46
Berowra	30-34		230
Berowra	30-34	0	6274
Berowra	30-34	1	41
Berowra	35-39		290
Berowra	35-39	0	8188
Berowra	35-39	1	31
Berowra	40-44		323
Berowra	40-44	0	10282
Berowra	40-44	1	64
Berowra	45-49		326
Berowra	45-49	0	10741
Berowra	45-49	1	34
Berowra	50-54		339
Berowra	50-54	0	10638
