CED_NAME16	MaxSchoolingCompleted	Sex	persons
Banks	Did not go to school	F	1079
Banks	Did not go to school	M	721
Banks	Year 8	F	3425
Banks	Year 8	M	2614
Banks	Year 9	F	3802
Banks	Year 9	M	3143
Banks	Year 10	F	11916
Banks	Year 10	M	10950
Banks	Year 11	F	2941
Banks	Year 11	M	3228
Banks	Year 12	F	39463
Banks	Year 12	M	37412
Barton	Did not go to school	F	1812
Barton	Did not go to school	M	1181
Barton	Year 8	F	4932
Barton	Year 8	M	3804
Barton	Year 9	F	2607
Barton	Year 9	M	2362
Barton	Year 10	F	9061
Barton	Year 10	M	9171
Barton	Year 11	F	2808
Barton	Year 11	M	3250
Barton	Year 12	F	46852
Barton	Year 12	M	46048
Bennelong	Did not go to school	F	857
Bennelong	Did not go to school	M	602
Bennelong	Year 8	F	2375
Bennelong	Year 8	M	1839
Bennelong	Year 9	F	2663
Bennelong	Year 9	M	2237
Bennelong	Year 10	F	8657
Bennelong	Year 10	M	7417
Bennelong	Year 11	F	2637
Bennelong	Year 11	M	2729
Bennelong	Year 12	F	51670
Bennelong	Year 12	M	49431
Berowra	Did not go to school	F	333
Berowra	Did not go to school	M	273
Berowra	Year 8	F	1386
Berowra	Year 8	M	1200
Berowra	Year 9	F	2641
Berowra	Year 9	M	2427
Berowra	Year 10	F	10300
Berowra	Year 10	M	9289
Berowra	Year 11	F	2931
Berowra	Year 11	M	3144
Berowra	Year 12	F	39524
Berowra	Year 12	M	37781
Blaxland	Did not go to school	F	3070
Blaxland	Did not go to school	M	2676
Blaxland	Year 8	F	5417
Blaxland	Year 8	M	5006
Blaxland	Year 9	F	3628
Blaxland	Year 9	M	3558
Blaxland	Year 10	F	10539
Blaxland	Year 10	M	11133
Blaxland	Year 11	F	3188
Blaxland	Year 11	M	3750
Blaxland	Year 12	F	36386
Blaxland	Year 12	M	38180
Bradfield	Did not go to school	F	384
Bradfield	Did not go to school	M	246
Bradfield	Year 8	F	1201
Bradfield	Year 8	M	936
Bradfield	Year 9	F	2163
Bradfield	Year 9	M	1832
Bradfield	Year 10	F	6777
Bradfield	Year 10	M	4808
Bradfield	Year 11	F	3055
Bradfield	Year 11	M	2530
Bradfield	Year 12	F	50613
Bradfield	Year 12	M	47219
Calare	Did not go to school	F	192
Calare	Did not go to school	M	230
Calare	Year 8	F	3306
Calare	Year 8	M	3942
Calare	Year 9	F	5490
Calare	Year 9	M	5583
Calare	Year 10	F	18621
Calare	Year 10	M	20066
Calare	Year 11	F	4336
Calare	Year 11	M	4349
Calare	Year 12	F	26379
Calare	Year 12	M	21185
Chifley	Did not go to school	F	1130
Chifley	Did not go to school	M	731
Chifley	Year 8	F	4232
Chifley	Year 8	M	3495
Chifley	Year 9	F	4582
Chifley	Year 9	M	4294
Chifley	Year 10	F	13865
Chifley	Year 10	M	14066
Chifley	Year 11	F	4065
Chifley	Year 11	M	4179
Chifley	Year 12	F	34628
Chifley	Year 12	M	32624
Cook	Did not go to school	F	362
Cook	Did not go to school	M	276
Cook	Year 8	F	2238
Cook	Year 8	M	1735
Cook	Year 9	F	3376
Cook	Year 9	M	2730
Cook	Year 10	F	13442
Cook	Year 10	M	12257
Cook	Year 11	F	2866
Cook	Year 11	M	3223
Cook	Year 12	F	33185
Cook	Year 12	M	30757
Cowper	Did not go to school	F	261
Cowper	Did not go to school	M	234
Cowper	Year 8	F	3732
Cowper	Year 8	M	3938
Cowper	Year 9	F	6438
Cowper	Year 9	M	6227
Cowper	Year 10	F	21054
Cowper	Year 10	M	19158
Cowper	Year 11	F	4803
Cowper	Year 11	M	4872
Cowper	Year 12	F	25233
Cowper	Year 12	M	21691
Cunningham	Did not go to school	F	637
Cunningham	Did not go to school	M	430
