CED_NAME16	FamilyHousehold	IncomeHousehold.max	households
Banks	0		949
Banks	0	0	521
Banks	0	7875	180
Banks	0	15750	790
Banks	0	21000	1326
Banks	0	26250	2167
Banks	0	34125	1015
Banks	0	42000	896
Banks	0	52500	968
Banks	0	65625	1052
Banks	0	78750	745
Banks	0	91875	633
Banks	0	105000	479
Banks	0	131250	705
Banks	0	157500	111
Banks	0	183750	80
Banks	0	210000	250
Banks	0	Inf	68
Banks	1		4135
Banks	1	0	429
Banks	1	7875	188
Banks	1	15750	326
Banks	1	21000	267
Banks	1	26250	931
Banks	1	34125	953
Banks	1	42000	2386
Banks	1	52500	1977
Banks	1	65625	2773
Banks	1	78750	2752
Banks	1	91875	2394
Banks	1	105000	2463
Banks	1	131250	5265
Banks	1	157500	3725
Banks	1	183750	2607
Banks	1	210000	1892
Banks	1	Inf	4364
Barton	0		1112
Barton	0	0	854
Barton	0	7875	257
Barton	0	15750	767
Barton	0	21000	1121
Barton	0	26250	1906
Barton	0	34125	959
Barton	0	42000	959
Barton	0	52500	1180
Barton	0	65625	1375
Barton	0	78750	1062
Barton	0	91875	937
Barton	0	105000	766
Barton	0	131250	1278
Barton	0	157500	316
Barton	0	183750	201
Barton	0	210000	404
Barton	0	Inf	177
Barton	1		4374
Barton	1	0	650
Barton	1	7875	283
Barton	1	15750	374
Barton	1	21000	304
Barton	1	26250	1080
Barton	1	34125	957
Barton	1	42000	2614
Barton	1	52500	2206
Barton	1	65625	2906
Barton	1	78750	3022
Barton	1	91875	2625
Barton	1	105000	2642
Barton	1	131250	5516
Barton	1	157500	3973
Barton	1	183750	2840
Barton	1	210000	2002
Barton	1	Inf	4025
Bennelong	0		932
Bennelong	0	0	892
Bennelong	0	7875	244
Bennelong	0	15750	730
Bennelong	0	21000	1018
Bennelong	0	26250	1837
Bennelong	0	34125	1055
Bennelong	0	42000	982
Bennelong	0	52500	1144
Bennelong	0	65625	1342
Bennelong	0	78750	1085
Bennelong	0	91875	1004
Bennelong	0	105000	819
Bennelong	0	131250	1287
Bennelong	0	157500	249
Bennelong	0	183750	125
Bennelong	0	210000	533
Bennelong	0	Inf	184
Bennelong	1		4302
Bennelong	1	0	708
Bennelong	1	7875	258
Bennelong	1	15750	309
Bennelong	1	21000	218
Bennelong	1	26250	790
Bennelong	1	34125	792
Bennelong	1	42000	1868
Bennelong	1	52500	1807
Bennelong	1	65625	2632
Bennelong	1	78750	2670
Bennelong	1	91875	2422
Bennelong	1	105000	2429
Bennelong	1	131250	5361
Bennelong	1	157500	4138
Bennelong	1	183750	3058
Bennelong	1	210000	2612
Bennelong	1	Inf	6754
Berowra	0		431
Berowra	0	0	207
Berowra	0	7875	118
Berowra	0	15750	315
Berowra	0	21000	512
Berowra	0	26250	1098
Berowra	0	34125	802
Berowra	0	42000	605
Berowra	0	52500	639
Berowra	0	65625	648
Berowra	0	78750	462
Berowra	0	91875	374
Berowra	0	105000	309
Berowra	0	131250	479
Berowra	0	157500	60
Berowra	0	183750	37
Berowra	0	210000	231
Berowra	0	Inf	47
Berowra	1		4439
Berowra	1	0	260
Berowra	1	7875	144
Berowra	1	15750	176
Berowra	1	21000	108
Berowra	1	26250	507
Berowra	1	34125	434
Berowra	1	42000	1327
Berowra	1	52500	1342
Berowra	1	65625	1970
Berowra	1	78750	2042
Berowra	1	91875	1737
Berowra	1	105000	1951
Berowra	1	131250	4277
Berowra	1	157500	3633
Berowra	1	183750	2979
Berowra	1	210000	2773
Berowra	1	Inf	8466
Blaxland	0		1055
Blaxland	0	0	526
Blaxland	0	7875	184
Blaxland	0	15750	917
Blaxland	0	21000	1356
Blaxland	0	26250	1936
Blaxland	0	34125	845
Blaxland	0	42000	776
Blaxland	0	52500	802
Blaxland	0	65625	836
Blaxland	0	78750	557
Blaxland	0	91875	387
Blaxland	0	105000	287
Blaxland	0	131250	420
Blaxland	0	157500	160
Blaxland	0	183750	102
Blaxland	0	210000	131
Blaxland	0	Inf	149
Blaxland	1		4380
Blaxland	1	0	670
Blaxland	1	7875	241
Blaxland	1	15750	573
Blaxland	1	21000	476
Blaxland	1	26250	1509
Blaxland	1	34125	1656
Blaxland	1	42000	3176
Blaxland	1	52500	2941
Blaxland	1	65625	3535
Blaxland	1	78750	3246
Blaxland	1	91875	2636
Blaxland	1	105000	2358
Blaxland	1	131250	4204
Blaxland	1	157500	2708
Blaxland	1	183750	1638
Blaxland	1	210000	1103
Blaxland	1	Inf	1897
Bradfield	0		601
Bradfield	0	0	462
Bradfield	0	7875	172
Bradfield	0	15750	385
Bradfield	0	21000	545
Bradfield	0	26250	1099
Bradfield	0	34125	878
Bradfield	0	42000	722
Bradfield	0	52500	850
Bradfield	0	65625	935
Bradfield	0	78750	764
Bradfield	0	91875	744
Bradfield	0	105000	567
Bradfield	0	131250	1039
Bradfield	0	157500	122
Bradfield	0	183750	77
Bradfield	0	210000	769
Bradfield	0	Inf	105
Bradfield	1		4997
Bradfield	1	0	616
Bradfield	1	7875	220
Bradfield	1	15750	249
Bradfield	1	21000	139
Bradfield	1	26250	515
Bradfield	1	34125	558
Bradfield	1	42000	1117
Bradfield	1	52500	1222
Bradfield	1	65625	1961
Bradfield	1	78750	2041
Bradfield	1	91875	1716
Bradfield	1	105000	1928
Bradfield	1	131250	4252
Bradfield	1	157500	3342
Bradfield	1	183750	2635
Bradfield	1	210000	3250
Bradfield	1	Inf	12028
Calare	0		1392
Calare	0	0	435
Calare	0	7875	276
Calare	0	15750	1161
Calare	0	21000	1820
Calare	0	26250	3785
Calare	0	34125	1629
Calare	0	42000	1433
Calare	0	52500	1461
Calare	0	65625	1431
Calare	0	78750	914
Calare	0	91875	703
Calare	0	105000	579
Calare	0	131250	691
Calare	0	157500	78
Calare	0	183750	56
Calare	0	210000	267
Calare	0	Inf	49
Calare	1		4729
Calare	1	0	269
Calare	1	7875	231
Calare	1	15750	349
Calare	1	21000	333
Calare	1	26250	1295
Calare	1	34125	1329
Calare	1	42000	3475
Calare	1	52500	2573
Calare	1	65625	3366
Calare	1	78750	3328
Calare	1	91875	2450
Calare	1	105000	2535
Calare	1	131250	4667
Calare	1	157500	3153
Calare	1	183750	2036
Calare	1	210000	1236
Calare	1	Inf	2318
Chifley	0		766
Chifley	0	0	295
Chifley	0	7875	125
Chifley	0	15750	648
Chifley	0	21000	1050
Chifley	0	26250	1626
Chifley	0	34125	612
Chifley	0	42000	681
Chifley	0	52500	861
Chifley	0	65625	826
Chifley	0	78750	556
Chifley	0	91875	401
Chifley	0	105000	295
Chifley	0	131250	352
Chifley	0	157500	87
Chifley	0	183750	30
Chifley	0	210000	92
Chifley	0	Inf	34
Chifley	1		4386
Chifley	1	0	373
Chifley	1	7875	168
Chifley	1	15750	404
Chifley	1	21000	394
Chifley	1	26250	1137
Chifley	1	34125	1308
Chifley	1	42000	2873
Chifley	1	52500	2447
Chifley	1	65625	3253
Chifley	1	78750	3432
Chifley	1	91875	2906
Chifley	1	105000	2929
Chifley	1	131250	5800
Chifley	1	157500	3657
Chifley	1	183750	2268
Chifley	1	210000	1304
Chifley	1	Inf	2210
Cook	0		911
Cook	0	0	364
Cook	0	7875	170
Cook	0	15750	570
Cook	0	21000	984
Cook	0	26250	2033
Cook	0	34125	1175
Cook	0	42000	1089
Cook	0	52500	1187
Cook	0	65625	1289
Cook	0	78750	940
Cook	0	91875	872
Cook	0	105000	634
Cook	0	131250	1051
Cook	0	157500	139
Cook	0	183750	87
Cook	0	210000	476
Cook	0	Inf	79
Cook	1		4205
Cook	1	0	312
Cook	1	7875	150
Cook	1	15750	193
Cook	1	21000	148
Cook	1	26250	647
Cook	1	34125	598
Cook	1	42000	1655
Cook	1	52500	1567
Cook	1	65625	2229
Cook	1	78750	2183
Cook	1	91875	1849
Cook	1	105000	2030
