CED_NAME16	OnlyEnglishSpokenHome	Sex	persons
Casey	0	F	6066
Casey	0	M	5476
Casey	1	F	63043
Casey	1	M	61335
Chisholm	0	F	38994
Chisholm	0	M	35692
Chisholm	1	F	41660
Chisholm	1	M	40529
Corangamite	0	F	4717
Corangamite	0	M	4681
Corangamite	1	F	68934
Corangamite	1	M	66113
Corio	0	F	9375
Corio	0	M	8701
Corio	1	F	62943
Corio	1	M	58565
Deakin	0	F	20124
Deakin	0	M	18379
Deakin	1	F	52744
Deakin	1	M	49591
Dunkley	0	F	6887
Dunkley	0	M	5899
Dunkley	1	F	64376
Dunkley	1	M	60572
Flinders	0	F	4074
Flinders	0	M	3787
Flinders	1	F	69407
Flinders	1	M	66535
Gellibrand	0	F	30668
Gellibrand	0	M	30241
Gellibrand	1	F	47398
Gellibrand	1	M	47204
Gippsland	0	F	3675
Gippsland	0	M	3325
Gippsland	1	F	62829
Gippsland	1	M	60869
Goldstein	0	F	15847
Goldstein	0	M	13599
Goldstein	1	F	57453
Goldstein	1	M	53542
Gorton	0	F	41113
Gorton	0	M	38849
Gorton	1	F	51384
Gorton	1	M	51013
Higgins	0	F	21302
Higgins	0	M	18276
Higgins	1	F	54002
Higgins	1	M	50733
Holt	0	F	42403
Holt	0	M	42133
Holt	1	F	52294
Holt	1	M	52421
Hotham	0	F	35147
Hotham	0	M	33123
Hotham	1	F	38259
Hotham	1	M	37941
Indi	0	F	3385
Indi	0	M	3037
Indi	1	F	62702
Indi	1	M	60738
Isaacs	0	F	23722
Isaacs	0	M	22588
Isaacs	1	F	52961
Isaacs	1	M	51134
Jagajaga	0	F	13793
Jagajaga	0	M	12237
Jagajaga	1	F	55593
Jagajaga	1	M	53341
Kooyong	0	F	22156
Kooyong	0	M	19103
Kooyong	1	F	50231
Kooyong	1	M	46888
La Trobe	0	F	14326
La Trobe	0	M	13265
La Trobe	1	F	61495
La Trobe	1	M	61192
Lalor	0	F	48036
Lalor	0	M	47183
Lalor	1	F	61479
Lalor	1	M	61851
Mallee	0	F	4770
Mallee	0	M	4753
Mallee	1	F	59577
Mallee	1	M	58147
Maribyrnong	0	F	39452
Maribyrnong	0	M	37290
Maribyrnong	1	F	40198
Maribyrnong	1	M	39657
McEwen	0	F	21168
McEwen	0	M	20702
McEwen	1	F	79192
McEwen	1	M	77634
McMillan	0	F	6506
McMillan	0	M	5893
McMillan	1	F	73732
McMillan	1	M	70053
Melbourne	0	F	43787
Melbourne	0	M	36975
Melbourne	1	F	53334
Melbourne	1	M	53513
Melbourne Ports	0	F	21265
Melbourne Ports	0	M	18850
Melbourne Ports	1	F	53248
Melbourne Ports	1	M	51881
Menzies	0	F	27261
Menzies	0	M	24358
Menzies	1	F	40771
Menzies	1	M	39933
Murray	0	F	6211
Murray	0	M	6118
Murray	1	F	61216
Murray	1	M	60007
Scullin	0	F	38561
Scullin	0	M	37441
Scullin	1	F	42268
Scullin	1	M	42023
Wannon	0	F	2023
Wannon	0	M	1847
Wannon	1	F	60347
