CED_NAME16	AgeStudent	students
Banks	0-4	2177
Banks	5-14	16778
Banks	15-19	7922
Banks	20-24	5234
Banks	25+	6298
Barton	0-4	2118
Barton	5-14	15831
Barton	15-19	7536
Barton	20-24	7309
Barton	25+	10192
Bennelong	0-4	2416
Bennelong	5-14	17256
Bennelong	15-19	8539
Bennelong	20-24	8487
Bennelong	25+	9373
Berowra	0-4	2298
Berowra	5-14	19371
Berowra	15-19	9311
Berowra	20-24	4686
Berowra	25+	4480
Blaxland	0-4	2456
Blaxland	5-14	20836
Blaxland	15-19	8981
Blaxland	20-24	6187
Blaxland	25+	8241
Bradfield	0-4	2644
Bradfield	5-14	21836
Bradfield	15-19	10318
Bradfield	20-24	5504
Bradfield	25+	6260
Calare	0-4	2344
Calare	5-14	19340
Calare	15-19	7072
Calare	20-24	2485
Calare	25+	4874
Chifley	0-4	2527
Chifley	5-14	23057
Chifley	15-19	9174
Chifley	20-24	4229
Chifley	25+	5919
Cook	0-4	2162
Cook	5-14	15563
Cook	15-19	6554
Cook	20-24	3151
Cook	25+	3970
Cowper	0-4	2218
Cowper	5-14	17455
Cowper	15-19	6353
Cowper	20-24	1698
Cowper	25+	4597
Cunningham	0-4	2461
Cunningham	5-14	17096
Cunningham	15-19	7884
Cunningham	20-24	6713
Cunningham	25+	7043
Dobell	0-4	2553
Dobell	5-14	18901
Dobell	15-19	6843
Dobell	20-24	2543
Dobell	25+	4514
Eden-Monaro	0-4	1861
Eden-Monaro	5-14	16659
Eden-Monaro	15-19	6029
Eden-Monaro	20-24	1851
Eden-Monaro	25+	4470
Farrer	0-4	2249
Farrer	5-14	18959
Farrer	15-19	6833
Farrer	20-24	1951
Farrer	25+	3990
Fowler	0-4	1791
Fowler	5-14	18298
Fowler	15-19	8961
Fowler	20-24	5289
Fowler	25+	6377
Gilmore	0-4	2038
Gilmore	5-14	15274
Gilmore	15-19	5497
Gilmore	20-24	1518
Gilmore	25+	3612
Grayndler	0-4	2031
Grayndler	5-14	13141
Grayndler	15-19	4387
Grayndler	20-24	4922
Grayndler	25+	9060
Greenway	0-4	3068
Greenway	5-14	23143
Greenway	15-19	8750
Greenway	20-24	4409
Greenway	25+	6285
Hughes	0-4	2785
Hughes	5-14	19127
Hughes	15-19	7748
Hughes	20-24	3516
Hughes	25+	4227
Hume	0-4	2636
Hume	5-14	19773
Hume	15-19	7112
Hume	20-24	2335
Hume	25+	3765
Hunter	0-4	2469
Hunter	5-14	18660
Hunter	15-19	6674
Hunter	20-24	2082
Hunter	25+	4008
Kingsford Smith	0-4	2301
Kingsford Smith	5-14	15546
Kingsford Smith	15-19	8737
Kingsford Smith	20-24	11565
Kingsford Smith	25+	10388
Lindsay	0-4	2919
Lindsay	5-14	21111
Lindsay	15-19	7703
Lindsay	20-24	3198
Lindsay	25+	5155
Lyne	0-4	1938
Lyne	5-14	15456
Lyne	15-19	5724
Lyne	20-24	1263
Lyne	25+	3265
Macarthur	0-4	2650
Macarthur	5-14	21403
Macarthur	15-19	7967
Macarthur	20-24	3537
Macarthur	25+	4937
Mackellar	0-4	2489
Mackellar	5-14	18822
Mackellar	15-19	7372
Mackellar	20-24	3320
Mackellar	25+	4528
Macquarie	0-4	2247
Macquarie	5-14	17377
Macquarie	15-19	6997
Macquarie	20-24	2673
Macquarie	25+	4786
McMahon	0-4	2402
McMahon	5-14	20171
McMahon	15-19	8337
McMahon	20-24	4477
McMahon	25+	6077
Mitchell	0-4	2779
Mitchell	5-14	22268
Mitchell	15-19	9116
Mitchell	20-24	4542
Mitchell	25+	5044
New England	0-4	2357
New England	5-14	18273
New England	15-19	6799
New England	20-24	2642
New England	25+	4445
Newcastle	0-4	2284
Newcastle	5-14	15964
Newcastle	15-19	6779
Newcastle	20-24	6888
Newcastle	25+	7987
North Sydney	0-4	2539
North Sydney	5-14	16414
North Sydney	15-19	6843
North Sydney	20-24	4770
North Sydney	25+	7898
Page	0-4	2142
Page	5-14	17807
Page	15-19	6625
Page	20-24	1764
Page	25+	4695
Parkes	0-4	2587
Parkes	5-14	17949
Parkes	15-19	5311
Parkes	20-24	1379
Parkes	25+	3649
Parramatta	0-4	2670
Parramatta	5-14	19200
Parramatta	15-19	7520
Parramatta	20-24	6254
Parramatta	25+	9780
Paterson	0-4	2485
Paterson	5-14	18965
Paterson	15-19	6489
Paterson	20-24	2137
Paterson	25+	4257
Reid	0-4	2140
Reid	5-14	15343
Reid	15-19	7620
Reid	20-24	9041
Reid	25+	10690
Richmond	0-4	1801
Richmond	5-14	15772
Richmond	15-19	5897
Richmond	20-24	1657
Richmond	25+	4732
Riverina	0-4	2288
Riverina	5-14	19006
Riverina	15-19	6630
Riverina	20-24	2617
Riverina	25+	4261
Robertson	0-4	2134
Robertson	5-14	15812
Robertson	15-19	6275
Robertson	20-24	2533
Robertson	25+	4547
Shortland	0-4	2288
Shortland	5-14	16788
Shortland	15-19	6492
Shortland	20-24	2560
Shortland	25+	3945
Sydney	0-4	1149
Sydney	5-14	6029
Sydney	15-19	6600
Sydney	20-24	16994
Sydney	25+	19702
Warringah	0-4	2477
Warringah	5-14	17698
Warringah	15-19	6396
Warringah	20-24	3353
Warringah	25+	5740
Watson	0-4	2477
Watson	5-14	20421
Watson	15-19	8864
Watson	20-24	6227
Watson	25+	8883
Wentworth	0-4	2174
Wentworth	5-14	12931
Wentworth	15-19	4922
Wentworth	20-24	3713
Wentworth	25+	6919
Werriwa	0-4	2509
Werriwa	5-14	23958
Werriwa	15-19	10240
Werriwa	20-24	4720
Werriwa	25+	5203
Whitlam	0-4	2601
Whitlam	5-14	18450
Whitlam	15-19	7343
Whitlam	20-24	2321
Whitlam	25+	3884
No usual address (NSW)	0-4	43
No usual address (NSW)	5-14	304
No usual address (NSW)	15-19	172
No usual address (NSW)	20-24	283
No usual address (NSW)	25+	430
Migratory - Offshore - Shipping (NSW)	5-14	22
Migratory - Offshore - Shipping (NSW)	15-19	5
Migratory - Offshore - Shipping (NSW)	20-24	3
Migratory - Offshore - Shipping (NSW)	25+	8
Aston	0-4	1593
Aston	5-14	15083
Aston	15-19	7556
Aston	20-24	3969
Aston	25+	4263
Ballarat	0-4	1930
Ballarat	5-14	18234
Ballarat	15-19	7200
Ballarat	20-24	3486
Ballarat	25+	4643
Batman	0-4	1868
Batman	5-14	14513
Batman	15-19	6263
