CED_NAME16	Age	MaxSchoolingCompleted	Sex	adults
Banks	15-19		F	174
Banks	15-19		M	180
Banks	15-19	Did not go to school	F	3
Banks	15-19	Did not go to school	M	6
Banks	15-19	Year 8 or below	F	8
Banks	15-19	Year 8 or below	M	15
Banks	15-19	Year 9	F	33
Banks	15-19	Year 9	M	58
Banks	15-19	Year 10	F	137
Banks	15-19	Year 10	M	263
Banks	15-19	Year 11	F	123
Banks	15-19	Year 11	M	177
Banks	15-19	Year 12	F	1493
Banks	15-19	Year 12	M	1395
Banks	20-24		F	241
Banks	20-24		M	252
Banks	20-24	Did not go to school	F	11
Banks	20-24	Did not go to school	M	19
Banks	20-24	Year 8 or below	F	15
Banks	20-24	Year 8 or below	M	21
Banks	20-24	Year 9	F	35
Banks	20-24	Year 9	M	60
Banks	20-24	Year 10	F	279
Banks	20-24	Year 10	M	442
Banks	20-24	Year 11	F	156
Banks	20-24	Year 11	M	231
Banks	20-24	Year 12	F	4384
Banks	20-24	Year 12	M	4511
Banks	25-34		F	604
Banks	25-34		M	609
Banks	25-34	Did not go to school	F	81
Banks	25-34	Did not go to school	M	80
Banks	25-34	Year 8 or below	F	53
Banks	25-34	Year 8 or below	M	72
Banks	25-34	Year 9	F	120
Banks	25-34	Year 9	M	147
Banks	25-34	Year 10	F	702
Banks	25-34	Year 10	M	1014
Banks	25-34	Year 11	F	326
Banks	25-34	Year 11	M	417
Banks	25-34	Year 12	F	9776
Banks	25-34	Year 12	M	8969
Banks	35-44		F	455
Banks	35-44		M	452
Banks	35-44	Did not go to school	F	58
Banks	35-44	Did not go to school	M	56
Banks	35-44	Year 8 or below	F	111
Banks	35-44	Year 8 or below	M	106
Banks	35-44	Year 9	F	164
Banks	35-44	Year 9	M	201
Banks	35-44	Year 10	F	1070
Banks	35-44	Year 10	M	1275
Banks	35-44	Year 11	F	369
Banks	35-44	Year 11	M	431
Banks	35-44	Year 12	F	8556
Banks	35-44	Year 12	M	7342
Banks	45-54		F	531
Banks	45-54		M	494
Banks	45-54	Did not go to school	F	132
Banks	45-54	Did not go to school	M	102
Banks	45-54	Year 8 or below	F	246
Banks	45-54	Year 8 or below	M	236
Banks	45-54	Year 9	F	301
Banks	45-54	Year 9	M	312
Banks	45-54	Year 10	F	2408
Banks	45-54	Year 10	M	2353
Banks	45-54	Year 11	F	456
Banks	45-54	Year 11	M	456
Banks	45-54	Year 12	F	6745
Banks	45-54	Year 12	M	5991
Banks	55-64		F	532
Banks	55-64		M	509
Banks	55-64	Did not go to school	F	235
Banks	55-64	Did not go to school	M	160
Banks	55-64	Year 8 or below	F	608
Banks	55-64	Year 8 or below	M	507
Banks	55-64	Year 9	F	511
Banks	55-64	Year 9	M	404
Banks	55-64	Year 10	F	2692
Banks	55-64	Year 10	M	2195
Banks	55-64	Year 11	F	334
Banks	55-64	Year 11	M	348
Banks	55-64	Year 12	F	4769
Banks	55-64	Year 12	M	4852
Banks	65-74		F	531
Banks	65-74		M	460
Banks	65-74	Did not go to school	F	203
Banks	65-74	Did not go to school	M	123
Banks	65-74	Year 8 or below	F	821
Banks	65-74	Year 8 or below	M	603
Banks	65-74	Year 9	F	803
Banks	65-74	Year 9	M	643
Banks	65-74	Year 10	F	1959
Banks	65-74	Year 10	M	1426
Banks	65-74	Year 11	F	184
Banks	65-74	Year 11	M	227
Banks	65-74	Year 12	F	2092
Banks	65-74	Year 12	M	2579
Banks	75-84		F	493
Banks	75-84		M	386
Banks	75-84	Did not go to school	F	242
Banks	75-84	Did not go to school	M	126
Banks	75-84	Year 8 or below	F	801
Banks	75-84	Year 8 or below	M	594
Banks	75-84	Year 9	F	702
Banks	75-84	Year 9	M	431
Banks	75-84	Year 10	F	1278
Banks	75-84	Year 10	M	880
Banks	75-84	Year 11	F	107
Banks	75-84	Year 11	M	114
Banks	75-84	Year 12	F	920
Banks	75-84	Year 12	M	1058
Banks	85+		F	447
Banks	85+		M	239
Banks	85+	Did not go to school	F	113
Banks	85+	Did not go to school	M	50
Banks	85+	Year 8 or below	F	619
Banks	85+	Year 8 or below	M	305
Banks	85+	Year 9	F	536
Banks	85+	Year 9	M	220
Banks	85+	Year 10	F	612
Banks	85+	Year 10	M	316
Banks	85+	Year 11	F	61
Banks	85+	Year 11	M	43
Banks	85+	Year 12	F	351
Banks	85+	Year 12	M	335
Barton	15-19		F	191
Barton	15-19		M	225
Barton	15-19	Did not go to school	F	3
Barton	15-19	Did not go to school	M	6
Barton	15-19	Year 8 or below	F	5
Barton	15-19	Year 8 or below	M	6
Barton	15-19	Year 9	F	30
Barton	15-19	Year 9	M	49
Barton	15-19	Year 10	F	148
Barton	15-19	Year 10	M	229
Barton	15-19	Year 11	F	129
Barton	15-19	Year 11	M	182
Barton	15-19	Year 12	F	1545
Barton	15-19	Year 12	M	1550
Barton	20-24		F	429
Barton	20-24		M	468
Barton	20-24	Did not go to school	F	23
Barton	20-24	Did not go to school	M	20
Barton	20-24	Year 8 or below	F	17
Barton	20-24	Year 8 or below	M	29
Barton	20-24	Year 9	F	44
Barton	20-24	Year 9	M	60
Barton	20-24	Year 10	F	271
Barton	20-24	Year 10	M	404
Barton	20-24	Year 11	F	185
Barton	20-24	Year 11	M	241
Barton	20-24	Year 12	F	5735
Barton	20-24	Year 12	M	5683
Barton	25-34		F	1153
Barton	25-34		M	1206
Barton	25-34	Did not go to school	F	100
Barton	25-34	Did not go to school	M	117
Barton	25-34	Year 8 or below	F	76
Barton	25-34	Year 8 or below	M	113
Barton	25-34	Year 9	F	128
Barton	25-34	Year 9	M	162
Barton	25-34	Year 10	F	814
Barton	25-34	Year 10	M	1139
Barton	25-34	Year 11	F	454
Barton	25-34	Year 11	M	575
Barton	25-34	Year 12	F	14645
