CED_NAME16	CountryOfBirth	YearOfArrival.max	persons_born_overseas
Banks			311
Banks		1946	14
Banks		1955	201
Banks		1965	260
Banks		1975	1087
Banks		1985	842
Banks		1995	1489
Banks		2005	1684
Banks		2010	1964
Banks		2011	248
Banks		2012	356
Banks		2013	516
Banks		2014	657
Banks		2015	692
Banks		2016	571
Banks	CAN	1955	4
Banks	CAN	1965	8
Banks	CAN	1975	18
Banks	CAN	1985	24
Banks	CAN	1995	27
Banks	CAN	2005	39
Banks	CAN	2010	19
Banks	CAN	2011	4
Banks	CAN	2013	11
Banks	CAN	2014	4
Banks	CAN	2015	3
Banks	CAN	2016	4
Banks	CHN		622
Banks	CHN	1946	11
Banks	CHN	1955	27
Banks	CHN	1965	90
Banks	CHN	1975	109
Banks	CHN	1985	400
Banks	CHN	1995	3392
Banks	CHN	2005	4972
Banks	CHN	2010	3551
Banks	CHN	2011	596
Banks	CHN	2012	624
Banks	CHN	2013	704
Banks	CHN	2014	829
Banks	CHN	2015	774
Banks	CHN	2016	411
Banks	DEU		8
Banks	DEU	1955	102
Banks	DEU	1965	52
Banks	DEU	1975	44
Banks	DEU	1985	35
Banks	DEU	1995	25
Banks	DEU	2005	47
Banks	DEU	2010	26
Banks	DEU	2012	7
Banks	DEU	2013	14
Banks	DEU	2014	10
Banks	DEU	2015	10
Banks	DEU	2016	3
Banks	EGY		27
Banks	EGY	1946	3
Banks	EGY	1955	69
Banks	EGY	1965	123
Banks	EGY	1975	281
Banks	EGY	1985	104
Banks	EGY	1995	346
Banks	EGY	2005	207
Banks	EGY	2010	167
Banks	EGY	2011	32
Banks	EGY	2012	39
Banks	EGY	2013	37
Banks	EGY	2014	33
Banks	EGY	2015	31
Banks	EGY	2016	14
Banks	FJI		28
Banks	FJI	1965	12
Banks	FJI	1975	36
Banks	FJI	1985	112
Banks	FJI	1995	299
Banks	FJI	2005	170
Banks	FJI	2010	72
Banks	FJI	2011	7
Banks	FJI	2012	6
Banks	FJI	2013	15
Banks	FJI	2014	15
Banks	FJI	2015	14
Banks	FJI	2016	4
Banks	GBR		104
Banks	GBR	1946	25
Banks	GBR	1955	262
Banks	GBR	1965	459
Banks	GBR	1975	669
Banks	GBR	1985	314
Banks	GBR	1995	254
Banks	GBR	2005	292
Banks	GBR	2010	189
Banks	GBR	2011	51
Banks	GBR	2012	47
Banks	GBR	2013	48
Banks	GBR	2014	36
Banks	GBR	2015	28
Banks	GBR	2016	14
Banks	GRC		59
Banks	GRC	1946	3
Banks	GRC	1955	128
Banks	GRC	1965	701
Banks	GRC	1975	566
Banks	GRC	1985	73
Banks	GRC	1995	68
Banks	GRC	2005	50
Banks	GRC	2010	15
Banks	GRC	2011	29
Banks	GRC	2012	36
Banks	GRC	2013	28
Banks	GRC	2014	11
Banks	GRC	2015	8
Banks	GRC	2016	3
Banks	HKG		63
Banks	HKG	1955	5
Banks	HKG	1965	20
Banks	HKG	1975	112
Banks	HKG	1985	475
Banks	HKG	1995	1227
Banks	HKG	2005	603
Banks	HKG	2010	188
Banks	HKG	2011	27
Banks	HKG	2012	39
Banks	HKG	2013	50
Banks	HKG	2014	56
Banks	HKG	2015	36
Banks	HKG	2016	33
Banks	HRV		18
Banks	HRV	1955	7
Banks	HRV	1965	133
Banks	HRV	1975	301
Banks	HRV	1985	26
Banks	HRV	1995	58
Banks	HRV	2005	41
Banks	HRV	2010	8
Banks	HRV	2014	7
Banks	IDN		32
Banks	IDN	1955	3
Banks	IDN	1965	3
Banks	IDN	1975	38
Banks	IDN	1985	129
Banks	IDN	1995	276
Banks	IDN	2005	611
Banks	IDN	2010	276
Banks	IDN	2011	38
Banks	IDN	2012	26
Banks	IDN	2013	40
Banks	IDN	2014	28
Banks	IDN	2015	35
Banks	IDN	2016	12
Banks	IND		44
Banks	IND	1955	15
Banks	IND	1965	10
Banks	IND	1975	88
Banks	IND	1985	108
Banks	IND	1995	329
Banks	IND	2005	509
Banks	IND	2010	490
Banks	IND	2011	68
Banks	IND	2012	59
Banks	IND	2013	71
Banks	IND	2014	113
Banks	IND	2015	134
Banks	IND	2016	62
Banks	IRL		7
Banks	IRL	1946	5
Banks	IRL	1955	11
