CED_NAME16	Age5yr	Indigenous	Sex	persons
Banks	0-4		F	158
Banks	0-4		M	175
Banks	0-4	0	F	4366
Banks	0-4	0	M	4621
Banks	0-4	1	F	64
Banks	0-4	1	M	60
Banks	5-9		F	185
Banks	5-9		M	161
Banks	5-9	0	F	4329
Banks	5-9	0	M	4440
Banks	5-9	1	F	81
Banks	5-9	1	M	49
Banks	10-14		F	134
Banks	10-14		M	176
Banks	10-14	0	F	3968
Banks	10-14	0	M	4315
Banks	10-14	1	F	62
Banks	10-14	1	M	61
Banks	15-19		F	156
Banks	15-19		M	176
Banks	15-19	0	F	4384
Banks	15-19	0	M	4603
Banks	15-19	1	F	52
Banks	15-19	1	M	52
Banks	20-24		F	203
Banks	20-24		M	194
Banks	20-24	0	F	4879
Banks	20-24	0	M	5299
Banks	20-24	1	F	58
Banks	20-24	1	M	55
Banks	25-29		F	249
Banks	25-29		M	226
Banks	25-29	0	F	5587
Banks	25-29	0	M	5398
Banks	25-29	1	F	42
Banks	25-29	1	M	51
Banks	30-34		F	248
Banks	30-34		M	254
Banks	30-34	0	F	5514
Banks	30-34	0	M	5363
Banks	30-34	1	F	47
Banks	30-34	1	M	31
Banks	35-39		F	196
Banks	35-39		M	203
Banks	35-39	0	F	5124
Banks	35-39	0	M	4698
Banks	35-39	1	F	36
Banks	35-39	1	M	37
Banks	40-44		F	195
Banks	40-44		M	195
Banks	40-44	0	F	5215
Banks	40-44	0	M	4714
Banks	40-44	1	F	46
Banks	40-44	1	M	25
Banks	45-49		F	202
Banks	45-49		M	192
Banks	45-49	0	F	5115
Banks	45-49	0	M	4619
Banks	45-49	1	F	39
Banks	45-49	1	M	33
Banks	50-54		F	222
Banks	50-54		M	202
Banks	50-54	0	F	5222
Banks	50-54	0	M	4867
Banks	50-54	1	F	47
Banks	50-54	1	M	49
Banks	55-59		F	210
Banks	55-59		M	207
Banks	55-59	0	F	4997
Banks	55-59	0	M	4661
Banks	55-59	1	F	38
Banks	55-59	1	M	33
Banks	60-64		F	172
Banks	60-64		M	167
Banks	60-64	0	F	4270
Banks	60-64	0	M	3898
Banks	60-64	1	F	28
Banks	60-64	1	M	23
Banks	65+		F	634
Banks	65+		M	528
Banks	65+	0	F	13224
Banks	65+	0	M	10625
Banks	65+	1	F	51
Banks	65+	1	M	40
Barton	0-4		F	211
Barton	0-4		M	259
Barton	0-4	0	F	4694
Barton	0-4	0	M	5025
Barton	0-4	1	F	67
Barton	0-4	1	M	59
Barton	5-9		F	224
Barton	5-9		M	218
Barton	5-9	0	F	4188
Barton	5-9	0	M	4415
Barton	5-9	1	F	45
Barton	5-9	1	M	56
Barton	10-14		F	172
Barton	10-14		M	208
Barton	10-14	0	F	3585
Barton	10-14	0	M	4057
Barton	10-14	1	F	48
Barton	10-14	1	M	46
Barton	15-19		F	195
Barton	15-19		M	224
Barton	15-19	0	F	4188
Barton	15-19	0	M	4345
Barton	15-19	1	F	49
Barton	15-19	1	M	44
Barton	20-24		F	360
Barton	20-24		M	391
Barton	20-24	0	F	6305
Barton	20-24	0	M	6473
Barton	20-24	1	F	65
Barton	20-24	1	M	71
Barton	25-29		F	551
Barton	25-29		M	538
Barton	25-29	0	F	8509
Barton	25-29	0	M	8476
Barton	25-29	1	F	71
Barton	25-29	1	M	60
Barton	30-34		F	422
Barton	30-34		M	472
Barton	30-34	0	F	7821
Barton	30-34	0	M	7986
Barton	30-34	1	F	45
Barton	30-34	1	M	35
Barton	35-39		F	328
Barton	35-39		M	385
Barton	35-39	0	F	5964
Barton	35-39	0	M	6259
Barton	35-39	1	F	30
Barton	35-39	1	M	28
