CED_NAME16	medianTotalFamilyIncome
Banks	95524
Barton	89960
Bennelong	109408
Berowra	127920
Blaxland	66820
Bradfield	140712
Calare	79612
Chifley	81900
Cook	115180
Cowper	65364
Cunningham	93652
Dobell	80184
Eden-Monaro	90636
Farrer	74984
Fowler	66300
Gilmore	66456
Grayndler	134784
Greenway	106704
Hughes	119600
Hume	98852
Hunter	80444
Kingsford Smith	116220
Lindsay	95472
Lyne	62556
Macarthur	88868
Mackellar	123448
Macquarie	98228
McMahon	78468
Mitchell	124800
New England	70876
Newcastle	94640
North Sydney	155896
Page	64636
Parkes	73840
Parramatta	89700
Paterson	76960
Reid	109616
Richmond	70876
Riverina	74724
Robertson	86736
Shortland	81796
Sydney	129896
Warringah	155428
Watson	72332
Wentworth	168012
Werriwa	85020
Whitlam	80860
No usual address (NSW)	
Migratory - Offshore - Shipping (NSW)	
Aston	95160
Ballarat	78364
Batman	94380
Bendigo	76440
Bruce	75972
Calwell	74256
Casey	90012
Chisholm	95264
Corangamite	89440
Corio	75816
Deakin	98540
Dunkley	88192
Flinders	78832
Gellibrand	95732
Gippsland	70252
Goldstein	134784
Gorton	82472
Higgins	133744
Holt	80080
Hotham	86944
Indi	73788
Isaacs	94016
Jagajaga	110812
Kooyong	135096
La Trobe	99944
Lalor	88244
Mallee	68016
Maribyrnong	84760
McEwen	92768
McMillan	74204
Melbourne	112788
Melbourne Ports	130780
Menzies	101556
Murray	70148
Scullin	81484
Wannon	69940
Wills	96824
No usual address (Vic.)	
Migratory - Offshore - Shipping (Vic.)	
Blair	77064
Bonner	106600
Bowman	94380
Brisbane	128232
Capricornia	90116
Dawson	88556
Dickson	101192
Fadden	85384
Fairfax	78988
Fisher	76232
Flynn	86996
Forde	84136
Griffith	122824
Groom	82420
Herbert	86476
Hinkler	59436
Kennedy	73268
Leichhardt	80704
Lilley	103688
Longman	74360
Maranoa	69264
McPherson	86164
Moncrieff	80028
Moreton	94276
Oxley	88712
Petrie	86216
Rankin	79508
Ryan	122668
Wide Bay	63180
Wright	85332
No usual address (Qld)	
Migratory - Offshore - Shipping (Qld)	
Adelaide	99736
Barker	69368
Boothby	96460
Grey	67444
Hindmarsh	88348
Kingston	73424
Makin	80912
Mayo	80080
Port Adelaide	71136
Sturt	91000
Wakefield	68640
No usual address (SA)	
Migratory - Offshore - Shipping (SA)	
Brand	92300
Burt	89752
Canning	84552
Cowan	93236
Curtin	144664
Durack	102648
Forrest	85592
Fremantle	108004
Hasluck	93860
Moore	117676
O'Connor	85384
Pearce	96564
Perth	111332
Stirling	96044
Swan	98644
Tangney	112112
No usual address (WA)	
Migratory - Offshore - Shipping (WA)	
Bass	71344
Braddon	66352
Denison	84344
Franklin	81744
Lyons	63856
No usual address (Tas.)	
Migratory - Offshore - Shipping (Tas.)	
Lingiari	84968
Solomon	123812
No usual address (NT)	
Migratory - Offshore - Shipping (NT)	
Canberra	129896
Fenner	123968
No usual address (ACT)	
Migratory - Offshore - Shipping (ACT)	
No usual address (OT)	
Migratory - Offshore - Shipping (OT)	
