CED_NAME16	BornAust	persons
Banks	0	60637
Banks	1	87776
Barton	0	84998
Barton	1	76742
Bennelong	0	80491
Bennelong	1	81526
Berowra	0	46976
Berowra	1	93056
Blaxland	0	86509
Blaxland	1	76707
Bradfield	0	68457
Bradfield	1	85548
Calare	0	13335
Calare	1	133380
Chifley	0	70419
Chifley	1	89846
Cook	0	30702
Cook	1	100833
Cowper	0	18560
Cowper	1	127858
Cunningham	0	34737
Cunningham	1	111463
Dobell	0	20217
Dobell	1	123559
Eden-Monaro	0	19972
Eden-Monaro	1	114864
Farrer	0	16215
Farrer	1	131888
Fowler	0	87105
Fowler	1	65670
Gilmore	0	19696
Gilmore	1	118585
Grayndler	0	49480
Grayndler	1	88299
Greenway	0	69511
Greenway	1	92773
Hughes	0	28969
Hughes	1	110189
Hume	0	18573
Hume	1	122813
Hunter	0	14039
Hunter	1	132545
Kingsford Smith	0	74958
Kingsford Smith	1	87960
Lindsay	0	35156
Lindsay	1	121261
Lyne	0	12675
Lyne	1	121087
Macarthur	0	45029
Macarthur	1	106826
Mackellar	0	39510
Mackellar	1	101567
Macquarie	0	20874
Macquarie	1	112533
McMahon	0	71577
McMahon	1	84486
Mitchell	0	55059
Mitchell	1	93824
New England	0	11851
New England	1	127797
Newcastle	0	21483
Newcastle	1	124285
North Sydney	0	62439
North Sydney	1	89533
Page	0	14246
Page	1	131224
Parkes	0	8530
Parkes	1	128536
Parramatta	0	99602
Parramatta	1	74254
Paterson	0	14198
Paterson	1	130811
Reid	0	90141
Reid	1	79306
Richmond	0	22455
Richmond	1	116175
Riverina	0	10935
Riverina	1	131789
Robertson	0	24599
Robertson	1	109472
Shortland	0	14236
Shortland	1	123000
Sydney	0	96500
Sydney	1	78540
Warringah	0	48270
Warringah	1	90021
Watson	0	86140
Watson	1	77605
Wentworth	0	51845
Wentworth	1	79363
Werriwa	0	70918
Werriwa	1	88229
Whitlam	0	26501
Whitlam	1	116546
No usual address (NSW)	0	3012
No usual address (NSW)	1	7028
Migratory - Offshore - Shipping (NSW)	0	142
Migratory - Offshore - Shipping (NSW)	1	232
Aston	0	43023
Aston	1	87323
Ballarat	0	16031
Ballarat	1	127204
Batman	0	53408
Batman	1	96446
Bendigo	0	13731
Bendigo	1	124629
Bruce	0	84691
Bruce	1	63164
Calwell	0	64053
Calwell	1	90025
Casey	0	23775
Casey	1	110869
Chisholm	0	74980
Chisholm	1	81169
Corangamite	0	19263
Corangamite	1	124062
Corio	0	25763
Corio	1	113114
Deakin	0	44379
Deakin	1	95876
Dunkley	0	30758
Dunkley	1	105691
Flinders	0	23813
Flinders	1	118160
Gellibrand	0	59421
Gellibrand	1	94764
Gippsland	0	16204
Gippsland	1	113472
Goldstein	0	43431
Goldstein	1	96516
Gorton	0	69640
Gorton	1	112112
Higgins	0	50115
Higgins	1	93636
Holt	0	85932
Holt	1	101864
Hotham	0	64962
Hotham	1	78533
Indi	0	13565
Indi	1	114836
Isaacs	0	53005
Isaacs	1	96621
Jagajaga	0	30664
Jagajaga	1	103632
Kooyong	0	46384
Kooyong	1	91732
La Trobe	0	39393
La Trobe	1	109922
Lalor	0	96373
Lalor	1	122323
Mallee	0	12233
Mallee	1	113099
Maribyrnong	0	65684
Maribyrnong	1	89307
McEwen	0	44049
McEwen	1	152911
McMillan	0	24533
McMillan	1	129787
Melbourne	0	92999
Melbourne	1	93645
Melbourne Ports	0	57201
Melbourne Ports	1	87490
Menzies	0	50120
Menzies	1	81558
Murray	0	15996
Murray	1	115842
Scullin	0	61224
Scullin	1	96855
Wannon	0	10614
Wannon	1	111568
Wills	0	56817
Wills	1	101337
No usual address (Vic.)	0	2011
No usual address (Vic.)	1	4389
Migratory - Offshore - Shipping (Vic.)	0	6
Migratory - Offshore - Shipping (Vic.)	1	17
Blair	0	23044
Blair	1	121612
Bonner	0	41274
Bonner	1	101083
Bowman	0	33203
Bowman	1	106607
Brisbane	0	45871
Brisbane	1	104256
Capricornia	0	14361
Capricornia	1	121770
Dawson	0	21057
Dawson	1	121341
Dickson	0	27247
Dickson	1	112439
Fadden	0	50918
Fadden	1	105695
Fairfax	0	30258
Fairfax	1	113569
Fisher	0	27142
Fisher	1	103988
Flynn	0	17621
Flynn	1	122759
Forde	0	42842
Forde	1	111921
Griffith	0	43104
Griffith	1	103835
Groom	0	17697
Groom	1	120656
Herbert	0	21730
Herbert	1	125653
Hinkler	0	20075
Hinkler	1	110694
Kennedy	0	18543
Kennedy	1	120837
Leichhardt	0	35817
Leichhardt	1	122180
Lilley	0	36391
Lilley	1	110499
Longman	0	27095
Longman	1	122149
Maranoa	0	12230
Maranoa	1	122812
McPherson	0	37376
McPherson	1	103676
Moncrieff	0	49837
Moncrieff	1	95635
Moreton	0	63534
Moreton	1	85988
Oxley	0	56553
Oxley	1	96442
Petrie	0	41261
Petrie	1	111959
Rankin	0	65402
Rankin	1	102202
Ryan	0	44471
Ryan	1	103925
Wide Bay	0	20413
Wide Bay	1	112107
Wright	0	26299
Wright	1	118095
No usual address (Qld)	0	3157
