CED_NAME16	CoupleFamily	HasChild	IncomeFamily.max	families
Banks				15
Banks			0	30
Banks			7875	8
Banks			15750	16
Banks			21000	8
Banks			26250	30
Banks			34125	23
Banks			42000	54
Banks			52500	88
Banks			65625	98
Banks			78750	96
Banks			91875	59
Banks			105000	64
Banks			131250	128
Banks			157500	65
Banks			183750	23
Banks			210000	20
Banks			Inf	18
Banks	0			719
Banks	0		0	178
Banks	0		7875	72
Banks	0		15750	193
Banks	0		21000	187
Banks	0		26250	299
Banks	0		34125	488
Banks	0		42000	589
Banks	0		52500	672
Banks	0		65625	711
Banks	0		78750	523
Banks	0		91875	435
Banks	0		105000	386
Banks	0		131250	607
Banks	0		157500	296
Banks	0		183750	138
Banks	0		210000	119
Banks	0		Inf	142
Banks	1	0		3388
Banks	1	0	0	593
Banks	1	0	7875	185
Banks	1	0	15750	148
Banks	1	0	21000	92
Banks	1	0	26250	656
Banks	1	0	34125	348
Banks	1	0	42000	1654
Banks	1	0	52500	1557
Banks	1	0	65625	2316
Banks	1	0	78750	2378
Banks	1	0	91875	2044
Banks	1	0	105000	2098
Banks	1	0	131250	4621
Banks	1	0	157500	3297
Banks	1	0	183750	2299
Banks	1	0	210000	1642
Banks	1	0	Inf	3807
Banks	1	1	7875	30
Banks	1	1	15750	80
Banks	1	1	21000	62
Banks	1	1	26250	161
Banks	1	1	34125	320
Banks	1	1	42000	493
Barton				15
Barton			0	36
Barton			7875	14
Barton			15750	31
Barton			21000	12
Barton			26250	34
Barton			34125	40
Barton			42000	62
Barton			52500	93
Barton			65625	140
Barton			78750	123
Barton			91875	73
Barton			105000	78
Barton			131250	121
Barton			157500	76
Barton			183750	44
Barton			210000	23
Barton			Inf	39
Barton	0			708
Barton	0		0	243
Barton	0		7875	76
Barton	0		15750	211
Barton	0		21000	181
Barton	0		26250	318
Barton	0		34125	431
Barton	0		42000	563
Barton	0		52500	633
Barton	0		65625	712
Barton	0		78750	586
Barton	0		91875	496
Barton	0		105000	409
Barton	0		131250	560
Barton	0		157500	299
Barton	0		183750	112
Barton	0		210000	120
Barton	0		Inf	131
Barton	1	0		3625
Barton	1	0	0	786
Barton	1	0	7875	248
Barton	1	0	15750	159
Barton	1	0	21000	136
Barton	1	0	26250	808
Barton	1	0	34125	376
Barton	1	0	42000	1895
Barton	1	0	52500	1912
Barton	1	0	65625	2570
Barton	1	0	78750	2747
Barton	1	0	91875	2257
Barton	1	0	105000	2308
