CED_NAME16	PrivateDwelling	Sex	persons
Banks	0	F	3449
Banks	0	M	2914
Banks	1	F	75965
Banks	1	M	72179
Barton	0	F	6055
Barton	0	M	5770
Barton	1	F	81206
Barton	1	M	79963
Bennelong	0	F	4953
Bennelong	0	M	4657
Bennelong	1	F	81509
Bennelong	1	M	77479
Berowra	0	F	3086
Berowra	0	M	2429
Berowra	1	F	70049
Berowra	1	M	67722
Blaxland	0	F	5370
Blaxland	0	M	5613
Blaxland	1	F	80049
Blaxland	1	M	83441
Bradfield	0	F	4773
Bradfield	0	M	3460
Bradfield	1	F	78157
Bradfield	1	M	72600
Calare	0	F	8175
Calare	0	M	10308
Calare	1	F	71885
Calare	1	M	69873
Chifley	0	F	4669
Chifley	0	M	4385
Chifley	1	F	81814
Chifley	1	M	79976
Cook	0	F	3916
Cook	0	M	3365
Cook	1	F	66947
Cook	1	M	63250
Cowper	0	F	8890
Cowper	0	M	8768
Cowper	1	F	74644
Cowper	1	M	69468
Cunningham	0	F	5614
Cunningham	0	M	5566
Cunningham	1	F	72327
Cunningham	1	M	70555
Dobell	0	F	5217
Dobell	0	M	4599
Dobell	1	F	73496
Dobell	1	M	68830
Eden-Monaro	0	F	12307
Eden-Monaro	0	M	14966
Eden-Monaro	1	F	66391
Eden-Monaro	1	M	65677
Farrer	0	F	9102
Farrer	0	M	9863
Farrer	1	F	73065
Farrer	1	M	71555
Fowler	0	F	5671
Fowler	0	M	5283
Fowler	1	F	77741
Fowler	1	M	75677
Gilmore	0	F	6328
Gilmore	0	M	7105
Gilmore	1	F	68733
Gilmore	1	M	65807
Grayndler	0	F	6449
Grayndler	0	M	7047
Grayndler	1	F	69174
Grayndler	1	M	64785
Greenway	0	F	3292
Greenway	0	M	4104
Greenway	1	F	80948
Greenway	1	M	80664
Hughes	0	F	2789
Hughes	0	M	2897
Hughes	1	F	69642
Hughes	1	M	67268
Hume	0	F	4551
Hume	0	M	5145
Hume	1	F	70587
Hume	1	M	68958
Hunter	0	F	5622
Hunter	0	M	6992
Hunter	1	F	72546
Hunter	1	M	70218
Kingsford Smith	0	F	8754
Kingsford Smith	0	M	10982
Kingsford Smith	1	F	80655
Kingsford Smith	1	M	76750
Lindsay	0	F	5299
Lindsay	0	M	5495
Lindsay	1	F	78764
Lindsay	1	M	76288
Lyne	0	F	5891
Lyne	0	M	5709
Lyne	1	F	67757
Lyne	1	M	64739
Macarthur	0	F	4220
Macarthur	0	M	4270
Macarthur	1	F	77816
Macarthur	1	M	75269
Mackellar	0	F	4394
Mackellar	0	M	3615
Mackellar	1	F	70486
Mackellar	1	M	67294
Macquarie	0	F	4783
Macquarie	0	M	4626
Macquarie	1	F	67021
Macquarie	1	M	63787
McMahon	0	F	3855
McMahon	0	M	3772
McMahon	1	F	79173
McMahon	1	M	78130
Mitchell	0	F	2412
Mitchell	0	M	2103
Mitchell	1	F	75470
Mitchell	1	M	72351
New England	0	F	8832
New England	0	M	9073
New England	1	F	69532
New England	1	M	66196
Newcastle	0	F	5708
Newcastle	0	M	5689
Newcastle	1	F	71398
Newcastle	1	M	69178
North Sydney	0	F	7027
North Sydney	0	M	7118
North Sydney	1	F	76739
North Sydney	1	M	70520
Page	0	F	8242
Page	0	M	8526
Page	1	F	73402
Page	1	M	70931
Parkes	0	F	10064
Parkes	0	M	11599
Parkes	1	F	68151
Parkes	1	M	66934
Parramatta	0	F	7698
Parramatta	0	M	8489
Parramatta	1	F	85107
Parramatta	1	M	87256
Paterson	0	F	5187
Paterson	0	M	5156
Paterson	1	F	73311
Paterson	1	M	70232
Reid	0	F	6942
Reid	0	M	8144
Reid	1	F	84557
Reid	1	M	81067
Richmond	0	F	9674
Richmond	0	M	9096
Richmond	1	F	71500
Richmond	1	M	66177
Riverina	0	F	7743
Riverina	0	M	9403
Riverina	1	F	70404
Riverina	1	M	67950
Robertson	0	F	4495
Robertson	0	M	4133
Robertson	1	F	68624
Robertson	1	M	64282
Shortland	0	F	2984
Shortland	0	M	2597
Shortland	1	F	69743
Shortland	1	M	66369
Sydney	0	F	21729
Sydney	0	M	29783
Sydney	1	F	81315
Sydney	1	M	84835
Warringah	0	F	5176
Warringah	0	M	4661
Warringah	1	F	70097
Warringah	1	M	65087
Watson	0	F	5137
Watson	0	M	4956
Watson	1	F	81683
Watson	1	M	82272
Wentworth	0	F	9286
Wentworth	0	M	8361
Wentworth	1	F	66382
Wentworth	1	M	60801
Werriwa	0	F	4561
Werriwa	0	M	4292
Werriwa	1	F	81825
Werriwa	1	M	79812
Whitlam	0	F	4671
Whitlam	0	M	3899
Whitlam	1	F	72790
Whitlam	1	M	68880
Migratory - Offshore - Shipping (NSW)	0	F	1860
Migratory - Offshore - Shipping (NSW)	0	M	1415
Aston	0	F	2944
Aston	0	M	2421
Aston	1	F	65940
Aston	1	M	63088
Ballarat	0	F	6308
Ballarat	0	M	5742
Ballarat	1	F	72120
Ballarat	1	M	67942
Batman	0	F	6727
Batman	0	M	6079
Batman	1	F	76080
Batman	1	M	71532
Bendigo	0	F	6320
Bendigo	0	M	6305
Bendigo	1	F	69597
Bendigo	1	M	65852
Bruce	0	F	5030
Bruce	0	M	5044
Bruce	1	F	72651
Bruce	1	M	73687
Calwell	0	F	4673
Calwell	0	M	4824
Calwell	1	F	78069
Calwell	1	M	77756
Casey	0	F	3468
Casey	0	M	3219
Casey	1	F	67664
Casey	1	M	65437
Chisholm	0	F	6733
Chisholm	0	M	6050
Chisholm	1	F	77539
Chisholm	1	M	73608
Corangamite	0	F	5722
Corangamite	0	M	4881
Corangamite	1	F	70241
Corangamite	1	M	67778
Corio	0	F	5728
Corio	0	M	6215
Corio	1	F	70164
Corio	1	M	65387
Deakin	0	F	4054
Deakin	0	M	3062
Deakin	1	F	70929
Deakin	1	M	66482
Dunkley	0	F	5223
Dunkley	0	M	4502
Dunkley	1	F	69356
Dunkley	1	M	64886
Flinders	0	F	5923
Flinders	0	M	5859
Flinders	1	F	70663
Flinders	1	M	67039
Gellibrand	0	F	5430
Gellibrand	0	M	5331
Gellibrand	1	F	77078
Gellibrand	1	M	76648
Gippsland	0	F	6744
Gippsland	0	M	7274
Gippsland	1	F	64035
Gippsland	1	M	61603
Goldstein	0	F	4553
Goldstein	0	M	3467
