SA2_MAINCODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
101021007,..,442,442,556,27,587,180,0,180,153,0,153,64,0,64,36,0,36,984,471,1453
101021008,..,713,713,861,66,924,500,7,513,502,3,509,218,0,218,88,0,88,2175,793,2963
101021009,..,1930,1930,1266,142,1406,596,27,620,420,0,420,174,3,176,71,0,70,2525,2100,4621
101021010,..,795,795,534,57,599,298,3,305,229,0,229,70,0,70,36,0,36,1177,856,2030
101021011,..,715,715,1783,54,1835,898,13,907,1081,0,1084,493,0,493,210,0,210,4469,780,5243
101021012,..,675,675,1119,58,1171,739,13,753,966,0,968,430,0,430,133,0,133,3394,748,4145
101031013,..,320,320,326,19,347,122,4,123,95,0,95,42,0,42,18,0,18,607,347,949
101031014,..,937,937,926,68,994,341,8,349,252,3,257,109,0,109,50,0,47,1687,1018,2707
101031015,..,318,318,496,17,514,137,4,142,149,0,149,70,0,70,34,0,34,881,339,1218
101031016,..,664,664,755,85,843,307,26,336,356,10,366,137,7,138,31,4,42,1588,798,2380
101041017,..,981,981,1183,65,1242,327,9,343,259,0,263,138,0,134,81,0,81,1989,1058,3055
101041018,..,969,969,1417,78,1492,358,10,362,298,0,299,121,0,127,72,0,72,2261,1058,3314
101041019,..,1011,1011,1117,64,1177,432,0,435,375,3,377,160,0,160,79,0,79,2161,1078,3239
101041020,..,867,867,1410,82,1496,398,6,399,362,0,362,168,0,168,94,0,94,2437,959,3395
101041021,..,399,399,495,28,522,156,3,155,133,0,133,54,0,54,28,0,28,859,427,1285
101041022,..,7,7,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,7,15
101041023,..,442,442,455,39,486,156,0,159,109,0,109,62,0,62,27,0,27,797,485,1283
101041024,..,333,333,513,27,543,168,3,174,138,0,142,53,0,53,40,0,40,914,362,1277
101041025,..,1366,1366,1783,95,1875,492,8,502,392,0,394,134,0,134,72,0,72,2877,1469,4340
101041026,..,1034,1034,1380,77,1456,357,4,362,295,5,293,122,0,125,63,0,63,2218,1112,3331
101041027,..,1282,1282,1622,79,1703,355,12,364,253,0,253,114,0,114,72,0,72,2405,1373,3785
101051539,..,2698,2698,2728,180,2905,1190,22,1213,1046,4,1051,467,8,470,235,7,240,5661,2917,8575
101051540,..,1172,1172,1733,77,1810,597,3,600,555,0,552,298,0,298,165,0,165,3346,1259,4602
101061541,..,630,630,747,48,793,362,3,365,344,0,351,153,0,155,66,0,66,1670,684,2359
101061542,..,659,659,1422,60,1478,531,9,534,707,0,707,355,0,355,137,0,137,3151,728,3872
101061543,..,1181,1181,1285,90,1379,528,11,538,459,3,457,252,0,252,139,0,139,2661,1288,3944
101061544,..,907,907,1103,70,1169,312,0,310,301,0,301,163,0,163,76,0,76,1952,978,2925
102011028,..,449,449,719,38,759,419,11,425,525,5,533,211,0,211,79,0,85,1960,494,2457
102011029,..,908,908,1405,61,1470,557,7,566,631,0,630,281,3,284,108,0,108,2983,984,3965
102011030,..,398,398,510,55,564,213,8,221,218,0,218,126,0,126,73,3,78,1137,466,1607
102011031,..,1515,1515,1625,82,1703,731,10,740,739,3,742,342,0,344,144,0,142,3577,1615,5190
102011032,..,2746,2746,2317,286,2598,1029,46,1080,854,12,862,337,0,339,153,3,152,4685,3096,7778
102011033,..,290,290,509,31,541,385,6,393,493,3,493,166,0,166,100,0,100,1654,327,1977
102011034,..,880,880,920,43,959,389,8,399,412,0,413,187,0,187,54,0,54,1961,934,2892
102011035,..,390,390,690,37,734,414,6,419,446,5,451,163,3,167,90,3,97,1811,444,2256
102011036,..,482,482,752,52,801,477,7,487,548,0,548,236,0,241,109,0,109,2125,543,2669
102011037,..,590,590,786,76,859,345,5,348,366,3,368,140,3,144,55,0,62,1694,675,2373
102011038,..,576,576,841,38,881,376,6,388,448,0,454,179,0,185,65,0,65,1913,630,2543
102011039,..,1029,1029,1560,142,1695,756,42,802,807,18,825,333,4,342,137,0,137,3597,1232,4828
102011040,..,3020,3020,3081,296,3373,1310,24,1339,1140,6,1140,413,5,415,226,0,226,6167,3349,9516
102011041,..,561,561,1033,57,1089,510,21,527,642,7,643,327,0,325,111,0,113,2612,641,3258
102011042,..,1977,1977,1788,172,1957,735,19,757,667,7,675,249,4,251,109,0,111,3558,2176,5730
102011043,..,1150,1150,1228,118,1344,633,8,642,602,8,611,265,0,265,136,0,136,2865,1286,4153
102021044,..,2049,2049,2486,148,2634,1196,25,1223,1243,8,1247,575,3,579,227,0,227,5731,2232,7964
102021045,..,656,656,1110,109,1217,618,13,633,638,10,647,342,0,342,199,0,199,2905,794,3694
102021046,..,1101,1101,1278,102,1382,495,17,505,467,6,467,182,0,182,91,0,91,2511,1227,3739
102021047,..,1095,1095,1628,98,1724,847,9,861,968,6,977,437,0,437,206,0,206,4092,1205,5298
102021048,..,2374,2374,2491,237,2732,1215,29,1243,1024,0,1029,499,3,501,292,0,292,5523,2647,8170
102021049,..,143,143,321,17,336,141,3,147,186,0,186,100,0,100,73,0,73,818,165,986
102021050,..,1222,1222,1596,99,1702,512,5,521,511,0,511,213,0,213,106,0,108,2948,1337,4282
102021051,..,308,308,531,37,566,253,5,258,302,3,304,134,4,138,74,0,78,1293,353,1649
102021052,..,480,480,747,70,815,352,5,353,310,0,310,150,0,148,47,0,47,1606,556,2167
102021053,..,2356,2356,2011,232,2243,769,32,799,610,7,616,238,0,242,114,0,114,3745,2630,6371
102021054,..,1293,1293,1235,131,1374,514,10,523,415,0,417,183,0,183,83,0,83,2436,1443,3881
102021055,..,331,331,504,40,549,316,4,323,320,3,324,157,0,159,77,0,77,1377,384,1757
102021056,..,680,680,1255,87,1349,751,0,754,1068,3,1069,544,10,546,273,0,273,3887,783,4674
102021057,..,883,883,961,117,1080,513,11,525,407,10,414,203,0,207,118,0,123,2202,1019,3224
103011058,..,2700,2700,2590,334,2925,1188,83,1267,1089,36,1124,442,10,456,209,0,211,5516,3164,8681
103011059,..,709,709,1122,69,1188,565,14,580,667,3,672,337,0,337,168,3,170,2854,799,3652
103011060,..,503,503,812,45,853,325,0,325,331,0,331,175,0,175,78,0,78,1725,552,2272
103011061,..,481,481,624,35,660,193,3,196,199,0,199,91,0,91,50,0,50,1150,520,1671
103021062,..,698,698,801,32,836,299,8,303,290,0,289,162,0,162,81,0,81,1633,729,2369
103021063,..,1160,1160,1222,71,1291,475,9,488,356,0,356,173,0,173,98,0,98,2330,1239,3571
103021064,..,630,630,765,37,805,246,3,249,237,0,237,123,0,123,53,0,53,1432,670,2100
103021065,..,1111,1111,1310,78,1388,465,10,469,401,0,404,254,0,254,108,0,108,2535,1198,3737
103021066,..,471,471,558,33,586,147,3,149,125,0,125,79,0,79,31,0,31,943,503,1449
103021067,..,1180,1180,1257,59,1318,539,8,552,481,5,480,276,3,278,152,0,152,2705,1252,3958
103021068,..,363,363,446,28,472,147,3,149,125,0,125,75,0,75,50,0,50,844,388,1237
103021069,..,664,664,787,23,807,248,0,253,205,0,206,155,0,155,81,0,81,1481,691,2175
103031070,..,1800,1800,1538,107,1648,652,4,663,539,3,542,225,0,223,108,0,108,3063,1920,4985
103031071,..,753,753,1036,63,1097,385,0,386,386,0,386,172,0,172,79,0,79,2051,820,2871
103031072,..,1198,1198,1308,111,1421,643,21,659,579,3,585,273,0,270,117,0,114,2913,1331,4244
103031073,..,503,503,481,47,527,142,3,147,127,0,127,61,0,61,30,0,30,842,544,1393
103031074,..,982,982,1316,70,1385,456,5,460,445,3,449,235,0,236,117,0,117,2576,1056,3628
103031075,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103041076,..,717,717,919,43,965,366,4,368,334,0,334,190,0,190,93,0,93,1907,762,2667
103041077,..,2643,2643,2252,198,2446,957,22,970,755,14,767,373,3,379,172,0,172,4503,2881,7386
