SA2_MAINCODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
101021007,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,3,10,0,10,..,56,5,64,0,64,..,3,0,3,216,213,1677,61,5,66,216,1955,1623,..,..,..,..,1623,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,3,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,3,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,9,0,9,0,10,..,4,0,7,0,7,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,4,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,4,4,0,4,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0
101021008,0,0,0,0,..,10,0,10,0,10,..,10,0,13,0,13,..,5,3,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,10,0,10,..,55,9,62,3,66,..,467,65,534,5,540,..,16,0,16,209,227,3310,482,62,551,218,4073,3341,..,..,..,..,3341,..,3,0,3,0,3,..,3,0,3,0,3,..,6,0,6,0,6,..,5,0,10,0,10,..,9,0,15,0,15,..,0,0,0,0,0,..,17,7,21,0,21,..,26,3,27,0,27,..,8,0,8,0,8,..,3,0,5,0,5,..,13,0,13,0,13,..,15,3,18,0,18,..,0,0,0,0,0,..,10,0,10,0,10,..,4,0,7,0,7,..,3,0,3,0,3,..,10,3,14,0,11,..,8,0,6,0,6,..,37,7,42,0,41,..,67,8,71,0,74,..,3,0,3,0,3,..,3,0,3
101021009,0,5,0,5,..,78,8,83,0,85,..,10,4,14,0,14,..,17,0,17,0,15,..,3,0,4,0,3,..,3,0,3,0,3,..,15,5,19,0,19,..,107,19,128,5,131,..,969,129,1091,26,1116,..,19,3,19,409,430,3885,985,131,1111,431,5430,3837,..,..,..,..,3837,..,3,0,3,0,3,..,15,3,17,0,19,..,0,0,0,0,0,..,19,8,24,0,24,..,35,5,41,0,38,..,3,3,5,0,5,..,53,18,71,0,75,..,16,4,23,0,24,..,3,0,3,0,3,..,11,0,6,0,6,..,19,0,19,0,19,..,39,16,50,0,50,..,33,5,37,0,37,..,45,3,51,0,51,..,79,14,90,3,93,..,11,0,11,0,11,..,24,4,26,0,26,..,72,3,71,0,71,..,257,22,283,3,290,..,65,20,87,3,92,..,12,0,13,0,13,..,10,3,18
101021010,0,0,0,0,..,18,0,18,0,18,..,17,0,17,0,14,..,0,0,3,0,3,..,3,0,8,0,8,..,0,0,0,0,0,..,9,0,6,0,6,..,75,7,85,3,86,..,448,50,498,8,509,..,6,6,13,145,156,1793,455,50,508,157,2459,1725,..,..,..,..,1725,..,0,0,0,0,0,..,7,3,14,0,14,..,0,0,0,0,0,..,0,0,0,0,0,..,19,5,23,0,28,..,0,0,0,0,0,..,23,5,25,0,26,..,16,0,17,0,17,..,0,0,0,0,0,..,5,0,5,0,5,..,8,0,8,0,8,..,10,0,10,0,10,..,40,5,46,0,46,..,28,3,34,0,34,..,42,15,53,0,53,..,3,0,3,0,3,..,10,0,10,0,10,..,22,3,23,0,23,..,140,24,160,0,160,..,21,3,21,0,21,..,4,0,4,0,4,..,3,0,3
101021011,0,0,0,0,..,29,0,29,0,29,..,25,0,27,0,27,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,5,0,5,0,5,..,69,10,78,0,78,..,445,38,483,4,484,..,23,4,23,817,835,7295,462,41,502,820,8619,7067,..,..,..,..,7067,..,12,0,12,0,12,..,9,0,9,0,9,..,0,0,0,0,0,..,7,3,13,0,13,..,29,4,36,0,36,..,0,0,0,0,0,..,38,3,42,0,46,..,23,0,23,0,23,..,14,0,13,0,13,..,26,0,23,0,28,..,30,0,35,0,35,..,10,0,11,0,11,..,0,0,0,0,0,..,9,0,9,0,9,..,18,0,17,0,17,..,8,0,8,0,8,..,0,0,0,0,0,..,7,3,6,0,6,..,32,6,42,0,42,..,58,3,62,0,62,..,3,0,3,0,3,..,3,0,3
101021012,0,0,0,0,..,25,0,25,0,25,..,14,0,17,0,19,..,8,0,8,0,8,..,7,0,7,0,7,..,10,0,10,0,12,..,3,0,4,0,4,..,73,13,86,3,88,..,595,54,649,10,658,..,11,0,12,250,259,5380,603,52,658,255,6291,5405,..,..,..,..,5405,..,9,0,11,0,11,..,9,0,7,0,7,..,0,0,0,0,0,..,12,0,15,0,15,..,28,8,35,0,30,..,0,0,0,0,0,..,36,9,46,0,49,..,27,3,31,0,31,..,7,0,7,0,7,..,13,0,10,0,10,..,15,0,15,0,17,..,14,0,15,0,15,..,0,0,0,0,0,..,23,0,23,0,23,..,26,3,28,0,28,..,11,0,11,0,11,..,9,0,9,0,9,..,13,0,13,0,13,..,71,3,80,0,80,..,70,3,68,0,69,..,4,0,4,0,4,..,0,0,0
101031013,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,28,4,28,4,35,..,3,0,4,74,79,1092,28,5,34,79,1207,1062,..,..,..,..,1062,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,6,8
101031014,0,0,0,0,..,9,0,6,0,6,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,6,0,6,..,34,3,41,0,41,..,179,17,190,0,191,..,4,0,10,432,443,2752,182,18,198,432,3388,2814,..,..,..,..,2814,..,3,0,3,0,3,..,11,0,11,0,11,..,0,0,0,0,0,..,5,3,10,0,10,..,14,8,23,0,19,..,0,0,0,0,0,..,19,14,30,0,33,..,0,0,0,0,3,..,12,0,11,0,11,..,0,0,0,0,0,..,36,0,35,0,41,..,14,0,14,0,14,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,4,0,4,0,4,..,0,0,0,0,0,..,16,0,16,0,16,..,23,3,26,0,26,..,0,0,0,0,0,..,3,0,3
101031015,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,62,0,66,0,66,..,0,0,6,140,147,1479,68,3,64,140,1691,1405,..,..,..,..,1405,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,9,0,9,0,9,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0
101031016,0,0,0,0,..,6,0,6,0,6,..,8,0,8,0,8,..,0,0,0,0,0,..,5,0,5,0,5,..,7,0,7,0,7,..,0,0,0,0,0,..,24,6,30,3,32,..,165,27,191,10,196,..,8,0,8,332,343,3187,170,27,195,342,3725,2762,..,..,..,..,2762,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,6,0,4,0,4,..,15,10,26,0,25,..,0,0,0,0,0,..,18,15,31,0,36,..,0,0,0,0,0,..,4,0,4,0,4,..,17,0,17,0,19,..,37,0,40,0,40,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,9,0,9,0,11,..,0,0,3
