SA2_MAINCODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
101021007,7,0,3,0,0,0,14,4,0,0,0,0,0,4,0,0,0,0,0,0,3,4,0,4,0,0,0,13,8,3,7,3,0,0,23,11,6,0,6,3,0,25,11,4,4,0,0,0,28,13,8,8,3,0,0,32,8,13,7,0,0,0,28,11,18,6,3,3,0,36,18,5,3,3,0,0,29,11,18,0,0,0,0,31,0,10,4,0,0,0,9,0,0,3,0,0,0,9,7,11,3,0,0,0,27,8,10,4,0,0,0,26,6,9,0,0,0,0,17,6,3,0,0,0,0,10,4,8,3,3,0,0,25,149,140,57,21,14,4,387
101021008,8,6,7,0,0,0,23,3,0,0,0,4,0,8,10,0,0,0,0,0,19,0,0,3,0,0,0,6,3,10,4,0,3,0,24,6,6,9,4,10,0,38,11,11,15,0,3,0,36,14,20,16,4,8,0,59,14,22,14,7,12,0,69,24,36,15,11,3,0,91,21,44,7,5,7,0,89,31,55,19,7,10,0,127,18,28,9,0,3,0,60,4,24,3,0,0,0,36,27,53,12,6,0,0,107,14,50,15,7,4,0,94,3,11,6,0,0,0,18,3,3,6,0,3,0,12,8,11,11,3,3,0,36,235,399,178,54,80,15,957
101021009,9,0,4,3,0,0,15,7,0,0,0,0,0,9,8,0,0,0,3,0,13,9,4,0,3,0,0,12,7,5,3,4,5,0,29,7,14,9,5,4,0,37,22,10,6,4,3,0,55,15,18,10,7,10,0,63,28,25,8,3,0,0,65,29,39,12,6,9,4,95,17,40,7,6,6,0,80,36,52,14,13,3,3,116,21,36,3,9,3,0,73,14,17,0,0,0,0,35,24,38,9,0,6,3,82,32,43,14,3,0,0,89,6,4,0,4,3,0,21,4,4,0,0,0,0,14,11,11,3,0,0,0,24,304,374,105,65,64,11,916
101021010,13,4,3,0,0,0,15,0,0,0,0,0,0,0,3,0,3,0,0,0,9,7,5,0,0,0,0,16,3,0,0,0,3,0,9,3,5,0,0,3,0,12,4,5,0,0,7,0,19,12,6,0,0,3,0,29,12,14,0,4,0,0,25,13,18,4,3,0,0,36,12,12,3,0,0,0,32,16,27,12,0,0,0,54,8,20,3,3,0,0,27,6,9,0,0,0,0,18,9,20,3,3,3,0,39,19,23,15,3,0,0,55,3,9,0,0,0,0,14,4,3,3,0,0,0,11,5,9,0,0,3,0,19,143,179,53,22,28,4,426
101021011,19,13,12,0,6,0,52,3,3,3,0,0,0,13,19,6,8,0,3,0,32,14,4,3,4,0,0,27,13,14,11,4,0,0,46,21,25,12,3,4,0,67,31,29,26,9,8,0,98,40,45,26,5,0,0,112,40,55,22,3,6,0,124,35,50,35,11,5,0,141,37,48,27,5,3,0,119,73,132,47,13,10,3,268,38,85,14,5,3,0,148,32,55,17,0,0,0,113,86,202,55,12,8,0,363,171,294,86,19,7,3,588,52,89,30,3,3,0,178,43,60,29,3,0,0,134,30,39,24,9,3,0,112,807,1247,488,112,71,16,2734
101021012,19,14,6,3,0,0,47,3,6,4,0,3,0,15,10,8,11,3,3,0,35,8,8,8,0,0,0,22,9,4,6,4,0,0,25,11,13,17,3,3,0,48,18,23,21,3,8,0,75,16,35,16,3,10,0,85,22,28,21,4,6,0,93,23,45,16,8,5,0,106,27,44,10,3,8,0,88,51,84,39,17,3,0,194,18,51,16,8,3,0,90,15,38,10,4,5,0,71,49,100,40,10,6,0,200,65,185,66,5,16,0,332,22,65,35,7,3,0,130,16,44,7,0,0,0,69,15,30,15,5,4,3,67,409,827,371,92,97,4,1802
101031013,5,7,3,0,0,0,15,0,3,0,0,0,0,3,4,0,0,0,0,0,9,0,8,3,0,0,0,12,0,13,0,0,0,0,18,9,21,3,0,0,0,36,5,13,5,0,0,0,18,8,7,0,0,0,0,16,5,9,3,0,0,0,19,3,3,0,0,0,0,11,3,0,0,0,0,0,4,3,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,5,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,54,89,25,12,7,0,193
101031014,8,3,7,3,0,0,17,0,0,0,0,0,0,5,12,4,3,3,0,0,21,11,0,0,5,3,0,23,16,10,3,3,7,0,45,25,29,12,8,7,0,81,24,27,14,10,11,0,95,28,43,7,3,9,0,80,14,23,10,0,4,6,56,15,15,12,0,0,0,41,9,9,3,0,0,0,18,15,28,7,4,3,0,55,8,6,3,0,0,0,16,0,3,0,0,0,0,4,0,11,0,0,0,0,18,10,9,3,0,0,0,18,0,0,0,0,0,0,5,0,5,0,0,0,0,5,11,8,5,0,8,0,22,206,217,107,42,56,6,632
101031015,7,3,0,0,0,0,14,0,0,0,0,0,0,3,0,3,3,0,3,0,10,6,0,3,0,0,0,11,10,6,3,0,0,0,26,8,0,3,3,0,0,16,13,12,7,0,3,0,36,9,9,5,0,0,0,31,11,11,4,0,3,0,23,13,21,6,0,3,0,44,6,12,3,0,0,0,30,11,12,6,0,0,0,29,3,4,4,0,0,0,9,3,7,0,0,0,0,11,8,13,4,0,0,0,21,10,14,3,0,0,0,28,3,10,0,0,0,0,11,3,5,0,0,0,0,8,3,7,0,0,0,0,8,134,142,61,7,16,0,356
101031016,8,5,0,3,3,0,17,7,0,3,0,0,0,8,8,3,6,0,0,0,13,0,8,3,0,0,0,15,6,9,4,6,6,0,35,18,22,3,6,0,0,49,23,19,3,0,3,0,45,23,30,5,4,5,0,70,19,31,0,8,3,0,61,16,24,0,3,3,0,55,5,18,4,0,3,0,32,16,41,11,0,3,0,76,7,10,3,0,0,0,23,4,10,4,0,0,0,13,8,30,10,0,3,0,48,13,17,5,0,3,0,33,6,8,0,0,0,0,11,0,13,0,0,0,0,12,9,17,6,0,3,4,37,192,316,68,30,37,3,644
