SA2_MAINCODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
101021007,0,0,0,0,4,0,0,0,0,5,0,3,0,7,0,3,0,0,0,15,0,0,0,0,0,3,0,0,0,5,0,0,0,0,3,0,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,13,11,12,3,57,17,41,33,87,76,71,89,38,21,468,203,443,302,737,577,696,592,243,77,3872
101021008,0,0,0,3,3,0,0,0,0,9,3,8,7,19,3,13,0,0,0,59,0,0,0,4,0,5,3,0,0,11,0,0,0,0,0,4,6,10,0,22,0,0,0,0,0,0,0,0,0,5,0,0,5,3,3,0,3,0,0,14,0,0,0,4,5,3,12,0,0,23,0,0,0,9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,18,0,0,7,32,49,49,28,5,4,177,0,0,0,0,0,0,0,0,0,0,0,3,5,12,5,0,4,0,0,33,0,0,3,9,0,9,0,0,0,22,0,0,0,0,7,0,0,0,0,6,0,0,0,3,0,0,4,0,0,9,0,8,9,52,48,30,18,17,3,185,26,64,63,146,86,75,54,29,13,561,518,1104,1120,2197,1196,1050,664,313,83,8247
101021009,0,0,0,3,3,0,0,0,0,14,0,26,30,86,28,24,5,3,0,194,0,0,0,10,0,4,6,3,8,32,0,0,0,3,3,12,10,9,0,34,0,0,0,4,6,0,0,0,0,7,0,0,4,13,0,0,3,3,0,26,0,0,0,0,6,3,10,13,3,31,3,0,0,17,3,0,4,0,0,27,0,0,0,3,0,0,0,0,0,3,0,5,3,12,3,3,0,0,0,26,0,0,3,30,22,36,24,22,10,151,0,0,0,0,0,0,0,0,0,0,4,3,0,9,0,4,5,0,0,32,0,0,0,16,11,0,0,0,0,33,0,0,0,3,3,3,0,0,0,9,0,0,0,3,0,0,3,0,0,10,0,15,8,130,17,37,36,36,28,316,65,43,81,329,106,95,105,54,8,889,757,918,1188,3792,1386,1127,819,525,314,10842
101021010,0,0,0,3,0,0,0,0,0,11,0,10,3,26,13,7,0,0,0,67,0,0,0,4,0,0,3,0,4,10,0,0,0,3,0,9,4,3,3,21,0,0,3,0,5,0,0,0,0,8,0,0,3,5,4,8,0,0,0,24,0,0,0,0,0,3,3,0,0,5,0,3,0,6,3,0,0,0,0,9,0,0,0,7,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,11,4,0,3,17,9,12,10,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,3,5,0,0,26,0,0,0,6,3,0,0,0,0,11,0,0,0,0,3,0,0,0,0,4,0,0,4,8,0,3,0,0,0,16,4,5,3,48,20,10,9,11,9,125,21,26,25,105,53,38,18,17,10,308,362,440,578,1607,702,569,312,160,51,4786
101021011,0,0,0,11,11,5,0,0,0,23,0,4,12,18,14,3,0,0,0,51,0,0,0,6,0,4,0,0,0,19,0,0,0,10,18,14,18,9,0,67,0,0,0,3,6,4,0,0,0,15,0,4,10,21,26,9,3,0,0,72,0,0,0,0,4,3,0,0,0,12,0,0,3,7,3,8,0,0,0,17,0,0,0,0,0,3,0,0,0,4,0,0,0,10,3,0,0,0,0,14,0,0,0,12,5,3,3,0,0,22,0,3,0,3,0,0,0,0,0,3,3,11,7,20,24,18,9,6,0,103,0,0,0,3,0,0,0,0,0,5,0,0,0,3,3,0,3,0,0,12,0,0,0,0,3,0,3,0,0,8,0,3,9,47,52,64,54,14,6,249,77,196,188,409,312,284,174,55,13,1707,1047,2531,1943,4143,2934,2427,1436,408,86,16946
101021012,0,0,0,7,9,0,0,0,0,18,0,11,10,25,14,11,0,3,0,69,0,0,0,4,3,8,3,0,0,14,0,0,0,3,18,23,5,3,3,59,0,0,0,7,6,0,0,0,0,10,0,8,7,26,18,3,0,0,0,63,0,0,0,4,7,8,3,3,0,21,0,3,0,11,14,11,5,0,0,34,0,0,0,0,0,0,0,0,0,0,0,3,4,7,0,3,3,0,0,25,0,0,4,28,25,30,18,4,0,119,0,0,0,3,9,0,0,0,0,12,4,24,11,26,15,8,5,0,0,95,0,0,0,3,0,4,0,0,0,13,0,0,0,3,8,3,0,0,0,17,0,0,0,6,4,0,0,0,0,12,0,8,16,69,40,35,20,20,5,214,29,59,68,153,115,55,38,16,5,541,846,2076,1751,3365,2381,1308,597,257,74,12643
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,6,0,3,26,10,17,18,45,34,39,39,12,14,224,139,265,227,453,337,391,340,145,89,2390
101031014,0,0,0,0,0,0,0,0,0,3,0,0,0,10,3,4,0,0,0,19,0,0,0,10,0,0,0,5,3,12,0,0,0,8,3,11,11,8,0,35,0,0,0,0,3,0,0,0,0,9,0,0,0,4,0,3,6,0,3,12,0,0,0,0,0,0,3,3,0,6,0,4,3,3,4,4,0,0,0,20,0,0,7,7,0,0,0,0,0,9,0,0,0,0,3,3,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,3,3,3,3,0,0,15,0,0,3,8,7,3,0,0,0,15,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,3,0,0,10,23,12,19,33,30,13,141,11,34,50,113,84,100,95,87,61,634,327,736,759,1513,943,907,784,523,241,6742
101031015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,9,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,3,3,0,0,19,0,0,0,0,0,0,3,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,17,13,0,56,16,41,33,63,80,58,45,27,10,368,128,431,309,568,540,560,477,212,48,3280
101031016,0,0,0,4,0,3,0,0,0,7,0,0,3,8,3,0,0,0,0,16,0,0,0,3,0,5,0,0,0,9,0,0,0,7,5,3,11,4,0,31,0,0,0,0,0,0,0,0,0,0,0,4,0,9,3,3,0,0,0,17,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,29,0,0,0,0,0,36,0,8,4,13,0,0,0,0,0,25,0,0,0,0,0,0,4,0,0,4,0,0,0,0,3,0,0,0,0,6,3,5,3,13,6,9,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,16,27,11,36,14,3,110,13,63,100,222,117,83,59,19,10,687,313,937,866,1946,1081,913,592,232,74,6951
