SA2_MAINCODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
101021007,649,0,0,12,3,663,441,9,0,4,11,463,105,10,7,0,0,118,12,3,0,0,0,9,85,3,0,0,5,96,0,0,0,0,0,0,11,0,0,0,0,12,23,0,0,0,0,24,229,18,7,0,9,259,7,0,0,0,0,10,49,0,5,0,0,53,1381,26,8,22,24,1453
101021008,779,80,3,0,5,867,981,133,6,0,0,1116,161,157,34,0,0,357,265,30,7,0,0,296,87,34,17,0,0,140,17,28,0,0,0,37,26,7,3,0,0,34,10,3,0,0,0,12,567,258,58,0,0,883,8,3,0,0,0,15,52,22,0,0,0,78,2383,501,64,4,6,2963
101021009,727,141,147,3,3,1013,775,284,266,3,3,1333,201,353,880,7,0,1443,33,80,38,0,0,152,142,92,153,4,0,386,3,24,9,0,0,40,13,9,30,0,0,53,9,3,6,0,0,16,406,559,1110,11,3,2088,7,21,0,0,0,33,66,38,33,6,0,145,1985,1049,1565,17,7,4621
101021010,313,86,73,0,3,475,306,157,107,0,0,575,66,213,376,0,0,657,30,26,10,0,0,61,34,45,55,0,0,139,4,3,0,0,0,11,35,8,9,0,0,48,3,3,0,0,0,5,166,296,452,0,0,921,3,0,0,0,0,6,17,22,16,0,0,60,799,570,651,0,4,2030
101021011,1594,3,6,24,4,1631,2838,3,4,17,12,2881,273,3,3,4,0,282,0,0,0,0,0,0,209,6,0,4,0,226,3,0,0,0,0,6,55,0,0,4,0,61,22,0,0,4,0,28,564,12,7,12,4,601,31,0,0,0,0,30,97,0,0,0,0,99,5124,24,20,55,26,5243
101021012,926,97,8,0,3,1034,1765,218,8,0,3,1999,248,229,46,0,0,520,95,13,0,0,0,105,85,63,9,0,0,154,3,0,0,0,0,3,216,19,0,0,0,235,5,0,0,0,0,10,648,324,50,0,3,1026,17,3,0,0,0,14,50,13,0,0,0,66,3401,656,70,6,6,4145
101031013,466,0,0,3,3,469,224,0,0,0,3,235,20,0,3,0,0,27,10,0,0,0,0,11,98,6,7,4,0,110,9,0,0,0,0,10,22,3,0,0,0,33,16,0,0,0,0,17,174,10,14,3,0,200,12,0,0,0,0,12,31,0,0,0,0,34,907,11,13,9,8,949
101031014,932,15,6,8,3,967,760,4,3,4,3,774,328,48,95,6,6,491,48,8,13,0,0,78,148,17,16,3,5,189,15,4,8,0,0,26,22,0,6,4,4,31,15,0,0,0,0,20,581,77,141,18,10,829,12,0,0,0,0,15,77,8,7,3,24,121,2363,112,163,30,40,2707
101031015,586,0,0,16,7,611,405,0,0,11,5,424,29,5,0,0,0,35,0,0,0,0,0,0,69,3,0,4,3,75,0,0,0,0,0,0,27,0,0,0,0,27,7,0,0,0,0,8,135,4,4,6,5,148,11,0,0,0,3,10,24,0,0,3,0,29,1156,9,5,32,25,1218
101031016,675,43,28,17,35,789,646,37,44,3,23,753,146,88,79,3,9,325,11,0,0,0,0,11,124,32,32,7,15,205,3,3,0,0,0,5,30,3,15,7,43,102,16,0,0,3,10,29,325,130,122,18,77,675,12,0,3,0,7,26,62,12,35,5,20,133,1723,216,238,41,163,2380
