SA2_MAINCODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
101021007,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,35,57,27,22,16,9,0,4,0,0,0,0,8,190,0,0,0,3,0,7,5,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,25,23,5,4,3,0,0,0,0,5,0,3,74,0,29,64,107,80,51,41,30,4,5,8,4,13,4,18,460
101021008,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,8,0,0,0,0,0,0,3,11,0,5,0,0,0,0,0,18,0,0,0,70,22,51,14,3,0,0,0,0,9,0,7,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,50,57,21,7,4,9,3,9,0,0,0,0,7,177,0,0,0,6,3,3,0,4,5,0,0,0,0,0,0,33,0,0,0,0,11,7,0,4,0,0,0,0,0,0,0,22,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,9,0,4,20,53,21,26,50,40,3,11,7,3,7,3,13,264,0,68,177,289,144,174,162,136,34,30,23,22,25,15,41,1322
101021009,0,0,0,7,4,3,0,7,0,0,0,0,5,3,0,26,0,0,0,0,0,3,3,0,0,0,5,0,8,0,4,27,0,0,0,0,3,4,4,6,0,0,0,0,0,6,0,26,0,6,13,50,13,31,10,5,0,4,5,0,0,0,9,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,52,76,34,15,23,19,3,3,5,0,6,0,19,270,0,0,4,0,0,4,8,3,9,0,4,0,3,0,0,32,0,0,0,0,4,10,7,12,0,0,0,0,0,0,0,33,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,10,0,26,35,56,29,44,58,142,19,26,34,38,35,18,23,573,3,173,260,299,152,197,269,544,101,105,124,142,136,79,100,2680
101021010,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,9,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,11,0,0,0,10,0,10,6,9,0,0,6,6,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,53,17,20,6,17,0,3,4,0,0,0,7,164,0,0,0,3,7,8,4,3,0,0,0,0,0,0,0,26,0,0,0,0,5,0,0,3,0,3,0,0,0,0,0,11,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,16,0,10,20,22,21,15,17,33,15,18,20,22,37,15,7,265,0,50,81,123,78,107,115,277,35,44,46,90,75,40,28,1189
101021011,0,0,3,7,3,6,21,11,9,3,3,7,6,0,0,72,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,17,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,14,0,0,0,5,4,3,3,3,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,38,131,221,106,86,90,64,3,12,7,5,6,0,27,806,0,0,0,16,14,14,21,11,4,6,0,3,7,0,0,103,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,8,0,17,47,111,40,45,32,24,7,6,0,3,3,5,11,348,0,126,299,490,287,256,266,199,45,50,38,30,30,22,70,2205
101021012,0,0,0,3,3,9,21,14,3,3,6,0,3,0,4,63,0,0,0,3,3,11,5,7,4,0,0,0,0,0,0,34,0,0,0,3,0,9,5,5,0,0,0,0,0,0,0,25,0,0,4,36,16,45,6,0,0,0,0,0,0,0,8,119,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,12,0,19,76,118,46,42,64,53,7,5,5,21,15,3,3,483,0,0,0,5,7,10,30,14,0,3,3,9,0,0,7,95,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,13,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,12,0,10,27,73,41,39,39,31,9,6,0,9,0,0,16,290,0,59,185,357,229,294,347,231,53,29,42,59,39,8,50,1988
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,34,9,5,5,0,0,0,0,0,0,0,3,66,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,4,0,5,3,0,0,0,0,0,0,0,0,27,3,15,33,56,19,18,16,9,0,0,0,3,5,0,8,192
101031014,0,0,3,0,0,4,3,0,0,0,0,0,0,0,0,12,0,0,0,0,0,7,0,13,0,0,0,0,0,0,0,20,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,27,40,62,31,21,10,5,0,0,0,0,0,0,12,217,0,0,0,3,3,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,0,5,3,0,0,0,0,0,0,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,23,32,40,11,7,13,14,0,0,0,3,3,0,29,174,4,135,162,179,85,92,84,56,6,15,3,7,19,3,114,977
101031015,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,45,62,17,12,5,6,0,0,0,0,0,0,7,174,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,26,3,3,3,0,0,0,0,0,0,0,3,70,0,39,91,126,52,39,24,20,4,0,0,3,5,0,18,408
101031016,0,0,0,3,0,3,3,6,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,0,3,0,3,0,0,25,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,6,0,25,52,63,29,30,41,28,7,0,7,3,4,4,27,305,0,0,0,3,3,0,4,5,0,3,0,0,0,3,4,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,18,32,17,19,13,9,0,0,4,12,11,3,17,167,3,66,110,162,90,97,101,73,17,17,25,34,31,24,69,917
