STE_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
1,9816,8266,6200,1365,2216,466,28329,2418,1447,1420,301,638,88,6307,4590,3034,3066,748,1419,163,13027,3899,2936,2633,744,1272,119,11607,6541,5460,4587,1569,2264,205,20627,8656,9142,6447,2284,3097,346,29975,10466,13672,8189,2881,3525,343,39074,12241,18463,9176,3738,4043,413,48072,11404,20408,8157,3192,3300,388,46842,13266,25484,9527,3657,3650,436,56010,9685,20509,6231,2418,2237,306,41389,18687,39889,14523,4062,4118,665,81946,7660,17823,4523,1484,1279,182,32949,6773,15684,4170,1057,984,191,28858,14353,32637,9544,2453,2228,380,61591,21757,51558,14906,3169,2900,557,94847,8961,22747,6652,1189,1150,249,40959,7921,21841,5930,1125,977,232,38023,8110,13069,6969,1815,2386,453,32805,187214,344064,132856,39259,43668,6173,753246
2,7741,7552,5304,1239,1963,439,24242,2206,1612,1552,315,749,61,6494,4434,3374,3132,855,1634,173,13600,3724,3429,2877,903,1517,121,12571,6198,6561,5038,1757,2657,224,22425,8447,10685,6739,2664,3505,350,32390,10535,16625,8408,3394,3959,412,43334,12671,22197,9076,3969,4149,519,52580,12509,25083,8064,3469,3438,504,53066,13687,28382,8364,3311,3091,512,57350,10111,22104,5382,1993,1757,377,41718,17096,36804,11232,2881,2835,635,71481,6978,14806,3278,1009,856,191,27121,6097,12738,3045,772,658,180,23484,10140,20770,5547,1314,1208,285,39266,13356,29473,8345,1665,1540,393,54773,5031,11695,3359,663,624,151,21526,3966,10844,3068,675,581,147,19289,7267,11656,6319,1581,2263,482,29572,162213,296388,108128,34424,38980,6156,646291
3,7001,3924,2930,749,1112,227,15946,2054,932,844,199,385,43,4466,3903,1998,1763,537,882,107,9193,3246,1952,1593,538,722,86,8150,5667,3938,2968,1118,1443,185,15310,7385,6481,4076,1633,1978,227,21765,9112,9875,5170,2152,2207,270,28786,11590,14403,5973,2898,2707,364,37940,11074,16333,5467,2795,2347,332,38338,13257,21026,6526,3099,2440,382,46736,9996,17349,4397,1989,1416,277,35425,16112,27451,8289,2616,2078,422,56968,6922,13620,3126,1017,689,143,25511,5047,9730,2411,629,480,109,18410,10358,20174,5419,1420,1073,255,38708,11351,21940,6463,1398,1115,233,42499,3870,7096,2220,387,345,68,13985,2555,5013,1650,348,248,64,9882,6030,7135,3624,1106,1230,286,19407,146514,210373,74896,26645,24895,4086,487415
4,2821,1706,1292,273,529,96,6717,1034,435,484,96,244,29,2335,2156,1125,1173,275,653,70,5449,1892,1143,1059,329,649,61,5136,3205,2558,1992,854,1158,78,9839,3864,4027,2505,1200,1413,131,13137,4579,5833,2872,1295,1369,150,16102,5088,7938,3101,1479,1457,191,19246,4781,8106,2538,1229,1060,161,17878,4993,8745,2588,1054,941,172,18495,3319,6259,1607,596,479,79,12338,4634,8524,2639,714,644,122,17272,1756,3591,886,239,206,42,6719,1163,2387,601,140,111,35,4439,2521,4980,1429,284,245,52,9509,2639,5477,1672,290,304,59,10454,945,1887,636,98,102,12,3691,569,1455,480,87,99,12,2691,1848,2153,1250,391,485,127,6257,53814,78329,30796,10933,12156,1685,187708
5,3978,2598,1893,497,787,198,9951,1015,512,478,130,204,31,2376,1840,1112,991,307,555,57,4865,1595,1127,889,313,522,56,4502,2685,2012,1619,626,877,80,7905,3219,3061,2028,856,1155,140,10453,4175,4844,2765,1053,1320,115,14267,4987,6636,3100,1391,1436,174,17724,5026,7642,2810,1394,1314,208,18398,6255,10188,3234,1665,1427,262,23033,5332,9437,2398,1203,904,204,19489,9932,17003,5063,1714,1476,361,35543,4900,9261,1975,708,573,124,17533,4043,7523,1723,546,360,107,14295,7983,14020,3758,1026,793,211,27786,9078,17203,5252,1079,888,220,33714,3251,6012,2116,360,320,94,12156,2374,5010,1664,276,230,69,9635,3079,4163,1984,536,722,173,10657,84739,129356,45751,15698,15864,2877,294286
6,823,416,286,85,145,20,1776,383,174,133,49,97,11,845,822,382,341,130,199,21,1886,673,473,316,137,204,19,1817,1221,1047,595,353,383,36,3634,1540,1778,780,496,492,31,5122,1790,2457,870,566,460,36,6173,1938,2802,884,554,399,37,6625,1590,2621,731,370,304,30,5649,1484,2584,705,298,240,35,5348,808,1555,357,140,85,21,2971,1134,1931,524,145,119,18,3869,370,725,158,50,34,4,1333,217,390,93,27,28,0,758,539,924,275,64,61,7,1875,541,962,305,53,33,5,1904,223,304,88,11,10,5,646,106,226,65,11,4,3,413,610,614,310,104,133,14,1793,16797,22384,7819,3645,3431,355,54434
7,132,96,55,23,28,6,341,26,20,15,8,4,0,77,82,49,26,22,19,3,199,69,40,27,22,18,9,183,124,75,60,20,33,10,324,170,130,85,40,29,7,459,237,212,113,59,74,10,701,284,272,140,82,66,13,856,280,323,121,80,63,7,876,362,445,145,105,96,19,1175,290,387,116,73,53,15,931,527,754,244,108,83,7,1723,238,410,76,55,40,6,824,226,375,83,47,17,7,748,604,980,224,97,68,18,1998,836,1433,310,118,73,17,2789,275,477,140,38,22,3,953,165,257,88,18,11,3,538,217,252,113,45,39,12,668,5135,6991,2171,1076,833,156,16355
8,570,439,309,52,79,25,1465,148,99,89,12,20,4,368,244,168,150,43,63,4,682,179,178,118,27,62,5,576,304,266,227,53,117,11,973,429,431,276,103,145,15,1401,547,649,359,135,205,20,1914,587,820,356,145,190,21,2122,728,1081,341,181,189,32,2544,923,1405,441,260,231,35,3302,834,1468,356,214,177,42,3091,1517,2720,797,300,297,43,5670,766,1608,294,165,126,17,2974,563,1288,245,96,64,11,2266,1261,2793,647,199,160,33,5096,1460,3680,915,193,178,33,6453,525,1175,377,65,50,6,2195,330,797,269,42,27,3,1470,345,604,224,64,78,22,1338,12275,21669,6786,2349,2451,389,45914
9,8,3,0,0,0,0,12,3,0,0,0,0,0,5,3,0,0,0,0,0,8,3,3,0,0,0,0,3,3,4,0,0,0,0,10,11,4,0,0,0,0,19,11,15,0,0,3,0,30,11,10,0,0,0,0,22,11,9,3,0,0,0,18,11,16,0,3,4,0,31,6,6,0,0,0,0,14,0,11,4,3,0,0,21,3,3,3,0,0,0,7,0,3,0,0,0,0,3,3,6,0,0,0,0,9,3,6,5,3,0,0,9,0,3,0,0,0,0,3,0,0,0,0,0,0,3,6,4,0,0,0,0,10,91,111,14,16,12,0,253
