STE_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
1,1791,3251,9874,13673,24856,49866,67166,59382,34574,264429,387,1528,5485,5873,8958,11597,10952,11223,5402,61410,23914,35391,82477,69281,69418,68923,68182,55965,38310,511857,202238,487983,1066065,1001656,976830,888675,676237,372646,167324,5839663
2,2391,3586,10608,12894,19177,34334,67458,66219,36824,253490,474,1773,5669,6314,8085,8925,8928,10065,4281,54505,18695,27790,64947,53459,53639,52210,51454,42534,26801,391532,151940,412270,888147,805022,779574,676793,509086,284712,127847,4635389
3,1142,1848,5592,7537,12592,22124,57327,46693,23268,178122,249,770,2405,2520,3247,3173,2672,2212,1103,18366,17648,25487,53834,47737,50117,46327,42343,31657,20489,335634,152390,316201,646152,627741,631312,552585,422350,209639,85458,3643834
4,484,720,2446,2838,4128,8354,19871,20007,12726,71573,100,369,1189,1649,1985,1899,1724,2094,1027,12051,4591,6305,13787,12956,14805,14929,14964,12355,8442,103136,42786,107201,217765,209281,226669,213729,168701,93181,44455,1323769
5,624,821,2666,3682,4900,8551,15000,16867,8442,61555,128,469,1703,1725,1911,1936,1627,1832,921,12253,8482,13024,34884,28445,27323,23938,20579,16787,10796,184262,72055,159910,378771,344712,334679,281776,199514,103990,42387,1917791
6,196,243,594,665,1107,2677,4312,4926,3664,18396,39,89,205,294,389,292,234,194,106,1838,1781,2026,4096,4059,5218,6050,6410,4803,2284,36722,14807,29797,57997,59795,70013,72121,57344,29582,11759,403221
7,535,647,1448,1477,1653,1763,1584,718,212,10037,64,107,270,245,377,420,381,258,87,2212,1790,2758,6835,5119,4729,3623,1955,681,233,27726,7595,16564,42962,34573,31261,23276,11654,3769,938,172602
8,70,120,258,362,537,1101,1714,1617,895,6670,10,60,175,178,219,217,198,234,103,1388,1038,1939,4324,3313,2893,2571,2263,1842,1396,21566,11271,31360,66068,58365,50959,41468,29421,14351,6153,309409
9,0,0,4,6,23,69,58,21,3,190,0,0,0,3,12,46,51,24,4,148,30,72,172,122,133,116,76,39,12,759,96,208,573,635,711,708,469,182,58,3632
