STE_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1,..,33689,39276,10515,9805,10804,6666,2726,854,114334,..,9932,26939,27018,36963,63101,74758,65379,37850,341934,9587,14083,13538,6720,7032,9331,8016,4843,2314,75458,641025,421789,500155,476270,467199,421749,314458,177043,71207,3490891,..,21803,379650,575416,556784,507925,385854,178717,38319,2644468,..,49857,161548,102061,81453,51160,22021,5325,870,474298,..,10134,38535,71110,86594,50818,23607,18125,11983,310903,1298210,..,..,..,..,..,..,..,..,1298210,..,359046,..,..,..,..,..,..,..,359046,..,225938,146707,46631,30953,15123,2694,104,3,468148,..,42254,31063,11747,15023,24923,22751,17161,10537,175457,..,31414,35571,11546,9119,6435,2759,981,363,98193,..,69689,92963,27302,23276,23294,14585,5644,1597,258352,..,20649,61989,66054,86240,119155,122123,93319,51247,620782,19671,27530,29680,17286,16125,17061,14051,7714,3283,152414,1317889,858325,977705,929153,905564,815898,610449,327087,118203,6860274
2,..,36688,36579,8198,6875,7187,4377,1673,521,102101,..,11472,29835,27029,32175,51175,58534,51679,29550,291465,6870,11267,10556,5283,4911,6377,5957,3946,1806,56971,499877,349164,419483,384366,375676,321270,236346,134153,52884,2773215,..,15047,310618,462037,448195,390625,290543,136009,29572,2082645,..,39759,148517,88577,66563,38281,14758,3309,615,400377,..,6035,25976,53515,71006,39698,17050,13124,8186,234597,1012512,..,..,..,..,..,..,..,..,1012512,..,305557,..,..,..,..,..,..,..,305557,..,165517,112229,34304,22597,10264,1657,62,3,346632,..,35980,27432,8667,10500,16425,14153,10851,6310,130314,..,23334,23772,6835,5182,3385,1361,463,197,64523,..,74786,85435,21386,16297,15103,9318,3459,983,226768,..,23263,63694,61551,73823,94166,93118,72102,40112,521833,14058,21508,22977,12862,11255,11541,10318,6279,2636,113443,1026571,710793,820654,749737,725419,619473,452277,245660,88624,5439203
3,..,27091,22555,6572,7887,8143,4908,1701,395,79252,..,7909,17090,16244,25281,40527,46241,36886,19846,210030,7614,11479,8775,4536,5341,6931,5423,2711,1116,53924,418755,274511,300827,298477,298630,257270,193392,97460,36063,2175385,..,13592,214078,333608,340082,304831,237531,100504,19571,1563805,..,55299,128321,78130,60900,35464,15395,3439,482,377437,..,8814,31314,53092,54779,26309,12461,8977,5552,201304,845233,..,..,..,..,..,..,..,..,845233,..,193951,..,..,..,..,..,..,..,193951,..,137865,58593,22850,15195,7390,1305,53,3,243242,..,27837,16434,6750,9342,13982,12753,8829,5071,101002,..,23723,19134,7219,5945,3900,1893,631,184,62632,..,54208,53554,17628,17799,17225,10745,3834,815,175816,..,16139,40127,41637,57838,75822,76840,53541,27135,389079,15362,22489,19572,11750,11448,12405,9821,4463,1590,108899,860599,553928,581133,572666,573330,497332,378750,184265,60397,4262399
4,..,7841,6431,1763,2161,2319,1345,481,117,22462,..,3021,7443,6619,10864,18308,20956,18434,11517,97161,2346,3678,2891,1524,1705,2171,1996,1077,517,17905,136301,94717,102829,99570,107865,101210,79055,44542,18476,784554,..,4439,75285,113422,121223,118801,97195,46140,10403,586897,..,14240,39471,24625,21768,13960,5712,1338,249,121363,..,2452,10162,17801,21262,11258,4439,3518,2243,73132,275141,..,..,..,..,..,..,..,..,275141,..,79255,..,..,..,..,..,..,..,79255,..,47791,25852,8280,5917,2800,465,17,0,91116,..,9484,5574,2094,2777,4108,3165,2210,1416,30828,..,6169,4742,1671,1328,845,348,98,30,15231,..,16434,16035,5085,5333,4925,2795,992,259,51859,..,6260,17732,18079,26913,35104,33699,25869,15473,179120,4852,7188,6742,4049,3885,4044,3534,1724,739,36758,279993,193714,201588,195107,210406,195835,151358,81897,30809,1540706
5,..,9009,10618,2761,2737,2769,1600,592,180,30261,..,3707,10674,8850,12177,20567,22427,19482,10447,108335,3267,4701,4212,2143,2279,2941,2342,1221,577,23683,218937,137587,170664,158712,153863,129909,90479,48945,18056,1127161,..,7027,127210,189563,185712,158266,114386,50966,10469,843599,..,23662,72530,39817,31247,17930,6954,1658,256,194050,..,3501,13628,23219,27031,14091,5725,3816,2339,93350,442998,..,..,..,..,..,..,..,..,442998,..,111877,..,..,..,..,..,..,..,111877,..,72078,34022,10436,6312,3015,520,21,3,126409,..,16649,10713,3427,4209,6061,4987,3499,2033,51574,..,9432,10471,3246,2189,1335,509,174,60,27415,..,19870,27517,8398,7077,6112,3468,1263,349,74039,..,8175,25775,23410,29896,38896,36780,27259,14018,204207,6675,9149,9590,5499,5023,5265,4108,2015,821,48149,449676,281409,331450,307014,298698,250969,177424,90666,30346,2217665
6,..,2121,1579,491,686,850,460,200,49,6434,..,1173,2121,1981,3808,6631,7266,6169,3116,32266,877,1347,846,504,668,1029,922,432,153,6781,41734,27038,27527,29202,33502,33437,25771,13802,4978,236995,..,1207,17737,29193,35404,38410,30800,13409,2641,168808,..,5626,13041,9183,8225,5241,2223,492,80,44115,..,1165,3944,5972,6387,2920,1361,1046,626,23426,83855,..,..,..,..,..,..,..,..,83855,..,20612,..,..,..,..,..,..,..,20612,..,13804,5611,2349,1661,889,143,3,0,24464,..,2116,986,421,681,1108,965,707,380,7365,..,1572,1003,401,355,251,116,50,19,3765,..,4497,3843,1234,1470,1670,1037,399,93,14243,..,2349,4995,5247,8694,12399,11777,8774,4274,58513,1748,2660,2069,1258,1448,1796,1643,745,221,13574,85605,55600,53223,55258,64334,64690,50076,25626,8332,462742
7,..,659,1334,384,393,338,138,38,8,3290,..,286,868,823,1075,1496,1033,528,143,6247,487,536,561,331,380,365,180,52,8,2882,21616,12148,17763,14541,12817,9343,4469,1583,363,94644,..,1923,12830,15529,13313,9737,4756,1286,160,59542,..,2722,7889,4621,3698,1964,590,99,6,21587,..,547,1589,2194,2151,1166,570,262,80,8564,43465,..,..,..,..,..,..,..,..,43465,..,6418,..,..,..,..,..,..,..,6418,..,6388,2748,948,472,133,16,0,0,10697,..,2771,1842,1061,1119,1044,683,379,128,9028,..,989,1337,492,398,263,116,22,3,3617,..,1509,3033,1072,981,750,341,92,19,7788,..,724,2197,2044,2762,3223,2143,905,227,14227,996,1127,1159,725,752,667,326,89,13,5856,44464,25120,34618,28679,25641,18945,9554,3130,652,190798
8,..,3173,2830,441,372,441,183,92,16,7548,..,842,2844,2266,2502,3611,3830,2651,1406,19948,447,890,835,393,376,439,395,214,81,4083,34490,23267,30934,27644,24310,19683,13887,6794,2529,183552,..,982,23541,34242,29238,23561,16743,6933,1505,136749,..,3933,12215,6622,4865,2624,966,194,37,31451,..,347,1628,3580,4476,2288,901,570,338,14130,70328,..,..,..,..,..,..,..,..,70328,..,18460,..,..,..,..,..,..,..,18460,..,9586,5159,1612,900,411,73,3,0,17749,..,2048,1509,490,542,838,743,482,330,6981,..,1831,1684,526,255,156,50,15,7,4529,..,6276,6560,1278,921,850,379,173,41,16477,..,1680,6010,4975,5345,6246,5646,3597,1905,35413,960,1655,1760,942,779,796,657,320,119,7967,71287,46796,60067,54263,47325,37764,26161,12289,4285,360227
9,..,3,4,3,3,5,3,3,0,21,..,5,17,17,15,40,35,25,18,173,8,7,6,7,14,22,9,10,0,76,359,137,185,257,268,271,178,80,22,1771,..,13,163,294,290,307,242,74,14,1392,..,16,49,84,78,50,18,3,0,295,..,4,16,29,42,31,13,6,4,143,725,..,..,..,..,..,..,..,..,725,..,112,..,..,..,..,..,..,..,112,..,98,42,20,16,3,0,0,0,185,..,16,9,9,14,9,16,16,4,90,..,7,0,0,5,4,0,0,3,23,..,3,12,4,3,4,4,3,0,30,..,11,24,41,59,100,68,41,22,367,17,19,18,17,26,35,20,12,0,157,741,293,330,499,536,541,372,160,47,3527
