STE_CODE_2016,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
1,216485,10958,151,118,11227,360,228065,16999,93341,4753,437,98527,76,115602,288,9290,5513,93,14893,18,15196,113,509,49,237,793,7,919,17398,103133,10314,773,114216,96,131709,372,167,13,7,194,505,1071,234253,114266,10482,897,125635,961,360855,226245,9144,148,102,9396,407,236045,14246,82271,4540,417,87229,68,101552,325,8091,5937,71,14103,4,14434,112,410,51,216,679,17,806,14687,90771,10535,704,102009,90,116787,387,129,17,10,158,492,1031,241317,100049,10700,817,111558,989,353865,127563,4527,76,51,4655,207,132426,6666,40081,2573,210,42859,25,49548,153,4302,3804,37,8140,8,8301,67,243,28,110,392,3,457,6883,44628,6404,354,51387,34,58306,242,58,6,3,73,277,595,134693,49219,6486,410,56118,522,191327,80082,2622,43,21,2679,137,82900,4005,24222,1751,127,26106,28,30136,103,2784,2835,24,5646,9,5755,34,138,26,76,242,0,279,4151,27144,4615,227,31990,34,36173,167,34,5,3,41,158,370,84397,29802,4664,249,34713,327,119442,104097,3190,44,41
2,175804,8663,98,103,8866,302,184967,13027,78857,3650,393,82897,77,96001,220,8086,5032,86,13205,12,13436,115,402,48,207,655,6,775,13365,87346,8718,690,96756,86,110216,291,119,11,9,141,393,823,189456,96131,8831,806,105768,780,296009,178388,6994,93,88,7179,307,185875,10708,64682,3144,359,68189,59,78952,202,6814,5084,57,11963,6,12170,108,378,46,157,583,3,691,11011,71875,8281,573,80731,69,91807,309,94,10,5,109,365,776,189702,78960,8383,675,88011,746,278457,100115,3480,47,38,3571,172,103858,5262,31841,1769,167,33778,33,39074,93,3421,3317,32,6766,3,6865,44,160,22,98,276,3,316,5391,35421,5105,295,40823,36,46254,154,46,7,8,58,202,416,105665,38946,5164,336,44451,411,150523,63080,2081,34,24,2141,116,65334,3074,18635,1200,90,19928,24,23025,66,2201,2309,10,4529,0,4601,23,110,11,74,195,0,222,3169,20953,3526,180,24649,27,27848,119,20,5,0,27,93,249,66364,23055,3559,206,26821,236,93424,85413,2685,38,28
3,166963,4987,49,44,5081,285,172329,8870,27482,1208,134,28824,43,37736,193,2893,1738,37,4666,8,4857,98,153,6,97,252,9,360,9162,30523,2955,266,33737,57,42955,296,47,4,3,57,301,650,176416,35559,3003,313,38870,647,215934,176436,4257,51,46,4356,307,181110,7596,23285,1110,116,24508,38,32143,167,2299,1753,20,4073,3,4243,89,149,8,97,253,3,340,7846,25734,2870,230,28837,44,36717,295,41,4,0,44,305,643,184577,30023,2929,278,33231,656,218472,100354,2123,36,21,2179,173,102700,3580,11539,659,51,12247,15,15844,99,1208,1177,9,2389,3,2492,48,76,11,67,149,0,196,3727,12818,1845,123,14785,24,18535,172,20,0,0,19,192,388,104255,14962,1878,141,16985,384,121619,62362,1226,25,21,1274,108,63744,2230,6735,442,30,7214,13,9451,59,755,816,6,1577,0,1635,23,31,5,22,59,0,81,2311,7522,1265,60,8853,15,11171,98,8,0,0,12,96,205,64772,8753,1294,85,10135,216,75120,78642,1514,24,26
4,52362,1668,21,27,1707,93,54161,2604,13147,610,77,13838,3,16441,44,1703,970,17,2687,3,2735,37,64,9,41,113,0,154,2686,14916,1592,133,16636,8,19328,107,21,0,0,28,139,265,55147,16603,1608,156,18367,237,73755,53643,1412,35,18,1464,93,55197,2208,10652,485,57,11189,6,13403,48,1345,1076,7,2424,3,2474,20,60,9,35,104,0,120,2271,12063,1570,93,13720,8,15999,100,23,0,0,27,129,257,56022,13495,1603,106,15203,232,71456,30416,731,17,8,755,44,31208,1111,5299,291,31,5622,3,6733,16,673,754,0,1430,3,1447,13,29,6,25,57,0,76,1143,6005,1048,53,7106,10,8262,52,11,0,0,10,68,128,31607,6747,1063,57,7869,116,39598,19591,428,11,13,454,38,20076,657,3136,161,20,3320,8,3989,12,457,483,9,950,0,961,5,20,0,17,39,0,44,674,3618,648,42,4309,6,4988,31,4,0,0,4,32,67,20287,4049,663,52,4766,78,25133,26582,608,12,10
5,82286,2972,35,26,3042,133,85457,6121,23516,779,106,24400,34,30555,138,2555,1343,20,3920,0,4056,55,137,14,72,226,0,278,6312,26205,2132,197,28546,38,34895,129,47,4,3,55,162,349,88728,29231,2177,232,31635,332,120697,84059,2463,27,18,2506,134,86696,4979,19812,663,101,20577,31,25584,102,2030,1344,11,3384,5,3489,49,99,16,52,170,0,220,5123,21938,2024,166,24129,33,29292,186,31,3,7,42,130,353,89371,24436,2049,189,26670,296,116337,46686,1217,17,4,1238,75,47991,2382,9978,358,46,10385,12,12785,62,1000,936,13,1955,0,2008,29,60,9,36,105,0,133,2467,11043,1310,94,12440,12,14925,86,11,0,3,14,63,165,49238,12271,1327,96,13692,148,63081,28319,682,12,13,703,40,29062,1439,5994,257,25,6274,7,7713,42,591,624,4,1217,3,1262,10,38,7,19,59,0,71,1489,6622,885,45,7548,9,9047,64,11,0,0,6,35,105,29870,7312,893,55,8257,86,38218,37837,949,12,13
6,17876,247,3,13,259,35,18169,550,1120,34,9,1166,3,1715,15,132,164,0,295,0,305,10,0,0,0,0,0,9,568,1249,197,11,1463,3,2036,28,6,0,0,6,38,72,18475,1498,201,19,1723,81,20270,19275,262,3,0,265,44,19585,491,807,44,4,860,6,1355,6,95,162,0,253,0,267,3,3,0,0,3,0,8,500,909,203,4,1116,6,1629,37,0,0,0,0,20,64,19822,1168,206,11,1387,70,21273,11101,134,0,0,137,28,11262,188,397,23,0,419,0,610,11,58,108,0,172,0,177,3,0,0,0,4,0,7,203,456,132,4,593,0,796,30,0,0,0,0,10,40,11330,594,132,4,728,38,12094,6945,69,0,0,76,27,7040,118,232,14,0,248,0,370,5,22,67,0,91,0,98,3,0,0,0,0,0,7,122,258,84,0,345,0,471,25,0,0,0,0,12,40,7091,334,84,0,421,35,7553,9228,101,3,4
7,6761,265,6,3,275,12,7045,638,3991,92,15,4094,7,4740,14,208,154,3,361,4,375,6,13,0,43,54,0,68,661,4204,246,61,4517,7,5183,14,0,0,0,0,60,70,7436,4476,247,68,4791,77,12304,6149,281,7,0,288,7,6443,449,3757,112,16,3882,8,4340,11,171,157,3,330,0,337,6,14,0,38,54,0,58,467,3939,269,53,4260,12,4732,5,0,0,0,0,51,58,6618,4217,275,53,4545,70,11231,3085,128,7,0,130,4,3222,228,2018,71,9,2097,0,2326,15,98,85,0,185,0,195,3,10,0,29,32,0,40,246,2125,154,32,2311,0,2562,5,0,0,0,0,28,32,3338,2250,158,32,2442,30,5812,1844,71,3,0,76,3,1929,136,1268,44,3,1314,0,1443,9,58,68,3,126,0,132,0,5,0,12,12,0,14,145,1328,105,15,1445,0,1593,4,0,0,0,0,24,25,1994,1395,113,12,1522,30,3542,2128,73,0,0
8,14047,714,3,0,723,12,14781,1096,5166,144,29,5339,0,6444,11,329,128,0,460,0,469,11,28,0,13,43,0,56,1120,5526,269,47,5843,0,6961,14,3,0,0,3,10,29,15181,6251,275,46,6566,26,21780,13373,543,4,3,557,12,13938,885,4279,125,24,4424,5,5319,11,232,127,0,359,0,369,5,22,3,3,24,0,33,908,4533,253,29,4811,5,5725,15,10,0,0,6,17,36,14293,5080,263,31,5377,36,19703,7198,234,4,0,237,6,7445,425,1880,77,7,1968,0,2389,3,134,78,0,215,0,222,5,6,0,0,8,0,15,429,2021,153,10,2190,0,2623,6,3,0,0,3,7,23,7635,2263,159,17,2432,20,10086,4373,149,0,0,149,5,4531,278,1085,46,7,1143,0,1421,4,68,46,3,115,0,120,0,3,0,3,6,0,6,282,1156,99,14,1263,0,1551,3,0,0,0,0,4,13,4666,1304,99,14,1413,11,6091,6094,192,0,0
9,68,8,0,0,15,0,78,8,96,6,0,103,0,108,0,13,4,0,16,0,16,0,0,0,0,3,0,3,8,104,5,0,114,0,124,0,0,0,0,0,0,0,81,121,5,3,128,0,206,66,9,0,0,15,0,78,16,95,7,0,101,0,119,0,7,7,0,10,0,10,0,0,0,0,0,0,0,16,108,9,0,115,0,135,0,0,0,0,0,3,3,86,116,9,0,123,3,216,30,10,0,0,10,0,40,3,48,0,0,47,0,47,0,3,0,0,3,0,3,0,0,0,0,0,0,0,3,51,0,0,48,0,57,0,0,0,0,0,0,3,34,62,0,0,63,0,100,22,0,0,0,0,0,22,0,41,3,0,40,0,44,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,41,4,0,44,0,44,0,0,0,0,0,0,0,23,44,4,0,44,0,70,11,0,0,0
