STE_CODE_2016,MSEO_SEO,MSEO_SOLSE_VWorW,MSEO_SOLSE_NWorNAA,MSEO_SOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_SOLSE_VWorW,MOL_Afrikaans_SOLSE_NWorNAA,MOL_Afrikaans_SOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_SOLSE_VWorW,MOL_Arabic_SOLSE_NWorNAA,MOL_Arabic_SOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_SOLSE_VWorW,MOL_AIndLng_SOLSE_NWorNAA,MOL_AIndLng_SOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_SOLSE_VWorW,MOL_CL_Canton_SOLSE_NWorNAA,MOL_CL_Canton_SOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_SOLSE_VWorW,MOL_CL_Mandarin_SOLSE_NWorNAA,MOL_CL_Mandarin_SOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_SOLSE_VWorW,MOL_CL_Oth_SOLSE_NWorNAA,MOL_CL_Oth_SOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_SOLSE_VWorW,MOL_CL_Tot_SOLSE_NWorNAA,MOL_CL_Tot_SOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_SOLSE_VWorW,MOL_Croatian_SOLSE_NWorNAA,MOL_Croatian_SOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_Dutch_SEO,MOL_Dutch_SOLSE_VWorW,MOL_Dutch_SOLSE_NWorNAA,MOL_Dutch_SOLSE_Tot,MOL_Dutch_NS,MOL_Dutch_Tot,MOL_French_SEO,MOL_French_SOLSE_VWorW,MOL_French_SOLSE_NWorNAA,MOL_French_SOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_SOLSE_VWorW,MOL_German_SOLSE_NWorNAA,MOL_German_SOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_SOLSE_VWorW,MOL_Greek_SOLSE_NWorNAA,MOL_Greek_SOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_SOLSE_VWorW,MOL_IAL_Bengali_SOLSE_NWorNAA,MOL_IAL_Bengali_SOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_SOLSE_VWorW,MOL_IAL_Hindi_SOLSE_NWorNAA,MOL_IAL_Hindi_SOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_SOLSE_VWorW,MOL_IAL_Punjabi_SOLSE_NWorNAA,MOL_IAL_Punjabi_SOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_SOLSE_VWorW,MOL_IAL_Sinhal_SOLSE_NWorNAA,MOL_IAL_Sinhal_SOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_SOLSE_VWorW,MOL_IAL_Urdu_SOLSE_NWorNAA,MOL_IAL_Urdu_SOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_SOLSE_VWorW,MOL_IAL_Oth_SOLSE_NWorNAA,MOL_IAL_Oth_SOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_SOLSE_VWorW,MOL_IAL_Tot_SOLSE_NWorNAA,MOL_IAL_Tot_SOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_SOLSE_VWorW,MOL_Italian_SOLSE_NWorNAA,MOL_Italian_SOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_SOLSE_VWorW,MOL_Japan_SOLSE_NWorNAA,MOL_Japan_SOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Korean_SEO,MOL_Korean_SOLSE_VWorW,MOL_Korean_SOLSE_NWorNAA,MOL_Korean_SOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_SOLSE_VWorW,MOL_Macedon_SOLSE_NWorNAA,MOL_Macedon_SOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Maltese_SEO,MOL_Maltese_SOLSE_VWorW,MOL_Maltese_SOLSE_NWorNAA,MOL_Maltese_SOLSE_Tot,MOL_Maltese_NS,MOL_Maltese_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_SOLSE_VWorW,MOL_Persian_ED_SOLSE_NWorNAA,MOL_Persian_ED_SOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_SOLSE_VWorW,MOL_Polish_SOLSE_NWorNAA,MOL_Polish_SOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Russian_SEO,MOL_Russian_SOLSE_VWorW,MOL_Russian_SOLSE_NWorNAA,MOL_Russian_SOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_SOLSE_VWorW,MOL_Samoan_SOLSE_NWorNAA,MOL_Samoan_SOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_SOLSE_VWorW,MOL_Serbian_SOLSE_NWorNAA,MOL_Serbian_SOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_SOLSE_VWorW,MOL_SAL_Filipin_SOLSE_NWorNAA,MOL_SAL_Filipin_SOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_SOLSE_VWorW,MOL_SAL_Indon_SOLSE_NWorNAA,MOL_SAL_Indon_SOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_SOLSE_VWorW,MOL_SAL_Tagalog_SOLSE_NWorNAA,MOL_SAL_Tagalog_SOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_SOLSE_VWorW
1,2536108,..,..,..,..,2536108,..,3743,52,3795,26,3823,..,86684,14344,101035,964,101993,..,843,46,880,35,921,..,50283,16521,66807,342,67153,..,78884,30382,109265,638,109905,..,6196,2284,8478,46,8525,..,135363,49182,184549,1031,185578,..,8893,1218,10115,98,10215,..,3836,75,3916,48,3960,..,10888,463,11351,102,11454,..,10113,305,10417,126,10551,..,33871,5117,38994,368,39366,..,16199,887,17083,104,17195,..,32339,1089,33425,266,33693,..,16629,1476,18102,171,18273,..,5380,175,5558,24,5580,..,15670,971,16641,189,16829,..,31657,1841,33496,255,33754,..,117875,6443,124315,1007,125317,..,32405,3873,36284,453,36730,..,5928,1068,6991,58,7046,..,19381,8974,28352,262,28618,..,11854,1934,13795,177,13972,..,5450,396,5843,84,5933,..,9509,2041,11549,116,11662,..,5570,578,6145,51,6199,..,6853,1095,7947,41,7990,..,7035,737,7772,161,7932,..,8553,1701,10253,111,10365,..,9689,271,9964,82,10040,..,12741,1229,13968,96,14071,..,17868,502,18366,176,18548,..,2349
2,1981356,..,..,..,..,1981356,..,2703,40,2745,21,2763,..,34403,5431,39835,432,40267,..,229,8,234,9,247,..,28170,8228,36396,218,36622,..,64573,21493,86066,497,86562,..,6717,2379,9094,44,9140,..,99460,32099,131555,765,132323,..,8431,1187,9619,112,9728,..,3697,93,3786,46,3831,..,8672,343,9014,82,9101,..,8767,231,9003,102,9103,..,44751,8051,52806,471,53275,..,5480,261,5744,45,5791,..,25751,943,26693,193,26892,..,28581,2603,31182,343,31523,..,18126,800,18924,139,19064,..,12613,822,13440,132,13569,..,16076,1073,17148,120,17271,..,106638,6499,113134,979,114117,..,45672,6038,51703,769,52468,..,4084,662,4742,38,4777,..,5247,2009,7257,60,7315,..,12277,2030,14307,170,14473,..,7254,563,7824,90,7914,..,6996,1695,8697,89,8785,..,5786,662,6450,60,6506,..,6495,1248,7747,51,7793,..,5028,515,5540,86,5630,..,6875,1350,8225,94,8322,..,7080,199,7274,53,7332,..,7117,506,7616,55,7673,..,9224,258,9484,70,9558,..,3127
3,1889220,..,..,..,..,1889220,..,6049,98,6150,32,6184,..,6130,1096,7226,70,7294,..,5580,691,6269,298,6569,..,9153,2371,11522,80,11603,..,23468,7288,30756,164,30925,..,1399,544,1944,11,1958,..,34020,10204,44226,261,44481,..,1695,200,1892,14,1914,..,3154,79,3230,32,3262,..,5261,285,5542,58,5598,..,7334,228,7567,62,7628,..,4631,453,5081,36,5117,..,1784,132,1921,12,1932,..,8772,312,9088,77,9165,..,9149,831,9983,102,10088,..,2814,123,2938,15,2954,..,2543,194,2736,22,2760,..,6865,602,7468,43,7512,..,31941,2193,34130,274,34408,..,8857,844,9695,164,9860,..,5651,1173,6823,46,6867,..,6337,3139,9480,60,9541,..,533,59,589,7,595,..,579,33,620,10,631,..,3025,475,3502,21,3517,..,2096,171,2265,25,2287,..,2142,265,2400,19,2419,..,6533,690,7225,124,7345,..,2026,314,2339,18,2353,..,4030,140,4167,33,4197,..,2138,153,2285,22,2309,..,5847,197,6042,57,6096,..,1339
4,646641,..,..,..,..,646641,..,1153,15,1166,12,1175,..,4083,782,4867,40,4903,..,1380,214,1592,31,1625,..,3676,996,4678,43,4723,..,9986,3172,13162,76,13245,..,772,339,1111,7,1116,..,14432,4517,18951,125,19079,..,1297,172,1467,10,1478,..,1099,22,1125,13,1137,..,1180,53,1235,17,1251,..,2733,82,2822,34,2849,..,9750,1314,11066,127,11195,..,1162,73,1236,4,1240,..,3597,194,3791,33,3826,..,4520,461,4982,46,5031,..,1250,69,1321,12,1336,..,1430,142,1572,15,1590,..,4180,810,4983,42,5025,..,16141,1749,17891,159,18052,..,12021,1483,13506,204,13711,..,816,113,930,6,940,..,1216,446,1660,9,1675,..,297,25,319,0,319,..,344,20,366,11,379,..,1959,523,2485,23,2506,..,2258,252,2507,19,2524,..,1264,187,1451,4,1454,..,66,6,75,0,76,..,1673,390,2066,14,2077,..,1466,62,1527,16,1540,..,732,86,818,5,823,..,2109,67,2175,15,2193,..,717
5,931004,..,..,..,..,931004,..,6874,121,6992,50,7048,..,6300,1092,7400,86,7484,..,4281,467,4751,222,4974,..,7175,1809,8985,54,9038,..,16966,5283,22248,118,22368,..,1688,376,2063,13,2078,..,25830,7467,33299,184,33483,..,2338,267,2605,37,2641,..,2170,38,2215,28,2235,..,4328,226,4552,41,4598,..,4121,126,4250,51,4302,..,2137,178,2317,14,2337,..,1606,81,1686,7,1695,..,5473,235,5703,53,5754,..,6244,557,6804,58,6862,..,2377,102,2480,17,2500,..,2908,193,3100,27,3129,..,5951,351,6300,35,6340,..,24553,1526,26076,197,26279,..,12612,1271,13882,199,14079,..,2001,378,2381,20,2400,..,2391,1159,3546,22,3574,..,2593,263,2862,32,2893,..,168,3,172,3,173,..,2972,494,3462,23,3486,..,2392,207,2599,27,2625,..,1106,114,1223,12,1233,..,484,31,515,5,523,..,2090,378,2471,26,2492,..,4551,171,4720,45,4763,..,4406,344,4751,33,4782,..,6855,240,7094,59,7148,..,3185
6,220342,..,..,..,..,220342,..,176,3,186,0,186,..,402,57,455,3,463,..,25,0,27,0,27,..,363,97,463,8,470,..,1493,302,1802,20,1821,..,103,35,143,3,144,..,1966,437,2403,29,2433,..,122,14,130,0,130,..,379,8,385,3,393,..,364,9,371,3,376,..,691,23,706,7,715,..,537,58,598,6,604,..,84,4,84,0,84,..,297,15,316,4,320,..,240,25,264,0,268,..,105,0,109,0,112,..,159,14,168,3,177,..,610,338,945,13,956,..,1491,397,1891,24,1915,..,509,36,544,9,549,..,209,29,241,3,249,..,181,70,256,3,256,..,11,0,7,0,8,..,10,0,11,0,11,..,172,121,296,0,293,..,275,17,296,0,293,..,130,15,141,0,141,..,29,0,29,0,28,..,50,6,56,3,58,..,74,3,79,0,76,..,97,5,104,3,109,..,135,9,142,6,148,..,115
7,69200,..,..,..,..,69200,..,141,0,141,0,141,..,221,13,232,4,237,..,14160,2375,16532,458,16996,..,263,78,343,0,341,..,678,269,947,5,952,..,248,72,324,0,322,..,1187,420,1609,11,1618,..,20,4,23,0,24,..,125,0,125,0,128,..,291,26,320,4,327,..,352,10,364,0,364,..,1433,284,1718,22,1739,..,254,10,261,0,259,..,472,13,485,12,494,..,357,15,379,0,380,..,235,13,245,3,250,..,245,21,264,0,264,..,812,45,853,4,861,..,2376,110,2483,20,2503,..,374,33,407,3,405,..,201,68,270,0,270,..,125,59,188,3,188,..,14,0,14,0,14,..,5,0,5,0,5,..,73,13,83,0,84,..,56,0,58,0,58,..,51,3,53,0,56,..,59,5,58,0,58,..,31,0,31,0,33,..,891,28,914,7,922,..,458,49,508,3,508,..,1294,48,1336,15,1356,..,293
8,143048,..,..,..,..,143048,..,315,3,317,0,318,..,1357,205,1568,23,1588,..,64,3,63,0,63,..,1461,343,1800,8,1811,..,4698,1031,5731,24,5760,..,353,105,452,0,454,..,6512,1480,7988,32,8024,..,981,103,1077,8,1082,..,247,5,255,3,257,..,893,31,930,14,939,..,834,18,850,11,857,..,1077,88,1165,5,1167,..,949,47,995,12,1003,..,1752,55,1802,8,1816,..,1060,100,1161,11,1173,..,801,28,825,8,839,..,1212,62,1273,15,1286,..,1052,60,1106,9,1117,..,6824,346,7170,60,7229,..,1442,119,1560,16,1575,..,430,46,480,3,481,..,818,329,1146,10,1151,..,264,25,290,6,288,..,67,0,67,0,67,..,441,53,488,0,495,..,464,24,489,3,496,..,343,32,377,3,376,..,194,32,222,3,227,..,464,71,534,5,533,..,522,15,535,3,538,..,560,50,612,5,616,..,652,16,667,5,674,..,210
9,896,..,..,..,..,896,..,6,0,6,0,6,..,0,0,0,0,0,..,12,0,12,0,12,..,30,19,44,0,44,..,99,75,170,0,170,..,9,9,19,0,19,..,135,106,234,0,234,..,0,0,0,0,0,..,4,0,4,0,4,..,3,0,3,0,3,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,7,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,5,0,5,..,0,0,3,0,3,..,15,4,16,0,16,..,239
