STE_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
1,56,245,1675,3992,913,586,248,73,17,7802,217293,408146,355624,584353,284064,259719,188515,92964,34862,2425532,192,589,1305,8877,1506,955,184,18,7,13637,3,16,182,1140,737,694,392,299,42,3503,24,102,342,1844,1336,1049,590,182,69,5531,89,366,516,2518,1176,816,465,164,47,6158,18,87,191,1945,1356,1020,1274,405,45,6331,827,2912,19713,39457,14902,13148,7021,4161,1488,103638,9,31,133,898,1173,1413,1816,1841,319,7640,96,471,413,2518,1329,1971,1981,1058,382,10214,814,5059,5006,25580,22533,20065,22022,11727,3811,116617,29,383,1046,6065,3440,2765,1298,502,102,15631,57,300,546,3062,857,498,466,182,62,6018,49,289,566,2388,1734,1843,4285,2053,639,13838,22,207,280,827,1187,2237,3733,4228,1279,14001,198,752,2634,6972,2817,4305,1859,615,129,20271,1666,4640,7438,46427,7712,4609,2748,1248,375,76869,105,472,2547,6571,1696,1310,1022,419,117,14256,82,595,1010,6654,1745,1294,748,311,105,12539,169,1405,2729,7861,4054,2440,1224,538,139,20557
2,81,701,2745,5350,1294,558,198,48,16,10983,171938,305442,278997,482426,236537,198529,132570,63016,24284,1893746,49,268,473,2761,432,213,68,8,7,4279,3,23,270,1466,819,795,403,282,30,4094,25,157,622,2268,1343,1027,488,160,50,6153,88,323,324,1734,760,483,250,78,38,4065,19,56,83,1166,755,579,644,176,16,3503,683,3042,18243,27615,8194,6565,3208,1783,615,69940,10,26,120,859,1281,1558,1779,1635,260,7536,54,508,366,1381,795,1257,1334,729,257,6679,588,3816,4104,17664,16502,15422,16345,8871,3043,86359,16,159,410,2013,1071,763,351,148,47,4972,36,193,372,1683,558,331,358,147,43,3721,55,227,513,1904,1361,1512,4115,2183,659,12525,30,313,383,1205,2338,3877,5979,6518,1738,22378,132,491,1681,4138,1184,1614,707,276,42,10263,1687,5122,11424,58001,7265,4626,2845,1143,346,92450,97,333,1952,3658,663,426,384,179,58,7754,96,851,1019,5164,1033,523,293,89,27,9094,116,799,1222,3934,1963,930,405,158,43,9564
3,4,134,581,1016,157,88,31,10,0,2028,138438,267900,235261,414785,204162,182915,134305,60864,19484,1658125,33,132,129,912,193,83,17,4,0,1495,0,5,101,542,343,312,148,96,10,1563,11,59,69,273,215,144,61,27,8,868,113,350,437,1879,846,649,470,180,48,4970,8,36,70,418,204,126,134,49,9,1052,232,904,5033,8545,2097,1560,988,468,186,20009,0,9,44,231,293,344,397,441,57,1817,29,148,102,311,138,181,263,130,42,1354,487,4752,5725,15744,18888,15714,17943,9474,2735,91461,25,245,492,2286,1149,910,470,190,40,5802,23,132,320,1122,499,336,350,126,45,2952,33,175,459,1546,1331,1363,2891,1602,372,9772,0,33,42,159,158,307,469,458,147,1761,45,227,1219,1882,549,741,314,133,19,5125,463,1624,3378,16636,2223,1178,854,405,137,26905,51,231,434,976,262,271,328,207,86,2855,38,314,324,2017,423,231,137,52,16,3546,51,222,148,664,266,126,31,22,5,1532
4,27,276,1079,1713,473,218,55,8,4,3860,45910,86066,82823,148426,77176,69462,49775,22344,8574,590563,29,140,63,665,83,22,6,5,0,1022,0,3,60,338,189,212,80,61,4,948,11,50,81,522,374,237,142,44,11,1474,23,66,92,378,187,169,104,25,18,1063,3,13,16,133,60,59,56,21,0,357,123,437,3595,4848,858,615,400,169,56,11109,0,0,26,215,185,265,326,345,76,1447,14,78,48,227,53,99,141,84,18,773,148,1647,2074,5381,10220,10544,9235,5947,2106,47294,0,24,48,230,107,89,38,20,3,558,8,31,53,189,132,93,76,37,7,628,15,59,114,405,482,736,1759,720,408,4693,0,27,50,171,302,754,1164,1296,420,4179,15,50,731,613,107,172,94,47,3,1829,320,1391,1475,9043,1194,509,389,193,94,14607,41,100,114,414,65,64,63,42,13,908,39,272,326,1181,297,158,94,47,12,2429,10,82,131,342,147,77,25,10,0,821
5,18,132,883,1801,360,149,40,11,3,3402,74253,126845,108975,197900,87480,75337,48755,21988,7318,748850,20,121,107,868,161,69,33,6,0,1390,0,5,92,542,248,250,122,42,6,1309,10,18,46,221,119,88,33,10,12,554,35,216,212,896,433,381,168,74,24,2438,7,32,43,308,137,149,85,26,6,792,138,755,2780,5703,1549,842,449,199,94,12501,5,12,60,394,274,443,538,462,102,2293,17,160,62,350,115,175,184,89,21,1178,490,4965,6541,19990,21982,16882,15531,8385,2504,97265,4,36,47,277,126,93,44,16,0,638,27,122,164,1017,276,165,130,46,10,1966,12,130,249,1128,736,616,1490,516,124,5000,3,25,17,80,96,183,314,321,92,1136,22,150,529,1370,306,313,153,81,17,2936,470,1702,2919,14366,2639,1622,1513,702,241,26173,93,418,812,1964,497,317,271,130,27,4525,26,206,291,1702,444,252,131,58,18,3134,36,160,228,793,403,161,50,19,4,1848
6,0,8,45,62,21,5,0,0,0,145,13540,28858,27081,46254,27058,27229,19679,8976,2859,201535,0,6,8,44,3,3,0,0,0,66,0,0,3,17,12,12,13,10,4,64,0,0,0,3,3,0,0,0,0,10,3,21,23,141,56,68,51,16,0,390,0,5,4,32,21,11,13,4,0,94,17,47,400,703,63,57,45,20,7,1347,0,0,3,6,11,18,36,58,9,141,3,14,5,17,3,11,10,8,0,75,26,186,200,841,1577,2008,2713,1485,410,9435,0,7,5,31,24,22,7,9,0,109,3,7,5,58,32,27,29,5,3,165,4,14,27,114,112,154,316,176,78,998,0,0,3,15,16,57,71,69,18,255,0,14,49,88,18,39,17,6,0,236,18,57,116,604,102,58,53,30,7,1052,3,13,16,38,12,4,25,14,11,137,23,83,49,94,14,10,9,0,0,288,3,8,3,26,7,4,0,0,0,56
7,0,0,23,31,3,0,0,0,0,51,7798,13450,12500,25244,10376,7604,3536,967,207,81677,0,10,59,153,16,11,3,3,0,252,0,0,0,8,3,0,6,0,0,19,0,5,8,34,21,22,4,4,0,108,3,13,10,59,22,31,16,4,0,163,0,0,0,11,4,3,0,0,0,27,7,44,80,240,66,25,28,14,0,500,0,0,0,3,10,0,9,5,0,30,0,4,3,10,4,0,5,0,0,28,19,132,178,702,700,592,478,126,31,2956,3,17,20,88,47,28,4,4,3,213,0,9,24,105,31,17,15,0,0,208,0,7,24,87,55,75,105,55,9,415,12,60,74,176,91,121,129,65,12,732,0,6,16,65,17,23,17,3,0,135,48,159,154,1275,177,85,34,20,4,1955,13,31,69,178,37,24,35,5,0,387,0,4,7,66,11,3,0,0,0,95,0,4,3,16,8,0,0,0,0,31
8,0,9,53,112,37,30,13,3,0,254,12643,20813,20547,38833,16119,12599,8108,3184,1159,134014,7,39,55,439,86,61,17,4,0,712,0,3,9,58,32,48,24,23,7,199,0,3,21,70,33,20,11,3,0,163,16,51,58,179,121,60,41,12,0,534,4,5,8,125,55,56,54,24,3,333,32,101,1952,1957,403,356,186,69,29,5091,0,0,5,54,95,95,176,169,23,627,9,22,18,88,33,33,26,12,3,246,32,317,343,1094,1322,1288,1181,652,227,6453,0,21,35,183,83,61,20,12,3,419,3,31,28,132,68,18,15,14,6,320,9,25,49,173,127,112,336,138,57,1023,3,11,18,39,37,71,130,131,33,464,6,33,160,318,105,132,46,26,6,833,103,372,427,3492,485,276,142,72,29,5392,15,79,69,256,60,26,26,11,3,555,0,29,34,251,69,39,22,8,0,458,4,34,36,131,41,25,19,0,0,302
9,0,0,0,3,0,0,0,0,0,6,120,233,149,281,171,184,115,49,12,1313,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,14,16,7,0,65,4,0,0,13,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,9,0,0,0,4,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,7,0,0,11,22,0,0,0,0,0,29,0,0,0,9,0,0,0,0,0,15
