STE_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
1,1732,36494,133738,100591,97224,79423,34625,10760,4216,498807,554,15688,98307,77854,70595,52528,18922,4853,1786,341092,272,6442,77918,74217,66074,46427,14015,3673,1510,290547,148,2477,47997,59326,51780,34823,9116,2374,1011,209058,164,1998,64540,102608,83247,50630,13407,3602,1379,321562,465,1190,21722,67297,66796,38226,13424,4523,1990,215643,40942,40631,90340,75312,73314,69037,64211,50411,38132,542326,448425,489673,1067524,1002886,977984,889763,677020,373115,167506,6093895
2,1061,25642,117956,84132,81324,61821,24164,7657,3287,407041,311,9424,84206,65993,58799,41049,13420,3469,1422,278098,210,3720,59880,60349,53396,35718,9803,2624,1115,226824,103,1480,33544,44600,39237,25306,6403,1687,741,153095,174,1279,41788,70485,59071,35105,9266,2575,1061,220801,382,1044,13185,43637,45438,26071,9480,3222,1417,143877,32924,32554,71062,58843,58102,53603,50289,38765,26966,423108,356340,413792,889190,805920,780420,677453,509599,285006,127993,4845710
3,1421,24355,80894,68898,68252,50905,19714,5582,2048,322062,463,10950,57133,51873,48993,33361,10264,2350,753,216133,229,4571,43146,49466,47282,30361,7260,1662,572,184552,109,2043,25042,33903,32111,19681,4616,1075,384,118970,107,1836,32616,52180,49150,27337,6250,1555,538,171566,288,815,10480,28436,30739,18059,6138,2049,723,97722,27938,28530,57850,50934,52324,47197,41431,28659,20549,355411,296287,316860,646694,628124,631705,552886,422601,209818,85528,3790497
4,267,6498,27708,23821,25594,20929,8386,2482,1167,116846,92,2657,18461,16823,17294,12861,4343,966,417,73918,53,979,13501,15354,15295,11502,2914,722,338,60660,38,350,7289,10815,11208,8165,1959,448,211,40479,27,343,7469,14336,15248,9981,2469,638,268,50778,107,221,2127,6517,8245,6015,2455,831,440,26956,8248,7095,14945,13384,14899,14514,13711,10599,8329,105720,100686,107986,218107,209468,226891,213923,168852,93258,44479,1383650
5,744,12860,44089,32816,33219,26159,10380,2941,1177,164378,228,6821,33767,26813,25947,18519,5926,1294,434,119761,129,3430,28804,25749,25160,17216,4463,972,321,106232,69,1742,19740,21103,20146,13515,3061,635,248,80255,73,2061,30401,39061,36916,22250,4644,980,328,136713,140,781,11782,25054,26032,14951,4196,1171,400,84514,13738,14471,36749,29691,28266,23851,19328,14731,10515,191347,149997,160332,379178,345038,334959,282042,199669,104095,42420,1997726
6,90,1806,7266,6662,7746,6598,2553,803,304,33831,24,714,4615,4797,5236,4051,1185,276,117,21023,16,253,3080,4119,4836,3637,793,211,97,17032,12,99,1675,2901,3376,2357,452,117,54,11031,3,72,1487,3224,3981,2659,624,173,68,12294,30,84,458,1339,1903,1555,635,211,100,6317,3042,2254,4260,4185,4980,5633,5512,3721,2060,35649,31078,29865,58034,59830,70050,72160,57381,29604,11767,419752
7,169,1751,4798,3138,2908,2056,715,132,36,15695,41,998,3948,2731,2582,1698,466,60,8,12546,31,486,3239,2790,2450,1600,343,58,5,11013,7,197,1953,2205,2237,1462,279,22,3,8359,14,195,2967,3616,3341,2144,374,51,9,12720,17,90,1260,1849,1820,1135,269,44,6,6485,2996,3033,7271,5333,4818,3537,1815,631,201,29640,14077,16644,43036,34630,31310,23296,11661,3771,938,179359
8,171,3244,8538,5239,4323,4003,2706,953,386,29572,36,1658,9308,5483,4371,3562,1815,533,214,26984,19,554,7831,6451,5366,3549,1467,400,151,25781,9,152,4427,5110,4048,2600,905,214,99,17564,23,120,5793,11276,10398,5655,1430,299,132,35131,21,58,1243,4107,5142,3155,874,244,98,14955,1545,2178,4675,3552,3070,2553,2141,1648,1419,22778,24507,31430,66119,58407,50989,41506,29453,14363,6158,322917
9,0,15,49,56,63,58,26,0,0,276,3,8,30,37,38,42,24,0,0,185,0,12,24,32,44,36,17,5,0,172,0,0,23,43,36,32,11,0,0,152,0,4,31,48,64,41,12,0,0,206,0,0,7,15,11,13,6,0,0,59,49,72,179,124,125,102,68,30,12,762,215,210,573,642,711,709,478,182,58,3773
