STE_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_650_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
1,1289,5454,12289,1194,3780,8787,32790,371,4717,847,1204,511,115,7766,3835,37488,5992,2660,1936,539,52452,13530,19845,9978,4290,2495,551,50688,12187,8901,9608,1482,1460,300,33932,29364,7864,12985,1516,4064,376,56175,69812,7812,20755,1498,2972,560,103409,137506,4982,26036,1192,2984,656,173354,101848,1239,16032,403,1549,380,121444,62055,386,9137,145,734,184,72632,34858,199,5406,103,371,118,41057,17859,94,3288,62,201,56,21559,9999,47,1873,35,117,31,12102,16974,46,3986,17,289,60,21378,8067,5832,7102,1626,2357,1194,26178,519539,104902,145327,17414,25827,13909,826922
2,1109,2803,10449,609,1927,6679,23570,436,2719,988,603,331,84,5154,3849,20743,6186,1526,1382,404,34090,12517,9042,10212,2357,1695,365,36183,12993,4333,8532,1149,1175,216,28396,42065,3760,13622,1196,2284,361,63280,113361,3169,22684,811,2904,579,143504,120954,1464,16819,366,1552,425,141574,48670,284,7528,144,535,166,57325,22122,114,3475,53,260,68,26085,9926,67,1656,25,120,31,11826,4910,38,1023,23,70,17,6080,2525,27,519,6,44,15,3128,5763,22,1292,7,135,40,7252,7419,3249,5932,886,1523,881,19901,408621,51813,110916,9752,15913,10340,607354
3,782,3683,6904,530,6225,5757,23887,242,4699,585,438,926,75,6960,2191,17805,4703,1303,1950,285,28227,9329,10999,8245,2094,2544,388,33602,11426,3698,8833,755,1708,260,26681,34876,4328,14532,1033,4989,399,60156,87393,3318,24748,881,3626,677,120638,124276,1063,26445,702,2581,654,155716,48681,162,9487,157,791,187,59470,16097,65,3370,48,299,48,19930,6293,47,1373,21,125,24,7878,2724,32,667,5,69,12,3508,1308,17,327,7,28,0,1690,1780,20,643,6,98,18,2563,4832,2930,4129,677,2184,818,15565,352216,52858,114992,8675,28143,9597,566478
4,249,2240,3138,408,1076,2092,9192,124,6351,404,753,196,117,7950,1401,10429,2944,1299,958,186,17209,4666,6009,4899,1886,1056,171,18688,4499,2161,4501,623,596,87,12463,15566,2379,8357,656,1342,174,28471,28508,1570,12416,412,1208,186,44294,19165,424,6919,115,476,91,27190,4819,62,1643,42,101,24,6695,1466,32,506,12,58,15,2093,597,22,199,9,25,6,855,269,29,104,6,22,0,423,131,22,51,3,10,3,222,183,72,109,3,21,12,398,1184,1812,1616,552,574,293,6037,82835,33595,47806,6773,7714,3450,182180
5,408,2552,4492,490,4655,3350,15953,76,2175,322,384,481,54,3492,552,10972,2393,832,1827,143,16716,1605,6048,3512,1320,1532,147,14167,2058,2358,3444,308,956,82,9205,7085,2324,5695,289,1661,110,17165,25092,1723,13044,272,1783,192,42111,47124,696,19437,198,1929,272,69649,20848,139,7603,58,675,97,29420,7198,56,2344,20,181,19,9818,3073,37,962,11,98,18,4199,1675,21,508,4,59,9,2285,862,10,237,3,37,9,1159,1496,22,566,4,117,15,2213,1790,1886,2322,347,1495,319,8157,120950,31032,66881,4539,17472,4836,245705
6,91,642,1094,109,507,861,3296,56,1314,179,138,79,28,1792,636,2800,1289,496,269,74,5567,2566,2165,2393,582,354,110,8165,2489,1045,2297,210,232,48,6320,5624,538,3632,94,350,65,10297,6271,192,3555,76,334,40,10471,3106,68,1414,43,109,17,4750,777,22,327,9,14,6,1161,214,12,105,0,9,0,344,62,10,40,0,7,0,108,30,3,14,0,4,0,53,5,3,3,0,0,3,19,24,22,34,3,3,0,82,291,460,453,99,228,83,1620,22235,9284,16827,1855,2493,1335,54034
7,109,2812,271,708,1737,656,6289,3,1219,16,93,257,11,1598,39,1282,112,160,307,14,1911,69,693,157,89,288,14,1317,118,201,205,75,162,3,766,344,260,280,33,1008,10,1928,1189,158,554,22,408,18,2348,2862,161,1214,24,237,24,4517,2992,117,1192,4,176,12,4496,2000,28,605,0,78,7,2714,1047,9,273,0,33,10,1372,470,5,102,0,21,3,608,190,6,51,0,8,0,253,210,3,66,0,44,3,321,257,810,210,155,810,64,2304,11903,7772,5296,1362,5554,852,32737
8,44,560,482,57,57,295,1494,6,1287,17,46,12,7,1374,54,2553,157,91,49,19,2930,146,1259,335,126,49,9,1923,146,524,278,42,80,8,1081,596,604,435,62,481,7,2190,3298,545,1286,112,674,10,5920,9499,575,3375,45,417,41,13954,5664,142,2182,8,197,22,8214,2179,21,695,6,71,7,2981,681,10,281,3,30,0,1001,297,4,119,0,11,0,438,151,0,63,0,8,0,227,214,19,95,3,13,0,342,301,489,305,48,99,47,1285,23285,8581,10100,653,2251,471,45346
9,3,21,23,18,58,34,151,0,12,8,0,13,0,32,16,14,34,0,4,0,73,20,31,32,0,3,0,88,9,20,10,0,0,0,41,16,0,9,0,4,0,31,5,5,12,0,12,0,39,6,3,16,0,3,0,23,3,0,6,0,11,0,18,0,0,0,0,0,0,3,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,3,11,9,18,0,50,84,116,164,26,132,38,552
