STE_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
1,..,620778,620778,767931,74366,842300,404630,20321,424955,414213,8589,422804,186258,3324,189580,101488,2404,103893,1874524,729784,2604314
2,..,521828,521828,624809,63884,688693,325876,19104,344984,338370,7867,346242,140368,2894,143262,65858,1827,67684,1495290,617415,2112706
3,..,389076,389076,525786,56045,581837,253213,14225,267436,247222,5029,252245,106601,1669,108267,57037,930,57970,1189859,466975,1656831
4,..,179119,179119,205704,16629,222332,92280,3988,96272,89884,1466,91348,34262,467,34735,14692,298,14991,436817,201972,638792
5,..,204202,204202,271184,22739,293927,135151,6166,141315,139668,2407,142071,57101,880,57978,26772,500,27275,629882,236896,866777
6,..,58517,58517,66887,4922,71806,27253,1019,28272,24480,364,24847,9609,119,9728,4345,66,4412,132574,65004,197575
7,..,14228,14228,17631,2376,20006,10058,701,10758,9813,244,10061,4823,69,4893,5066,45,5114,47400,17667,65061
8,..,35413,35413,42545,4366,46915,22490,1681,24175,23201,581,23786,8539,188,8727,3537,118,3653,100308,42355,142664
9,..,369,369,463,12,479,201,0,200,160,0,160,93,0,90,66,0,66,980,383,1360
