STE_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
1,54,407,548,1596,2195,4537,8595,9023,2532,29481,391,1395,4908,14319,6476,9559,3784,1221,296,42347,3500,9006,12325,86187,14410,9121,5355,2643,915,143459,203,939,5063,14954,4174,3143,2149,859,300,31774,134,1091,1878,11823,3235,2571,1403,647,254,23048,319,2744,5353,15684,7446,4737,2482,1181,332,40271,154,1163,738,11249,3559,2472,2717,1459,534,24038,70,373,924,5395,4177,7632,12488,12708,5710,49476,255,991,1357,6389,2780,1186,697,258,95,14008,436,2398,6734,24331,8244,5436,2661,1262,314,51816,200,836,2186,16065,13919,11820,7856,3411,1076,57381,245,1001,3317,11758,4851,5311,3654,1213,299,31655,7,24,79,486,890,3273,5858,2968,893,14481,9,82,211,1424,1045,1326,981,460,192,5731,27,217,938,2902,1281,854,507,287,105,7128,166,1016,6959,22251,980,535,163,28,4,32117,59,389,458,2130,1553,2678,5294,2950,1384,16900,1208,7585,12965,39419,21795,18508,10537,3855,1263,117136,6,101,163,1363,1086,902,1404,739,206,5972,690,2377,3539,13132,2689,1437,498,138,34,24524
2,60,657,779,2276,4343,7836,13743,13959,3593,47240,262,903,3293,8675,2814,3590,1474,518,109,21642,3444,9748,17762,106495,13687,9445,5788,2514,915,169802,193,666,4020,8911,1652,1059,834,358,125,17805,194,1645,1860,9313,1785,1026,544,193,56,16627,200,1495,2427,8022,3457,1761,818,366,97,18637,122,807,502,6587,2066,1871,1838,1251,575,15615,86,440,897,4462,5037,11798,19827,19635,8344,70527,145,692,1049,4256,1293,504,379,116,78,8515,157,981,2740,8273,1641,646,249,88,21,14797,96,306,796,5286,4037,3173,1957,798,230,16684,621,2523,8910,19399,6453,6755,3784,1282,323,50049,8,54,156,760,1274,4469,6751,3506,894,17873,17,313,828,4193,1899,2135,1423,705,302,11812,61,783,2063,5276,1375,732,364,232,86,10973,54,374,2059,6362,288,166,57,18,3,9390,56,351,341,1776,1414,3546,6793,3874,1673,19813,1579,9067,12129,36078,15001,11245,5582,1962,615,93253,14,97,134,1104,947,1079,1348,756,255,5748,667,2238,3379,12356,1375,691,327,69,28,21125
3,5,59,86,286,273,521,904,865,303,3298,95,454,2374,3867,1334,1690,638,256,48,10755,944,3193,5442,30344,4049,2369,1670,821,316,49145,108,492,948,2835,894,727,702,415,188,7321,67,591,621,3673,727,427,262,91,35,6511,135,425,320,1241,414,210,63,38,10,2845,114,835,577,4570,1622,1214,1318,768,342,11352,40,191,446,1779,924,1684,3201,3147,1587,12995,182,899,1600,6130,2118,757,484,159,86,12402,265,1168,3215,10491,2007,743,304,125,14,18327,8,42,40,381,352,274,211,90,23,1418,180,667,2415,5177,2552,2127,1182,448,101,14848,0,14,24,112,172,544,1031,457,141,2505,3,48,104,403,270,309,258,109,39,1550,16,136,474,1523,411,295,186,91,41,3172,39,310,1144,3327,152,80,14,7,0,5074,28,241,360,1623,1496,2473,4598,2369,886,14067,1943,16579,23463,66626,36443,30045,18008,6305,1794,201206,12,117,139,915,738,703,976,508,112,4218,144,561,618,2567,414,225,101,32,3,4675
4,3,58,100,308,507,1447,2471,2871,907,8682,37,113,1247,1250,254,403,188,71,6,3576,640,2662,2554,17162,2076,1078,811,417,196,27594,73,182,237,1033,199,156,150,84,28,2140,65,471,627,2230,524,313,176,85,33,4527,25,134,248,634,259,126,46,11,3,1482,21,201,131,833,459,512,520,450,171,3299,27,74,187,657,1112,2974,5284,5768,2451,18544,30,116,235,733,232,84,70,21,13,1527,49,425,720,1839,466,123,33,15,0,3686,22,44,93,386,282,323,226,113,49,1535,102,449,1641,2908,927,779,670,199,59,7749,0,0,4,43,87,339,556,281,101,1417,0,9,12,90,28,28,24,12,7,215,3,156,308,792,169,73,37,25,4,1579,53,408,696,1594,53,30,11,5,0,2856,11,86,104,400,453,1444,2535,1109,466,6602,119,732,1045,4004,2586,2404,1415,480,141,12937,4,38,54,233,357,455,563,292,89,2084,178,698,498,1697,233,87,32,24,4,3445
5,4,52,35,173,173,334,579,705,257,2307,62,271,1028,2793,703,756,330,153,41,6129,920,3263,4914,26615,4904,3480,3089,1580,618,49385,176,808,1607,5363,1488,952,641,263,98,11394,58,405,516,3201,759,461,262,106,48,5815,68,310,458,1565,624,263,87,31,8,3432,134,1258,917,9316,1966,1758,1543,851,277,18036,51,254,420,2408,1418,2665,5181,4647,2170,19210,93,331,359,2307,677,262,177,70,26,4291,108,409,904,4359,658,300,88,32,7,6865,9,44,64,367,228,201,134,53,7,1099,236,1431,3945,10623,4225,4291,2912,1201,270,29126,0,6,21,63,98,244,307,142,29,898,31,244,511,1932,644,584,391,188,74,4605,20,254,792,2771,1596,1472,936,602,249,8704,34,131,499,1803,105,40,12,0,0,2622,33,234,249,1205,927,1338,3006,1446,692,9133,898,6586,8362,29274,15191,12228,4986,1389,303,79221,19,139,198,1161,720,643,756,397,123,4161,203,635,772,3050,372,238,124,34,11,5437
6,0,8,12,32,44,92,134,136,28,480,3,18,90,170,57,74,36,16,0,457,36,122,235,1090,190,118,109,61,23,1980,7,24,33,125,46,27,52,24,9,336,46,177,106,155,32,21,13,0,0,565,3,18,9,53,5,4,3,0,0,95,5,47,23,157,105,120,117,90,18,678,0,10,14,65,55,137,213,243,117,847,10,37,46,192,63,33,20,8,10,413,9,47,108,290,74,43,8,8,0,594,0,0,3,20,19,13,11,3,0,76,23,35,548,406,134,148,83,31,6,1409,0,0,0,7,15,34,37,17,0,111,0,0,4,19,9,15,11,3,0,53,3,36,53,131,31,20,9,8,0,295,39,208,322,215,14,3,0,0,4,811,0,18,44,161,161,378,854,443,156,2193,37,228,310,1320,1011,1079,698,233,59,4977,0,5,3,40,43,52,123,49,15,330,16,66,42,185,20,12,4,5,0,347
7,16,108,117,322,148,219,214,113,17,1268,0,7,25,123,43,57,23,8,3,285,112,313,271,2303,307,186,72,33,13,3598,28,77,136,524,184,86,72,12,0,1117,7,12,6,108,14,7,0,0,0,153,0,4,3,25,4,0,0,0,0,42,16,45,54,721,54,49,62,18,5,1026,3,10,27,141,45,69,110,74,18,505,31,49,22,259,78,19,7,4,0,474,10,24,63,272,27,9,0,0,0,405,0,0,6,21,11,0,0,0,0,51,8,34,38,276,119,120,69,47,0,705,0,0,0,5,10,9,13,7,0,39,0,4,8,29,11,8,3,3,0,67,3,5,15,120,36,12,3,9,0,205,12,57,211,798,27,17,3,0,0,1126,0,8,12,102,58,80,111,39,14,424,72,292,381,1573,932,931,366,77,13,4636,0,8,13,65,26,17,25,5,5,173,10,36,36,220,34,18,3,0,0,354
8,3,12,27,66,76,156,299,269,67,981,21,66,306,629,236,278,101,32,13,1680,218,713,804,6684,902,562,321,151,48,10414,33,129,142,645,140,96,68,31,16,1299,4,54,51,479,110,83,41,12,6,841,10,49,64,240,84,51,30,4,3,536,9,89,30,287,121,106,111,77,17,844,4,18,39,190,201,349,540,406,191,1943,22,78,114,317,122,62,40,19,10,791,20,149,403,1313,232,106,36,18,3,2287,3,16,19,127,90,64,56,19,11,400,23,99,347,853,438,355,213,87,19,2437,0,3,5,30,16,59,112,42,13,285,6,20,27,143,49,31,21,3,0,288,0,13,48,260,113,70,56,29,9,610,11,54,99,521,40,23,9,0,0,761,13,27,34,124,89,186,330,157,75,1037,52,342,545,1594,896,724,386,136,54,4734,0,8,8,58,71,84,63,39,10,338,76,203,257,1173,181,67,28,6,3,1996
9,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,10,0,0,0,4,0,0,3,0,0,11,0,0,0,9,0,3,0,0,0,14,0,0,11,22,0,0,0,0,0,31,0,0,0,9,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,5,11,6,127,69,83,71,15,0,393,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,12,3,12,75,84,92,57,26,4,366,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8
