STE_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
1,10317,198151,21638,230103,12500,214116,21870,248490,32082,445703,48777,526560,45544,408126,40592,494264,59530,380409,38512,478458,61219,336666,35178,433059,38622,259511,32340,330471,17805,129651,23447,170912,5255,45089,11402,61753,282879,2417425,273755,2974063,11466,187617,19232,218321,15741,206823,18622,241181,50463,448842,41655,540962,73581,400640,34406,508625,96102,369578,33847,499528,99609,323819,33279,456703,54640,258068,33844,346555,20805,151007,30391,202200,4125,80273,21360,105755,426536,2426670,266626,3119834,21783,385772,40866,448425,28240,420939,40489,489673,82551,894544,90433,1067524,119129,808766,75001,1002886,155635,749991,72360,977984,160828,660485,68452,889763,93265,517579,66180,677020,38613,280656,53839,373115,9381,125363,32762,167506,709415,4844094,540385,6093895
2,7319,157875,16650,181849,9965,182970,16800,209733,25820,374418,36930,437167,36089,329456,30437,395979,47262,303221,28894,379374,47041,254979,25549,327567,28933,191656,24235,244826,14216,96788,18447,129451,4131,34797,8630,47567,220779,1926152,206569,2353499,8463,150788,15236,174492,12814,176374,14873,204065,40524,378029,33466,452031,59045,324080,26817,409936,78819,295807,26415,401040,78193,246209,25486,349886,42517,195687,26575,264772,16513,115149,23893,155554,3207,61789,15432,80427,340090,1943913,208201,2492203,15781,308665,31887,356340,22776,359343,31673,413792,66345,752448,70397,889190,95129,653535,57258,805920,126077,599030,55313,780420,125230,501192,51032,677453,71452,387341,50804,509599,30730,211934,42343,285006,7341,96585,24066,127993,560866,3870070,414769,4845710
3,6272,130263,14660,151196,7038,137146,15099,159280,18037,268468,31341,317852,26059,253349,27742,307148,32806,248156,27575,308537,34035,212331,23922,270282,22469,164646,21485,208597,10139,74291,14272,98704,2668,22366,6736,31767,159530,1511006,182827,1853368,7160,124933,13002,145089,9151,135550,12879,157576,29369,273377,26098,328837,43718,254710,22545,320977,55516,244221,23438,323168,56934,203717,21947,282601,32603,160000,21412,214009,11210,82051,17854,111109,1991,39513,12258,53759,247638,1518060,171427,1937126,13432,255189,27662,296287,16191,272693,27975,316860,47408,541843,57442,646694,69777,508051,50287,628124,88321,492372,51009,631705,90969,416045,45866,552886,55072,324642,42894,422601,21347,156342,32123,209818,4655,61879,18995,85528,407168,3029065,354254,3790497
4,2249,44918,4360,51516,2798,48635,3791,55223,6993,93080,8201,108274,10000,86608,7574,104188,14093,90053,7972,112117,15489,81380,7298,104169,9937,64362,7016,81316,4551,32564,5322,42437,1472,12240,2627,16340,67580,553832,54162,675578,2524,42858,3782,49169,3575,46035,3163,52766,11175,92023,6635,109837,15874,83579,5829,105275,22314,85894,6560,114770,25258,77518,6982,109756,14093,65851,7596,87533,5075,38718,7030,50821,1026,22453,4667,28143,100916,554919,52238,708074,4775,87771,8139,100686,6369,94668,6950,107986,18167,185106,14836,218107,25875,170187,13402,209468,36410,175949,14537,226891,40751,158898,14278,213923,24026,130209,14617,168852,9630,71280,12351,93258,2496,34688,7292,44479,168496,1108755,106400,1383650
5,2920,67034,7158,77112,3535,71221,7808,82563,9400,160490,21065,190956,12548,143662,17308,173520,16069,136403,15654,168121,16383,110156,12417,138950,10205,78729,9825,98758,4745,36187,6922,47859,1378,11139,3332,15846,77182,815016,101482,993685,3446,63071,6364,72882,4481,67011,6282,77777,14870,157742,15606,188224,20126,139077,12318,171523,26638,128274,11925,166831,27948,104402,10732,143084,15050,75905,9957,100911,5569,41638,9028,56237,1017,19530,6026,26579,119145,796656,88244,1004041,6362,130107,13522,149997,8015,138228,14085,160332,24271,318231,36677,379178,32676,282740,29628,345038,42709,264673,27578,334959,44334,214560,23149,282042,25253,154628,19785,199669,10313,77829,15954,104095,2393,30671,9359,42420,196328,1611674,189726,1997726
6,625,13788,1548,15960,741,13329,1225,15289,1808,24221,2311,28338,2639,23754,2207,28598,3946,27250,2698,33896,4777,27385,2907,35070,3179,21848,3049,28078,1386,10263,2025,13679,368,3205,768,4347,19474,165046,18738,203256,713,12939,1460,15118,953,12594,1027,14574,3147,24542,2009,29695,4624,24579,2022,31227,6683,27032,2440,36154,7822,26431,2831,37087,4405,21705,3191,29305,1429,11844,2655,15926,275,5853,1290,7413,30058,167523,18919,216496,1337,26728,3008,31078,1691,25922,2250,29865,4954,48761,4319,58034,7267,48336,4226,59830,10633,54281,5138,70050,12599,53817,5740,72160,7588,43553,6236,57381,2812,22112,4682,29604,643,9058,2058,11767,49528,332565,37653,419752
7,478,5557,1439,7476,514,6642,1696,8850,1300,16590,4101,21992,1354,13417,3077,17847,1325,12137,2773,16238,959,9182,1960,12108,509,4740,1069,6312,165,1374,346,1891,35,279,75,392,6640,69921,16544,93101,504,4900,1197,6597,624,5947,1224,7795,1851,16183,3009,21045,2065,12527,2184,16781,2006,11024,2038,15072,1482,8114,1597,11193,679,3835,829,5349,180,1397,305,1878,24,417,105,545,9416,64348,12493,86254,980,10458,2638,14077,1136,12588,2917,16644,3159,32771,7105,43036,3424,25943,5263,34630,3331,23164,4813,31310,2440,17293,3556,23296,1184,8577,1901,11661,340,2770,655,3771,61,693,182,938,16056,134268,29031,179359
8,516,11067,781,12366,647,14090,1130,15863,1820,28120,2496,32435,2639,24316,1993,28940,3273,20110,1621,25003,3088,15565,1252,19908,1969,10917,1062,13946,874,4811,758,6445,251,1650,422,2316,15068,130642,11513,157220,644,10770,728,12145,866,13683,1016,15565,2673,28890,2123,33679,3817,24049,1595,29460,4920,19666,1396,25979,4818,15411,1375,21597,2921,11426,1159,15506,1006,5903,1004,7916,217,2689,936,3841,21879,132487,11330,165694,1156,21840,1507,24507,1517,27774,2145,31430,4492,57005,4614,66119,6450,48369,3583,58407,8193,39780,3019,50989,7904,30975,2627,41506,4889,22344,2220,29453,1877,10717,1762,14363,464,4330,1359,6158,36947,263128,22840,322917
9,3,81,26,106,8,74,57,136,15,165,152,330,33,220,93,345,38,260,84,376,37,261,60,364,16,204,45,263,10,73,15,95,6,15,3,28,149,1356,536,2037,10,71,27,110,9,53,8,72,19,188,38,244,55,211,29,296,41,240,57,334,54,240,52,350,37,150,31,214,13,66,16,91,3,24,3,33,240,1245,249,1730,9,157,49,215,11,122,73,210,37,353,185,573,88,437,118,642,76,502,140,711,92,505,116,709,51,348,71,478,23,139,30,182,5,41,9,58,389,2598,787,3773
