STE_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
1,90230,117721,207956,541813,620003,1161810,5340,5624,10964,44469,50176,94647,3202,3330,6533,880779,965663,1846443,3008,3614,6623,92431,96016,188442,9850,12879,22723,7857,8571,16430,9225,11227,20450,13337,13469,26805,15276,17134,32412,35419,41975,77402,89074,99258,188330,6658,8562,15219,10364,12302,22659,96921,120335,217258,77598,87754,165351,3294,3742,7034,1945913,2181625,4127539,95314,86089,181402,141319,126339,267659,17801,19104,36901,776,774,1557,17144,14594,31737,13798,16584,30387,31722,31953,63671,995087,884475,1879562,10725,8551,19272,4546,6675,11225,1010396,899732,1910122,353317,331655,684969,3686014,3794217,7480228
2,81252,100690,181938,238791,291921,530710,1357,1379,2738,35993,41474,77469,1889,1888,3781,651297,725837,1377134,4760,6112,10876,100027,104556,204587,6387,8238,14630,5569,6141,11713,12546,15353,27902,7855,7980,15834,10086,11622,21708,24598,28686,53284,54307,62727,117036,4292,5994,10284,4804,5804,10605,85257,112308,197572,68012,78430,146441,2232,2642,4870,1320060,1519091,2839154,72679,62259,134939,104267,92761,197030,20322,21932,42257,196,210,406,29285,23479,52762,8558,10821,19381,38042,34509,72549,975191,901547,1876738,9246,7510,16753,3686,5557,9245,988147,914656,1902807,283311,272647,555956,2908077,3018549,5926624
3,29758,41031,70789,337755,381963,719718,58,44,99,41546,46095,87640,1532,1564,3089,485353,537160,1022514,3802,4574,8378,15655,16648,32306,10923,14043,24971,9792,10748,20538,26075,30359,56437,1526,1403,2933,11384,12596,23978,33387,39092,72478,66996,71622,138614,5341,7089,12429,7961,9495,17456,106537,131768,238313,67376,75983,143355,4775,5309,10085,1237773,1397562,2635342,24105,21854,45961,23704,21183,44885,2191,2199,4387,639,613,1249,9696,7732,17433,6999,9813,16812,17337,18153,35492,729520,644909,1374427,8101,6457,14560,3755,5512,9271,741404,656898,1398297,245618,222425,468042,2321889,2381308,4703193
4,13951,17331,31289,76011,91650,167658,3,0,3,12387,14091,26476,398,423,817,141646,159391,301034,2062,2810,4866,20273,20945,41219,2525,3300,5827,1446,1748,3198,23689,28013,51705,872,859,1725,3095,3488,6584,8651,10378,19033,8348,9435,17783,1744,2352,4097,1262,1474,2738,51745,66485,118229,21655,24874,46531,1863,2040,3905,379682,443748,823426,12040,10883,22922,15543,13005,28547,499,528,1031,234,242,475,4718,4091,8808,3012,3963,6976,7963,8297,16267,314071,280241,594313,2976,2465,5440,1260,1923,3184,318323,284636,602957,77996,72221,150215,825997,850652,1676653
5,22972,29856,52830,164814,189974,354790,19,11,33,20089,22030,42116,899,888,1785,254517,275846,530361,3281,4207,7493,11546,12166,23711,4824,6271,11089,3185,3620,6799,3597,4337,7927,1377,1345,2726,7807,8712,16521,12109,14083,26195,21594,23198,44788,1863,2523,4383,3199,3910,7112,24525,32163,56688,39077,44596,83670,1591,1809,3408,579920,651689,1231600,20617,18116,38739,27056,23592,50649,2634,2789,5427,606,514,1116,6565,5336,11897,4246,5769,10019,11419,11612,23031,430115,374157,804268,4324,3204,7525,1755,2577,4330,436199,379941,816144,137591,118397,255987,1238419,1235994,2474410
6,1712,2340,4049,47593,56245,103839,0,0,0,3505,4071,7573,649,696,1343,36982,42471,79454,401,515,907,1113,1088,2197,875,1171,2047,746,825,1570,601,731,1334,102,99,200,1031,1171,2210,2443,2883,5331,4733,5424,10154,617,903,1528,454,540,1001,8266,11076,19341,5985,6816,12799,295,390,679,116395,137108,253506,1318,1231,2554,1329,1169,2498,117,130,248,41,35,78,254,238,488,758,1065,1817,1047,1333,2381,100780,91734,192515,918,724,1646,348,519,869,102051,92983,195034,25508,24181,49690,249478,260482,509965
7,1966,2587,4554,9561,9679,19234,3,0,3,2429,2670,5101,9,7,17,22688,23161,45843,92,101,196,2228,1977,4207,245,298,542,303,311,614,2800,3210,6003,81,82,157,1221,1343,2565,1286,1514,2801,1311,1240,2550,155,186,342,277,345,622,6351,6630,12976,2542,2648,5189,65,75,145,53636,55484,109118,1933,1630,3562,1320,1014,2335,58,60,120,1589,1523,3108,351,284,634,310,394,709,2254,2194,4448,36391,30780,67176,325,236,561,156,166,315,36873,31181,68053,20530,16117,36642,118570,110266,228833
8,4429,5494,9921,19233,23500,42734,12,5,25,1919,2187,4104,22,33,53,41657,46964,88619,131,149,282,2958,3171,6133,278,395,674,391,386,777,964,1291,2258,310,321,627,1123,1186,2309,1871,2149,4018,3384,3980,7364,306,358,666,332,358,687,4132,5472,9610,4139,4802,8940,204,217,419,83361,96936,180299,5181,5033,10211,5206,4677,9883,304,341,642,23,40,62,1106,1032,2142,674,827,1503,1802,1903,3710,75339,68397,143739,1028,807,1829,303,429,733,76674,69646,146315,18787,17635,36420,195739,201653,397397
9,182,166,346,335,362,695,0,0,0,12,13,19,0,0,0,210,224,434,0,0,0,3,3,8,7,3,10,3,0,3,3,4,8,0,0,0,6,10,22,10,14,20,23,36,64,4,0,4,27,26,52,98,100,200,43,49,89,0,0,0,783,840,1627,6,9,8,387,376,758,3,0,3,7,21,31,0,0,0,7,6,17,14,25,46,534,432,964,0,4,5,3,8,14,542,442,984,550,266,811,2462,2120,4587
