STE_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
1,14430,4345,6389,993,26158,6152,1586,2727,445,10904,5038,2950,8675,652,17315,3254,2046,10694,362,16351,30281,7458,17771,1307,56816,16805,10967,28424,1335,57534,88669,19339,30754,2621,141383,49651,30622,31969,3414,115655,63449,49992,33180,3731,150357,58342,58049,25096,3278,144755,36643,57283,19000,2127,115059,39980,59246,15300,2006,116526,78539,123486,21823,3462,227301,51275,94738,9572,1955,157540,32633,67888,4137,963,105626,22419,52802,5246,520,80990,52215,134000,5169,977,192356,46288,102252,28047,1564,178148,13460,8333,6923,732,29441,709524,887358,310906,32438,1940226
2,11593,4143,5704,1223,22666,5223,1607,2422,532,9782,4176,2814,7012,685,14688,2472,1837,8368,304,12993,24125,6538,13436,1174,45273,13202,9344,21833,1141,45514,66980,16549,23135,2211,108881,40108,27360,24840,2858,95162,50158,44833,25529,3299,123816,46674,51674,19149,2902,120398,29892,51157,14468,1844,97370,33300,52009,10956,1779,98046,66461,103708,15090,2845,188101,42761,75677,6174,1501,126114,25028,49461,2588,753,77834,16123,36208,3120,353,55806,33642,86799,3044,599,124085,35592,80538,22376,1217,139722,12197,7698,5354,581,25825,559717,709965,234596,27800,1532077
3,6692,2115,3514,461,12783,3575,952,1651,290,6468,3187,1412,5192,409,10198,2058,943,7192,171,10358,18801,3887,12199,899,35788,11959,5540,21349,793,39638,61099,10552,22408,1738,95798,36213,18123,22967,2260,79560,45210,31151,23527,2489,102381,42435,38390,17123,2205,100150,27132,37555,12508,1443,78635,30106,39060,9036,1279,79480,57565,78630,12088,2029,150308,35257,58730,4597,1059,99649,20824,38953,1714,493,61986,12556,27125,2154,223,42058,23960,56523,1907,371,82766,34221,63859,16179,852,115107,8607,4987,4002,437,18029,481451,518494,201308,19898,1221148
4,2203,859,1063,175,4303,1378,381,638,138,2534,1147,659,2122,209,4136,686,400,2874,69,4032,7876,1900,4718,393,14889,4656,2569,8095,427,15757,26333,4723,8362,693,40102,15499,7815,8340,916,32570,18697,12992,8175,949,40810,16606,15021,5910,811,38345,9964,14437,4234,475,29110,10803,14337,3286,413,28845,19939,27727,3913,666,52241,11704,20232,1472,277,33685,6368,12942,575,135,20018,3513,7927,540,72,12049,6703,16379,578,81,23745,11564,21956,6676,262,40457,2946,1478,1551,126,6101,178588,184733,73128,7282,443733
5,3743,1426,2238,351,7753,1829,544,972,178,3521,1706,918,2981,297,5901,1067,583,3609,116,5375,8555,2149,5509,488,16704,5136,2941,8777,477,17331,25952,4899,8800,761,40416,15862,7944,8873,957,33634,20230,13766,9826,1096,44918,18466,16694,7252,1077,43488,12763,17921,5542,754,36987,14165,19033,4593,672,38459,29873,42216,6845,1266,80199,20651,31725,2805,678,55864,13639,21934,1200,389,37162,9489,18937,1501,201,30119,18768,42963,1436,361,63522,21854,42943,8728,560,74089,4089,2602,1862,190,8748,247841,292133,93344,10869,644189
6,549,143,217,29,942,395,80,141,28,635,402,129,677,44,1261,218,77,1122,19,1436,2761,502,1722,118,5106,1756,741,2996,91,5580,9347,1440,2899,210,13900,5195,2476,2751,232,10660,6078,4091,2642,258,13069,5607,4729,1735,179,12243,3424,4310,1242,99,9080,3500,4210,829,107,8644,6004,7811,1051,130,14998,3299,5353,331,54,9034,1705,3195,112,21,5028,943,1888,148,12,2990,1738,3329,123,20,5213,3803,6350,2172,99,12420,1119,425,505,52,2104,57849,51286,23423,1781,134343
7,185,75,130,10,405,188,175,181,18,563,151,270,631,42,1093,40,84,347,17,484,669,738,523,84,2011,284,423,572,49,1328,764,606,612,77,2050,678,775,660,81,2192,897,951,738,72,2656,974,1083,614,58,2733,799,1103,510,57,2471,1058,1259,415,57,2785,2647,3020,650,116,6437,2116,2458,275,74,4926,1517,1961,137,33,3648,1016,1778,126,20,2941,2002,3380,137,35,5551,1711,3074,837,78,5696,445,613,453,42,1553,18138,23815,8558,1014,51530
8,424,109,157,31,724,155,43,95,13,310,133,64,298,29,523,70,56,413,10,550,636,162,584,47,1435,408,254,858,44,1560,1787,444,885,81,3183,1704,722,934,97,3464,2578,1350,1242,138,5309,2824,1796,1180,126,5922,2164,1983,1204,113,5464,2282,2248,1044,105,5686,5424,5997,1810,249,13482,4496,5900,794,138,11323,3236,5361,381,66,9041,2362,4662,423,52,7493,4769,11617,392,57,16831,2664,5002,1279,60,9012,316,241,154,16,726,38438,48008,14129,1461,102036
9,4,0,3,0,5,3,3,3,0,12,4,3,3,0,6,0,0,8,0,8,17,4,3,0,25,19,7,10,0,32,45,12,9,3,65,40,11,17,3,70,56,38,16,0,104,51,38,11,0,99,28,31,10,0,62,22,40,7,0,77,48,56,14,3,121,30,42,3,0,76,5,31,0,0,41,20,8,4,0,33,17,33,0,0,53,30,68,23,0,116,11,7,9,0,28,443,430,145,13,1023
