STE_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
1,5,49,108,701,537,691,512,252,133,2975,8,111,386,1324,615,464,242,143,59,3357,76,493,3214,9724,406,306,65,10,3,14297,32,175,253,1083,752,1342,2551,1409,760,8362,584,3711,6411,19350,10814,9304,5327,1972,767,58239,9,44,83,611,506,440,697,351,116,2869,326,1166,1114,5253,1038,587,213,73,18,9788,12,62,141,882,856,623,211,170,60,3008,354,2137,3871,21164,10131,9212,4095,985,530,52478,13,53,133,2356,794,1594,1095,780,835,7653,34,311,339,2264,2212,2868,3229,1932,901,14094,181,679,1003,2149,984,1012,613,237,65,6929,133,1088,2137,7543,4253,3213,2094,1020,342,21822,0,0,37,554,721,980,828,681,210,4008,104,584,946,5231,2611,2073,1206,659,284,13696,89,171,805,4482,842,891,370,68,17,7731,163,561,1751,11145,2289,1345,434,79,22,17789,7,50,159,1337,1644,2028,1782,1043,254,8313,39,102,270,1892,1746,991,738,308,91,6181,410,1754,1974,5706,2251,1757,1224,306,108,15489
2,13,153,405,2073,991,1089,728,378,195,6034,33,378,996,2576,647,404,189,114,51,5377,26,185,911,2756,124,84,21,11,3,4122,21,176,177,876,668,1751,3264,1931,973,9835,766,4428,6091,18059,7571,5739,2738,986,368,46749,6,43,71,506,475,557,657,389,150,2846,314,1084,958,4393,492,317,149,35,12,7756,5,45,81,624,431,209,62,29,4,1486,260,1634,2916,13096,5918,4580,2024,506,191,31123,0,53,116,1883,915,1849,1440,1035,1190,8485,40,281,399,2037,2003,2710,3084,1932,777,13266,150,887,1830,3074,1168,984,508,145,47,8786,98,708,1637,4893,2713,1813,1266,554,213,13892,0,0,28,427,762,989,896,714,265,4077,226,1537,2148,11328,4401,3381,2245,1030,489,26787,51,121,713,3720,485,524,193,26,15,5851,181,919,1502,5841,1297,562,180,39,8,10535,7,47,179,1722,1774,2212,1838,930,220,8923,32,117,300,2232,2389,1277,853,386,98,7683,291,1190,1279,3814,1490,1131,762,157,74,10183
3,6,23,61,198,134,173,121,62,21,788,10,62,224,691,210,151,101,37,23,1508,22,142,593,1527,63,39,6,3,0,2403,19,108,187,837,716,1231,2177,1090,467,6830,899,8184,11499,33624,18902,15193,8779,3194,1071,101354,7,58,67,437,374,355,483,239,65,2082,70,279,223,1014,160,109,53,11,3,1916,46,536,954,3047,2248,1413,555,262,61,9128,259,1604,2452,10429,5308,4359,1795,396,87,26680,4,30,67,929,315,603,403,245,258,2858,30,375,438,1838,1934,2132,2359,1301,533,10939,59,260,740,1195,576,540,249,62,27,3707,120,1584,2879,7119,4071,2296,1396,585,199,20244,0,3,11,171,266,330,289,192,68,1323,49,389,403,1812,768,624,396,164,86,4701,118,258,1271,5270,833,939,370,77,14,9143,95,553,807,3661,1226,539,183,28,6,7104,0,3,20,126,129,88,70,42,12,494,12,20,44,226,165,64,67,21,3,616,175,909,1071,2976,1288,1131,853,233,69,8708
4,0,5,6,46,17,15,8,8,5,107,3,75,144,400,66,42,22,14,6,772,23,198,379,774,19,17,5,5,0,1414,9,45,51,205,215,757,1244,547,290,3352,66,356,512,1945,1257,1164,656,247,90,6295,3,18,25,118,196,234,298,151,53,1096,87,337,187,726,85,36,25,9,0,1495,0,15,22,172,146,67,17,20,3,459,81,543,756,3201,1427,1155,529,159,31,7887,3,16,54,602,318,665,442,347,351,2809,5,169,179,667,992,1413,1457,932,383,6205,27,104,254,440,205,177,119,29,4,1350,20,308,497,1108,708,391,259,96,36,3425,0,0,13,110,151,210,197,183,83,942,44,214,146,899,236,106,89,36,17,1775,12,42,172,631,86,38,22,3,3,1003,27,154,185,1073,304,130,39,7,0,1916,0,3,4,30,22,46,40,51,4,201,3,12,18,76,44,50,24,30,12,273,39,221,235,701,347,320,249,62,21,2196
5,19,127,266,949,310,310,197,103,50,2321,18,135,388,1443,804,790,497,352,168,4587,22,56,240,809,46,22,3,0,0,1193,17,104,134,633,454,660,1416,710,420,4551,441,3199,4199,13555,7226,5557,2201,714,171,37258,9,83,78,531,363,323,374,195,65,2024,108,298,240,1126,150,111,57,23,9,2110,9,121,116,411,243,113,23,8,0,1045,250,2159,2272,7443,2692,1659,642,129,24,17272,8,49,69,974,361,756,410,298,241,3157,57,572,745,2853,2454,2554,2062,1219,448,12977,83,497,1196,2494,1349,1447,725,338,81,8208,132,1894,3138,7336,4118,2253,1215,564,198,20844,0,0,17,193,166,244,190,134,65,1004,43,363,272,1584,513,386,276,133,60,3634,26,30,303,2223,142,109,54,7,0,2893,87,526,613,2701,994,522,145,32,10,5625,3,9,50,433,287,333,219,162,44,1531,5,28,51,253,101,37,27,10,8,524,117,515,514,1579,699,604,404,95,46,4575
6,0,0,0,8,4,11,9,0,0,35,3,20,28,65,17,13,4,3,0,160,15,91,171,96,3,3,0,0,3,384,0,4,16,70,78,172,407,237,98,1092,14,120,147,673,518,524,354,113,41,2508,0,0,3,16,22,25,51,24,4,154,5,31,12,68,12,6,0,0,0,131,0,5,7,65,56,34,10,3,0,181,13,62,73,461,247,241,125,27,5,1263,0,0,0,65,33,52,78,48,59,336,0,19,21,90,166,226,341,186,76,1124,0,17,99,85,45,44,20,14,0,322,0,40,72,254,127,150,101,45,11,795,0,0,0,5,4,3,8,11,0,35,0,28,16,85,30,22,15,4,0,200,5,3,25,141,9,3,0,0,0,195,9,36,52,214,69,36,13,0,0,435,0,0,0,0,0,3,3,0,0,6,0,0,3,6,3,7,5,3,0,32,15,63,65,222,135,150,128,30,9,818
7,0,3,0,17,3,3,0,4,0,35,0,5,7,59,18,4,3,0,0,100,10,35,115,340,11,13,4,0,0,519,0,3,9,53,35,36,48,17,0,198,40,156,181,755,419,422,136,44,5,2167,0,7,8,27,14,10,11,3,0,82,7,12,14,75,14,6,0,0,0,126,0,19,18,130,96,55,18,3,0,331,52,324,360,1526,528,356,147,43,17,3352,0,0,0,36,8,15,5,3,3,65,3,5,16,80,68,76,45,30,5,329,3,11,11,49,31,34,23,10,0,166,7,35,51,178,93,35,13,7,0,422,0,0,0,0,3,7,3,0,0,16,15,45,21,193,35,38,23,8,3,372,7,8,36,339,14,8,0,0,0,419,16,42,71,301,160,70,30,11,0,705,0,0,0,4,3,3,0,0,0,9,0,0,0,10,3,0,0,0,0,11,19,94,59,204,95,67,24,8,0,565
8,3,12,6,77,23,18,10,0,0,154,0,5,24,145,55,37,26,21,7,317,4,28,57,249,16,12,4,0,0,374,5,22,17,66,45,93,171,89,41,547,23,174,261,792,421,363,200,79,28,2335,0,7,3,25,26,42,38,21,12,160,34,105,92,508,70,29,13,3,0,860,6,8,24,139,117,62,22,7,0,387,29,114,204,1090,391,278,145,31,15,2307,3,4,8,151,52,124,81,59,58,544,6,20,27,126,146,168,221,136,49,894,6,51,107,187,72,59,37,13,3,532,4,88,154,366,213,103,66,26,14,1026,0,0,0,24,40,41,36,46,8,193,6,93,103,592,249,196,100,57,20,1411,6,6,28,186,30,24,10,5,0,287,14,49,113,439,114,88,35,10,3,864,0,0,10,61,33,52,33,18,3,209,8,0,4,39,20,16,6,3,0,98,46,186,169,517,191,176,118,31,5,1441
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,34,40,47,38,14,3,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,3,24,7,3,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,3,7,5,0,0,0,18,0,0,3,5,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,9,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,5
