STE_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
1,1355716,891918,1014208,963758,937160,843001,633984,353363,158804,7151909,1509,1671,1389,1011,1085,1044,952,738,400,9792,24927,38193,41163,28088,27728,29141,24233,13269,7162,233900,1031,2092,3640,3655,4248,4529,5440,2054,342,27023,1810,2992,3792,3524,4178,4145,3006,751,157,24355,244,516,773,668,932,1113,1344,392,50,6034,335,551,1080,907,968,915,600,179,27,5566,80,191,207,223,349,620,737,239,33,2678,81,220,214,153,145,111,60,15,0,999,457,993,1065,890,894,1096,919,345,65,6732,0,7,3,5,14,13,9,6,0,43,28952,45746,51936,38119,39452,41688,36348,17249,7844,307333,30466,47414,53329,39131,40540,42727,37296,17984,8240,317123,1386182,939330,1067538,1002891,977697,885730,671279,371348,167045,7469033
2,1056154,736146,847766,775275,749898,640418,468479,264266,120166,5658565,806,1054,834,662,664,624,634,489,286,6056,900,1838,2954,2928,3375,2984,1721,504,149,17352,18852,27939,30282,19775,18021,17942,14728,9415,5630,162592,748,1233,1826,1552,2090,1878,1177,252,60,10825,429,806,982,916,1107,1188,828,264,41,6572,285,602,845,813,1008,999,606,166,36,5359,156,422,318,365,500,706,544,154,21,3190,121,208,188,108,126,116,71,9,0,948,54,172,340,214,234,230,154,34,8,1444,0,8,0,3,3,3,3,0,0,21,21554,33235,37742,26680,26471,26047,19825,10807,5948,208313,22360,34291,38573,27340,27134,26674,20457,11301,6237,214371,1078516,770437,886338,802608,777032,667092,488932,275568,126408,5872939
3,888720,576470,605225,595643,595866,515295,393860,199244,81484,4451807,1055,1057,876,660,643,650,555,460,201,6152,2227,2372,3985,3469,4276,7796,11017,4006,759,39912,2732,1402,3168,3351,3615,8134,14810,7458,1376,46051,19534,30039,31766,23663,24905,26427,20717,8442,3542,189044,583,389,725,705,990,2014,3450,1304,193,10363,390,356,769,662,836,1295,1243,335,53,5954,262,173,313,320,546,1477,2381,950,119,6536,203,294,351,216,224,219,127,23,0,1659,175,132,320,267,332,635,814,332,72,3072,0,3,0,5,6,13,6,3,0,39,26114,35166,41401,32657,35729,48011,54577,22856,6124,302633,27167,36221,42275,33316,36379,48661,55134,23316,6322,308784,915883,612683,647504,628957,632239,563959,449002,222557,87806,4760598
4,285444,197596,205256,199707,215517,200457,155470,87714,42164,1589325,517,487,429,358,461,487,488,375,227,3823,160,268,516,556,617,818,745,179,40,3893,214,432,764,644,857,1017,880,219,50,5072,148,209,383,382,528,609,439,107,13,2817,5485,8489,8923,6119,6485,6590,5122,2715,1712,51648,93,109,291,264,356,435,328,61,19,1962,30,33,52,58,81,121,153,24,5,565,79,143,131,120,143,165,83,12,3,891,22,45,55,62,71,68,92,7,4,430,0,0,3,0,0,0,0,0,0,5,6227,9733,11121,8198,9144,9818,7846,3334,1849,67278,6744,10216,11551,8552,9607,10306,8330,3710,2081,71097,292184,207809,216804,208264,225130,210758,163805,91424,44242,1660423
5,466138,294046,352557,324879,314213,261940,184720,98018,40163,2336682,399,478,515,379,351,379,424,291,129,3347,325,435,1312,1316,1519,2032,1910,389,56,9292,517,397,1303,1312,1519,2410,2553,532,48,10590,215,400,1366,1419,1757,1939,1451,234,24,8802,95,142,448,489,708,987,1062,210,35,4176,8834,13915,22399,16436,16390,15016,10859,4834,1979,110661,58,48,143,167,269,435,405,73,3,1601,45,80,166,136,142,143,72,16,0,794,22,32,49,72,88,136,133,26,9,560,11,5,11,8,19,29,8,3,0,97,10119,15456,27191,21357,22414,23129,18459,6308,2153,146575,10511,15935,27704,21732,22759,23510,18883,6603,2282,149922,476649,309984,380267,346618,336973,285454,203604,104620,42440,2486606
6,87540,56602,54202,56768,66091,66239,51340,27285,11088,477156,150,193,144,105,147,209,184,142,82,1357,98,104,262,224,294,326,220,68,14,1603,126,223,459,347,431,401,252,51,13,2307,138,174,273,193,307,344,181,34,5,1651,21,28,67,56,66,92,79,14,3,431,30,39,94,54,105,111,70,22,0,527,1897,3235,2583,1737,1935,2039,1400,689,397,15904,4,9,20,11,11,10,17,0,0,77,7,20,41,29,35,36,17,0,0,181,0,0,0,0,0,0,0,0,0,0,2323,3832,3798,2644,3183,3352,2237,879,431,22685,2477,4026,3943,2749,3334,3561,2421,1019,516,24042,90014,60629,58145,59520,69428,69799,53760,28304,11605,501201
7,47593,28324,39857,32264,28831,21103,10578,3556,896,213004,170,142,135,85,84,60,36,5,3,720,202,281,715,598,808,1426,1524,318,50,5921,423,207,585,533,745,1608,1621,474,62,6257,215,365,913,840,1071,1309,1035,247,27,6025,174,166,415,362,471,866,935,256,42,3677,109,165,501,509,590,822,727,176,14,3619,38,19,44,52,99,261,193,48,6,753,1172,1279,1952,1514,1572,1355,616,125,31,9613,14,48,93,83,89,116,76,27,0,535,0,0,0,0,0,3,0,3,0,5,2339,2535,5213,4480,5457,7764,6727,1669,232,36411,2508,2674,5345,4567,5537,7819,6763,1676,232,37128,50101,30997,45200,36833,34369,28925,17346,5238,1133,250136
8,72782,53106,62528,55865,48566,38577,26766,13212,5771,377168,71,97,89,76,69,107,121,61,25,713,265,995,966,903,1087,1145,651,255,76,6334,64,228,389,355,402,356,189,37,17,2018,119,195,248,238,329,248,139,32,10,1552,10,54,85,88,134,123,71,12,9,580,67,61,89,99,98,89,51,13,3,572,5,19,16,42,33,44,42,7,0,211,6,17,21,26,24,18,3,0,0,111,874,1300,1519,849,604,497,356,311,202,6510,0,0,0,3,3,4,0,0,0,16,1410,2857,3328,2594,2703,2511,1496,672,309,17889,1481,2954,3421,2675,2766,2615,1611,730,334,18599,74261,56065,65950,58543,51332,41190,28381,13938,6107,395770
9,785,391,533,605,655,633,435,168,48,4258,0,4,0,0,0,4,0,3,0,25,6,26,52,41,46,59,67,29,0,322,0,8,10,6,7,13,20,6,7,74,0,11,23,9,28,41,34,9,0,157,3,0,12,0,6,11,3,3,0,49,5,6,34,26,34,26,26,3,0,165,0,0,0,0,0,0,0,0,0,7,0,0,5,3,3,0,0,0,0,13,0,0,10,3,4,15,6,0,0,46,4,4,14,13,18,18,6,5,4,79,23,56,167,103,148,190,159,48,11,914,23,62,172,104,153,193,163,50,11,933,809,455,702,713,808,824,603,216,59,5190
