STE_CODE_2016,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
1,3449,220324,15085,238859,19925,427462,25703,473094,7311,209384,13410,230103,5371,224202,18919,248490,8679,473885,43993,526560,10749,446039,37475,494264,16960,426664,34829,478458,25130,376911,31020,433059,31286,274666,24515,330471,31483,125463,13970,170912,24878,30702,6174,61753,185226,3235706,265084,3686014,1866,210018,14391,226279,8985,414418,24705,448106,4254,201878,12187,218321,3578,221052,16558,241181,7501,494511,38949,540962,10877,464992,32753,508625,18855,448952,31723,499528,27832,398738,30135,456703,31840,289840,24876,346555,46421,138994,16786,202200,54822,39622,11310,105755,216823,3323019,254369,3794217,5318,430342,29477,465135,28904,841887,50407,921195,11564,411268,25589,448425,8947,445252,35477,489673,16184,968396,82944,1067524,21628,911033,70232,1002886,35812,875621,66549,977984,52966,775646,61154,889763,63126,564508,49392,677020,77900,264458,30755,373115,79702,70326,17480,167506,402048,6558727,519452,7480228
2,2728,175682,12183,190593,15844,328244,19896,363984,5667,166124,10052,181849,4208,191123,14403,209733,6760,396961,33446,437167,8261,359468,28249,395979,12381,340805,26182,379374,17225,287482,22862,327567,22147,204481,18195,244826,23827,94815,10809,129451,18948,23760,4858,47567,137990,2568943,201139,2908077,1445,167533,11647,180626,7243,319784,18693,345717,3336,161381,9777,174492,3124,187629,13309,204065,6071,414444,31520,452031,8781,375253,25905,409936,14545,361567,24928,401040,20386,306496,23007,349886,23984,221523,19271,264772,36841,105737,12976,155554,41190,30583,8649,80427,166947,2651925,199677,3018549,4169,343215,23830,371220,23089,648022,38591,709702,8998,327510,19830,356340,7331,378748,27716,413792,12828,811404,64966,889190,17042,734721,54155,805920,26927,702376,51115,780420,37606,593982,45868,677453,46128,426007,37467,509599,60670,200549,23788,285006,60144,54348,13502,127993,304937,5220867,400817,5926624
3,2234,139369,10429,152036,15022,282721,18746,316486,5408,136159,9625,151196,3885,141804,13594,159280,6228,282492,29135,317852,7307,273685,26154,307148,11013,271672,25855,308537,16105,232266,21911,270282,20665,171226,16705,208597,17848,72324,8532,98704,12594,15490,3681,31767,118309,2019213,184367,2321889,1301,133187,9939,144432,7149,274666,17929,299749,3014,133002,9077,145089,2619,143051,11905,157576,5149,298684,25002,328837,7596,291417,21966,320977,12210,288173,22789,323168,16512,245563,20530,282601,18393,179324,16295,214009,23766,77558,9788,111109,27249,19839,6664,53759,124956,2084458,171893,2381308,3539,272557,20369,296466,22175,557385,36677,616236,8418,269161,18709,296287,6497,284857,25500,316860,11379,581181,54134,646694,14903,565103,48114,628124,23218,559843,48646,631705,32612,477828,42442,552886,39052,350550,33005,422601,41617,149878,18317,209818,39846,35330,10347,85528,243267,4103669,356261,4703193
4,964,46087,2857,49910,5698,89765,5038,100505,1933,47071,2513,51516,1314,50538,3371,55223,2292,98403,7575,108274,2739,94260,7185,104188,4379,100275,7463,112117,6165,91328,6677,104169,7311,68713,5291,81316,7116,32329,2987,42437,6416,8490,1435,16340,46337,727279,52387,825997,496,44003,2659,47163,2590,88102,4729,95419,1059,45707,2402,49169,952,48888,2928,52766,2016,101457,6365,109837,2815,96609,5855,105275,4986,103238,6547,114770,6672,96634,6453,109756,7255,74689,5589,87533,11142,36074,3607,50821,14333,11237,2577,28143,54318,746636,49707,850652,1458,90093,5521,97072,8283,177871,9773,195930,2993,92785,4915,100686,2266,99426,6297,107986,4314,199861,13939,218107,5552,190875,13040,209468,9373,203506,14012,226891,12836,187959,13127,213923,14569,143411,10876,168852,18255,68404,6595,93258,20749,19725,4008,44479,100651,1473913,102089,1676653
5,986,76391,5774,83155,5543,146483,9548,161574,1979,70409,4726,77112,1461,74074,7024,82563,2411,168803,19741,190956,2451,154641,16426,173520,3736,149667,14725,168121,5419,121964,11565,138950,7294,83552,7909,98758,7450,35997,4411,47859,5616,8226,2003,15846,44354,1090205,103858,1238419,564,72638,5373,78574,2676,141634,9073,153378,1130,67556,4202,72882,955,71030,5793,77777,2023,171294,14902,188224,2751,156896,11872,171523,4296,151182,11352,166831,6260,126709,10112,143084,7151,86007,7750,100911,11007,39858,5377,56237,12490,10291,3795,26579,51303,1095085,89607,1235994,1557,149031,11142,161727,8218,288117,18624,314955,3108,137964,8925,149997,2419,145100,12816,160332,4437,340096,34645,379178,5200,311541,28301,345038,8032,300842,26079,334959,11681,248679,21682,282042,14449,169561,15657,199669,18457,75857,9791,104095,18109,18515,5801,42420,95653,2185295,193461,2474410
6,204,13398,941,14544,1549,28255,1874,31685,649,14403,912,15960,478,13701,1115,15289,778,25373,2183,28338,939,25535,2125,28598,1618,29695,2583,33896,2416,30024,2630,35070,2836,23011,2228,28078,2308,10203,1167,13679,1651,2272,427,4347,15415,215884,18184,249478,125,12874,932,13929,782,27522,1751,30056,351,13840,925,15118,322,13285,964,14574,657,27056,1978,29695,1004,28166,2058,31227,1825,31939,2384,36154,2480,31990,2613,37087,2650,24402,2255,29305,3218,11380,1333,15926,3801,2906,715,7413,17215,225365,17906,260482,328,26270,1870,28469,2328,55775,3631,61739,995,28247,1836,31078,800,26982,2081,29865,1436,52436,4163,58034,1942,53700,4187,59830,3448,61641,4963,70050,4894,62015,5246,72160,5480,47420,4482,57381,5529,21578,2499,29604,5450,5178,1140,11767,32631,441248,36087,509965
7,88,7736,1179,9005,460,14210,1795,16463,162,6322,995,7476,100,7182,1562,8850,244,17839,3913,21992,253,14684,2913,17847,428,13261,2552,16238,538,9750,1812,12108,628,4817,874,6312,396,1245,247,1891,177,156,52,392,3470,97205,17892,118570,62,7455,1113,8623,202,13496,1685,15386,102,5668,827,6597,69,6598,1123,7795,180,18009,2860,21045,222,14468,2093,16781,461,12683,1929,15072,600,9141,1453,11193,614,4074,663,5349,562,1096,219,1878,319,144,82,545,3388,92829,14052,110266,146,15191,2288,17630,659,27705,3482,31845,265,11991,1818,14077,170,13786,2693,16644,417,35842,6770,43036,474,29146,5008,34630,883,25946,4480,31310,1138,18892,3261,23296,1235,8890,1535,11661,959,2346,469,3771,498,299,135,938,6855,190038,31943,228833
8,173,13013,715,13901,1101,22526,990,24619,369,11418,573,12366,254,14558,1050,15863,433,29648,2360,32435,509,26537,1898,28940,681,22747,1579,25003,768,17952,1183,19908,1019,12047,876,13946,1146,4792,511,6445,989,1173,161,2316,7437,176412,11896,195739,106,12181,610,12898,516,21642,899,23063,285,11302,554,12145,218,14403,939,15565,483,31142,2058,33679,644,27237,1585,29460,867,23735,1382,25979,1058,19260,1277,21597,1193,13380,935,15506,1814,5546,557,7916,2131,1398,301,3841,9316,181242,11099,201653,279,25195,1326,26795,1620,44171,1892,47684,654,22722,1133,24507,474,28970,1989,31430,911,60788,4419,66119,1152,53776,3476,58407,1548,46478,2960,50989,1829,37214,2462,41506,2209,25428,1817,29453,2960,10337,1063,14363,3118,2574,466,6158,16747,357654,22999,397397
9,4,131,8,140,5,250,22,281,7,89,14,106,0,77,58,136,0,188,141,330,0,260,92,345,3,296,75,376,7,302,53,364,20,208,35,263,19,58,15,95,14,15,0,28,78,1868,513,2462,0,116,8,126,0,244,24,269,0,90,12,110,0,63,6,72,3,208,33,244,0,262,29,296,7,286,44,334,10,283,51,350,18,172,25,214,13,60,9,91,13,10,7,33,70,1805,248,2120,4,246,17,262,8,498,42,547,3,181,29,215,0,137,65,210,4,393,175,573,0,527,117,642,11,590,121,711,25,586,102,709,35,381,59,478,36,122,29,182,25,20,10,58,152,3672,758,4587
