STE_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
1,791353,49526,29446,10812,1132,622,4465,887358
2,638900,39456,21244,6885,735,350,2406,709965
3,444868,39004,24292,6049,953,464,2863,518494
4,161294,13209,7254,1704,252,109,913,184733
5,256298,18960,11304,3278,442,217,1631,292133
6,43022,4531,2835,407,79,49,362,51286
7,19744,1677,1032,848,105,68,344,23815
8,42718,3015,1600,439,43,23,165,48008
9,378,23,17,8,0,0,0,430
