STE_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
1,3026,20466,159479,746180,589647,142480,32046,36493,1729820,1082,11614,61234,53721,7880,1006,279,4915,141744,597,10150,41608,86945,27540,3679,806,4384,175709,1681,21762,102840,140666,35421,4684,1084,9302,317447,2904,30027,73480,21127,2324,444,346,5953,136617,2398,24297,108805,21179,970,156,138,4526,162457,5320,51827,120923,32991,1393,204,194,5223,218075,66,709,742,373,134,41,27,146,2241,10691,106858,303944,75670,4823,850,700,15851,519380,1438,6136,7965,4275,1524,336,181,1737,23583,327,1973,3437,3212,1765,503,361,2499,14077,17157,157194,577675,970001,633184,148851,34370,65888,2604314
2,2102,13474,149063,777597,476893,79870,14836,33114,1546945,572,16099,95154,61155,11608,1160,296,6018,192062,237,3173,28237,56825,15668,2126,388,2198,108856,807,19273,123393,117983,27273,3284,680,8217,300917,1212,23024,55035,17460,1771,214,194,3694,102602,841,16214,27085,3845,223,47,51,1328,49621,2463,31118,47834,8852,527,63,114,2451,93435,7,120,139,70,15,3,4,17,382,4528,70470,130094,30235,2537,327,359,7497,246041,728,3301,3243,2080,757,138,81,757,11091,113,840,1815,2360,1117,221,131,1106,7703,8279,107356,407620,930257,508574,83836,16091,50691,2112706
3,2378,14135,96011,541006,476605,93837,20555,25118,1269653,538,7062,38466,24397,1875,178,100,3365,75979,312,5045,29291,56400,4946,428,152,2423,99005,846,12110,67758,80798,6820,610,252,5792,174984,1185,16683,38915,12053,1170,201,177,3112,73496,512,7274,35003,7352,352,44,63,1332,51940,794,12761,32346,12691,710,60,55,1549,60962,5,134,121,58,20,10,8,29,382,2506,36848,106384,32146,2259,310,306,6018,186778,2389,6448,3391,1847,799,177,129,1641,16815,190,1081,1650,2179,1152,278,189,1880,8602,8306,70628,275203,657978,487629,95214,21423,40448,1656831
4,655,5391,51235,286817,122056,18492,3445,8710,496799,237,6360,32729,28466,2496,304,169,2450,73220,26,751,6069,11660,1996,282,46,466,21290,264,7107,38795,40124,4490,581,215,2918,94506,208,5937,21375,3359,170,40,43,1081,32214,42,571,2880,374,21,0,8,141,4041,69,1258,3303,821,56,11,6,123,5648,0,41,34,22,3,0,0,4,100,318,7803,27593,4575,255,53,56,1345,41999,332,988,664,555,208,44,26,207,3025,41,214,499,963,358,69,38,278,2454,1611,21505,118792,333035,127366,19246,3791,13455,638792
5,779,6110,42403,256076,318040,42679,7586,12145,685824,221,6930,29461,46423,5643,440,166,2918,92201,76,1830,7085,15903,4241,503,104,613,30361,302,8764,36542,62327,9878,943,272,3531,122560,165,4703,10853,3475,311,30,33,864,20435,124,3262,6398,1418,63,12,9,306,11596,188,4650,8777,2806,131,17,11,396,16970,0,27,22,6,11,4,0,19,85,482,12637,26048,7707,512,58,53,1579,49084,816,2229,1551,682,383,78,66,516,6323,64,299,485,866,588,98,86,497,2981,2452,30043,107035,327662,329403,43853,8057,18272,866777
6,363,3230,27921,95974,34040,6512,1465,3500,172998,53,2227,4462,891,127,29,13,404,8194,18,297,1645,836,222,58,24,80,3182,72,2526,6111,1724,347,86,28,483,11385,113,2551,4997,991,167,30,18,328,9199,59,280,569,121,12,3,6,24,1082,47,262,397,76,3,4,0,31,820,0,71,53,18,6,4,0,10,166,221,3167,6014,1203,196,36,27,392,11262,104,393,284,239,71,13,15,77,1199,11,71,189,239,96,22,19,84,732,772,9381,40523,99381,34754,6677,1550,4535,197575
7,250,1196,3730,22264,11675,2126,571,1283,43100,37,802,2797,1180,97,21,6,211,5144,8,145,1500,865,101,3,3,67,2700,43,943,4296,2044,205,24,14,278,7847,64,1005,2503,1010,90,6,7,247,4940,51,286,1155,322,3,0,3,62,1887,32,583,2207,1515,40,0,8,122,4516,0,10,11,3,5,0,0,3,31,157,1884,5872,2852,140,8,21,439,11367,402,740,281,293,138,25,15,280,2171,28,103,127,152,50,19,15,85,569,874,4871,14306,27598,12210,2201,633,2369,65061
8,67,630,3285,41074,39654,7944,1409,1461,95520,24,858,4591,7288,671,47,13,381,13872,42,772,2857,5972,1400,124,27,219,11408,64,1629,7451,13255,2066,174,40,599,25278,39,1365,2256,654,67,5,7,202,4597,61,2307,3994,740,54,0,0,153,7314,47,4039,4172,828,44,3,0,162,9303,3,102,52,26,3,0,0,8,191,148,7815,10474,2254,168,11,9,524,21404,17,60,36,31,24,10,0,22,187,5,75,60,68,37,3,0,25,271,301,10198,21301,56674,41949,8138,1465,2637,142664
9,4,52,231,523,231,45,8,38,1130,0,3,24,23,0,0,3,0,54,0,0,15,8,0,0,0,3,29,0,3,42,34,0,0,3,3,87,3,17,17,3,0,0,0,5,49,0,0,16,29,4,0,0,3,59,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,3,3,15,36,45,5,0,0,8,115,3,3,0,0,0,0,0,3,12,0,0,3,9,0,0,3,0,16,7,81,320,607,242,45,11,55,1360
