STE_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
1,649,81,124,78,229170,230103,8751,458,282,162,238833,248490,192001,7842,8177,473,318070,526560,309680,17299,27139,1000,139139,494264,301547,22519,53129,3016,98249,478458,285022,20080,62904,7473,57580,433059,232776,13303,44359,15269,24762,330471,119994,4632,15254,21683,9341,170912,34136,989,2919,20865,2838,61753,1484559,87199,214294,70023,1117985,2974063,1006,109,89,89,217023,218321,19269,1156,558,181,220024,241181,244293,13010,13333,915,269404,540962,320604,23894,41667,3098,119364,508625,307272,27808,76774,10080,77593,499528,280408,21786,83830,27318,43368,456703,203888,11358,56614,56710,17983,346555,86737,3260,19703,84913,7588,202200,17238,615,5444,78325,4128,105755,1480721,102999,298004,261630,976475,3119834,1658,184,215,172,446193,448425,28028,1614,837,347,458849,489673,436299,20855,21508,1390,587479,1067524,630290,41193,68804,4097,258506,1002886,608819,50329,129904,13094,175836,977984,565425,41871,146732,34793,100941,889763,436665,24659,100972,71971,42748,677020,206733,7887,34966,106598,16930,373115,51374,1606,8361,99192,6972,167506,2965285,190199,512297,331655,2094457,6093895
2,488,64,93,65,181127,181849,5962,315,189,129,203137,209733,156256,5925,5767,372,268839,437167,248793,13441,20192,842,112702,395979,242563,18427,41479,2376,74538,379374,220145,14989,46500,5846,40094,327567,177199,9263,30434,11137,16790,244826,93832,3196,10154,16221,6044,129451,26729,716,1913,16065,2141,47567,1171969,66339,156716,53059,905416,2353499,731,75,82,92,173509,174492,13320,789,371,166,189413,204065,197188,9807,9692,738,234601,452031,255833,18784,31319,2409,101594,409936,246808,22706,61078,7447,63007,401040,216669,16640,64086,20072,32416,349886,159640,8435,41918,42143,12637,264772,68214,2472,13856,65711,5307,155554,13734,439,3419,59835,3000,80427,1172138,80154,225828,198615,815471,2492203,1224,145,177,156,354636,356340,19277,1107,558,294,392551,413792,353450,15735,15459,1111,503440,889190,504631,32224,51514,3248,214292,805920,489365,41135,102557,9819,137542,780420,436817,31625,110588,25916,72508,677453,336836,17706,72355,53277,29424,509599,162043,5668,24007,81933,11350,285006,40467,1149,5339,75902,5136,127993,2344113,146502,382541,251669,1720884,4845710
3,333,54,61,65,150684,151196,5692,419,187,106,152872,159280,107818,6252,5400,313,198074,317852,178907,13520,19786,746,94183,307148,187927,16842,39183,2100,62481,308537,175457,13218,44430,4854,32322,270282,145396,8513,31564,9525,13590,208597,68452,2878,10149,12222,5014,98704,17398,550,1828,10445,1551,31767,887381,62250,152583,40373,710784,1853368,492,74,47,76,144402,145089,10686,920,304,145,145528,157576,137031,10018,8475,678,172637,328837,190810,18218,28971,2259,80722,320977,192852,20096,54819,6351,49053,323168,172957,14011,56722,16005,22908,282601,126825,7197,37701,33423,8864,214009,47992,1838,11942,45561,3768,111109,8895,328,2818,39803,1911,53759,888539,72703,201799,144298,629796,1937126,828,131,107,144,295080,296287,16381,1344,489,247,298402,316860,244846,16267,13876,987,370718,646694,369713,31741,48761,3003,174901,628124,380782,36941,94001,8456,111535,631705,348407,27228,101152,20860,55228,552886,272227,15713,69262,42948,22455,422601,116444,4713,22089,57778,8785,209818,26294,878,4647,50240,3466,85528,1775915,134954,354381,184669,1340577,3790497
4,151,18,38,26,51288,51516,1788,103,53,37,53229,55223,37008,1806,1639,109,67715,108274,60653,4174,6150,237,32973,104188,65759,5757,13915,768,25922,112117,66620,4758,17111,1940,13753,104169,58425,2800,11333,3694,5064,81316,30772,927,3619,5444,1675,42437,9143,251,731,5636,577,16340,330322,20587,54580,17890,252203,675578,207,15,31,25,48884,49169,3627,242,70,45,48780,52766,47550,2988,2676,248,56366,109837,62998,5602,8973,762,26949,105275,67179,6743,18985,2403,19462,114770,66759,4808,21982,6129,10078,109756,53332,2381,14465,13610,3751,87533,22852,680,4842,21105,1339,50821,4809,155,1318,21056,813,28143,329316,23612,73336,65391,216418,708074,363,31,69,50,100175,100686,5410,349,131,87,102015,107986,84560,4797,4317,349,124085,218107,123649,9773,15119,1001,59923,209468,132940,12502,32900,3172,45380,226891,133376,9562,39092,8069,23828,213923,111755,5178,25798,17312,8809,168852,53624,1606,8458,26555,3018,93258,13949,404,2047,26693,1390,44479,659629,44195,127920,83282,468618,1383650
5,221,28,43,28,76801,77112,3032,169,79,51,79233,82563,66616,3172,2677,173,118317,190956,106879,6548,9315,361,50416,173520,107090,8406,19064,1057,32509,168121,92882,6280,21444,2353,15993,138950,71114,3778,13751,4155,5956,98758,34646,1129,4483,5570,2036,47859,9180,269,782,5019,595,15846,491660,29773,71642,18758,381851,993685,333,35,24,18,72477,72882,6019,403,138,59,71156,77777,83502,4829,4238,370,95284,188224,108565,8226,13039,1081,40610,171523,104371,9274,25660,3040,24487,166831,89818,6397,27692,7893,11294,143084,61170,3216,17360,15174,3988,100911,25087,888,6148,22523,1590,56237,4552,155,1426,19707,735,26579,483402,33432,95719,69861,321631,1004041,548,57,64,43,149280,149997,9051,571,212,108,150391,160332,150114,8002,6920,543,213603,379178,215443,14774,22354,1445,91026,345038,211462,17680,44726,4096,56992,334959,182695,12683,49131,10241,27290,282042,132280,6998,31117,19336,9943,199669,59738,2018,10624,28089,3626,104095,13732,424,2210,24727,1329,42420,975062,63204,167359,88615,703481,1997726
6,26,11,8,6,15906,15960,519,35,9,7,14718,15289,8701,492,492,29,18627,28338,14990,1290,1882,85,10354,28598,18984,1907,4720,261,8032,33896,22029,1716,6064,728,4539,35070,19638,1054,4074,1506,1800,28078,9455,341,1254,2020,606,13679,2314,72,206,1563,193,4347,96665,6909,18713,6195,74774,203256,40,15,0,8,15042,15118,892,90,23,20,13545,14574,11156,917,700,102,16826,29695,16854,1685,2899,273,9512,31227,20205,2236,6425,823,6457,36154,22360,1697,7572,2171,3286,37087,17345,882,5040,4777,1258,29305,6646,204,1578,6999,501,15926,1186,39,320,5587,281,7413,96695,7766,24561,20767,66714,216496,69,26,9,16,30954,31078,1410,122,37,31,28266,29865,19862,1402,1186,128,35455,58034,31849,2975,4780,358,19860,59830,39189,4140,11139,1089,14493,70050,44388,3409,13633,2895,7826,72160,36978,1938,9118,6283,3065,57381,16109,544,2833,9023,1104,29604,3499,108,530,7143,474,11767,193360,14677,43270,26966,141489,419752
7,213,16,5,10,7236,7476,1122,58,29,13,7625,8850,8073,353,316,34,13217,21992,10186,577,918,65,6097,17847,9060,842,1852,181,4304,16238,6953,668,1988,274,2216,12108,3667,399,1115,373,760,6312,1044,83,293,273,190,1891,165,12,39,128,47,392,40490,3006,6552,1356,41702,93101,390,11,7,7,6185,6597,1525,84,28,14,6145,7795,9111,529,460,76,10873,21045,9536,671,1082,193,5299,16781,8162,812,1935,623,3539,15072,5918,636,2052,988,1605,11193,2559,251,999,1110,424,5349,566,38,277,890,111,1878,81,6,58,366,31,545,37843,3040,6890,4266,34215,86254,601,23,17,17,13423,14077,2649,142,58,28,13774,16644,17181,881,776,110,24089,43036,19725,1248,1994,266,11399,34630,17216,1653,3782,807,7845,31310,12875,1301,4041,1256,3823,23296,6231,651,2115,1481,1182,11661,1611,125,566,1161,307,3771,252,23,91,497,73,938,78332,6049,13446,5622,75916,179359
8,28,8,7,10,12316,12366,403,25,17,0,15415,15863,11710,414,488,31,19793,32435,18733,857,1489,58,7804,28940,16291,1061,2727,165,4763,25003,13645,792,2731,294,2442,19908,10432,391,1684,582,852,13946,4806,126,555,750,205,6445,1366,26,110,737,78,2316,77414,3699,9796,2637,63675,157220,32,8,6,3,12098,12145,864,49,20,13,14625,15565,15139,661,731,45,17112,33679,18846,1078,2279,159,7103,29460,15898,1221,4144,421,4298,25979,13128,853,4271,1129,2210,21597,9038,453,2919,2304,798,15506,3522,129,964,3054,251,7916,706,12,232,2783,108,3841,77170,4460,15557,9905,58604,165694,58,11,13,14,24416,24507,1267,69,37,14,30046,31430,26843,1073,1217,75,36909,66119,37585,1931,3764,216,14907,58407,32189,2283,6873,585,9057,50989,26773,1641,7006,1427,4657,41506,19470,850,4601,2887,1647,29453,8326,259,1511,3805,460,14363,2075,37,337,3521,182,6158,154588,8154,25355,12539,122280,322917
9,0,0,0,0,106,106,6,0,0,0,135,136,102,8,5,3,214,330,198,17,22,0,104,345,216,14,42,3,97,376,215,21,69,8,54,364,204,5,24,16,15,263,64,3,16,13,0,95,19,0,0,4,3,28,1023,69,177,44,722,2037,0,0,0,0,110,110,12,0,0,0,61,72,126,9,0,4,108,244,176,12,13,0,86,296,204,20,37,6,69,334,221,9,51,23,41,350,128,7,28,35,11,214,35,0,6,43,4,91,7,0,3,20,0,33,910,59,144,138,489,1730,0,0,0,0,215,215,15,0,0,0,188,210,230,15,8,3,320,573,381,29,43,0,191,642,418,36,83,12,170,711,437,32,113,33,92,709,334,12,52,48,24,478,100,3,23,52,3,182,18,0,3,23,3,58,1929,132,324,180,1207,3773
