STE_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
1,119,1409,206806,208334,5722,18695,190337,214759,160497,80679,220233,461407,275727,55109,111473,442315,270670,45261,113348,429278,253130,30902,102378,386407,203730,15488,70736,289959,103486,4496,39192,147175,26149,789,19087,46026,1299229,252827,1073597,2625656,431,2942,193892,197263,14721,27628,168095,210442,215330,84688,186598,486612,293611,53022,122919,469556,278829,43477,137856,460164,247828,27226,137364,412421,177381,11280,117779,306440,73452,2604,96142,172199,11806,446,56645,68887,1313401,253306,1217290,2783989,554,4344,400699,405595,20443,46326,358432,425201,375830,165365,406829,948023,569336,108132,234392,911868,549505,88737,251202,889445,500957,58126,239748,798829,381112,26769,188520,596398,176934,7101,135334,319375,37954,1227,75732,114920,2612629,506131,2290884,5409647
2,101,933,165463,166497,3829,15142,165922,184887,132376,74276,182096,388753,223530,46851,87405,357786,218940,36539,87924,343395,195753,23033,74252,293038,151955,10270,49339,211569,78755,2805,27612,109172,20114,532,14253,34905,1025357,210379,854270,2090010,309,1852,155903,158063,10301,22343,147190,179838,175356,77128,156443,408923,234177,46052,98855,379087,224074,35212,111483,370763,190321,19792,104775,314893,135530,7539,87317,230384,56093,1664,72452,130208,9242,301,41539,51076,1035409,211879,975958,2223245,407,2782,321363,324560,14128,37479,313113,364721,307731,151404,338541,797679,457711,92905,186263,736874,443012,71750,199402,714166,386076,42826,179031,607928,287487,17816,136654,441955,134850,4464,100063,239379,29356,836,55797,85988,2060759,422261,1830230,4313251
3,85,1797,132448,134329,4043,20647,109390,134079,90360,63756,115397,269506,156402,40996,69567,266973,163573,32710,72318,268594,151186,20503,62896,234583,125371,10315,45280,180965,59009,2656,23391,85053,13309,418,10137,23855,763346,193786,640819,1597952,233,3745,123737,127709,8636,29714,96973,135324,121181,67111,103765,292052,173624,40718,79600,293943,172536,32178,88580,293285,150301,18304,81737,250342,109790,7453,70720,187961,40744,1526,52479,94746,6112,218,28617,34948,783156,200953,726207,1710316,315,5541,256183,262039,12675,50361,206364,269400,211539,130861,219160,561565,330027,81713,149168,560912,336104,64886,160894,561880,301486,38806,144629,484928,235167,17763,116001,368927,99754,4185,75865,179807,19421,633,38754,58809,1546500,394738,1367027,3308266
4,40,404,46646,47080,1259,5229,41909,48397,31741,19584,43588,94914,54143,12736,26135,93013,58755,11393,30215,100361,58819,7847,26095,92760,50445,3613,16709,70763,26543,941,9219,36707,7006,181,4927,12110,288751,61918,245430,596104,99,867,43594,44557,2923,7865,35698,46485,42914,20515,36506,99937,58352,12820,26874,98046,61372,11471,33319,106162,58962,7126,32945,99039,46131,2727,28200,77056,19393,598,23473,43466,3339,120,14499,17963,293485,64102,275109,632699,140,1268,90238,91639,4182,13099,77608,94886,74664,40097,80096,194849,112497,25552,53007,191059,120120,22864,63532,206521,117789,14967,59035,191795,96573,6340,44910,147819,45941,1534,32692,80167,10345,306,19419,30075,582239,126029,520544,1228808
5,49,633,68816,69490,1864,8497,59523,69886,52542,35331,67533,155407,89127,20519,35302,144943,90012,16599,35478,142088,78633,10250,29853,118735,60908,4567,19706,85178,29574,1190,10162,40920,7159,213,4684,12053,409863,97790,331051,838705,141,1414,63982,65540,4698,13403,49247,67352,73404,38460,54590,166456,98837,20906,36834,156571,93895,16451,41229,151584,78215,9093,39661,126974,52555,3307,32275,88140,21092,763,25871,47724,3240,112,14121,17480,426075,103919,357817,887812,191,2042,132796,135029,6560,21901,108774,137231,125945,73796,122124,321866,187960,41422,72140,301518,183913,33053,76711,293673,156849,19343,69515,245705,113463,7880,51978,173318,50665,1955,36024,88649,10403,325,18804,29532,835941,201703,688871,1726516
6,13,211,14041,14264,394,2051,10536,12987,7581,6464,10433,24481,13475,4647,7183,25302,16851,4327,8880,30060,18977,2980,8524,30480,16229,1419,5940,23583,7888,344,3278,11513,1798,62,1423,3280,83202,22514,70241,175955,18,405,12847,13264,748,2995,8680,12423,10011,6724,9950,26679,15455,4798,8445,28698,18193,4261,10382,32833,19148,2549,10714,32412,14354,1022,9476,24846,5448,219,7707,13374,825,33,3963,4824,84196,23013,82150,189355,33,615,26889,27534,1142,5048,19221,25406,17593,13187,20380,51163,28931,9445,15627,54005,35046,8585,19256,62893,38123,5532,19233,62890,30576,2441,15411,48430,13334,562,10980,24880,2620,98,5389,8107,167404,45523,152388,365314
7,80,86,5950,6118,594,1016,4640,6262,5504,3909,6837,16258,7478,2425,3843,13748,6615,1978,3853,12443,5105,1174,3019,9299,2759,397,1782,4934,820,79,613,1508,117,5,153,279,29068,11076,30696,70838,159,215,5104,5481,1025,1469,3647,6136,7117,4182,5902,17207,7849,2397,3967,14212,6486,1928,4029,12446,4484,942,3553,8978,1908,284,2100,4289,450,38,1043,1534,45,6,309,356,29515,11461,29649,70627,239,300,11053,11593,1620,2485,8291,12396,12626,8096,12743,33457,15328,4817,7808,27958,13099,3911,7882,24887,9592,2117,6574,18279,4664,684,3876,9224,1267,115,1654,3039,163,13,464,639,58587,22541,60339,141467
8,0,71,10492,10564,264,1512,10428,12200,9995,6085,12132,28211,16763,3447,5858,26069,14571,2595,5453,22612,11984,1517,4236,17732,8896,654,2460,12009,4004,151,1238,5397,1020,29,671,1717,67493,16057,52959,136508,14,155,9935,10100,683,2219,9377,12280,13390,6285,10423,30101,17262,3393,6600,27254,14421,2517,6997,23939,11402,1285,6555,19236,7691,467,5333,13492,2879,94,3610,6579,484,10,1957,2450,68210,16444,60773,145427,13,231,20419,20664,939,3727,19811,24481,23384,12367,22550,58304,34025,6846,12455,53320,28995,5114,12443,46553,23381,2804,10790,36970,16588,1126,7790,25502,6885,246,4847,11975,1497,42,2624,4167,135700,32493,113735,281932
9,0,0,80,85,3,6,56,60,65,22,50,137,143,43,50,236,141,38,73,257,155,21,76,258,135,10,40,183,41,3,28,71,14,0,6,24,693,150,460,1300,0,5,84,87,5,9,30,42,98,31,50,179,153,42,58,250,147,42,69,260,150,21,74,251,99,5,65,174,30,0,43,71,4,0,18,23,689,163,493,1340,0,5,169,170,12,15,78,103,158,51,103,318,293,82,107,483,283,83,145,513,307,50,154,507,241,15,105,358,74,3,71,147,14,0,28,46,1384,305,954,2639
