STE_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
1,239625,946159,887849,283044,152005,2508687,95623,2604314
2,166061,722675,776286,243135,131289,2039449,73257,2112706
3,99133,566233,620096,207335,107773,1600566,56263,1656831
4,47848,228940,229930,74249,37802,618774,20017,638792
5,42620,274198,337355,118969,67709,840844,25934,866777
6,13694,69261,69092,24916,13474,190442,7139,197575
7,6948,20562,22357,7713,4097,61675,3389,65061
8,7832,53025,55714,15552,7030,139148,3513,142664
9,63,435,516,178,105,1296,69,1360
