STE_CODE_2016,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_more_15_19_yrs,M_3000_more_20_24_yrs,M_3000_more_25_34_yrs,M_3000_more_35_44_yrs,M_3000_more_45_54_yrs,M_3000_more_55_64_yrs,M_3000_more_65_74_yrs,M_3000_more_75_84_yrs,M_3000_more_85ov,M_3000_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot
1,109473,33797,25398,14472,15235,22736,15465,6576,2320,245480,41865,14976,5674,4202,5561,8627,8244,3449,1119,93723,18444,25465,19864,15614,18341,25927,27772,16496,4870,172799,9018,17374,17339,14480,20156,29997,60479,43533,13188,225558,10497,18935,20677,16252,20964,27706,43545,27376,11489,197429,9213,24033,26629,19382,21431,26066,31057,16175,5043,179031,5040,27515,41764,29222,30239,30707,23657,11167,3568,202871,2600,26711,61986,44391,44280,40397,22083,7154,2296,251897,1151,20070,73023,54800,51333,44385,21655,6139,1931,274488,385,9340,53495,43951,38954,30553,12202,2936,923,192736,184,4420,44394,43349,37858,26989,9013,2165,716,169085,90,1878,29445,36276,30618,20560,5783,1349,503,126501,87,1514,42982,68876,55456,34158,9018,2108,672,214871,241,779,15687,48586,49374,29279,9539,2774,1008,157264,21813,21685,48201,40406,38664,34973,30961,21518,12098,270327,230103,248490,526560,494264,478458,433059,330471,170912,61753,2974063,95424,32797,53643,46531,40486,51106,21012,8866,4068,353937,51928,16390,14381,16661,15217,18126,11252,4423,1562,149938,23031,28295,30674,30305,30488,41208,34625,17970,6087,242685,9541,20982,28659,29309,32941,44933,73308,45792,15552,301014
2,88338,31685,21321,12176,12700,16883,11502,4864,1736,201199,38027,15443,5314,3872,4598,6578,6248,2831,947,83859,14404,24502,18377,13035,14432,19362,21286,12944,4000,142347,6041,16083,15153,11440,14479,20680,43541,32914,10052,170390,6633,16767,17420,12871,15611,19490,31744,20256,8549,149345,5249,20317,23775,15826,16990,19775,24533,12661,4180,143307,2890,21927,38051,25091,24766,24018,18372,8652,2893,166657,1600,20837,56308,38378,37087,31737,16527,5393,1990,209859,672,14079,63881,47236,43346,35021,15012,4330,1529,225102,214,5767,45712,38351,33054,24126,8626,2113,683,158640,138,2598,34901,36477,31611,21816,6398,1549,538,136031,63,1085,21647,29005,24774,16129,4212,960,380,98252,116,951,28713,49459,41738,25319,6466,1558,535,154852,201,671,9675,31944,34203,20247,6749,1903,724,106312,17255,17031,36907,30837,29984,26386,23609,16507,8828,207345,181849,209733,437167,395979,379374,327567,244826,129451,47567,2353499,77647,31317,47176,39001,32724,39129,16906,6789,3159,293852,46359,17240,14080,15564,13261,14321,8753,3584,1493,134653,18099,28026,28760,27562,25839,32391,26881,15068,4998,207614,5983,18708,24559,25164,26693,33671,54764,34779,12164,236491
3,63756,15815,11810,8048,9494,13657,7853,2670,780,133870,29566,8070,3259,2779,3511,5757,5123,1622,509,60202,15010,16798,14541,10942,11848,16449,17179,8294,2144,113204,6698,10229,10619,9115,11810,18296,40112,26359,7095,140326,6812,11299,12101,9754,12503,17173,30418,17336,6298,123693,6609,15468,16045,11384,12749,16101,21868,10461,2771,113459,3907,19719,26678,18811,18597,18857,15601,6841,1940,130948,2276,19153,39760,29901,29340,25525,13749,4071,1153,164930,985,14021,44692,37696,35814,28680,12765,3215,958,178826,316,6943,32519,29711,27380,20034,6786,1468,381,125537,160,3082,25925,29341,27317,18252,4825,1011,290,110200,77,1520,16626,22195,20367,12896,3074,611,192,77556,64,1445,23681,37675,35414,19870,4377,926,288,123750,143,541,8217,21792,24262,14366,4378,1215,361,75272,14806,15179,31391,28008,28141,24362,20482,12598,6621,181590,151196,159280,317852,307148,308537,270282,208597,98704,31767,1853368,52001,15493,27641,25285,24099,29817,10525,3376,1413,189657,36162,8622,9416,10685,9467,11680,6193,1989,690,94903,18823,18178,20716,19395,18746,25796,20765,8918,2762,154102,8044,13369,19363,18741,20237,27473,47741,25533,7930,188429
4,24566,7007,4731,3164,3450,4559,2448,851,416,51186,10753,4333,1593,1163,1670,2376,1807,674,218,24599,4789,7677,6957,5216,5997,7550,6495,3688,1107,49480,1851,4049,4483,3952,5520,7915,15945,11811,3795,59317,1903,4141,4783,4199,5683,7161,11922,7321,3294,50416,1644,5399,6353,4784,5375,6440,8750,4501,1489,44729,843,6212,10545,7433,7803,7407,6396,3347,1166,51150,413,5887,14729,11673,11762,10309,5912,2104,757,63542,183,3739,15869,13577,13673,11849,5552,1531,591,66560,60,1625,10382,9900,9807,7647,2915,605,218,43158,33,662,7922,9283,9013,6867,1882,421,151,36239,25,269,4788,7038,7022,4979,1297,257,111,25791,17,265,5467,10427,10885,7057,1708,374,145,36340,55,155,1581,4931,6332,4628,1744,460,199,20086,4392,3801,8092,7450,8124,7418,6525,4497,2687,52984,51516,55223,108274,104188,112117,104169,81316,42437,16340,675578,20327,6123,9210,7496,7072,10079,3577,1277,704,65862,13071,4265,3625,3761,3479,4654,2894,969,376,37093,6151,7971,8348,7794,8029,10753,8615,4541,1631,63838,2128,5084,7199,6954,8282,11232,20394,12509,4623,78394
5,36101,9806,7795,5029,5494,7347,4435,1474,408,77889,14767,4965,2007,1384,1645,2594,2447,890,265,30969,6332,8529,7554,5196,5501,7024,7687,4120,1088,53029,3033,5367,5144,3718,4633,6769,16282,12106,3321,60367,3028,5310,5478,3864,4524,6226,12244,7596,2649,50919,2899,6955,7363,4748,5038,6374,9950,5055,1437,49831,1699,8017,10768,6792,6567,7047,7365,3536,1064,52852,1005,8530,17896,11758,11438,10387,6700,2037,719,70472,511,7293,24146,17766,16490,13899,6667,1692,597,89062,169,3854,19066,15739,14182,10656,3920,834,264,68694,86,2362,17269,16076,15118,10636,2980,592,171,65283,40,1311,12843,14172,12936,8821,2104,381,134,52747,50,1723,22839,29537,27076,16268,3361,609,170,101625,83,626,9774,20480,21512,12308,3159,701,212,68846,7311,7913,20992,17274,15975,12588,9460,6237,3345,101097,77112,82563,190956,173520,168121,138950,98758,47859,15846,993685,30362,8684,22370,20562,15600,17709,6421,2093,772,124570,18177,5237,6753,7206,5242,5906,3449,1268,456,53708,8032,9247,11700,11010,9558,11684,9836,4899,1575,77546,3090,6644,10087,9800,9420,11634,20701,12695,3856,87937
6,7040,1320,950,645,833,1436,736,246,66,13264,3213,986,426,346,453,837,594,181,30,7069,1545,2253,1919,1576,1893,2722,2496,1129,271,15809,602,1096,1277,1296,1892,3097,5996,3804,960,20024,712,1193,1382,1353,2015,2616,4233,2517,941,16953,623,1658,1847,1515,1731,2408,3003,1432,469,14688,361,2052,2819,2209,2550,2703,2174,1053,336,16254,155,1740,4225,3227,3657,3531,1859,649,198,19246,62,1041,4198,3756,4142,3760,1765,477,156,19358,13,420,2717,2830,2962,2380,800,184,75,12382,16,170,1843,2554,2849,2229,532,133,54,10380,6,76,1065,1874,2140,1466,298,62,21,7009,4,52,1075,2317,2715,1851,454,112,36,8615,19,37,320,943,1424,1194,446,110,45,4542,1592,1192,2261,2172,2648,2834,2681,1593,692,17671,15960,15289,28338,28598,33896,35070,28078,13679,4347,203256,5542,1020,1679,1533,1900,3066,909,279,109,16039,3968,938,904,1043,1102,1534,811,227,80,10624,1948,2161,2471,2351,2513,3841,2931,1239,403,19850,761,1430,2285,2368,2906,4432,7162,3690,1092,26120
7,2669,550,524,344,353,505,309,81,13,5347,1073,440,616,404,327,233,160,43,3,3294,742,990,1581,1181,994,683,539,215,35,6958,248,329,494,460,486,558,771,346,72,3759,204,308,489,403,391,447,680,282,71,3287,287,473,674,488,456,433,465,159,36,3484,228,673,933,595,559,552,375,109,20,4047,214,966,1595,1057,974,771,382,79,16,6054,104,976,2489,1612,1364,1033,434,80,15,8118,28,662,2124,1462,1332,914,292,39,7,6868,23,346,1806,1532,1327,915,226,37,6,6220,4,134,1198,1297,1280,833,187,16,3,4947,12,172,2175,2432,2193,1397,267,34,4,8688,5,69,1101,1478,1433,874,209,26,7,5207,1636,1756,4187,3107,2763,1951,1016,339,79,16831,7476,8850,21992,17847,16238,12108,6312,1891,392,93101,2147,518,1547,1129,755,829,322,87,22,7352,1117,393,753,579,431,285,154,55,18,3781,853,1148,1918,1454,1158,950,598,226,49,8365,231,433,1006,803,720,695,843,356,82,5167
8,5515,2251,1231,624,517,689,435,165,62,11481,2739,928,326,211,202,257,229,98,35,5026,1145,1575,811,590,492,605,690,440,115,6458,425,1057,717,504,560,691,1205,947,279,6377,434,1181,974,666,603,648,1006,632,239,6379,564,1464,1371,755,636,682,996,577,191,7239,355,1576,1839,1072,844,905,1054,572,175,8398,231,1735,2993,1712,1390,1448,1328,680,211,11719,101,1580,4391,2539,1928,1978,1612,582,210,14926,18,837,4460,2563,1893,1739,1169,327,117,13130,8,317,3927,3233,2424,1704,951,254,96,12927,8,97,2450,2722,2045,1408,611,132,54,9525,14,82,3487,6884,6151,3529,993,201,81,21423,12,37,947,2933,3688,2388,669,137,49,10859,797,1141,2503,1937,1635,1243,1008,695,405,11357,12366,15863,32435,28940,25003,19908,13946,6445,2316,157220,4687,2073,2516,1845,1266,1631,778,248,107,15154,3255,948,721,721,545,667,646,246,75,7821,1527,1795,1252,1020,823,1140,1335,742,203,9834,532,1307,1133,1007,852,1199,1907,1264,395,9601
9,37,3,4,10,7,13,15,3,0,97,12,3,0,5,3,5,6,0,0,36,7,3,3,6,7,24,19,11,3,82,0,0,5,8,6,12,31,20,0,94,3,3,8,4,10,17,24,16,9,92,6,13,5,18,28,25,26,3,6,129,5,5,20,22,29,35,17,9,3,145,3,16,24,35,32,31,17,3,0,163,0,10,34,31,33,27,19,0,0,159,0,3,22,21,27,21,19,0,0,124,0,7,18,21,25,28,13,3,0,109,0,0,20,27,28,22,8,0,0,104,0,3,27,38,49,35,12,0,0,153,0,0,7,13,7,11,10,0,0,43,27,58,139,97,79,57,38,15,4,514,106,136,330,345,376,364,263,95,28,2037,36,6,25,26,22,45,14,3,0,182,21,3,7,10,12,13,8,0,0,73,11,3,16,12,20,29,24,11,0,126,3,0,16,15,24,26,45,24,3,160
