STE_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
1,84,574,353,6320,1945,1269,1492,744,227,13005,41,202,533,3327,2276,3980,6364,6387,2648,25765,126,523,594,1767,799,398,258,76,15,4556,226,1331,3384,11066,3646,2523,1275,631,120,24196,100,414,1120,8500,6970,5737,4538,1812,440,29632,122,491,1719,5665,2133,2270,1612,568,111,14690,5,10,38,255,444,1625,3025,1523,358,7292,0,36,112,720,508,640,468,205,62,2754,17,107,553,1581,663,386,268,143,47,3769,90,525,3745,12533,577,237,93,21,0,17822,34,214,209,1046,806,1335,2744,1540,621,8540,627,3872,6560,20063,10979,9205,5213,1880,498,58896,3,55,77,750,576,455,704,391,90,3102,368,1205,2424,7879,1647,846,287,63,17,14739,10,65,133,779,709,458,150,115,34,2459,344,2299,3496,15039,5809,4568,2098,484,141,34270,29,62,86,1755,558,1384,1004,481,434,5796,37,327,365,2476,2499,2963,3308,1898,606,14481,190,772,823,1818,782,736,450,191,40,5809,154,1145,2105,7249,4266,3153,2106,831,236,21237
2,60,414,237,3590,1090,944,922,619,267,8144,39,230,506,2776,2696,5910,9920,9123,3724,34927,74,342,458,1044,360,183,140,28,6,2638,85,532,1323,3680,704,295,112,44,6,6789,54,159,383,2835,2018,1563,1124,404,107,8643,331,1272,4515,9081,2732,2873,1725,592,127,23243,7,28,80,366,664,2217,3432,1767,332,8884,4,163,420,2119,905,1043,694,329,102,5780,32,405,1065,2702,732,331,178,121,37,5592,25,191,1153,3611,163,86,33,7,0,5267,32,172,158,900,746,1801,3530,1946,700,9979,813,4636,6042,18020,7426,5505,2843,973,245,46502,12,56,62,596,472,525,691,371,109,2899,347,1154,2416,7958,881,378,176,35,13,13363,14,39,79,463,333,130,51,15,3,1121,279,1741,2859,8745,3420,2053,829,182,53,20164,11,47,103,1399,667,1567,1268,577,597,6224,33,278,378,2271,2144,2677,2915,1589,534,12808,187,879,1539,2488,904,734,392,141,20,7279,81,789,1571,4731,2622,1753,1178,434,129,13290
3,65,418,300,2567,853,612,706,366,154,6057,22,102,273,1076,507,919,1788,1722,768,7172,83,481,722,1524,519,267,208,48,15,3860,145,614,1673,4911,850,355,140,65,3,8758,5,16,26,226,183,143,125,52,13,795,102,320,1107,2355,1078,901,504,217,32,6611,0,7,15,55,92,298,526,257,59,1308,0,29,46,210,139,137,139,47,12,756,5,78,250,829,203,146,87,48,13,1662,15,169,552,1794,82,41,7,4,0,2673,11,131,169,779,774,1239,2428,1280,414,7234,1035,8391,11968,33008,17540,14856,9226,3104,721,99852,9,58,64,476,366,348,491,268,44,2135,81,285,394,1556,252,120,54,21,3,2754,56,548,903,2229,1643,1043,346,182,33,6989,239,1732,2056,5563,2090,866,305,102,27,12979,0,30,53,645,251,488,358,201,140,2171,35,383,472,1842,2007,2188,2353,1293,376,10943,61,273,580,1102,411,343,174,66,5,3008,125,1651,3175,6643,4017,2351,1300,512,111,19889
4,11,106,72,477,236,265,272,190,76,1704,10,39,104,408,600,1531,2637,2770,1058,9163,19,66,107,172,49,30,18,6,0,466,22,230,389,752,211,55,17,7,0,1682,15,21,48,189,137,165,121,65,23,791,53,244,779,1275,404,306,310,99,21,3495,0,0,0,17,48,172,280,134,40,689,0,5,4,45,15,10,13,6,5,102,3,82,163,392,97,36,14,10,4,800,32,210,320,816,32,17,5,4,0,1440,3,40,55,198,233,687,1293,558,180,3246,53,378,535,2061,1331,1243,751,237,51,6635,0,19,29,111,165,224,267,138,41,989,87,361,308,971,146,51,10,10,0,1945,3,18,20,163,143,64,17,11,7,446,77,618,765,2017,679,287,89,33,9,4581,0,28,39,495,269,579,372,190,176,2148,11,143,200,660,1039,1394,1300,774,262,5788,28,121,210,401,124,118,102,27,8,1137,25,317,549,984,633,351,221,84,23,3184
5,67,649,429,5209,999,825,823,399,99,9498,25,133,229,1470,799,1416,2717,2341,941,10079,52,175,146,592,156,86,70,30,5,1307,57,216,472,2114,302,132,45,15,4,3355,3,27,38,199,116,104,86,27,3,610,134,735,2004,4920,1752,1754,1360,579,111,13355,0,4,11,35,47,120,160,86,6,479,15,121,248,984,336,279,194,78,23,2281,4,125,410,1329,786,688,440,252,77,4119,15,71,262,993,63,17,7,0,0,1425,14,137,114,565,473,677,1586,734,275,4582,453,3391,4167,15721,7962,6667,2784,675,131,41960,10,53,116,634,362,320,384,204,61,2136,95,338,536,1924,221,123,64,15,5,3328,6,121,103,383,251,95,13,8,3,990,314,2273,2195,5812,2263,537,140,33,8,13563,4,55,73,742,219,634,357,183,144,2413,62,726,864,2942,2585,2518,2019,1091,272,13086,79,584,967,2223,1008,1010,595,249,54,6778,132,1930,3338,6787,4096,2254,1133,396,97,20166
6,4,22,11,79,50,58,51,37,6,333,0,6,7,40,31,78,116,131,65,478,4,21,18,47,11,6,6,0,0,132,3,32,64,115,33,19,6,3,0,278,0,0,0,12,12,3,10,3,0,40,5,12,287,174,49,47,40,17,3,636,0,0,0,3,10,23,24,9,0,74,0,0,3,9,3,3,0,0,0,20,0,19,19,60,16,8,4,4,0,135,22,123,150,122,11,0,0,0,0,432,0,11,25,86,82,198,439,208,57,1103,21,114,163,649,490,555,343,128,16,2469,0,5,3,23,22,25,75,26,8,179,12,35,29,124,14,7,0,0,0,214,0,3,5,50,44,23,10,3,0,136,7,53,69,135,52,25,10,3,0,355,6,0,6,47,25,48,47,31,35,243,0,19,13,113,169,228,355,205,55,1163,7,21,68,88,20,27,10,6,3,246,0,40,66,230,130,104,102,44,17,733
7,8,22,20,402,28,32,42,11,0,558,0,3,19,76,29,46,70,44,7,290,15,25,10,116,45,19,4,0,0,240,3,18,30,131,14,6,0,0,0,204,0,0,8,18,6,0,0,0,0,37,0,19,19,132,54,45,30,21,0,306,0,0,0,0,3,7,7,3,0,18,0,0,0,15,11,3,0,0,0,36,3,5,3,59,18,12,0,7,0,107,0,24,93,456,21,9,0,0,0,607,0,3,3,48,25,39,69,17,9,220,36,129,201,812,510,508,231,38,7,2472,3,6,4,38,13,14,11,6,0,85,3,16,23,143,22,8,0,0,0,223,5,9,25,114,71,30,6,3,0,261,43,376,386,1170,378,157,44,13,0,2562,0,0,0,29,0,24,9,0,0,61,3,17,17,81,75,91,64,28,0,370,0,12,5,60,21,28,5,5,0,136,4,47,58,193,93,52,19,6,0,468
8,5,52,22,157,54,47,60,39,3,432,0,5,14,111,106,176,288,195,93,1001,18,45,53,60,28,16,5,3,0,231,11,70,207,608,110,42,15,7,0,1072,0,9,15,68,46,30,34,9,3,214,11,55,175,384,201,156,91,40,6,1117,0,0,0,13,8,30,57,23,5,138,4,4,18,63,17,17,4,3,0,132,0,7,32,118,58,30,33,14,5,290,4,29,46,271,21,13,5,0,0,385,3,8,23,55,43,91,160,71,39,489,31,166,286,805,474,355,189,64,26,2392,0,0,3,29,41,46,28,22,0,170,43,102,167,673,108,37,15,0,3,1142,8,14,28,128,119,46,3,3,0,353,24,158,224,704,226,91,44,13,3,1492,0,5,11,125,47,95,75,23,16,402,6,20,34,154,175,188,212,111,37,952,13,35,99,200,74,44,21,6,3,493,7,95,177,324,196,102,54,18,13,986
9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,3,3,0,62,31,36,52,10,0,207,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,5,39,41,40,26,14,4,176,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,3,4,3,0,0,0,0,6,0,6,0,13,5,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,5,8,6,5,0,0,37,0,3,0,7,6,4,0,0,0,20
