STE_CODE_2016,A25_34_SOLSE_T_06_10,A25_34_SOLSE_T_11,A25_34_SOLSE_T_12,A25_34_SOLSE_T_13,A25_34_SOLSE_T_14,A25_34_SOLSE_T_15,A25_34_SOLSE_T_16,A25_34_SOLSE_T_YNS,A25_34_SOLSE_T_T,A25_34_L_PinE_NS_B00,A25_34_L_PinE_NS_00_05,A25_34_L_PinE_NS_06_10,A25_34_L_PinE_NS_11,A25_34_L_PinE_NS_12,A25_34_L_PinE_NS_13,A25_34_L_PinE_NS_14,A25_34_L_PinE_NS_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B00,A25_34_T_00_05,A25_34_T_06_10,A25_34_T_11,A25_34_T_12,A25_34_T_13,A25_34_T_14,A25_34_T_15,A25_34_T_16,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B00,A35_44_SEO_00_05,A35_44_SEO_06_10,A35_44_SEO_11,A35_44_SEO_12,A35_44_SEO_13,A35_44_SEO_14,A35_44_SEO_15,A35_44_SEO_16,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_SOLSE_VWW_B00,A35_44_SOLSE_VWW_00_05,A35_44_SOLSE_VWW_06_10,A35_44_SOLSE_VWW_11,A35_44_SOLSE_VWW_12,A35_44_SOLSE_VWW_13,A35_44_SOLSE_VWW_14,A35_44_SOLSE_VWW_15,A35_44_SOLSE_VWW_16,A35_44_SOLSE_VWW_YNS,A35_44_SOLSE_VWW_T,A35_44_SOLSE_NWNAA_B00,A35_44_SOLSE_NWNAA_00_05,A35_44_SOLSE_NWNAA_06_10,A35_44_SOLSE_NWNAA_11,A35_44_SOLSE_NWNAA_12,A35_44_SOLSE_NWNAA_13,A35_44_SOLSE_NWNAA_14,A35_44_SOLSE_NWNAA_15,A35_44_SOLSE_NWNAA_16,A35_44_SOLSE_NWNAA_YNS,A35_44_SOLSE_NWNAA_T,A35_44_SOLSE_PinE_NS_B00,A35_44_SOLSE_PinE_NS_00_05,A35_44_SOLSE_PinE_NS_06_10,A35_44_SOLSE_PinE_NS_11,A35_44_SOLSE_PinE_NS_12,A35_44_SOLSE_PinE_NS_13,A35_44_SOLSE_PinE_NS_14,A35_44_SOLSE_PinE_NS_15,A35_44_SOLSE_PinE_NS_16,A35_44_SOLSE_PinE_NS_YNS,A35_44_SOLSE_PinE_NS_T,A35_44_SOLSE_T_B00,A35_44_SOLSE_T_00_05,A35_44_SOLSE_T_06_10,A35_44_SOLSE_T_11,A35_44_SOLSE_T_12,A35_44_SOLSE_T_13,A35_44_SOLSE_T_14,A35_44_SOLSE_T_15,A35_44_SOLSE_T_16,A35_44_SOLSE_T_YNS,A35_44_SOLSE_T_T,A35_44_L_PinE_NS_B00,A35_44_L_PinE_NS_00_05,A35_44_L_PinE_NS_06_10,A35_44_L_PinE_NS_11,A35_44_L_PinE_NS_12,A35_44_L_PinE_NS_13,A35_44_L_PinE_NS_14,A35_44_L_PinE_NS_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B00,A35_44_T_00_05,A35_44_T_06_10,A35_44_T_11,A35_44_T_12,A35_44_T_13,A35_44_T_14,A35_44_T_15,A35_44_T_16,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B00,A45_54_SEO_00_05,A45_54_SEO_06_10,A45_54_SEO_11,A45_54_SEO_12,A45_54_SEO_13,A45_54_SEO_14,A45_54_SEO_15,A45_54_SEO_16,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_SOLSE_VWW_B00,A45_54_SOLSE_VWW_00_05,A45_54_SOLSE_VWW_06_10,A45_54_SOLSE_VWW_11,A45_54_SOLSE_VWW_12,A45_54_SOLSE_VWW_13,A45_54_SOLSE_VWW_14,A45_54_SOLSE_VWW_15,A45_54_SOLSE_VWW_16,A45_54_SOLSE_VWW_YNS,A45_54_SOLSE_VWW_T,A45_54_SOLSE_NWNAA_B00,A45_54_SOLSE_NWNAA_00_05,A45_54_SOLSE_NWNAA_06_10,A45_54_SOLSE_NWNAA_11,A45_54_SOLSE_NWNAA_12,A45_54_SOLSE_NWNAA_13,A45_54_SOLSE_NWNAA_14,A45_54_SOLSE_NWNAA_15,A45_54_SOLSE_NWNAA_16,A45_54_SOLSE_NWNAA_YNS,A45_54_SOLSE_NWNAA_T,A45_54_SOLSE_PinE_NS_B00,A45_54_SOLSE_PinE_NS_00_05,A45_54_SOLSE_PinE_NS_06_10,A45_54_SOLSE_PinE_NS_11,A45_54_SOLSE_PinE_NS_12,A45_54_SOLSE_PinE_NS_13,A45_54_SOLSE_PinE_NS_14,A45_54_SOLSE_PinE_NS_15,A45_54_SOLSE_PinE_NS_16,A45_54_SOLSE_PinE_NS_YNS,A45_54_SOLSE_PinE_NS_T,A45_54_SOLSE_T_B00,A45_54_SOLSE_T_00_05,A45_54_SOLSE_T_06_10,A45_54_SOLSE_T_11,A45_54_SOLSE_T_12,A45_54_SOLSE_T_13,A45_54_SOLSE_T_14,A45_54_SOLSE_T_15,A45_54_SOLSE_T_16,A45_54_SOLSE_T_YNS,A45_54_SOLSE_T_T,A45_54_L_PinE_NS_B00,A45_54_L_PinE_NS_00_05,A45_54_L_PinE_NS_06_10,A45_54_L_PinE_NS_11,A45_54_L_PinE_NS_12,A45_54_L_PinE_NS_13,A45_54_L_PinE_NS_14,A45_54_L_PinE_NS_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B00,A45_54_T_00_05,A45_54_T_06_10,A45_54_T_11,A45_54_T_12,A45_54_T_13,A45_54_T_14,A45_54_T_15,A45_54_T_16,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B00,A55_64_SEO_00_05,A55_64_SEO_06_10,A55_64_SEO_11,A55_64_SEO_12,A55_64_SEO_13,A55_64_SEO_14,A55_64_SEO_15,A55_64_SEO_16,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_SOLSE_VWW_B00,A55_64_SOLSE_VWW_00_05,A55_64_SOLSE_VWW_06_10,A55_64_SOLSE_VWW_11
1,87106,15496,19971,24432,25612,26519,15049,8422,301268,42,20,73,25,21,20,27,22,20,1315,1579,69278,46329,104219,21035,25950,30554,31505,32332,18367,12572,392129,50001,21499,18171,3285,2935,2452,2085,1860,985,2673,105954,71818,52661,51953,7046,7589,7374,6588,6156,3349,3489,218026,5458,5785,7706,1460,1997,2358,1975,1924,1239,1207,31104,536,360,339,51,48,74,48,48,19,105,1631,77810,58806,59999,8550,9639,9804,8616,8127,4606,4802,250765,77,46,42,5,7,8,8,3,4,996,1193,127893,80354,78209,11842,12578,12265,10708,9994,5599,8472,357909,93405,13511,8364,1397,1286,1006,857,748,398,3257,124221,112857,23218,14287,1984,1955,1797,1444,1215,648,3084,162491,20280,6413,6379,1170,1444,1636,1415,1379,1015,1919,43058,865,178,131,22,29,23,19,18,9,109,1392,134007,29809,20801,3177,3432,3447,2878,2608,1670,5114,206942,169,32,14,3,3,0,4,0,0,776,1006,227579,43353,29176,4581,4713,4454,3736,3354,2069,9150,332164,101683,4658,2403,442,442,340,299,308,149,2960,113686,108457,6684,3088,526
2,84200,13717,17825,20561,21020,20858,11961,6482,254876,27,25,59,13,12,14,12,20,16,906,1102,48836,39258,99550,18413,22965,25360,25499,25254,14533,9600,329262,37894,14245,13747,2832,2489,1994,1633,1527,731,2046,79133,48029,36772,47285,6268,6916,6238,5373,5079,2620,2594,167178,3866,3775,6409,1348,1783,2234,1701,1690,1081,948,24831,353,267,339,24,42,62,35,30,18,77,1251,52248,40819,54032,7641,8741,8529,7111,6797,3722,3617,193259,64,42,34,8,12,9,5,9,8,625,798,90206,55098,67810,10483,11238,10537,8750,8329,4457,6287,273197,67942,10089,7766,1262,1148,815,714,572,336,2364,93005,71501,15925,14714,2018,1968,1710,1372,1210,638,2203,113248,12920,3917,5355,1141,1396,1593,1297,1323,931,1580,31463,590,134,110,14,21,16,17,12,5,96,1023,85010,19976,20177,3175,3390,3320,2688,2543,1577,3877,145732,108,20,25,0,0,3,0,3,5,453,622,153057,30087,27966,4442,4537,4148,3400,3118,1918,6691,239360,81243,3677,2240,399,358,343,272,243,133,2339,91250,76396,4906,2934,500
3,31625,5928,7515,9060,9617,9904,5928,3881,103665,22,18,37,7,4,19,20,22,12,493,646,30389,20171,47834,10269,11825,12680,12828,13062,7814,6571,173453,39706,15175,17050,3091,2828,2096,1596,1336,702,2176,85757,16771,14760,23817,3504,3797,3070,2650,2482,1278,1247,73368,933,1185,2924,516,635,794,594,573,469,380,9004,132,98,167,28,34,22,11,26,7,31,559,17837,16048,26906,4048,4461,3888,3253,3079,1757,1654,82924,50,22,36,3,4,3,8,4,3,387,522,57596,31245,43992,7145,7295,5983,4861,4419,2456,4221,169204,70456,14758,14301,2078,1805,1232,972,796,387,2576,109351,23759,8426,9970,1381,1319,962,796,635,371,868,48486,2881,1360,2042,355,394,477,368,344,339,460,9022,201,69,71,15,13,19,9,5,6,30,431,26839,9854,12086,1747,1729,1458,1174,984,721,1350,57938,108,12,21,5,4,0,0,0,0,264,421,97404,24630,26414,3827,3530,2689,2148,1778,1107,4187,167711,76402,7038,5329,853,772,577,443,412,207,2265,94312,23970,3104,2363,334
4,14274,2399,3060,3477,3710,4220,2334,1058,42110,11,6,7,4,0,0,0,0,0,163,202,8300,5668,16734,3019,3756,4036,4199,4748,2670,1640,54771,8713,2280,3234,540,715,452,390,338,184,491,17342,6267,4753,10415,1408,1693,1534,1264,1395,745,443,29920,527,567,1371,310,407,484,354,318,251,160,4753,43,33,80,8,11,16,8,10,8,15,224,6834,5363,11864,1724,2108,2032,1627,1717,1006,621,34901,13,0,9,0,0,3,3,0,0,111,144,15559,7643,15110,2265,2822,2487,2024,2062,1192,1221,52383,25044,2761,3580,434,419,259,205,187,72,829,33779,9000,2544,3383,448,474,352,302,242,120,327,17186,1679,643,1285,270,314,302,193,204,170,224,5282,68,15,27,7,9,6,3,0,3,14,147,10746,3204,4699,723,794,656,499,443,289,561,22615,35,6,3,0,0,3,0,0,0,124,176,35822,5967,8283,1155,1220,922,701,631,361,1511,56567,34439,1045,740,104,101,85,55,46,40,883,37542,11639,755,541,92
5,25821,5349,6861,7445,7279,6889,3957,2385,82037,28,7,27,0,13,14,9,5,4,629,734,24387,15134,39451,10452,12725,11362,10124,9160,5058,4604,142452,28001,8852,13913,3064,3376,2131,1517,1098,502,1481,63929,12251,9996,20992,3641,4673,3567,2830,2270,1019,890,62131,758,854,2515,379,564,546,408,457,255,287,7035,75,84,124,33,33,25,19,15,12,30,456,13086,10934,23638,4053,5269,4142,3259,2744,1277,1204,69615,37,13,26,3,7,8,3,8,0,442,555,41122,19803,37574,7124,8656,6277,4777,3847,1785,3131,134096,56325,10744,12665,2133,2185,1295,845,558,252,1882,88878,16162,5799,9861,1406,1637,1068,655,592,255,584,38020,2130,882,1818,261,340,310,255,232,234,354,6818,115,58,90,8,17,8,6,3,3,24,334,18408,6737,11776,1682,1987,1388,914,833,491,962,45170,74,14,19,4,4,3,4,3,0,367,492,74811,17495,24455,3821,4179,2684,1757,1390,751,3208,134541,62891,4435,3917,720,682,457,314,279,143,1547,75376,18553,2224,1973,289
6,1334,301,452,504,594,621,348,173,4969,0,0,0,0,0,0,0,0,0,12,16,1129,634,1775,423,569,634,708,759,423,284,7333,2093,640,546,97,86,70,61,63,35,102,3791,440,562,890,125,163,126,129,145,79,62,2742,16,28,96,40,35,80,58,35,47,17,456,7,7,10,0,0,7,0,0,0,3,29,458,596,998,165,201,209,194,186,127,85,3225,3,0,0,0,0,0,0,0,0,4,15,2556,1238,1549,266,286,276,248,243,164,199,7031,4979,537,437,65,62,43,43,41,14,205,6423,889,323,413,55,48,38,29,35,23,33,1890,47,46,91,36,31,45,45,26,24,17,408,3,3,3,0,0,0,0,0,0,3,16,947,374,505,93,87,80,73,60,46,55,2308,5,0,0,0,0,0,0,0,0,15,28,5931,907,941,159,142,121,116,97,61,273,8759,7365,275,196,25,25,16,15,18,11,196,8142,1206,126,93,21
7,2213,466,543,673,732,867,476,277,7069,0,0,0,0,3,0,0,0,0,31,38,1171,684,3061,795,906,958,946,1112,610,436,10683,1336,446,517,117,138,102,130,123,75,104,3082,733,653,1931,283,381,323,267,258,150,135,5123,54,42,168,23,32,53,35,24,25,18,477,18,7,20,4,0,3,0,3,3,0,54,806,704,2112,312,410,382,309,289,174,153,5652,5,3,0,0,0,0,0,0,0,20,32,2152,1150,2631,428,542,488,435,407,252,273,8763,2533,322,369,76,86,63,54,74,31,130,3740,1287,395,698,117,125,107,84,75,54,82,3029,159,35,113,14,21,16,11,7,15,36,423,5,0,11,0,0,8,0,0,0,4,32,1449,434,817,136,148,130,101,83,67,121,3485,3,4,3,0,0,3,0,0,0,27,37,3988,757,1189,213,235,199,156,153,96,285,7257,2733,150,158,41,36,38,43,27,19,116,3361,1295,109,135,15
8,4794,899,1056,1171,1409,1509,845,317,15589,0,3,0,0,0,3,0,0,0,35,37,3816,2434,5563,1136,1307,1401,1660,1753,979,491,20549,3286,710,622,165,138,113,158,159,80,163,5588,2705,3042,3345,546,516,487,525,498,240,165,12058,84,138,308,47,58,68,72,77,43,38,932,23,15,20,0,0,3,6,0,4,3,74,2807,3191,3675,598,572,561,597,575,292,206,13067,3,4,3,0,0,0,0,0,0,29,37,6091,3907,4297,757,713,675,757,728,364,390,18691,5612,477,429,132,137,63,62,47,23,134,7106,4227,1172,1006,179,162,108,126,96,51,114,7242,262,151,208,34,34,47,51,36,29,58,912,25,9,3,0,0,0,0,0,0,0,43,4516,1330,1217,215,204,150,183,133,83,171,8199,5,0,4,0,0,0,0,0,0,14,29,10135,1802,1651,346,340,213,240,176,107,324,15329,6021,182,131,35,25,31,8,34,19,114,6595,4365,307,185,20
9,26,3,4,4,8,12,9,9,115,0,0,0,0,0,0,0,0,0,89,89,44,16,34,8,3,4,6,12,6,106,250,13,4,11,0,0,3,4,0,0,3,46,60,19,22,0,7,0,5,3,8,13,131,8,3,3,0,0,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,62,18,27,0,9,4,3,3,8,18,153,0,0,0,0,0,0,0,0,0,62,62,80,26,39,3,8,5,9,4,8,80,255,69,9,9,0,0,0,0,0,3,4,94,70,17,12,9,0,6,3,7,0,8,128,22,0,8,0,0,0,0,0,0,5,33,0,0,0,0,0,0,0,0,0,0,3,94,12,17,9,0,6,3,9,0,14,161,0,0,0,0,0,0,0,0,0,31,31,165,24,25,7,0,9,5,9,3,51,285,70,17,9,0,3,0,3,3,0,8,108,57,0,3,0
