STE_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
1,33301,4152,4983,183,174,42782,13450,1448,1414,72,46,16440,11855,1235,1268,85,56,14499,21136,2077,2330,147,83,25780,29831,2932,3454,168,118,36502,82784,8671,11050,347,295,103144,92986,10641,13833,351,279,118099,132447,16028,21702,418,432,171023,72712,9866,12729,208,228,95737,74075,11577,12270,218,233,98369,61282,11194,7719,187,283,80672,30283,3268,3124,135,145,36961,656146,83088,95879,2516,2375,840004
2,32821,4281,2071,105,129,39401,15427,1631,662,60,47,17820,13856,1439,668,45,37,16050,24978,2435,1164,68,55,28706,34854,3567,1729,93,99,40350,98837,11257,6008,246,240,116584,107833,13386,7342,198,272,129027,128811,16456,9454,289,337,155344,54646,8340,4275,115,161,67529,46425,8252,3360,88,145,58271,34154,6459,2104,75,126,42923,29938,3080,1285,99,102,34500,622575,80577,40115,1483,1751,746502
3,23419,1377,1244,103,102,26240,10553,775,502,44,35,11906,9220,682,483,56,30,10471,17080,1267,977,121,64,19507,23788,1837,1451,110,77,27261,70236,6034,4333,211,218,81034,86934,6930,5154,214,234,99468,118042,5806,5436,190,281,129758,56449,1772,2002,101,134,60456,41437,1173,1530,83,111,44339,23094,619,980,79,116,24893,21053,1006,848,111,93,23110,501307,29286,24928,1437,1487,558439
4,10766,1112,264,36,52,12226,6752,681,189,23,20,7655,6102,650,179,16,18,6966,11382,1277,354,32,40,13084,14833,1584,530,31,38,17027,38617,3939,1544,81,123,44299,38144,3701,1130,51,120,43150,35990,3682,657,43,138,40515,13423,1315,197,24,49,15008,10040,950,128,21,37,11178,6080,578,93,29,29,6812,6987,571,148,21,24,7746,199112,20049,5405,410,682,225670
5,14169,1480,375,42,51,16111,5751,612,140,21,16,6541,5122,497,120,18,16,5774,9090,923,271,40,13,10333,11729,1232,335,42,31,13373,34344,3988,1284,78,70,39764,43210,5653,1685,90,89,50734,73197,8031,2010,116,144,83502,41145,3664,891,55,101,45855,32364,2919,703,63,92,36144,20618,1762,471,56,71,22974,11588,1006,254,35,34,12912,302320,31773,8538,653,728,344014
6,3543,76,75,16,13,3726,2579,53,52,10,13,2704,2372,49,47,5,7,2487,4504,113,84,22,19,4731,6174,163,164,18,20,6530,15112,285,287,37,35,15769,12315,218,171,25,32,12768,8808,138,97,28,27,9101,2756,60,34,3,10,2859,1968,37,21,11,9,2044,1096,25,15,13,11,1157,2252,40,37,13,7,2348,63472,1268,1089,204,191,66218
7,430,48,64,11,6,566,212,12,21,0,0,253,182,27,24,0,0,234,331,36,51,10,3,435,473,65,82,11,0,636,1496,239,244,39,5,2029,1871,319,318,34,8,2548,3155,398,512,55,15,4135,2566,177,259,35,15,3053,2635,104,194,24,13,2972,1394,49,94,17,6,1563,689,54,59,19,6,826,15440,1535,1926,255,87,19247
8,1933,312,141,0,3,2382,734,101,49,0,0,883,609,90,48,0,0,755,1008,205,108,0,0,1326,1359,292,168,0,0,1831,3828,901,599,8,3,5338,5013,1611,1168,4,7,7800,10634,2247,1187,5,9,14082,6872,821,395,4,3,8096,5988,631,288,0,3,6910,3351,279,168,0,0,3808,1331,193,102,0,0,1629,42660,7688,4421,26,31,54832
9,18,0,0,0,0,17,9,0,0,0,0,9,9,0,0,0,0,9,13,0,0,0,0,12,20,0,0,0,0,25,59,0,3,0,0,65,54,0,3,0,0,57,42,3,0,0,0,46,19,0,0,0,0,19,14,0,0,0,0,11,11,0,0,0,0,9,13,0,0,0,0,13,279,11,11,0,3,299
