STE_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
1,38,1986,664,380,1780,0.9,1486,2.6
2,37,1728,644,325,1715,0.9,1419,2.6
3,37,1733,660,330,1661,0.8,1402,2.6
4,40,1491,600,260,1510,0.8,1206,2.4
5,36,1993,724,347,1910,0.8,1595,2.6
6,42,1300,573,230,1399,0.8,1100,2.3
7,32,2167,871,315,2105,1,1983,2.9
8,35,2058,998,380,2445,0.8,2070,2.5
9,42,1400,712,140,1568,0.9,1377,2.6
