STE_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
1,709524,1413526,14657,83393,84915,396934,22875,105748,472276,1842946,594719,2429029,48846,206167,74799,256077,168992,543608,292638,1005852,887358,3434876,4085,19249,20774,74968,10536,38273,111970,307233,147373,439717,13414,43278,31839,71784,118285,258264,163535,373321,310906,813040,32438,69098,1940226,5730539
2,559717,1113156,10362,58757,68825,320806,14244,64898,385531,1492501,478964,1936963,40576,170813,64883,224864,125537,402013,231002,797692,709965,2734651,2980,14109,16795,59970,6600,23534,81124,217676,107499,315290,11745,37620,27537,62420,87822,190691,127100,290738,234596,606028,27800,58808,1532077,4512644
3,481451,953568,8970,51272,49937,232042,16324,75183,292087,1137674,367322,1496162,22596,93437,41023,135378,87561,274488,151176,503297,518494,1999464,2747,13101,14186,51043,7866,28794,85611,234228,110410,327162,7084,22598,18746,41312,65069,140000,90894,203911,201308,531074,19898,41869,1221148,3525978
4,178588,352976,2588,14545,17845,82042,4239,18864,99327,382743,123994,498198,10127,41904,17223,58296,33387,104723,60743,204918,184733,703114,877,4007,5252,18392,2181,7688,27960,73917,36279,103998,3242,10150,8308,18407,25301,53753,36851,82312,73128,186313,7282,15334,443733,1257737
5,247841,486007,4576,25629,27810,127545,7912,35650,165583,634516,205883,823345,14666,60061,24010,80512,47571,147601,86247,288169,292133,1111511,1219,5775,6666,23512,3186,11762,37418,101413,48490,142462,4088,12969,9649,21467,31111,66254,44856,100696,93344,243153,10869,23184,644189,1863851
6,57849,114119,835,4605,5258,24202,1477,6593,27752,107701,35325,143113,2244,9112,4535,14667,9183,28298,15959,52071,51286,195181,269,1194,1814,6271,750,2612,10074,26607,12906,36688,797,2447,2421,5183,7299,15314,10516,22948,23423,59629,1781,3711,134343,372640
7,18138,36060,459,2828,1995,9577,1265,7069,15178,59469,18901,78944,706,2949,1236,3917,2968,9626,4916,16492,23815,95440,133,720,516,1979,672,3333,4050,11747,5370,17774,199,630,576,1225,2417,5746,3193,7605,8558,25383,1014,2423,51530,159307
8,38438,75817,554,3092,4423,20003,865,3784,28803,109833,34638,136712,2226,9121,4541,15281,6598,20429,13368,44839,48008,181547,174,800,1011,3463,366,1266,5369,13872,6922,19402,664,2048,1758,3821,4780,10148,7208,16022,14129,35425,1461,3054,102036,295841
9,443,869,3,28,39,164,20,91,273,1072,330,1351,7,41,27,73,65,205,100,314,430,1666,3,9,9,30,9,29,54,147,70,225,3,15,17,35,53,119,74,170,145,392,13,29,1023,2947
