STE_CODE_2016,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
1,3283,163,107547,5080,33077,2655,162,35897,25,41004,111,4162,4418,41,8621,7,8737,56,202,32,81,316,0,367,5247,37436,7107,283,44835,35,50106,156,29,3,0,31,113,305,109502,40663,7153,329,48149,312,157959,38313,1275,19,16,1307,41,39655,2301,21541,1803,88,23434,10,25743,76,3147,3767,27,6938,3,7014,26,123,16,40,173,3,200,2400,24812,5585,150,30541,18,32966,42,13,6,0,17,40,98,40757,26098,5606,164,31873,89,72722,17075,635,13,3,653,15,17741,1056,11058,981,36,12074,3,13136,31,1691,2278,13,3981,0,4011,14,59,19,22,94,0,105,1097,12802,3275,74,16151,3,17253,12,10,0,0,11,18,42,18181,13455,3293,76,16819,38,35036,809854,32360,492,343,33197,1331,844387,50351,305592,19055,1479,326124,233,376718,1088,33465,28554,299,62313,41,63447,423,1678,222,789,2687,31,3144,51865,340732,47836,2564,391128,310,443301,1382,453,53,31,535,1605,3520,863101,373542,48382,2943,424860,3240,1291210
2,2746,110,88276,4029,25331,1839,122,27295,10,31333,100,3237,3751,18,7010,3,7112,28,147,21,92,257,0,285,4156,28713,5615,231,34555,11,38728,138,23,8,0,34,101,274,89713,31421,5659,263,37341,225,127282,38757,1219,18,12,1247,38,40047,2050,17179,1310,55,18541,19,20605,45,2398,2931,12,5341,3,5384,22,77,17,47,135,3,157,2117,19649,4255,108,24017,22,26150,60,17,0,0,15,41,110,40934,20881,4277,119,25281,97,66308,17919,577,5,10,593,20,18533,1059,8843,708,28,9580,5,10646,23,1284,1702,0,2993,0,3019,13,42,8,31,91,0,99,1094,10173,2418,65,12659,9,13760,33,10,0,0,6,14,51,19045,10761,2428,74,13263,41,32348,659483,25705,343,300,26345,1059,686887,39210,245368,13621,1218,260204,227,299640,755,27444,24130,224,51800,30,52584,343,1310,171,710,2193,18,2550,40309,274127,37918,2146,314195,269,354769,1097,325,39,29,397,1210,2705,700885,300152,38302,2475,340930,2539,1044358
3,1569,110,80315,2840,8798,583,35,9418,4,12265,88,978,1136,11,2125,4,2210,23,54,10,40,106,0,131,2943,9828,1738,88,11653,13,14608,104,11,0,0,6,75,186,81686,11352,1760,117,13227,194,95113,21821,439,10,3,455,29,22306,928,4242,315,16,4569,0,5497,53,603,727,4,1329,0,1382,13,15,3,14,34,0,49,991,4861,1039,39,5938,3,6935,13,8,0,0,8,13,25,22821,5306,1052,40,6396,39,29258,8826,171,5,0,175,7,9009,393,1998,178,11,2187,0,2584,17,307,437,3,749,0,765,3,10,0,3,11,0,18,413,2315,619,14,2948,0,3368,11,3,0,0,3,7,16,9248,2495,621,14,3128,15,12391,615404,14726,197,166,15087,1016,631511,26437,84079,4495,396,88973,115,115521,667,9034,7780,91,16906,18,17590,290,487,45,336,870,14,1173,27388,93599,12320,823,106748,146,134285,984,128,9,10,145,984,2117,643775,108455,12532,997,121983,2152,767909
4,627,50,27257,920,4120,262,21,4406,6,5323,28,629,816,3,1452,0,1478,8,29,3,13,41,0,51,949,4773,1088,33,5899,6,6852,55,3,0,0,3,23,87,27590,5387,1102,44,6531,77,34198,10108,277,4,3,283,9,10401,404,2602,170,7,2778,3,3189,19,406,661,8,1066,3,1093,3,10,6,4,19,0,24,427,3014,835,11,3868,5,4300,14,5,0,0,7,9,37,10556,3301,839,21,4159,23,14735,4760,132,0,0,130,3,4893,208,1256,113,8,1373,0,1577,8,241,420,0,665,0,675,3,3,0,0,9,0,10,219,1497,529,11,2039,0,2256,0,3,0,0,4,0,4,4979,1632,529,11,2178,4,7157,197452,5251,97,74,5421,323,203191,8114,40213,2094,216,42527,22,50661,170,5457,5182,34,10675,15,10851,87,217,34,129,379,0,470,8371,45887,7311,373,53580,40,61990,368,73,5,3,78,403,852,206195,51215,7413,452,59076,766,266031
5,973,38,38847,1773,7813,354,41,8199,5,9975,67,877,948,3,1828,3,1896,20,44,5,22,67,0,82,1858,8732,1297,66,10096,6,11957,53,0,0,0,3,25,83,39742,9684,1313,78,11066,76,50884,12987,378,3,6,387,8,13383,763,4218,217,16,4462,0,5222,15,558,608,5,1170,0,1193,10,21,3,4,35,0,41,791,4800,829,33,5662,0,6457,17,3,0,0,3,3,23,13794,5183,834,32,6057,19,19863,5700,188,0,0,189,0,5892,350,2169,102,9,2282,0,2632,9,322,325,0,643,0,658,0,12,0,3,22,0,20,359,2506,425,15,2948,0,3310,3,0,0,0,0,3,11,6065,2696,423,15,3140,6,9208,297868,8850,98,77,9029,433,307322,17798,73500,2730,343,76577,88,94461,437,7937,6118,60,14118,9,14564,163,414,55,205,678,6,843,18401,81849,8907,611,91366,105,109871,537,100,8,12,122,427,1090,316799,90803,9016,703,100522,960,418288
6,107,18,9354,151,316,17,0,334,0,489,0,46,117,3,163,0,164,4,0,0,0,0,0,5,161,367,135,4,500,0,658,23,0,0,0,0,20,39,9409,462,133,8,602,35,10050,2709,20,0,0,20,3,2733,63,128,4,0,134,0,197,0,21,73,0,98,0,98,5,0,0,0,0,0,5,66,150,81,0,236,0,296,3,0,0,0,0,6,10,2780,169,81,0,251,6,3038,860,20,0,0,20,5,881,27,78,4,0,81,0,106,0,15,37,0,52,0,52,0,0,0,0,0,0,0,27,85,42,0,128,0,157,0,0,0,0,0,4,6,880,106,42,0,153,3,1036,67994,853,12,15,878,156,69021,1581,3088,145,24,3250,9,4846,39,387,735,3,1123,0,1159,21,3,7,3,12,0,36,1638,3475,880,22,4382,9,6037,148,4,0,0,4,108,262,69783,4327,889,40,5260,274,75326
7,77,8,2202,164,1060,51,8,1117,0,1281,11,66,72,6,139,0,149,9,3,0,13,12,0,24,186,1128,121,22,1270,0,1450,0,0,0,0,0,3,3,2309,1202,124,20,1343,4,3662,329,11,0,0,10,0,339,43,245,18,0,262,0,309,0,27,26,0,55,0,58,0,0,0,7,6,0,6,48,275,45,7,326,0,374,0,0,0,0,0,0,0,372,287,46,7,335,0,705,116,3,0,0,5,0,122,16,89,0,0,91,0,103,0,9,13,0,26,0,22,0,0,0,0,0,0,0,18,102,17,0,114,0,127,0,0,0,0,0,0,0,129,101,12,0,122,0,253,20406,832,17,8,856,30,21293,1674,12429,380,44,12856,16,14546,60,627,575,12,1215,8,1279,29,43,0,130,178,0,201,1760,13104,956,187,14241,17,16022,32,0,0,0,0,162,197,22197,13934,974,195,15100,215,37508
8,189,4,6289,323,1433,54,9,1487,0,1812,10,97,82,3,184,0,193,3,9,0,3,8,0,15,334,1535,135,11,1680,0,2014,9,0,0,0,0,0,11,6434,1721,135,15,1875,8,8314,2404,69,0,0,69,0,2473,117,832,28,0,862,3,979,3,75,71,0,141,0,145,8,5,0,4,6,0,14,126,904,98,3,1006,3,1135,0,0,0,0,0,0,0,2530,975,98,3,1079,3,3614,1154,44,0,0,44,3,1198,73,409,18,3,433,0,501,0,43,27,0,72,0,72,0,0,0,0,0,0,0,73,448,47,3,503,0,575,0,0,0,0,0,0,0,1220,491,51,3,541,3,1769,48641,1948,11,11,1972,51,50657,3200,15081,502,78,15657,16,18866,40,972,560,4,1536,0,1584,35,71,6,23,103,0,133,3269,16120,1061,108,17300,13,20580,51,18,0,0,21,46,111,51962,18083,1079,126,19285,107,71351
9,0,0,14,3,29,0,0,29,0,33,0,7,0,0,9,0,9,0,0,0,0,3,0,3,3,37,0,0,41,0,46,0,0,0,0,0,0,0,16,37,3,0,46,0,62,3,0,0,0,0,0,4,0,0,0,0,4,0,4,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,3,3,0,3,0,3,0,0,0,0,0,0,0,3,4,3,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,201,36,0,3,38,0,239,41,313,17,0,321,0,362,0,30,11,0,45,0,45,0,5,0,3,4,0,4,41,343,29,3,373,0,416,0,3,0,0,3,6,8,242,380,30,5,413,6,659
