STE_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
1,3686014,3794217,7480228,238859,226279,465135,473094,448106,921195,230103,218321,448425,248490,241181,489673,526560,540962,1067524,494264,508625,1002886,478458,499528,977984,433059,456703,889763,330471,346555,677020,170912,202200,373115,61753,105755,167506,3512713,3639194,7151909,173295,155020,328318,102826,104424,207256,2492,2348,4839,2052,2028,4080,107368,108809,216176,2425532,2473670,4899202,1007742,1064716,2072454,2536108,2590527,5126633,908327,973694,1882015,3040659,3145454,6186119,56450,53724,110173,433868,411742,845609,172994,171262,344260,98028,104480,202511,113810,173609,287420,1527108,1649585,3176693,181890,172411,354297,653674,662467,1316143,187693,195230,382919,137149,144464,281617,26729,34832,61561,3369324,3490575,6859902,312197,296934,609136
2,2908077,3018549,5926624,190593,180626,371220,363984,345717,709702,181849,174492,356340,209733,204065,413792,437167,452031,889190,395979,409936,805920,379374,401040,780420,327567,349886,677453,244826,264772,509599,129451,155554,285006,47567,80427,127993,2770280,2888287,5658565,137796,130260,268057,22003,22587,44592,1037,985,2024,582,593,1171,23622,24159,47788,1893746,1951765,3845510,817124,863136,1680256,1981356,2045460,4026811,744745,794087,1538835,2370577,2467552,4838131,36991,35521,72505,332215,316591,648802,142431,142763,285191,89985,95383,185369,89833,134336,224169,1243082,1392994,2636071,286104,277109,563212,335728,305950,641670,144315,134636,278950,124956,147565,272521,23682,30990,54674,2664156,2770842,5435003,215221,222712,437935
3,2321889,2381308,4703193,152036,144432,296466,316486,299749,616236,151196,145089,296287,159280,157576,316860,317852,328837,646694,307148,320977,628124,308537,323168,631705,270282,282601,552886,208597,214009,422601,98704,111109,209818,31767,53759,85528,2181686,2270118,4451807,140196,111182,251382,73503,75437,148943,10518,10538,21053,8153,8334,16493,92176,94311,186482,1658125,1685693,3343819,489325,526551,1015875,1889220,1931413,3820632,263298,294389,557690,1917145,1974180,3891330,25836,24439,50275,288405,273953,562361,100458,103765,204221,44046,54847,98892,60980,106296,167275,909965,1003948,1913912,150294,144180,294474,424400,434975,859375,95740,86445,182184,89816,91233,181049,8932,9501,18433,2090401,2179684,4270088,256036,234474,490507
4,825997,850652,1676653,49910,47163,97072,100505,95419,195930,51516,49169,100686,55223,52766,107986,108274,109837,218107,104188,105275,209468,112117,114770,226891,104169,109756,213923,81316,87533,168852,42437,50821,93258,16340,28143,44479,778908,810418,1589325,47090,40235,87325,16100,16517,32616,476,465,938,317,317,629,16891,17292,34184,590563,601986,1192551,185620,198482,384097,646641,664893,1311533,132339,141774,274115,706219,729288,1435503,8747,8494,17244,92575,87966,180540,38532,38726,77260,19595,22519,42114,23894,37468,61363,310533,345897,656429,124426,116613,241035,109151,109848,218998,37676,36664,74342,35509,39855,75364,5494,6619,12117,755356,783548,1538906,62025,59497,121517
5,1238419,1235994,2474410,83155,78574,161727,161574,153378,314955,77112,72882,149997,82563,77777,160332,190956,188224,379178,173520,171523,345038,168121,166831,334959,138950,143084,282042,98758,100911,199669,47859,56237,104095,15846,26579,42420,1156696,1179985,2336682,81722,56009,137729,36439,36481,72924,767,666,1434,813,810,1628,38027,37959,75978,748850,744012,1492859,393619,404078,797695,931004,930034,1861041,211101,224239,435339,972305,982368,1954676,16256,15598,31855,147521,140024,287550,55133,55039,110170,25888,27351,53236,33605,52920,86529,497342,536311,1033650,101090,97781,198873,211897,200051,411944,47070,42527,89594,31356,32887,64236,5790,6515,12301,1090247,1127053,2217302,157291,112014,269300
6,249478,260482,509965,14544,13929,28469,31685,30056,61739,15960,15118,31078,15289,14574,29865,28338,29695,58034,28598,31227,59830,33896,36154,70050,35070,37087,72160,28078,29305,57381,13679,15926,29604,4347,7413,11767,232430,244728,477156,17052,15761,32811,10583,10989,21570,576,542,1119,422,468,889,11578,11993,23572,201535,209956,411492,29672,31568,61240,220342,230075,450411,12895,14397,27294,221540,232315,453855,2251,2188,4448,28913,27389,56305,11254,11066,22320,4300,4631,8931,6248,10401,16645,74224,86545,160767,17199,19454,36653,64453,63467,127918,17605,16999,34598,10381,10072,20458,917,935,1851,224840,235865,460709,20392,20104,40493
7,118570,110266,228833,9005,8623,17630,16463,15386,31845,7476,6597,14077,8850,7795,16644,21992,21045,43036,17847,16781,34630,16238,15072,31310,12108,11193,23296,6312,5349,11661,1891,1878,3771,392,545,938,109993,103008,213004,8575,7254,15832,27889,27919,55805,392,347,744,848,851,1699,29129,29118,58248,81677,75851,157533,22636,22767,45403,69200,63434,132634,33063,34491,67559,92335,87634,179967,1655,1701,3357,14060,13266,27325,3925,3651,7574,1101,1427,2524,3241,5997,9240,37048,39913,76958,11078,9533,20611,17187,13898,31088,5152,4460,9618,5439,5166,10604,1101,1119,2218,96626,95524,192148,34276,23710,57984
8,195739,201653,397397,13901,12898,26795,24619,23063,47684,12366,12145,24507,15863,15565,31430,32435,33679,66119,28940,29460,58407,25003,25979,50989,19908,21597,41506,13946,15506,29453,6445,7916,14363,2316,3841,6158,185433,191735,377168,10308,9921,20228,3087,3051,6140,88,92,183,96,93,183,3267,3236,6508,134014,136021,270037,50617,54552,105161,143048,145943,288986,41487,45182,86669,165648,170301,335949,2429,2304,4730,23152,21815,44967,9896,9982,19877,7922,8276,16203,9995,12756,22751,109947,114066,224009,7846,7700,15550,19301,22239,41539,5157,5723,10885,3432,4338,7769,618,781,1395,176694,183342,360035,18734,16997,35734
9,2462,2120,4587,140,126,262,281,269,547,106,110,215,136,72,210,330,244,573,345,296,642,376,334,711,364,350,709,263,214,478,95,91,182,28,33,58,2295,1957,4258,169,160,327,105,110,215,4,3,13,0,3,3,115,118,231,1313,1215,2535,832,646,1480,896,833,1732,1062,1068,2129,1714,1594,3305,36,34,68,242,223,465,63,64,124,10,10,19,35,54,87,700,776,1476,136,127,256,401,361,761,97,62,156,124,75,199,67,81,148,1710,1738,3448,1103,639,1744
