STE_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
1,1729820,4989476,141744,292525,175709,461960,317447,754482,136617,265437,162457,346111,218075,475027,2241,4801,519380,1091377,5618,8906,6694,10718,1310,2728,9958,24539,23583,46899,14077,30567,2604314,6912803,284741,..,2889057,6912803
2,1546945,4316259,192062,395759,108856,278469,300917,674226,102602,189685,49621,86676,93435,174428,382,766,246041,451547,2246,3279,3184,4611,364,696,5299,12254,11091,20838,7703,16748,2112706,5479615,278629,..,2391337,5479615
3,1269653,3562181,75979,135219,99005,220334,174984,355551,73496,126270,51940,95007,60962,115298,382,732,186778,337304,8933,14426,4293,6607,1352,2782,2231,5569,16815,29382,8602,17869,1656831,4302286,195570,..,1852407,4302286
4,496799,1282127,73220,136378,21290,47701,94506,184079,32214,53733,4041,7063,5648,9904,100,195,41999,70889,1202,1869,684,1081,232,415,898,2051,3025,5418,2454,5320,638792,1547836,92242,..,731036,1547836
5,685824,1887144,92201,180511,30361,66097,122560,246602,20435,34223,11596,19686,16970,29631,85,137,49084,83674,3279,5321,1402,2196,565,1252,1068,2578,6323,11349,2981,6545,866777,2235318,132874,..,999649,2235318
6,172998,421747,8194,12442,3182,6113,11385,18555,9199,14601,1082,1733,820,1220,166,277,11262,17828,331,544,305,480,104,193,462,1036,1199,2253,732,1557,197575,461933,32135,..,229714,461933
7,43100,145744,5144,12006,2700,6144,7847,18152,4940,10169,1887,3904,4516,9632,31,66,11367,23770,1173,2262,197,348,308,806,488,1214,2171,4629,569,1322,65061,193617,10717,..,75778,193617
8,95520,270208,13872,27768,11408,26418,25278,54187,4597,8056,7314,13208,9303,16159,191,330,21404,37754,34,46,104,167,9,11,47,141,187,362,271,528,142664,363034,12593,..,155252,363034
9,1130,2924,54,141,29,77,87,217,49,89,59,172,5,13,3,3,115,275,0,0,0,0,3,4,10,19,12,24,16,30,1360,3470,371,..,1734,3470
