STE_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
1,135165,30074,167506,1194612,423262,41375,1659250,3931511,503139,6093895
2,104251,21828,127993,961835,333382,33952,1329164,3131245,385295,4845710
3,67108,17526,85528,767418,263594,32433,1063450,2394279,332766,3790497
4,37321,6614,44479,259992,109770,10973,380737,904538,98379,1383650
5,33246,8694,42420,412371,139272,16765,568406,1249754,179565,1997726
6,9742,1863,11767,76371,31631,3537,111542,273582,34628,419752
7,745,166,938,35466,14051,3201,52717,99493,27152,179359
8,4775,1276,6158,67281,23303,2691,93275,207836,21805,322917
9,48,9,58,612,212,31,853,2164,748,3773
