STE_CODE_2016,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_more_15_19_yrs,F_3000_more_20_24_yrs,F_3000_more_25_34_yrs,F_3000_more_35_44_yrs,F_3000_more_45_54_yrs,F_3000_more_55_64_yrs,F_3000_more_65_74_yrs,F_3000_more_75_84_yrs,F_3000_more_85ov,F_3000_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot
1,7222,21547,32701,31009,34903,38925,61759,48408,27794,304260,5884,26247,46536,43262,43802,38121,35855,18431,10845,268982,3355,26587,50935,45197,46748,36994,22959,10531,4470,247778,1606,23106,56094,45396,48155,37096,16239,6573,3196,237465,576,16429,60714,45794,45889,35036,12968,4623,2287,224322,169,6349,44811,33903,31641,21973,6725,1910,866,148357,90,2023,33527,30863,28217,19438,4998,1507,794,121458,59,602,18558,23047,21168,14263,3335,1030,505,82559,76,481,21559,33731,27799,16469,4389,1491,707,106694,224,411,6038,18714,17426,8948,3891,1747,982,58377,19126,18948,42136,34906,34646,34068,33252,28889,26038,272003,218321,241181,540962,508625,499528,456703,346555,202200,105755,3119834,204894,66595,79047,61006,55721,73844,36478,15448,6389,599413,93787,31363,20056,20868,20778,26750,19501,7870,2681,243659,41477,53758,50544,45919,48828,67136,62396,34466,10963,415486,18559,38357,45993,43786,53101,74931,133782,89322,28739,526570,17725,40481,53377,47257,55870,66626,105300,75784,39280,501698,15101,50283,73161,62645,65235,64188,66904,34607,15895,448014,8395,54097,92698,74420,76984,67698,46609,21701,8040,450649,4211,49813,118084,89786,92434,77495,38326,13730,5497,489370
2,4020,17474,26607,26466,29789,31568,47499,37154,21386,241956,3205,20235,37882,36319,37225,31226,28445,14558,8426,217522,1810,20111,42785,37279,38889,29372,17729,7881,3589,199446,867,17972,49988,37838,39970,28577,12049,4675,2420,194360,392,11564,54077,36905,37977,26801,9151,3324,1761,181940,96,3658,38495,27640,25747,16926,4799,1356,740,119460,71,1125,24977,23872,21781,13900,3405,1079,577,90793,40,395,11895,15600,14463,9176,2189,731,364,54847,63,328,13073,21020,17329,9786,2806,1014,525,65948,183,375,3511,11690,11238,5823,2728,1318,691,37568,15667,15527,34151,28009,28119,27218,26679,22253,18139,215766,174492,204065,452031,409936,401040,349886,264772,155554,80427,2492203,165978,63007,68500,51179,45422,56016,28406,11651,4892,495052,84384,32685,19394,19436,17858,20896,14999,6416,2440,218506,32505,52526,47141,40596,40273,51755,48162,28014,8996,349958,12023,34790,39718,36611,41179,54351,98309,67688,22219,406878,10653,34240,44035,39330,45405,51060,79246,57407,29935,391308,8450,40552,61664,52138,54212,51004,52981,27216,12610,360838,4702,42035,80835,62373,63652,53390,36103,16532,6478,366105,2466,38808,106298,76216,77055,60313,28575,10077,4407,404215
3,6252,14368,21552,21370,22914,25413,41879,28681,14633,197060,5634,19851,32742,31229,30589,25907,24457,11576,6190,188167,2942,21027,36188,32906,33235,24383,14147,5811,2205,172855,1243,16307,37115,32092,33713,23698,9313,3342,1463,158274,438,10333,36199,31202,32438,22229,6943,2365,1091,143241,141,4014,24611,22159,21619,13325,3482,877,369,90596,68,1486,17222,20125,19969,12110,2435,647,284,74354,29,521,8414,11709,11743,6784,1547,461,195,41412,38,390,8935,14505,13737,7466,1871,629,249,47817,143,274,2269,6641,6472,3691,1763,834,360,22446,13129,13344,26456,22932,24181,22835,20952,16060,13928,173819,145089,157576,328837,320977,323168,282601,214009,111109,53759,1937126,115755,31303,39452,33337,33591,43469,18379,6046,2192,323525,65733,16692,12675,13464,12979,17436,11315,3611,1194,155103,33836,34976,35254,30335,30600,42247,37944,17213,4905,267300,14747,23594,29983,27855,32042,45764,87855,51895,15025,328755,13063,25663,33649,31126,35416,42585,72300,46017,20928,320752,12242,35322,48784,42611,43339,42008,46323,22036,8961,301624,6846,40745,62869,51713,51833,43243,29751,12658,4148,303800,3520,35457,76876,61995,63049,49225,23061,7410,2614,323206
4,1546,5106,7876,7790,9393,10561,17433,13436,8228,81372,1092,6393,11619,11040,11557,10328,10039,5160,3342,70571,538,5732,11950,11114,11717,9237,5993,2922,1315,60512,236,4459,12611,10876,12336,9391,4000,1473,859,56233,90,2752,11837,10240,11923,9077,2827,953,578,50279,32,1030,8085,6927,7488,5211,1427,360,202,30756,19,316,5580,6075,6285,4632,1032,304,188,24421,8,82,2500,3782,4189,3181,656,189,100,14690,13,84,2010,3907,4357,2921,752,261,125,14436,57,64,550,1588,1907,1393,706,371,233,6875,3858,3292,6849,5942,6774,7092,7181,6098,5646,52735,49169,52766,109837,105275,114770,109756,87533,50821,28143,708074,44891,13132,13939,10661,10517,14632,6025,2129,1122,117050,23825,8601,5218,4923,5148,7037,4703,1642,594,61699,10942,15641,15309,13015,14028,18310,15115,8228,2737,113323,3979,9139,11678,10902,13802,19144,36334,24314,8417,137711,3446,9247,12659,11992,15073,17728,29358,20756,11524,131786,2734,11793,17971,15822,16935,16764,18784,9662,4828,115297,1383,11945,22498,18543,19518,16642,12387,6263,2480,111663,653,10348,27338,22548,24096,19698,9907,3578,1618,119780
5,2376,6536,10550,10286,10227,10791,17605,13272,6441,88080,2184,8166,14958,14315,13721,11701,11068,5418,2779,84312,1207,8542,15715,14246,14531,11022,6862,3097,1272,76497,567,7629,17704,14857,16130,11352,4613,1808,891,75548,233,5567,19935,15050,16728,12258,3712,1249,582,75320,62,2967,14698,11080,11769,7857,2005,462,169,51066,44,1067,11535,9669,10041,6578,1480,381,155,40953,26,428,6895,6927,7211,4694,959,252,114,27506,22,344,7564,9530,9842,5988,1282,378,158,35094,55,154,2012,4579,4523,2644,1038,476,190,15665,6430,6562,15763,12411,12289,11262,9867,8498,7165,90250,72882,77777,188224,171523,166831,143084,100911,56237,26579,1004041,66467,18491,30162,25589,21092,25059,10855,3571,1176,202460,32950,10203,8760,8585,6892,8505,5898,2160,723,84677,14364,17778,19254,16206,15060,18715,17525,9013,2663,130576,6123,12013,15229,13518,14049,18407,36982,24798,7181,148309,5407,11843,16029,14148,14750,17011,29846,20864,9084,139000,5088,15122,22321,19064,18756,18077,21026,10475,4212,134140,2901,16554,26486,21034,21100,18071,14228,6638,2345,129347,1572,16159,35599,26610,27572,21742,11308,3843,1610,146021
6,639,1560,2538,2682,3257,3960,6048,4532,2355,27572,487,2021,3650,3788,3799,3611,3428,1684,1021,23489,189,1890,3599,3498,3803,3010,1996,911,392,19291,72,1264,3215,3185,3684,2875,1236,518,243,16281,33,768,3066,2909,3601,2839,786,321,152,14468,8,296,1906,1967,2273,1669,386,96,49,8648,0,76,1243,1564,1989,1400,256,77,44,6657,3,22,609,1027,1241,889,155,52,30,4026,0,22,411,911,1266,803,170,66,32,3687,13,47,135,393,482,364,191,102,54,1774,1454,1061,1996,2014,2336,2793,2840,2125,1367,17974,15118,14574,29695,31227,36154,37087,29305,15926,7413,216496,12580,2339,2626,2174,2731,4501,1647,527,179,29301,7181,1925,1338,1392,1561,2370,1401,414,114,17698,3493,4413,4391,3921,4406,6564,5424,2373,677,35655,1365,2530,3563,3658,4802,7526,13159,7490,2049,46144,1351,2751,3918,4036,5275,6573,10283,7047,3293,44523,1114,3681,5501,5302,5527,6019,6438,3111,1487,38180,553,3945,6416,5712,6350,5713,4173,1964,727,35546,230,3002,7441,6413,7340,6400,3095,1175,440,35525
7,207,434,857,739,628,627,709,375,125,4700,211,541,1273,1008,794,669,439,199,58,5191,228,791,1486,1036,955,668,361,104,18,5638,153,892,1846,1295,1158,767,309,61,13,6488,66,777,2305,1522,1542,1022,277,50,21,7577,12,342,1826,1268,1255,782,172,24,5,5681,7,138,1431,1256,1126,683,118,17,0,4791,4,70,756,905,957,631,87,11,3,3413,4,28,794,1188,1149,746,108,17,3,4027,8,25,161,364,385,265,66,16,0,1286,1361,1268,3092,2225,2053,1588,794,293,127,12804,6597,7795,21045,16781,15072,11193,5349,1878,545,86254,4818,1065,2073,1469,1112,1330,628,161,38,12694,2185,832,1366,984,761,516,315,97,20,7077,1597,2145,3500,2629,2148,1642,1134,443,85,15315,478,764,1497,1267,1200,1252,1612,697,157,8922,405,745,1352,1136,1019,1074,1389,663,198,7988,496,1014,1948,1503,1259,1104,902,355,95,8675,456,1469,2420,1630,1518,1221,732,210,39,9691,367,1857,3442,2352,2133,1539,689,138,22,12545
8,403,1239,1347,1091,966,1259,2003,1420,691,10423,432,1417,2033,1491,1217,1399,1771,884,397,11042,270,1424,2215,1754,1432,1488,1488,678,276,11032,166,1495,2821,2112,1904,1729,1247,486,206,12170,77,1664,4147,2701,2397,2022,1091,370,178,14642,16,821,4846,2920,2483,1818,650,202,92,13855,9,231,3898,3219,2940,1845,512,146,61,12859,3,57,1981,2387,2001,1197,292,81,42,8039,8,40,2310,4396,4246,2127,432,99,52,13711,14,22,296,1178,1451,767,209,109,45,4093,745,1039,2172,1614,1435,1310,1142,947,1016,11424,12145,15565,33679,29460,25979,21597,15506,7916,3841,165694,10201,4322,3743,2472,1786,2322,1211,409,166,26630,5993,1877,1044,926,752,921,874,342,108,12845,2673,3369,2060,1606,1316,1739,2020,1183,321,16295,956,2362,1844,1513,1412,1890,3112,2211,675,15979,837,2424,2324,1755,1573,1905,3010,2051,931,16803,994,2877,3403,2251,1851,2080,2762,1465,595,18283,633,3000,4061,2826,2277,2392,2540,1250,449,19426,398,3226,5816,3821,3293,3177,2573,1166,416,23886
9,10,7,19,16,25,25,29,21,10,154,0,4,31,35,28,36,19,9,3,158,0,10,28,31,38,25,10,7,0,154,0,12,14,35,28,19,14,0,0,119,0,11,18,28,27,23,7,0,0,113,0,0,8,18,14,18,3,3,0,65,0,3,11,16,17,14,3,0,0,62,0,0,5,17,9,12,3,0,0,48,0,3,12,9,18,13,0,0,0,48,0,0,3,3,4,0,0,0,0,15,26,10,35,27,45,47,33,13,4,243,110,72,244,296,334,350,214,91,33,1730,78,14,30,32,29,58,31,5,0,280,30,4,7,21,11,20,11,3,3,116,21,5,18,25,27,47,44,28,3,214,3,4,23,17,30,41,73,48,7,247,12,6,25,19,36,42,55,32,16,247,7,16,36,49,56,56,43,10,8,282,8,20,46,57,69,57,30,13,3,300,3,20,43,68,57,58,25,3,0,281
