STE_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
1,70723,230525,166550,1757151,36106,2261062,290,1584,691,27544,733,30849,474485,7740,12611,15657,4094,514594,29734,4223,2437,8493,408,45305,37707,11808,7265,20741,707,78231,426119,197852,142074,1500912,35521,2302481,102242,2599,9608,1708,1198,117356,23389,3561,2541,14385,472,44335,66292,18933,13274,134673,2980,236146,74920,13477,6880,36165,1386,132829,15815,2970,1499,4151,237,24670,201620,3610,2998,2468,1236,211927,101544,51107,34912,544950,9160,741671,124960,32613,14505,97015,3024,272124,63899,461,1389,547,311,66613,110629,21815,9937,22449,1768,166591,28636,3348,1826,5468,350,39630,32820,8612,4853,22504,700,69490,22967,4280,2788,2582,555,33159,29248,11234,8290,5320,535,54623,32529,5090,3694,10801,435,52554,22930,2095,1957,4320,365,31663,99760,49478,35950,394703,7169,587052,22488,2039,1295,2476,351,28657,25847,3393,2591,1317,209,33358,37898,2565,2105,5552,491,48614,23651,1001,813,617,155,26239,22098,2300,1289,1551,266,27502,103201,1370,2619,1132,1272,109588,15855,4798,3050,18530,377,42611,725448,60073,46221,68425,8816,908989,29644,3653,2726,38022,436486,510541,2764170,458394,325182,3399725,532757,7480228
2,52955,177048,127641,1270311,25340,1653291,302,503,209,5910,163,7081,344038,4782,8256,10821,2746,370644,29309,4003,2156,7229,440,43137,45667,14482,9063,27544,934,97690,332196,155360,114196,1140566,26898,1769214,59488,1238,5912,959,723,68314,17145,2462,1862,10966,353,32790,56285,17402,11788,113820,2558,201850,105091,15728,8016,39688,1932,170451,14740,2539,1483,4058,274,23092,199586,3675,2599,2083,1315,209257,76968,41723,27667,443544,7353,597249,168550,38481,18220,122892,4571,352711,16950,137,464,218,85,17848,31611,6219,2804,5101,601,46334,30904,3709,2096,6402,478,43582,39508,8506,5163,19987,706,73875,16082,1945,1440,1140,353,20969,22963,7497,5776,2942,390,39565,35142,5537,3956,11387,528,56548,18584,1522,1465,2878,254,24701,81818,39616,29717,335062,6068,492281,18726,1687,973,1872,284,23542,16716,2392,1691,965,154,21915,19815,1634,1342,3949,265,27012,52373,2516,1693,1673,333,58592,29932,3467,1625,2239,364,37631,102214,1282,2503,844,1305,108142,10764,3084,2082,13097,251,29288,557441,42600,34276,54698,7343,696359,27249,2948,2331,30315,330682,393525,2283741,365528,259832,2611265,406259,5926624
3,32038,163797,129798,1299465,24194,1649284,205,1216,576,34457,513,36971,113727,3265,5078,13212,1102,136389,7429,1459,690,2448,122,12146,34983,10268,6731,18147,633,70757,392021,149124,113874,1114388,25598,1794999,42362,1124,7444,1320,599,52844,15055,2312,1831,9916,305,29411,50727,18456,13404,210137,3655,296387,11309,4224,1887,11843,340,29602,7675,1503,686,2149,116,12139,68252,2061,1495,1800,488,74094,83207,36860,26475,411092,6698,564334,41015,15832,7171,66120,1544,131687,20772,102,641,238,102,21863,3277,1108,545,2701,60,7690,1708,273,165,386,17,2547,6091,2536,1450,7866,172,18117,42528,4792,3514,2077,741,53649,41067,12379,9539,4267,571,67829,14143,2744,1897,7815,261,26858,8469,1179,1024,3419,133,14223,99650,37974,28512,314930,5583,486648,5467,614,366,689,80,7209,21988,2046,1699,833,135,26699,14936,1576,1149,4856,207,22728,8788,567,421,573,57,10407,2594,435,160,224,31,3442,26034,603,981,443,270,28325,12731,2979,2023,13387,303,31425,283385,32223,29598,69184,4650,419029,13726,2523,2046,31614,304993,354904,1225441,302904,234425,2575201,365225,4703193
4,12334,56130,41597,441009,9308,560374,59,334,140,7468,166,8169,47860,882,1364,1813,348,52268,5088,841,415,1767,70,8175,13024,3962,2640,6636,224,26489,146583,55799,44122,383332,9525,639350,13301,332,1739,320,193,15890,3183,595,457,3252,80,7572,19994,8306,5764,94146,1706,129923,20936,3902,1744,11182,423,38186,3441,715,275,1113,71,5617,31272,640,461,491,208,33069,23178,9720,6643,93150,1751,134437,44975,10982,4646,34203,1199,96010,3958,56,186,167,28,4392,2897,712,339,1224,52,5228,993,133,99,351,15,1593,3100,899,560,2179,86,6815,1873,523,357,347,62,3162,3403,1644,1048,645,62,6808,11202,1769,1119,4421,196,18710,4385,417,364,950,52,6172,30451,11775,9194,87301,1710,140424,4512,443,249,592,60,5856,3710,406,387,176,31,4709,3674,384,287,1008,58,5410,3356,176,153,115,34,3822,941,120,50,87,16,1212,18682,559,569,281,200,20291,5584,1247,870,4290,113,12102,104893,9762,7091,15316,1388,138458,4894,690,628,9409,82153,97771,513545,109094,79405,869207,105392,1676653
5,24037,105721,83918,535287,11070,760032,127,569,297,19387,327,20718,94552,2022,3273,3112,726,103677,9281,2202,1128,5785,170,18573,25461,6473,4334,10403,363,47039,341635,95669,76568,405013,12261,931150,32016,410,2323,378,333,35456,10529,1020,851,3053,149,15599,27419,6369,5190,33199,890,73062,6625,2143,1028,5133,179,15107,3290,545,354,753,45,4989,63715,1865,1364,1459,396,68796,74541,18564,13840,114834,2591,224372,49794,15768,7430,48509,1436,122943,7798,100,284,93,47,8330,2096,377,244,400,36,3142,6299,940,580,1942,90,9853,2151,740,384,1217,62,4554,22788,2032,1460,717,454,27451,20000,6045,3946,1475,330,31800,13119,1881,1501,4051,186,20731,4349,359,455,794,44,6000,78328,20661,15969,96867,2335,214154,5348,405,272,393,68,6487,25088,1678,1564,479,178,28984,8125,670,572,1912,106,11389,7094,413,290,224,43,8064,1993,202,116,104,18,2427,20322,336,649,209,169,21687,13102,2172,1512,5096,208,22091,210723,17086,16232,20329,2453,266823,9478,1287,1063,9737,166730,188302,1001150,184890,144217,947977,196180,2474410
6,1547,15005,10625,189056,4149,220382,0,63,31,1549,28,1669,5725,191,293,869,63,7137,486,158,33,271,18,973,4461,1481,1040,3200,91,10283,28795,14647,10230,169019,4383,227074,1547,46,468,80,21,2173,771,141,107,889,26,1935,4152,1475,912,11583,275,18391,1111,318,124,798,37,2394,460,208,62,242,16,989,2407,158,128,192,15,2906,5014,3046,1886,44844,914,55702,2170,1119,324,3628,111,7358,586,17,55,45,5,708,165,65,16,85,0,329,42,17,4,16,0,80,249,115,44,247,7,656,524,186,132,186,21,1048,1146,571,441,333,23,2515,1690,501,200,1066,34,3485,502,76,52,203,9,840,6853,3478,2357,34185,674,47546,192,42,12,47,3,300,817,116,91,63,3,1088,636,85,58,307,6,1093,338,30,14,20,8,410,95,30,17,10,0,159,425,29,25,16,5,499,1249,314,182,1228,30,3009,14829,2663,1845,4438,228,24008,651,202,151,4909,28162,34080,73757,27091,18595,353447,37073,509965
7,1473,5877,5480,51324,1271,65433,14,172,85,36752,538,37562,4599,254,316,1008,61,6228,142,55,22,102,6,333,1151,391,242,696,30,2518,11955,4638,4073,33461,844,54967,6042,99,546,173,92,6951,653,70,70,333,15,1142,2063,646,541,5372,116,8737,2223,633,244,930,50,4082,217,37,28,79,4,367,4301,67,58,84,30,4533,3380,1235,985,12638,230,18469,1351,526,235,1969,66,4148,427,10,23,22,3,479,91,17,4,39,3,163,36,9,4,17,0,66,116,73,19,184,4,392,1175,183,141,124,21,1641,1078,321,268,149,18,1832,422,93,67,290,10,882,217,18,38,102,0,378,3077,1140,982,9596,179,14971,97,12,3,14,4,130,500,77,32,52,6,664,693,38,39,137,12,924,671,36,14,31,0,756,80,5,0,17,0,105,1197,27,64,19,18,1324,409,91,86,400,11,992,15412,1262,1496,2442,277,20893,733,100,90,1742,26738,29400,54687,10761,9473,124021,29897,228833
8,3023,15441,12601,95019,1196,127285,12,72,36,938,16,1066,20068,460,913,896,141,22472,2879,451,225,1025,42,4617,2732,1057,719,1954,42,6495,23268,13944,10718,82846,1259,132031,4253,95,485,99,39,4969,1254,230,198,873,18,2581,4838,1681,1230,9740,154,17633,2459,528,276,1496,26,4781,913,238,164,417,17,1745,13823,258,254,159,59,14559,5372,3913,2935,38923,473,51611,5133,1628,797,5302,125,12984,2559,38,117,47,16,2784,765,223,95,288,24,1397,753,106,58,164,11,1086,630,227,162,613,12,1642,565,159,120,115,17,980,1312,593,461,268,20,2652,2438,421,356,956,21,4190,1104,125,135,280,20,1665,6424,3809,2954,26645,323,40160,1250,203,73,178,9,1711,1174,159,130,65,3,1525,1953,250,155,391,37,2782,2335,106,113,65,6,2626,384,45,21,38,6,495,4534,83,193,89,40,4933,1055,361,235,1392,20,3063,36850,3938,3730,4883,399,49805,1209,149,106,1468,20467,23400,133304,29113,23121,187955,23908,397397
9,32,123,128,789,21,1095,0,0,0,87,6,94,432,11,19,23,15,492,0,0,3,0,0,5,25,10,3,7,0,45,323,103,107,411,14,955,66,0,5,0,0,74,10,0,0,3,0,19,41,12,7,39,5,101,0,0,0,0,0,3,5,0,0,0,0,5,19,4,0,0,0,22,63,15,16,121,5,213,17,5,7,18,3,48,3,0,0,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,4,3,3,8,0,22,39,3,3,3,0,48,59,13,26,3,0,107,3,0,0,3,0,10,3,0,0,0,0,4,92,17,14,100,0,224,0,0,0,0,0,0,17,0,0,0,0,18,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,10,3,0,3,0,0,8,372,172,167,599,35,1346,31,0,13,52,682,772,1411,328,345,1738,764,4587
