STE_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
1,794,2789,22635,52043,21271,16620,7628,5037,2052,130870,4,18,155,930,1282,1656,1954,1602,403,8006,108,462,393,2080,1252,1744,1830,1100,535,9509,757,4679,4752,22794,20382,18842,20191,11961,5581,109944,38,328,1099,7244,3879,3213,1618,669,162,18251,52,261,547,2636,744,501,424,219,138,5520,58,237,676,3196,1807,1954,4542,1927,1319,15704,33,200,266,768,999,2303,4860,4795,1251,15484,199,642,2272,7345,3658,5255,1930,605,172,22072,1836,4364,4889,39760,6696,4510,2608,1399,539,66592,102,468,2513,8380,2482,1830,1121,438,183,17516,59,498,865,5162,1491,1279,651,339,154,10508,154,1336,2622,7820,3392,2301,1257,638,192,19716,67,585,385,4932,1618,1197,1229,720,302,11041,28,167,390,2067,1900,3648,6119,6323,3067,23708,128,469,762,4621,1987,786,437,179,82,9456,217,1067,3351,13263,4606,2912,1382,627,194,27616,103,424,1063,7563,6953,6083,3322,1595,632,27743,123,516,1595,6091,2724,3041,2035,649,194,16963,0,12,38,231,449,1654,2832,1445,534,7192
2,619,3088,22420,37364,12154,8506,3478,2234,845,90712,0,21,103,859,1290,1655,2027,1600,398,7953,63,438,341,1270,790,1247,1310,771,376,6603,562,3591,3792,15373,15263,15696,16384,9867,4551,85079,14,158,398,2499,1216,870,443,215,38,5851,30,162,342,1465,496,327,327,177,98,3421,46,198,612,2257,1416,1600,4247,2096,1314,13786,36,343,392,1074,2001,3950,7767,7439,1855,24856,128,415,1615,4542,1628,1978,766,238,70,11375,1755,4628,6347,48494,6424,4826,2940,1375,567,77354,101,329,2066,5245,986,635,449,176,66,10052,105,796,836,4154,753,504,251,107,27,7534,86,701,1206,4086,1493,828,409,210,56,9077,61,393,260,2997,973,929,921,625,304,7476,46,204,393,1687,2338,5888,9907,10514,4627,35605,73,351,586,3210,935,319,237,86,76,5877,75,449,1417,4586,933,354,136,39,17,8009,42,146,417,2449,2020,1614,836,393,124,8036,295,1251,4392,10320,3718,3880,2065,695,198,26808,7,27,83,397,615,2253,3324,1738,560,8988
3,229,890,6335,12100,3526,2175,1036,592,217,27102,0,11,47,267,335,351,344,302,81,1739,28,135,73,230,95,153,206,107,69,1095,487,4408,5625,15788,18008,15234,16644,9351,3772,89314,23,224,550,2656,1398,1134,529,247,51,6812,26,132,307,1117,452,327,310,165,57,2889,29,171,552,2163,1510,1521,2762,1290,607,10616,6,27,48,127,116,215,432,411,162,1537,49,228,1155,1983,781,948,324,120,31,5631,478,1570,2062,13708,1825,1195,812,413,179,22237,58,264,516,1856,629,456,376,207,106,4471,32,277,296,1655,302,198,130,40,21,2961,80,202,170,577,153,80,24,14,3,1309,45,414,275,2003,771,599,607,396,184,5300,16,91,176,704,414,761,1416,1429,813,5824,94,419,876,4606,1595,489,282,113,70,8540,122,559,1545,5583,1155,385,165,59,12,9571,5,27,17,151,165,128,85,38,14,622,78,350,1310,2820,1479,1234,672,232,72,8241,0,6,9,56,79,246,504,204,77,1191
4,101,533,3451,6423,1351,954,433,188,70,13500,0,3,29,187,216,279,322,296,87,1412,14,82,37,176,56,86,119,73,51,697,131,1458,1995,5221,10330,10881,10071,7002,3002,50103,0,24,50,243,128,99,60,21,4,639,11,30,58,213,156,95,91,57,29,739,8,51,129,538,526,769,1777,951,680,5426,0,28,51,139,204,690,1310,1573,490,4498,24,65,514,639,144,233,100,23,9,1750,321,1272,1080,8117,889,570,425,227,97,12985,34,85,124,619,136,95,87,42,19,1234,24,203,302,1047,221,153,82,43,21,2099,11,52,115,285,108,48,25,8,3,664,9,93,66,352,223,253,255,256,89,1597,12,32,76,254,520,1435,2652,2995,1394,9378,14,51,128,562,180,53,49,19,14,1056,28,194,338,1090,258,68,18,6,0,2002,11,15,50,192,144,157,105,43,24,748,55,208,856,1631,523,478,362,100,37,4247,0,0,6,28,43,168,277,146,62,724
5,156,667,2194,7157,2225,1302,477,267,135,14575,0,15,38,385,328,514,464,377,144,2265,22,153,55,275,94,125,171,83,55,1038,493,4665,5966,19749,21045,17039,15329,9102,3514,96903,0,48,41,287,134,106,42,22,4,688,15,71,177,953,276,134,131,75,21,1853,18,116,350,1619,895,726,1448,469,326,5961,3,25,15,88,80,152,272,378,161,1173,40,122,495,1427,389,445,175,70,22,3192,452,1562,1996,12250,2261,1858,1576,879,374,23211,84,399,801,3395,993,634,367,135,68,6871,30,203,224,1495,310,212,125,49,24,2683,36,153,235,776,227,104,42,12,4,1578,67,607,493,4104,965,935,715,452,186,8532,23,117,194,943,615,1250,2462,2309,1226,9131,43,150,211,1717,517,172,108,43,15,2990,54,189,430,2245,354,161,49,14,4,3507,6,23,26,165,109,98,46,22,9,496,94,692,1943,5696,2472,2538,1553,619,165,15774,0,0,8,22,49,116,140,55,21,423
6,21,59,428,867,148,89,40,29,7,1688,0,3,4,12,13,21,22,28,5,109,7,6,7,11,0,8,7,8,3,58,18,176,179,769,1541,2050,2496,1507,597,9341,0,0,6,47,32,36,12,11,3,145,4,7,12,58,27,29,22,12,9,173,3,12,35,148,138,190,304,199,87,1114,0,3,5,12,26,34,63,68,11,231,3,7,40,87,36,34,16,9,0,224,18,68,117,488,85,63,52,31,11,926,3,9,14,86,33,16,22,9,4,207,22,92,58,63,14,11,3,3,0,274,3,6,3,31,0,0,0,0,0,46,0,19,6,78,51,57,63,53,8,347,0,3,3,24,18,57,93,112,55,374,4,12,28,139,46,22,16,8,9,281,3,15,46,178,42,24,0,3,0,319,0,0,3,13,6,10,5,0,0,33,12,21,266,234,84,97,45,13,3,773,0,0,0,3,5,11,16,7,0,42
7,3,45,79,339,126,42,30,15,9,694,0,0,3,3,0,0,5,3,0,10,3,4,4,4,4,3,6,0,0,28,26,119,173,734,577,497,318,138,43,2625,4,16,22,94,33,21,9,3,0,212,0,11,27,82,17,14,18,8,0,186,3,7,39,219,71,62,77,29,12,514,4,46,40,151,58,93,79,44,9,536,0,3,12,61,24,37,8,3,3,149,64,150,114,1025,130,103,42,10,3,1640,14,46,68,351,152,66,36,10,0,729,0,6,5,44,3,3,0,0,0,66,0,0,0,4,0,0,0,0,0,10,6,19,34,326,27,15,17,3,0,461,3,8,13,66,16,23,41,35,7,213,16,19,5,136,36,9,7,3,0,238,8,3,31,135,10,9,0,0,0,199,0,0,0,3,9,0,0,0,0,11,3,18,18,145,69,80,38,30,0,398,0,0,0,3,3,3,5,0,0,18
8,40,142,2238,2385,630,495,190,106,42,6261,0,0,6,69,69,154,192,152,24,675,3,35,13,70,19,27,29,10,4,203,34,341,328,1047,1225,1180,1109,710,325,6304,0,19,52,199,97,68,45,12,3,485,5,31,44,136,59,31,20,13,13,354,3,20,64,216,140,135,391,139,89,1200,0,7,8,28,40,86,173,140,34,510,14,29,147,316,131,143,48,13,9,851,118,341,383,3186,419,287,180,83,26,5018,21,51,71,388,83,67,40,20,12,748,0,18,21,224,47,47,18,7,0,386,7,15,22,111,39,20,8,4,0,235,4,41,11,130,65,58,52,39,11,411,3,13,24,80,94,175,253,210,102,946,12,32,58,254,94,49,29,15,7,560,12,76,198,705,122,65,25,7,0,1212,0,5,8,53,45,30,26,10,7,188,18,41,173,469,238,197,115,47,12,1316,0,3,5,11,12,29,60,18,10,145
9,0,0,0,3,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,9,13,0,3,53,0,7,3,11,9,3,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,9,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,7,66,40,46,14,8,0,187,0,0,0,0,0,0,0,0,0,0
