STE_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
1,1448326,251312,425177,15022,9206,2149040,239388,55889,77163,6920,2352,381709,42109,10250,17044,1642,2519,73565,1729820,317447,519380,23583,14077,2604314
2,1306133,245668,203397,7338,5513,1768050,202582,46249,34529,3072,1072,287506,38235,9004,8121,683,1116,57157,1546945,300917,246041,11091,7703,2112706
3,1091990,134060,146299,9790,5354,1387499,149237,34646,34059,5548,1356,224855,28415,6271,6418,1479,1893,44482,1269653,174984,186778,16815,8602,1656831
4,413212,67990,30209,1970,1736,515114,73685,23360,10386,873,442,108737,9904,3160,1416,184,276,14941,496799,94506,41999,3025,2454,638792
5,597495,95713,38451,3964,2043,737659,74235,22989,8967,1872,432,108489,14094,3864,1667,484,513,20625,685824,122560,49084,6323,2981,866777
6,138323,7091,7353,784,515,154061,30735,3786,3486,346,134,38482,3940,505,427,76,89,5032,172998,11385,11262,1199,732,197575
7,34667,5885,9075,1387,385,51392,6891,1637,1833,504,100,10972,1546,326,467,282,88,2698,43100,7847,11367,2171,569,65061
8,87467,21754,18738,99,215,128278,6388,2855,2098,66,34,11440,1660,670,562,24,24,2941,95520,25278,21404,187,271,142664
9,900,63,86,7,10,1070,188,18,21,6,4,236,43,3,8,3,0,60,1130,87,115,12,16,1360
