STE_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1,23,121,270,1660,1558,1081,367,286,98,5466,701,4434,7367,36201,15939,13781,6193,1463,676,86749,38,110,216,4109,1357,2980,2102,1262,1273,13451,74,639,711,4733,4708,5837,6535,3824,1508,28579,363,1451,1826,3971,1771,1749,1067,427,104,12730,284,2232,4234,14798,8517,6360,4203,1847,579,43058,0,0,89,1153,1473,1843,1661,1362,372,7957,200,1225,2093,11464,5287,4328,2514,1176,458,28732,167,355,1490,8070,1224,1350,694,125,24,13493,332,1080,3136,16638,3022,1777,587,118,25,26719,32,93,320,2505,3268,4078,3777,1943,484,16501,86,203,597,3940,3651,2076,1477,634,145,12808,896,3573,3737,10408,4546,3422,2592,685,222,30081,421,1589,6541,30174,18857,16796,6095,2544,1108,84130,25,153,232,1683,1471,1257,1368,752,306,7256,19,349,916,2592,1287,870,347,99,23,6495,2489,10189,17989,83597,37204,31188,26410,15233,6682,230985,23837,43718,55088,141435,67854,65723,55747,35801,19365,508571,465135,921195,938094,2070410,977984,889763,677020,373115,167506,7480228
2,20,80,161,1082,770,337,112,41,9,2611,537,3378,5777,21846,9340,6630,2851,687,247,51290,11,94,217,3279,1582,3410,2706,1616,1790,14706,67,557,781,4304,4152,5386,5999,3520,1311,26073,334,1772,3368,5564,2070,1713,900,280,67,16063,174,1500,3208,9628,5339,3573,2440,988,337,27184,0,0,59,936,1511,2004,1749,1408,395,8061,465,3185,5067,24213,8990,6793,4533,1865,724,55830,122,251,1283,6352,719,756,344,55,21,9900,386,1877,2834,8303,1578,684,253,46,19,15979,15,116,384,3288,3492,4362,3818,1757,394,17631,68,237,633,4696,4797,2689,1700,752,169,15744,592,2473,2425,6968,2990,2151,1620,347,133,19695,424,1656,7439,30694,17650,14775,5165,2094,892,80787,22,141,178,1042,910,859,838,485,217,4689,15,221,606,2281,777,499,212,55,12,4694,2185,9615,17464,65209,27918,22860,18762,12245,5567,181813,19717,34031,43892,112940,54045,50689,42747,27999,14790,400856,371220,709702,770134,1695112,780420,677453,509599,285006,127993,5926624
3,105,1086,1858,5276,3889,2453,907,445,94,16120,492,3338,4504,15992,7398,5223,2104,495,111,39661,6,63,114,1579,571,1092,763,446,395,5030,64,756,912,3683,3937,4315,4710,2596,901,21879,119,531,1322,2302,984,877,417,128,32,6716,248,3241,6059,13757,8087,4649,2700,1092,311,40131,3,3,31,369,514,683,629,424,111,2768,93,815,858,3874,1549,1271,822,349,131,9752,202,510,2245,8910,1275,1501,757,158,26,15592,223,1086,1522,4826,1443,624,220,35,6,9978,5,6,46,220,242,201,149,72,16,953,10,47,91,569,417,175,125,49,11,1493,334,1895,2064,5407,2561,2298,1817,523,166,17053,141,820,1661,7815,4008,3116,1286,488,201,19544,32,272,390,1262,1133,896,971,500,184,5647,12,359,1111,3242,1959,1440,548,179,42,8881,1353,7292,12478,41042,16658,13370,10038,5522,2104,109857,16846,31895,39930,94506,48552,44021,35414,20809,11526,343501,296466,616236,613147,1274817,631705,552886,422601,209818,85528,4703193
4,0,36,41,335,294,133,33,33,8,911,150,1162,1523,5216,2109,1438,618,193,47,12465,7,41,99,1096,588,1248,818,538,529,4954,16,313,382,1324,2028,2808,2757,1714,650,11991,56,228,464,846,329,294,218,52,12,2491,45,623,1046,2093,1343,740,478,180,61,6610,0,0,17,243,306,414,404,352,128,1877,70,428,349,1913,515,231,170,90,25,3787,27,69,313,1073,114,68,35,4,0,1703,55,254,395,1569,356,155,47,14,0,2846,0,7,13,54,52,90,79,81,18,388,6,29,34,165,112,106,65,59,24,593,88,450,479,1302,700,643,501,144,49,4360,86,405,1227,5254,3064,2783,966,390,168,14337,7,103,145,428,516,602,512,373,146,2837,9,122,217,553,289,217,51,24,4,1486,574,3052,4798,13304,5313,4317,3795,2847,1581,39584,4361,8118,10000,24347,14306,14288,12173,7899,4513,100005,97072,195930,208676,427575,226891,213923,168852,93258,44479,1676653
5,17,240,213,796,493,213,34,16,4,2031,563,4430,4464,13258,4948,2198,787,161,27,30835,13,99,143,1715,583,1392,767,483,382,5573,115,1300,1608,5801,5045,5074,4078,2314,721,26058,170,1077,2165,4715,2357,2466,1320,585,137,14987,262,3826,6470,14122,8208,4510,2351,959,300,41008,0,0,28,403,328,497,414,296,115,2090,88,735,632,3539,1115,767,570,260,95,7796,48,59,480,3608,194,165,91,11,0,4670,213,1028,1260,3389,1109,576,179,41,13,7806,5,27,111,817,559,635,532,306,73,3058,12,40,118,588,240,96,63,30,7,1198,240,1104,1046,2902,1444,1341,888,246,92,9301,128,502,1493,6488,3189,2532,972,407,143,15845,25,301,420,1568,1366,1082,973,486,199,6423,42,683,1610,4528,2286,1663,618,168,47,11649,920,5261,8394,30066,10717,7965,5407,2789,1179,72704,9543,16543,19641,57072,25679,22401,16546,10646,5799,183857,161727,314955,310329,724216,334959,282042,199669,104095,42420,2474410
6,0,11,10,114,99,52,25,10,0,320,22,116,148,593,297,267,136,29,5,1616,6,7,8,109,58,101,120,82,96,579,0,37,40,207,337,451,695,388,131,2283,11,36,175,176,66,68,29,16,4,567,3,81,139,481,257,253,202,89,28,1524,0,0,0,4,13,23,24,39,3,102,4,37,31,162,60,47,25,22,0,391,12,12,34,233,14,10,0,0,0,311,14,86,96,276,79,45,12,3,0,609,0,0,0,3,3,5,6,0,0,16,0,4,5,14,22,9,9,7,0,72,31,133,121,415,264,291,266,76,25,1630,12,29,57,218,38,35,7,0,0,400,0,8,15,61,83,116,159,85,32,569,0,14,27,75,66,56,35,8,5,291,81,389,588,2059,905,891,767,512,246,6441,1413,2847,3431,8080,5365,6132,5353,3256,1365,37234,28469,61739,60940,117856,70050,72160,57381,29604,11767,509965
7,5,23,42,241,167,82,24,11,0,596,102,692,741,2695,908,510,190,52,17,5914,0,3,0,61,9,32,11,5,3,124,6,18,34,162,141,165,106,51,5,701,3,20,18,112,52,60,26,16,0,302,11,81,107,370,189,87,35,11,0,889,0,0,0,3,11,12,18,10,0,49,30,82,54,395,94,64,37,24,6,779,15,8,55,504,16,20,0,3,0,628,34,95,125,390,191,78,38,13,0,959,0,0,0,7,8,4,3,0,0,28,0,3,0,24,13,3,5,0,0,48,52,164,125,440,197,153,68,16,0,1211,9,52,91,423,180,119,42,11,3,935,0,4,8,60,32,24,31,13,0,175,6,72,77,331,113,60,13,0,0,672,83,362,416,1931,887,627,431,211,46,4993,1542,2581,3062,9348,3997,3160,1577,500,140,25897,17630,31845,30719,77668,31310,23296,11661,3771,938,228833
8,11,24,57,262,239,104,27,7,3,741,51,271,435,1791,619,375,185,49,19,3798,3,11,20,282,100,222,153,82,73,943,11,37,59,279,321,358,426,254,93,1843,21,88,206,386,142,100,56,21,7,1026,9,180,328,686,412,198,121,44,22,2012,0,0,7,49,76,90,62,68,10,360,14,183,227,1125,479,388,219,101,29,2771,10,15,72,320,50,31,15,3,3,522,29,106,210,633,150,116,49,8,3,1309,0,3,19,123,63,102,55,27,3,407,8,4,21,96,44,26,19,8,0,226,99,384,359,927,382,326,224,68,13,2781,26,112,259,1325,695,620,182,98,30,3338,3,18,26,101,62,82,82,56,22,450,0,43,111,264,113,68,23,3,0,623,158,804,1225,5028,2026,1679,1258,808,351,13342,1139,1664,2802,7157,2786,2411,1927,1351,955,22194,26795,47684,55938,124524,50989,41506,29453,14363,6158,397397
9,0,0,4,4,6,0,0,0,0,16,0,9,3,32,14,3,3,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,14,0,0,0,11,16,18,5,0,0,51,0,3,4,15,3,7,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,7,0,0,4,14,9,0,0,0,0,24,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,11,0,0,6,15,4,4,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,6,12,58,16,5,3,3,0,110,19,47,54,143,101,108,63,29,11,573,262,547,421,1216,711,709,478,182,58,4587
