STE_CODE_2016,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
1,13006,11958,24956,213469,202437,415908,12387,11887,24267,238859,226279,465135,12961,12386,25354,220128,208863,428993,12114,11723,23840,245208,232974,478184,12378,11585,23961,204297,193115,397416,11202,10432,21637,227884,215130,443009,11419,10957,22377,206670,196306,402981,12012,11055,23065,230103,218321,448425,9690,9260,18950,223455,217387,440844,15342,14536,29878,248490,241181,489673,7555,7582,15146,235281,241855,477136,17741,17141,34881,260582,266576,527161,6114,6502,12623,242638,251531,494168,17225,16348,33573,265983,274381,540360,5299,5664,10966,227212,232821,460035,14848,13871,28717,247360,252361,499724,5528,6393,11918,226905,236443,463352,14471,13426,27897,246903,256264,503169,5450,6343,11793,219969,233140,453109,14176,13360,27539,239599,252842,492440,4993,5640,10628,219605,227681,447290,14261,13369,27626,238859,246685,485546,4303,4768,9067,210558,222892,433458,13914,13286,27198,228777,240946,469726,3295,3572,6866,188425,199862,388290,12564,12327,24890,204285,215760,420044,5379,6200,11576,520033,603293,1123322,37724,45018,82741,563132,654509,1217641,107368,108809,216176,3358657,3467635,6826286,219990,217777,437762,3686014,3794217,7480228
2,2752,2725,5476,177596,168087,345682,10246,9809,20056,190593,180626,371220,2735,2664,5403,176599,167836,344437,9736,9057,18793,189076,179563,368631,2552,2461,5011,163653,155495,319146,8704,8204,16916,174905,166160,341063,2399,2405,4797,170235,163129,333364,9214,8958,18173,181849,174492,356340,2185,2086,4276,195203,190073,385278,12339,11908,24248,209733,204065,413792,1774,1863,3638,201901,207845,409748,13887,13998,27885,217558,223709,441266,1447,1456,2905,204547,213438,417988,13606,13426,27041,219603,228322,447927,1229,1326,2554,187216,191832,379048,11473,10947,22427,199919,204112,404026,1307,1373,2687,183580,193753,377333,11167,10701,21874,196059,205832,401887,1331,1407,2739,182325,195146,377469,11123,10723,21840,194774,207268,402043,1090,1237,2332,172654,182185,354838,10856,10358,21209,184595,193778,378371,933,987,1919,161935,173118,335057,10298,10336,20638,173172,184447,357616,745,804,1548,144103,154945,299051,9549,9691,19236,154397,165445,319840,1137,1379,2518,390929,462906,853836,29774,36469,66241,421840,500756,922594,23622,24159,47788,2712483,2819794,5532275,171970,174593,346563,2908077,3018549,5926624
3,11150,10708,21857,131927,125160,257086,8955,8563,17519,152036,144432,296466,11689,11189,22877,142084,134526,276607,9036,8615,17645,162807,154331,317138,10888,10450,21340,134581,127004,261589,8211,7959,16170,153683,145417,299097,9895,9522,19420,132904,127326,260231,8397,8241,16637,151196,145089,296287,8343,8120,16464,139716,138816,278536,11221,10645,21865,159280,157576,316860,6536,6686,13223,139645,144691,284333,11946,11245,23191,158128,162626,320753,5484,5816,11303,142434,149917,292356,11803,10485,22289,159727,166214,325943,4893,5280,10174,134068,141410,275479,10481,9087,19568,149443,155774,305218,5050,5530,10586,141744,150095,291840,10910,9572,20477,157705,165197,322901,4698,5331,10030,141536,150312,291847,11285,9813,21097,157520,165460,322982,4174,4539,8713,135921,143547,279467,10921,9628,20546,151016,157709,308727,3305,3754,7062,129084,136489,265575,10335,9224,19559,142727,149472,292198,2452,2793,5247,116086,121748,237837,9015,8592,17601,127555,133128,260685,3609,4583,8194,311118,347112,658231,24340,27177,51519,339072,378879,717949,92176,94311,186482,2072866,2138156,4211020,156845,148843,305685,2321889,2381308,4703193
4,1987,1808,3787,45557,43111,88673,2373,2241,4614,49910,47163,97072,2020,1946,3963,47083,44887,91973,2330,2204,4533,51430,49040,100466,1847,1820,3668,45038,42550,87589,2196,2009,4208,49076,46384,95461,1818,1737,3553,47490,45233,92727,2213,2196,4403,51516,49169,100686,1483,1527,3011,51043,48731,99779,2691,2511,5193,55223,52766,107986,1309,1315,2624,49388,49871,99264,2803,2666,5474,53510,53854,107361,1110,1120,2226,50786,52215,103001,2876,2647,5517,54767,55981,110751,842,927,1768,47611,48459,96071,2658,2316,4973,51116,51696,102818,915,1025,1939,49471,50222,99698,2685,2329,5012,53067,53580,106650,890,1029,1921,52290,53746,106028,3007,2656,5668,56188,57433,113619,810,884,1693,52114,53757,105869,3010,2693,5708,55936,57339,113272,650,743,1396,51003,53569,104569,3017,2919,5935,54667,57228,111896,503,542,1048,46223,49337,95566,2777,2644,5416,49499,52525,102028,718,861,1581,130926,155272,286203,8451,10359,18805,140094,166498,306591,16891,17292,34184,766038,790968,1557001,43073,42393,85464,825997,850652,1676653
5,4344,4064,8409,73927,70010,143939,4891,4494,9388,83155,78574,161727,4409,4251,8658,75363,71384,146746,4513,4240,8747,84279,79873,164153,4180,4125,8309,69093,65609,134699,4018,3769,7795,77298,73510,150806,3851,3567,7418,69198,65571,134769,4064,3742,7810,77112,72882,149997,3472,3183,6654,73657,69522,143177,5430,5071,10501,82563,77777,160332,3206,2928,6139,81908,82473,164385,7857,6532,14383,92974,91940,184908,2680,2639,5312,87384,87324,174708,7922,6325,14250,97980,96284,194267,2212,2230,4442,78518,78487,157007,6570,5023,11592,87306,85735,173041,2217,2196,4418,77690,78623,156311,6306,4968,11268,86213,85786,171996,1994,2283,4275,78256,78755,157010,6329,4903,11231,86580,85943,172520,1708,1911,3617,73849,74181,148025,5995,4799,10793,81546,80893,162438,1384,1568,2947,67280,69567,136843,5457,4648,10105,74118,75781,149899,999,1192,2188,59238,61995,121228,4595,4128,8724,64835,67311,132145,1375,1822,3192,149643,169041,318683,11445,12862,24309,162463,183723,346185,38027,37959,75978,1114992,1122548,2237541,85400,75495,160891,1238419,1235994,2474410
6,1232,1198,2439,12526,11935,24465,780,795,1570,14544,13929,28469,1426,1366,2788,13888,13125,27007,879,836,1719,16188,15324,31514,1299,1261,2566,13352,12641,25989,841,829,1671,15495,14729,30219,1261,1122,2381,13862,13146,27011,834,847,1685,15960,15118,31078,975,942,1916,13421,12795,26215,899,839,1737,15289,14574,29865,752,821,1577,12436,12939,25380,906,844,1752,14095,14611,28703,651,811,1463,12745,13437,26173,849,838,1690,14245,15083,29328,538,670,1205,12208,13347,25556,773,790,1571,13522,14811,28333,565,670,1236,13597,14879,28477,914,873,1784,15077,16419,31495,642,739,1383,14946,16192,31143,1054,933,1985,16644,17863,34512,533,646,1184,15625,16604,32224,1093,1041,2129,17250,18291,35538,532,593,1127,16372,17538,33910,1177,1168,2343,18075,19309,37378,447,416,859,15405,16289,31700,1141,1082,2214,16993,17781,34778,717,739,1455,41956,47931,89888,3427,3984,7404,46101,52646,98752,11578,11993,23572,222334,232797,455137,15563,15692,31255,249478,260482,509965
7,2908,2688,5596,5296,5227,10521,794,717,1513,9005,8623,17630,3113,2905,6015,4898,4584,9488,678,646,1319,8687,8129,16822,3092,2788,5880,4068,3921,7989,614,549,1158,7778,7251,15029,2923,2697,5621,3942,3371,7317,608,532,1137,7476,6597,14077,2850,2631,5480,5057,4408,9467,949,757,1701,8850,7795,16644,2579,2427,5003,7145,6993,14141,1409,1156,2564,11132,10571,21707,2332,2299,4628,7265,7166,14434,1268,999,2268,10861,10471,21329,1913,1969,3883,6290,5977,12267,1071,800,1871,9274,8746,18012,1867,1963,3831,5784,5359,11140,931,713,1646,8577,8039,16615,1657,1855,3515,5826,5287,11120,1059,769,1829,8538,7920,16456,1333,1551,2884,5441,4887,10329,922,720,1641,7697,7155,14854,974,1151,2124,4800,4476,9280,829,658,1488,6602,6289,12886,708,888,1593,4081,3457,7537,718,561,1280,5505,4899,10407,905,1304,2211,6652,5660,12310,1038,809,1844,8595,7772,16367,29129,29118,58248,76554,70774,147327,12883,10376,23257,118570,110266,228833
8,382,345,726,12859,12012,24874,656,543,1197,13901,12898,26795,369,309,680,12334,11464,23797,519,453,972,13224,12220,25451,314,310,622,10677,10150,20830,394,383,781,11389,10843,22235,329,349,680,11529,11283,22813,501,515,1015,12366,12145,24507,380,313,691,14604,14395,29003,886,853,1738,15863,15565,31430,281,297,576,14662,15294,29956,1007,951,1955,15948,16542,32488,209,246,454,15246,16013,31265,1029,879,1910,16487,17142,33631,180,207,387,14053,14246,28302,784,718,1506,15014,15176,30193,173,198,368,12985,13436,26421,769,656,1424,13924,14288,28216,187,171,359,12263,12602,24862,714,620,1326,13162,13394,26556,159,173,331,11050,11821,22872,635,595,1226,11841,12590,24433,113,130,242,10117,10841,20952,568,589,1158,10794,11559,22357,98,80,173,8537,9422,17957,475,537,1014,9109,10037,19144,91,113,205,21271,25565,46838,1339,1588,2924,22705,27265,49973,3267,3236,6508,182196,188550,370748,10272,9873,20143,195739,201653,397397
9,5,5,14,124,110,238,8,3,15,140,126,262,14,13,20,131,115,242,13,10,23,156,131,285,18,10,24,100,118,222,14,6,22,126,138,263,6,16,20,90,82,167,9,15,25,106,110,215,8,3,13,114,62,175,19,6,26,136,72,210,4,7,7,134,84,221,19,9,29,159,99,262,9,7,11,142,122,268,21,17,34,165,142,316,8,13,15,161,121,287,10,5,13,176,143,321,8,13,19,147,131,280,13,9,22,169,152,325,6,10,21,144,134,278,13,19,35,170,161,332,11,7,12,176,145,317,24,23,50,207,170,378,7,8,19,160,152,313,23,24,45,195,184,376,7,0,9,144,136,282,18,25,43,166,162,335,10,11,19,330,283,612,44,37,84,382,330,715,115,118,231,2098,1796,3897,250,210,462,2462,2120,4587
