STE_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
1,671527,79523,76283,9424,2910,839665,656146,83088,95879,2516,2375,840004,195783,80922,235681,4455,2686,519539,41407,28951,34092,200,252,104902,83157,18575,39989,2069,1531,145327,5218,5098,6727,78,299,17414,14857,3107,4536,2595,732,25827,8862,1648,2869,301,235,13909,349289,138303,323897,9695,5730,826922,10151,6347,6664,278,523,23968,42706,10196,16660,1666,2535,73763,1729820,317447,519380,23583,14077,2604314
2,573414,72285,31562,3706,1717,682685,622575,80577,40115,1483,1751,746502,189693,93861,121698,1840,1532,408621,21534,13968,16070,105,134,51813,70750,19768,18612,1002,778,110916,3370,2766,3505,31,84,9752,9577,1914,2213,1927,289,15913,6950,1667,1436,149,131,10340,301881,133938,163534,5058,2944,607354,9165,4875,2828,130,179,17178,39915,9246,8003,716,1112,58983,1546945,300917,246041,11091,7703,2112706
3,402980,30758,27583,8445,1646,471407,501307,29286,24928,1437,1487,558439,198850,67228,83900,668,1566,352216,27263,12207,13127,92,171,52858,76159,16580,20555,812,882,114992,2854,2808,2888,35,92,8675,17524,3530,3209,3336,542,28143,6667,1165,1360,265,142,9597,329321,103520,125035,5201,3395,566478,7140,5109,2878,267,180,15566,28910,6308,6360,1468,1898,44944,1269653,174984,186778,16815,8602,1656831
4,179754,18116,5506,1557,597,205531,199112,20049,5405,410,682,225670,47123,20236,15049,158,271,82835,13464,15333,4709,19,70,33595,32585,8669,6031,238,283,47806,2484,2914,1352,7,23,6773,5339,1083,803,364,122,7714,2408,649,312,43,39,3450,103403,48883,28253,831,807,182180,4048,4282,1375,49,92,9847,10477,3176,1455,177,281,15566,496799,94506,41999,3025,2454,638792
5,211480,25256,6263,3436,623,247050,302320,31773,8538,653,728,344014,72232,29032,19161,177,348,120950,15554,11643,3680,48,107,31032,47790,12815,5685,326,264,66881,1692,1774,998,42,33,4539,12965,2242,1088,928,242,17472,3550,808,314,107,64,4836,153780,58321,30927,1628,1054,245705,3979,3338,1659,131,76,9181,14264,3879,1700,477,502,20823,685824,122560,49084,6323,2981,866777
6,66362,1923,1475,489,197,70444,63472,1268,1089,204,191,66218,15450,2808,3788,112,79,22235,5702,2040,1526,3,9,9284,13066,1540,1958,154,106,16827,826,591,429,4,9,1855,1804,277,264,118,33,2493,1049,130,109,31,7,1335,37899,7386,8086,415,244,54034,1164,286,197,18,15,1676,4107,519,416,73,89,5201,172998,11385,11262,1199,732,197575
7,7561,614,737,940,99,9957,15440,1535,1926,255,87,19247,4790,2252,4737,82,42,11903,5463,1294,933,53,34,7772,2893,874,1325,141,70,5296,1102,143,78,12,26,1362,3454,649,1066,291,93,5554,583,106,100,42,17,852,18282,5323,8224,627,284,32737,376,69,47,68,20,575,1439,307,434,273,84,2545,43100,7847,11367,2171,569,65061
8,31620,4906,1906,72,50,38555,42660,7688,4421,26,31,54832,7824,6017,9377,7,62,23285,4470,2469,1621,3,17,8581,4923,2434,2688,8,47,10100,231,230,179,3,17,653,1452,382,365,47,13,2251,284,112,70,0,0,471,19182,11634,14303,69,156,45346,334,387,223,0,7,952,1724,661,551,22,24,2984,95520,25278,21404,187,271,142664
9,349,14,27,3,3,401,279,11,11,0,3,299,73,0,5,3,0,84,57,26,30,0,0,116,130,16,13,3,0,164,26,0,0,0,0,26,94,16,25,0,0,132,30,0,3,0,0,38,412,58,72,10,5,552,44,0,0,3,0,48,42,4,8,3,3,58,1130,87,115,12,16,1360
