STE_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
1,76990,32691,167506,1359656,1531206,690934,545925,1436593,529577,6093895
2,60000,23711,127993,1130813,1232398,535249,416986,1123082,407178,4845710
3,37811,18896,85528,853120,1017232,448338,353168,768726,349909,3790497
4,21376,7251,44479,299651,379617,174791,127972,296913,104702,1383650
5,17514,9203,42420,447726,521733,228248,189571,423559,186887,1997726
6,5392,2077,11767,83591,113245,55346,43040,87488,37044,419752
7,448,170,938,40921,46081,17083,11386,35716,28171,179359
8,2195,1339,6158,82490,102171,39411,22606,53988,22254,322917
9,24,9,58,630,901,370,303,789,788,3773
