STE_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
1,18253,24541,42795,8834,9872,18715,13765,37833,51599,12554,61855,74411,47855,118654,166511,48437,59375,107804,127223,51711,178930,104800,57750,162543,139455,58256,197720,136917,41627,178542,110612,35280,145891,113007,28052,141064,223733,44626,268356,159797,8111,167908,109729,4961,114686,84676,24082,108764,206867,7598,214468,180904,19765,200667,27121,35826,62951,1874524,729784,2604314
2,17193,25272,42470,8264,9308,17578,12209,31574,43785,10472,47410,57876,39530,93004,132538,39856,51070,90924,100453,45350,145803,88794,52467,141261,117757,54457,172211,116186,39981,156165,95590,32495,128080,96865,23758,120621,187310,34945,222264,128858,6642,135504,80704,3757,84460,58290,16118,74407,131010,4180,135187,141503,17022,158525,24428,28602,53032,1495290,617415,2112706
3,10243,12433,22680,5498,5696,11191,8080,22215,30300,7893,34924,42817,30304,77632,107942,33334,42029,75362,87373,36173,123545,73215,41168,114384,96630,42125,138756,96253,29570,125825,77074,24055,101129,78572,17263,95833,150487,25316,175803,102436,5336,107768,64971,2842,67810,44439,9927,54367,89413,2750,92166,116811,14375,131184,16832,21147,37976,1189859,466975,1656831
4,3519,5271,8791,2250,2866,5115,3474,12684,16160,3397,19124,22523,13421,38361,51777,14190,19279,33469,38164,16440,54609,31247,18331,49580,39889,17676,57567,37843,11162,49006,29027,8904,37933,28806,6210,35017,52573,7610,60178,34352,1122,35478,20607,636,21245,12471,3074,15545,24886,505,25391,40850,3837,44689,5827,8894,14726,436817,201972,638792
5,6045,7231,13279,3008,3257,6263,4738,11692,16435,4279,17263,21545,14466,34610,49076,15043,18453,33501,37441,15551,52991,31297,18494,49796,42448,21113,63560,41795,15978,57772,35977,13894,49867,37736,10989,48726,79447,17495,96942,56714,2588,59300,38256,1607,39870,31048,7517,38556,67166,1950,69110,74826,7362,82189,8144,9847,17994,629882,236896,866777
6,828,1276,2106,577,825,1405,1102,4251,5354,1232,6513,7746,4697,13892,18590,5128,6710,11839,13366,5425,18790,10324,5832,16155,12867,5332,18194,12150,3209,15363,9062,2531,11598,8645,1719,10357,15069,1812,16882,9146,279,9417,5182,130,5314,3123,741,3865,5514,108,5624,12538,1214,13745,2021,3203,5227,132574,65004,197575
7,261,376,633,203,180,382,409,589,1004,282,1015,1296,989,1162,2149,834,802,1639,1537,954,2490,1735,1288,3023,2345,1695,4043,2608,1584,4189,2395,1368,3756,2683,1244,3924,6249,1927,8176,4879,372,5248,3725,275,4000,3038,821,3865,6328,416,6748,5778,778,6558,1123,814,1933,47400,17667,65061
8,494,922,1417,239,456,701,449,1375,1826,461,2216,2675,1236,3532,4763,1381,2464,3843,2872,2516,5392,3212,3149,6361,4959,4024,8986,5597,3869,9462,5226,3767,8995,5518,2659,8179,13190,5446,18642,11353,759,12111,9127,450,9580,7630,1827,9457,17565,493,18060,9111,1377,10488,681,1045,1726,100308,42355,142664
9,4,9,15,7,8,12,10,21,26,3,25,30,21,60,78,24,43,68,50,38,84,58,34,99,98,28,127,89,20,105,67,21,88,67,16,83,124,34,156,71,4,77,42,0,42,25,10,36,59,0,59,114,3,120,24,21,42,980,383,1360
