STE_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
1,457894,692252,209016,19010,1378166,307344,44306,1729820,30998,26989,16020,1652,75652,59908,6180,141744,38563,57120,24012,2268,121960,43778,9969,175709,69554,84110,40027,3924,197611,103683,16151,317447,27442,21106,13247,1944,63730,63786,9099,136617,40876,32187,15656,2849,91569,56611,14270,162457,65762,39227,14665,4237,123895,71338,22846,218075,480,415,227,36,1156,911,168,2241,134560,92931,43793,9068,280350,192643,46386,519380,1252,270,269,39,1834,3632,156,5618,1676,349,414,52,2497,3986,214,6694,250,241,118,7,621,642,49,1310,2344,2265,1215,190,6006,2964,989,9958,5517,3126,2009,297,10949,11227,1409,23583,3336,2852,1100,148,7442,5883,751,14077,670868,875268,295954,32437,1874524,620778,109004,2604314
2,400567,606350,177606,17577,1202102,299077,45768,1546945,43043,37286,19311,2585,102224,79236,10608,192062,29006,32861,12220,1938,76021,23570,9264,108856,72050,70145,31529,4522,178246,102798,19877,300917,22689,13034,8101,1689,45505,48913,8183,102602,13055,3878,2546,1008,20491,23016,6122,49621,25414,6956,4759,2777,39906,39059,14467,93435,85,52,36,3,183,179,26,382,61245,23915,15443,5476,106083,111162,28797,246041,399,99,88,13,600,1591,56,2246,568,117,157,15,859,2243,85,3184,59,65,22,3,145,207,5,364,1309,1131,510,91,3045,1739,516,5299,2325,1421,779,123,4650,5783,659,11091,1877,1628,601,103,4214,3012,483,7703,538064,703463,225960,27803,1495290,521828,95588,2112706
3,369705,469307,150591,14012,1003613,220059,45979,1269653,16818,7207,9027,881,33928,38743,3307,75979,23190,18200,16321,1727,59443,31204,8362,99005,40007,25403,25351,2605,93368,69940,11669,174984,13364,6055,7365,1097,27873,39931,5690,73496,13727,4576,4069,1014,23390,22103,6447,51940,20911,5604,3407,986,30908,23078,6979,60962,69,42,41,6,160,190,33,382,48069,16274,14887,3106,82330,85306,19148,186778,2185,319,319,40,2861,5786,292,8933,982,172,201,24,1377,2744,177,4293,326,230,92,10,664,644,51,1352,584,514,251,35,1380,694,158,2231,4072,1235,859,109,6278,9863,668,16815,2058,1502,649,63,4273,3907,431,8602,463903,513723,192335,19896,1189859,389076,77898,1656831
4,144753,165195,56991,5111,372050,110262,14496,496799,14734,9144,8581,1010,33472,36451,3293,73220,5552,4381,2544,441,12913,6507,1868,21290,20285,13520,11128,1456,46384,42958,5163,94506,5768,3391,2270,452,11888,18551,1782,32214,820,393,195,83,1490,2116,430,4041,1502,406,236,124,2269,2614,761,5648,16,21,4,3,45,43,7,100,8108,4210,2713,668,15698,23326,2980,41999,333,51,34,3,427,750,26,1202,174,35,21,6,239,420,25,684,35,27,14,0,82,143,7,232,247,191,90,19,541,289,69,898,792,310,162,29,1294,1604,126,3025,632,529,212,17,1393,969,87,2454,174569,183766,71202,7277,436817,179119,22855,638792
5,193177,263754,74426,7999,539356,124789,21682,685824,21656,14280,9651,1443,47027,40596,4575,92201,8980,6183,2730,558,18451,9407,2503,30361,30637,20463,12382,1997,65483,50005,7077,122560,4540,1790,1282,279,7896,11306,1234,20435,3038,941,531,228,4738,5858,999,11596,5663,1456,597,297,8010,7589,1369,16970,16,9,4,0,32,51,3,85,13261,4189,2412,804,20671,24809,3603,49084,912,119,104,9,1140,2067,71,3279,454,57,52,5,569,799,36,1402,160,103,32,3,299,243,21,565,305,268,101,14,687,312,68,1068,1828,543,289,31,2698,3428,197,6323,801,637,204,35,1673,1182,129,2981,239709,289587,89719,10871,629882,204202,32692,866777
6,52586,49302,20634,1498,124022,44005,4974,172998,1197,421,766,89,2476,5354,367,8194,734,403,310,54,1503,1387,298,3182,1929,829,1080,140,3980,6743,665,11385,1490,562,892,101,3048,5599,553,9199,211,49,46,21,327,636,121,1082,154,38,26,10,223,523,71,820,24,16,12,0,53,100,10,166,1878,665,977,136,3651,6855,750,11262,91,19,19,0,123,199,6,331,77,16,10,0,106,184,12,305,29,20,0,0,49,52,3,104,115,98,50,5,265,153,42,462,318,146,77,10,544,592,67,1199,172,138,57,3,369,320,40,732,56879,51080,22827,1786,132574,58517,6492,197575
7,10869,18251,5473,715,35309,6023,1770,43100,1191,1049,584,85,2911,1957,277,5144,702,654,253,41,1650,833,220,2700,1896,1703,836,123,4564,2789,496,7847,1096,878,480,74,2519,2060,353,4940,574,323,118,27,1042,643,200,1887,1538,751,194,46,2536,1470,511,4516,7,0,3,0,15,12,0,31,3207,1957,792,150,6110,4191,1067,11367,420,93,35,4,544,590,34,1173,55,15,3,0,74,120,8,197,84,50,20,10,162,137,17,308,119,142,51,3,321,142,29,488,669,299,104,24,1097,987,88,2171,142,122,37,10,315,235,18,569,16791,22336,7255,1013,47400,14228,3438,65061
8,25336,40425,10022,866,76644,15810,3067,95520,3062,2485,1505,153,7209,6050,612,13872,2942,2665,1240,163,7015,3276,1119,11408,6011,5150,2745,321,14222,9326,1734,25278,1048,466,302,61,1880,2363,357,4597,1904,823,338,111,3171,3333,805,7314,2944,796,287,109,4142,4236,927,9303,32,23,15,3,69,108,10,191,5931,2107,940,280,9259,10045,2105,21404,0,4,3,0,5,24,0,34,13,6,9,0,28,65,15,104,0,0,0,0,0,6,0,9,7,17,7,0,36,12,0,47,19,32,24,0,67,106,15,187,57,38,18,0,116,126,25,271,37355,47747,13744,1467,100308,35413,6938,142664
9,364,346,111,9,835,282,11,1130,9,16,8,0,43,16,0,54,7,8,4,0,18,10,3,29,17,30,9,0,62,25,3,87,4,7,3,0,17,28,0,49,11,27,7,3,49,8,3,59,0,3,0,0,6,4,0,5,0,0,0,0,0,0,0,3,22,38,10,3,65,43,3,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,8,4,0,10,9,0,0,0,6,5,0,12,3,0,3,0,6,8,0,16,413,418,138,13,980,369,20,1360
